TOP|20101201030002|2010-12-01_0300_US_FOX-News_On_the_Record_Greta_Van_Susteren
COL|Communication Studies Archive, UCLA 
UID|1760f56c-fcf7-11df-a5fd-00e0815fe826
DUR|0:59:54.03
VID|640x480
CMT|
LAN|ENG
LBT|2010-11-30 19:00 America/Los_Angeles
SEG_01|2014-06-18 17:26:35|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101201030005.333|20101201035956.000|SEG|Type=Story
20101201030005.333|20101201030006.167|CCO| THAT
20101201030006.167|20101201030007.000|CCO|THE G.O.P. HAS TO STAY AS 
20101201030007.000|20101201030007.833|CCO|CONSERVATIVE AS POSSIBLE OR 
20101201030007.833|20101201030008.667|CCO|THEY'LL BE SORRY LATER ON.
20101201030008.667|20101201030009.500|CCO|>> Sean: GREAT PAM.
20101201030009.500|20101201030010.333|CCO|THANK YOU FOR BEING WITH US.
20101201030010.333|20101201030011.167|CCO|THAT'S ALL THE TIME WE HAVE.
20101201030011.167|20101201030012.000|CCO|LET NOT YOUR HEART BE 
20101201030012.000|20101201030013.250|CCO|TROUBLED, GRETA IS NEXT.
20101201030013.250|20101201030014.500|CCO|SEE YOU TOMORROW.
20101201030014.500|20101201030015.750|CCO|>> Greta: TONIGHT.
20101201030015.750|20101201030017.000|CCO|SERIOUSLY.
20101201030017.000|20101201030018.250|CCO|ARE YOU ALL BEING PLAYED?
20101201030018.250|20101201030019.500|CCO|PRESIDENT OBAMA, LEADERS OF 
20101201030019.500|20101201030020.750|CCO|BOTH PARTIES MET AT THE WHITE 
20101201030020.750|20101201030022.000|CCO|HOUSE TODAY AND THE BEST WE 
20101201030022.000|20101201030023.429|CCO|CAN FIGURE OUT IS THEY HAD A 
20101201030023.429|20101201030024.857|CCO|MEETING TO SCHEDULE MORE 
20101201030024.857|20101201030026.286|CCO|MEETINGS TO TALK ABOUT WHAT TO
20101201030026.286|20101201030027.714|CCO|DO ABOUT THE BUSH TAX CUTS.
20101201030027.714|20101201030029.143|CCO|NOW, THESE PEOPLE HAVE KNOWN 
20101201030029.143|20101201030030.571|CCO|FOR TEN YEARS THESE CUTS ARE 
20101201030030.571|20101201030032.000|CCO|EXPIRING AT THE END OF THE 
20101201030032.000|20101201030034.000|CCO|YEAR.
20101201030034.000|20101201030036.000|CCO|READY FOR MORE?
20101201030036.000|20101201030038.000|CCO|THOSE WHO MET TODAY AREN'T 
20101201030038.000|20101201030040.000|CCO|DOING THE JOB.
20101201030040.000|20101201030042.000|CCO|THEY'RE OUTSOURCING THE JOB TO
20101201030042.000|20101201030043.667|CCO|SOMEONE ELSE CHOOSING 
20101201030043.667|20101201030045.333|CCO|NEGOTIATORS TO HAVE MORE 
20101201030045.333|20101201030047.000|CCO|MEETING.
20101201030047.000|20101201030048.667|CCO|WHY DIDN'T THEY JUST FIGURE 
20101201030048.667|20101201030050.333|CCO|THIS OUT TODAY?
20101201030050.333|20101201030052.000|CCO|ALL THE LEADERS WERE ONE ROOM.
20101201030052.000|20101201030053.429|CCO|WHAT DO WE PAY THEM FOR?
20101201030053.429|20101201030054.857|CCO|KARL ROVE JOINS US.
20101201030054.857|20101201030056.286|CCO|GOOD EVENING.
