TOP|20101201040002|2010-12-01_0400_US_CNN_Anderson_Cooper_360
COL|Communication Studies Archive, UCLA 
UID|795fefd6-fcff-11df-a571-00e0815fe86c
DUR|0:59:55.02
VID|640x480
CMT|
TPF|transcripts.cnn.com|acd.02.html
HED|Inside New Border Drug Tunnel; Let Gays Serve Openly; Virtual Fence a Virtual Disaster; WikiLeaks Founder on Most-Wanted List
LAN|ENG
LBT|2010-11-30 20:00 America/Los_Angeles
SEG_01|2014-06-18 17:26:42|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101201040008.667|20101201041632.000|SEG|Type=Story
20101201040008.667|20101201040127.714|SEG_01|Type=Commercial
20101201040008.667|20101201040010.333|CCO|  Coelebrate excitincars    
20101201040010.333|20101201040012.000|CCO|at a sreg ook , l
20101201040012.000|20101201040013.111|CCO|  hi
20101201040013.111|20101201040014.222|CCO|    ngo dr te
20101201040014.222|20101201040015.333|CCO|    
20101201040015.333|20101201040016.444|CCO|      woy fr to ann.
20101201040016.444|20101201040017.556|CCO|  Cebrate is hol sid
20101201040017.556|20101201040018.667|CCO|
20101201040018.667|20101201040019.778|CCO|      wi t gift of plati
20101201040019.778|20101201040020.889|CCO|nu
20101201040020.889|20101201040022.000|CCO|    gum Covege
20101201040022.000|20101201040022.714|CCO|ra
20101201040022.714|20101201040023.429|CCO|   fiveears or 5000 miles
20101201040023.429|20101201040024.143|CCO|      ofom cenrytaeduled
20101201040024.143|20101201040024.857|CCO|          innae,
20101201040024.857|20101201040025.571|CCO|nc
20101201040025.571|20101201040026.286|CCO|    
20101201040026.286|20101201040027.000|CCO|    no cost reen
20101201040027.000|20101201040027.714|CCO|    
20101201040027.714|20101201040028.429|CCO|     ofear tete w.
20101201040028.429|20101201040029.143|CCO|            
20101201040029.143|20101201040029.857|CCO|               Vi   yoagua J
20101201040029.857|20101201040030.571|CCO|                  deer dalin
20101201040030.571|20101201040031.286|CCO|                  the Platin
20101201040031.286|20101201040032.000|CCO|                      Celeation
20101201040032.000|20101201040035.333|CCO|                    
20101201040035.333|20101201040038.667|CCO|                    r a $599
20101201040038.667|20101201040122.000|CCO|                    lease rof
20101201040122.000|20101201040123.429|CCO|                        
20101201040123.429|20101201040124.857|CCO|                     the
