TOP|20101201140001|2010-12-01_1400_US_MSNBC_The_Daily_Rundown
COL|Communication Studies Archive, UCLA 
UID|4a271bb4-fd53-11df-9a59-00e0815fe86a
DUR|0:59:55.02
VID|640x480
CMT|
LAN|ENG
LBT|2010-12-01 06:00 America/Los_Angeles
SEG_01|2014-06-18 17:27:38|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101201140005.444|20101201140023.500|SEG|Type=Story
20101201140005.444|20101201140006.556|CCO|WHAT'D YOU LEARN?
20101201140006.556|20101201140007.667|CCO|>> WELL, JOE'S NOT HERE, SO I 
20101201140007.667|20101201140008.778|CCO|LEARNED THAT JOE'S AGAINST THE 
20101201140008.778|20101201140009.889|CCO|MILLIONAIRE'S TAX, BUT THINKS 
20101201140009.889|20101201140011.000|CCO|THAT'S THE ONLY WAY TO BOX THE 
20101201140011.000|20101201140012.250|CCO|REPUBLICANS IN, SO I'M SORT OF 
20101201140012.250|20101201140013.500|CCO|CURIOUS IF THAT WILL HAPPEN THIS
20101201140013.500|20101201140014.750|CCO|WEEK.
20101201140014.750|20101201140016.000|CCO|>> WE'LL TALK MORE ABOUT IT.
20101201140016.000|20101201140017.250|CCO|IF IT'S WAY TOO EARLY, WILLIE?
20101201140017.250|20101201140018.500|CCO|>> IT'S "MORNING JOE."
20101201140018.500|20101201140019.750|CCO|SEE YOU TOMORROW.
20101201140019.750|20101201140021.000|CCO|BUT STAY TUNED RIGHT NOW FOR 
20101201140021.000|20101201140022.250|CCO|"THE DAILY RUNDOWN" WITH CHUCK 
20101201140022.250|20101201140023.500|CCO|AND SAVANNAH.
20101201140023.500|20101201140033.000|SEG|Type=Story
20101201140023.500|20101201140024.750|CCO|>>> WELL, THE LONG-AWAITED 
20101201140024.750|20101201140026.000|CCO|POST-ELECTION WHITE HOUSE 
20101201140026.000|20101201140027.250|CCO|BIPARTISAN MEETING ENDS WITH 
20101201140027.250|20101201140028.500|CCO|HAPPY TALK OF PROGRESS, FINDING 
20101201140028.500|20101201140029.750|CCO|MIDDLE GROUND.
20101201140029.750|20101201140031.000|CCO|AND OF COURSE, THE FIRST 
20101201140031.000|20101201140033.000|CCO|AGREEMENT, MORE MEETINGS!
20101201140033.000|20101201140042.667|SEG|Type=Story
20101201140033.000|20101201140035.000|CCO|>>> ASKED AND ANSWERED.
20101201140035.000|20101201140037.000|CCO|THE PENTAGON STUDY OF DON'T ASK,
20101201140037.000|20101201140039.000|CCO|DON'T TELL ENDORSES A FULL 
20101201140039.000|20101201140041.000|CCO|REPEAL.
20101201140041.000|20101201140042.667|CCO|WILL CONGRESS LISTEN?
20101201140042.667|20101201140111.000|SEG|Type=Story
20101201140042.667|20101201140044.333|CCO|>>> AND 2 MILLION LOSE JOBLESS 
20101201140044.333|20101201140046.000|CCO|BENEFITS TODAY.
20101201140046.000|20101201140047.667|CCO|JUST AS THE HOLIDAYS GET 
20101201140047.667|20101201140049.333|CCO|UNDERWAY.
20101201140049.333|20101201140051.000|CCO|WILL THEY GET IT BACK BY NEW 
20101201140051.000|20101201140052.250|CCO|YEAR'S EVE?
20101201140052.250|20101201140053.500|CCO|IT'S WEDNESDAY, DECEMBER 1st, 
20101201140053.500|20101201140054.750|CCO|2010.
20101201140054.750|20101201140056.000|CCO|IT'S WORLD AIDS DAY.
20101201140056.000|20101201140057.250|CCO|AND ALSO, IT'S THE FIRST DAY OF 
20101201140057.250|20101201140058.500|CCO|HANUKKAH.
20101201140058.500|20101201140059.750|CCO|AND ALSO, I ENDORSE THE NOW 
20101201140059.750|20101201140101.000|CCO|HOLIDAY SPIRIT.
20101201140101.000|20101201140102.250|CCO|IT'S DECEMBER.
20101201140102.250|20101201140103.500|CCO|I'M OKAY WITH IT.
20101201140103.500|20101201140104.750|CCO|>> OH, WHAT A RELIEF.
20101201140104.750|20101201140106.000|CCO|>> I'M CHUCK TODD.
20101201140106.000|20101201140107.250|CCO|I JUST WANTED 24 MORE HOURS.
20101201140107.250|20101201140108.500|CCO|>> NO MORE OF THE GRINCH.
20101201140108.500|20101201140109.750|CCO|YOU'VE REALLY CHANGED YOUR TUNE 
20101201140109.750|20101201140111.000|CCO|AND I APPRECIATE THAT.
20101201140111.000|20101201140511.000|SEG|Type=Story
20101201140111.000|20101201140112.667|CCO|>>> GO, HOLIDAYS!
20101201140112.667|20101201140114.333|CCO|>> I'M SAVANNAH GUTHRIE.
20101201140114.333|20101201140116.000|CCO|LET'S GET RIGHT TO THE RUNDOWN.
20101201140116.000|20101201140117.667|CCO|WE'RE GOING TO BEGIN ON CAPITOL 
20101201140117.667|20101201140119.333|CCO|HILL, WHERE NEGOTIATORS FROM 
20101201140119.333|20101201140121.000|CCO|BOTH PARTIES WILL TRY TO HAMMER 
20101201140121.000|20101201140122.429|CCO|OUT A DEAL ON THE EXPIRING BUSH 
20101201140122.429|20101201140123.857|CCO|TAX CUTS.
20101201140123.857|20101201140125.286|CCO|IT'S THE FIRST TEST OF THEIR 
20101201140125.286|20101201140126.714|CCO|LEADER'S PLEDGE TO TRY TO SEEK 
20101201140126.714|20101201140128.143|CCO|COMMON GROUND FOLLOWING 
20101201140128.143|20101201140129.571|CCO|TUESDAY'S LONG-AWAITED MEETING.
20101201140129.571|20101201140131.000|CCO|>> A LOT OF TIMES COMING OUT OF 
20101201140131.000|20101201140132.429|CCO|THESE MEETINGS, BOTH SIDES CLAIM
20101201140132.429|20101201140133.857|CCO|THEY WANT TO WORK TOGETHER, BUT 
20101201140133.857|20101201140135.286|CCO|TRY TO PAINT THE OPPONENT AS 
20101201140135.286|20101201140136.714|CCO|UNYIELDING AND UNWILLING TO 
20101201140136.714|20101201140138.143|CCO|COOPERATE.
20101201140138.143|20101201140139.571|CCO|BUT I THINK THERE WAS 
20101201140139.571|20101201140141.000|CCO|RECOGNITION TODAY THAT THAT'S A 
20101201140141.000|20101201140142.667|CCO|GAME THAT WE CAN'T AFFORD.
20101201140142.667|20101201140144.333|CCO|>> I THINK WE ALL AGREED THERE'S
20101201140144.333|20101201140146.000|CCO|NO PARTICULAR REASON WHY WE 
20101201140146.000|20101201140147.667|CCO|CAN'T FIND AREAS OF AGREEMENT 
20101201140147.667|20101201140149.333|CCO|AND DO SOME IMPORTANT THINGS FOR
20101201140149.333|20101201140151.000|CCO|THE AMERICAN PEOPLE OVER THE 
20101201140151.000|20101201140152.667|CCO|NEXT TWO YEARS.
20101201140152.667|20101201140154.333|CCO|>> KELLY O'DONNELL IS NBC NEWS 
20101201140154.333|20101201140156.000|CCO|CAPITOL HILL CORRESPONDENT.
20101201140156.000|20101201140157.667|CCO|KELLY, KUMBAYA HAS BROKEN OUT IN
20101201140157.667|20101201140159.333|CCO|WASHINGTON.
20101201140159.333|20101201140201.000|CCO|I GUESS, THOUGH, THIS IS WHERE 
20101201140201.000|20101201140202.667|CCO|THE RUBBER MEETS THE ROAD, WHEN 
20101201140202.667|20101201140204.333|CCO|THEY GET DOWN TO BRASS TACKS OF 
20101201140204.333|20101201140206.000|CCO|NEGOTIATING TODAY.
20101201140206.000|20101201140207.667|CCO|>> Reporter: WELL, SAVANNAH, I 
20101201140207.667|20101201140209.333|CCO|GUESS NOW THAT CHUCK HAS 
20101201140209.333|20101201140211.000|CCO|SIGNALED WE CAN ALL BE IN THE 
20101201140211.000|20101201140212.429|CCO|SPIRIT, PERHAPS THE POLITICAL 
20101201140212.429|20101201140213.857|CCO|LEADERS HERE ARE WILLING TO 
20101201140213.857|20101201140215.286|CCO|EXTEND THAT AS WELL.
20101201140215.286|20101201140216.714|CCO|THE BAH HUMBUGS ARE PUT ASIDE 
20101201140216.714|20101201140218.143|CCO|FOR THE MOMENT.
20101201140218.143|20101201140219.571|CCO|THIS MORNING, ONE OF THOSE 
20101201140219.571|20101201140221.000|CCO|MEETINGS KICKS OFF, WHERE THE 
20101201140221.000|20101201140223.000|CCO|PRESIDENT HAS GIVEN HIMSELF TO 
20101201140223.000|20101201140225.000|CCO|HAVE SOME DISTANCE, BY STATING 
20101201140225.000|20101201140227.000|CCO|HE WANTS ONLY THE MIDDLE CLASS 
20101201140227.000|20101201140229.000|CCO|CUTS, BUT DESIGNATE HIS 
20101201140229.000|20101201140231.000|CCO|BUDGET DIRECTOR AND THE 
20101201140231.000|20101201140232.250|CCO|SECRETARY TO TRY TO FIND SOME 
20101201140232.250|20101201140233.500|CCO|COMMON GROUND TO MOVE THE BALL 
20101201140233.500|20101201140234.750|CCO|FORWARD.
20101201140234.750|20101201140236.000|CCO|THIS MORNING, WE EXPECT THERE 
20101201140236.000|20101201140237.250|CCO|WILL BE A MEETING THAT WILL KICK
20101201140237.250|20101201140238.500|CCO|THIS OFF.
20101201140238.500|20101201140239.750|CCO|WE EXPECT TO GET SOME PICTURES 
20101201140239.750|20101201140241.000|CCO|OF THAT, BUT NO QUESTIONS.
20101201140241.000|20101201140242.250|CCO|AS YOU SAW YESTERDAY, THE WHITE 
20101201140242.250|20101201140243.500|CCO|HOUSE RELEASED PHOTOS THAT THEY 
20101201140243.500|20101201140244.750|CCO|TOOK.
20101201140244.750|20101201140246.000|CCO|THEY DID NOT ALLOW NEWS COVERAGE
20101201140246.000|20101201140247.250|CCO|YESTERDAY INSIDE THAT MEETING.
20101201140247.250|20101201140248.500|CCO|SO WE'LL GET A LITTLE BIT 
20101201140248.500|20101201140249.750|CCO|FURTHER TODAY BY BEING ABLE TO 
20101201140249.750|20101201140251.000|CCO|ACTUALLY BE IN THE ROOM.
20101201140251.000|20101201140252.429|CCO|AND SOME OF THIS NEGOTIATION 
20101201140252.429|20101201140253.857|CCO|WILL, OF COURSE, CENTER ON HOW 
20101201140253.857|20101201140255.286|CCO|CAN THEY FIGURE OUT, PERHAPS A 
20101201140255.286|20101201140256.714|CCO|THRESHOLD OF WHERE THOSE TAX 
20101201140256.714|20101201140258.143|CCO|CUTS WOULD BE CUT OFF.
20101201140258.143|20101201140259.571|CCO|THAT'S WHAT DEMOCRATS WOULD LIKE
20101201140259.571|20101201140301.000|CCO|TO SEE.
20101201140301.000|20101201140302.250|CCO|THE PRESIDENT SAYS $250,000 OF 
20101201140302.250|20101201140303.500|CCO|INCOME AND ABOVE SHOULD HAVE 
20101201140303.500|20101201140304.750|CCO|THEIR TAX CUTS SUNSETED.
20101201140304.750|20101201140306.000|CCO|AND OF COURSE, REPUBLICANS ARE 
20101201140306.000|20101201140307.250|CCO|SAYING, DON'T RAISE ANYONE'S 
20101201140307.250|20101201140308.500|CCO|TAXES IN THIS KIND OF 
20101201140308.500|20101201140309.750|CCO|ENVIRONMENT.
20101201140309.750|20101201140311.000|CCO|AND REPUBLICANS BELIEVE THEY 
20101201140311.000|20101201140312.429|CCO|VE A BIT MORE OF AN ADVANTAGE 
20101201140312.429|20101201140313.857|CCO|COMING OFF THE ELECTION.
20101201140313.857|20101201140315.286|CCO|AND HAVING A BIT MORE 
20101201140315.286|20101201140316.714|CCO|NEGOTIATING POWER FROM THEIR 
20101201140316.714|20101201140318.143|CCO|POINT OF VIEW.
20101201140318.143|20101201140319.571|CCO|SAVANNAH, CHUCK?
20101201140319.571|20101201140321.000|CCO|>> WELL, KELLY, WE TALKED ABOUT 
20101201140321.000|20101201140323.500|CCO|HOW THE TONE, AT LEAST, SEEMED 
20101201140323.500|20101201140326.000|CCO|TO IMPROVE YESTERDAY, BUT LET'S 
20101201140326.000|20101201140328.500|CCO|PLAY A LITTLE BIT OF SOUND FROM 
20101201140328.500|20101201140331.000|CCO|SENATOR MICHAEL BENNET, CAUGHT 
20101201140331.000|20101201140332.429|CCO|AN AN OPEN MIC ON THE WELL OF 
20101201140332.429|20101201140333.857|CCO|THE SENATE AND HERE'S WHAT HE 
20101201140333.857|20101201140335.286|CCO|HAD TO SAY ABOUT THIS.
20101201140335.286|20101201140336.714|CCO|>> IT'S ALL RIGGED.
20101201140336.714|20101201140338.143|CCO|I MEAN, THE WHOLE CONVERSATION 
20101201140338.143|20101201140339.571|CCO|IS RIGGED.
20101201140339.571|20101201140341.000|CCO|THE FACT THAT WE DON'T GET TO 
20101201140341.000|20101201140342.429|CCO|DISCUSS BEFORE THE BREAK ABOUT 
20101201140342.429|20101201140343.857|CCO|WHAT WE'RE GOING TO DO IN THE 
20101201140343.857|20101201140345.286|CCO|LAME DUCK IS JUST RIGGED.
20101201140345.286|20101201140346.714|CCO|>> SO, KELLY -- 
20101201140346.714|20101201140348.143|CCO|>> THAT IS SO UNUSUAL.
20101201140348.143|20101201140349.571|CCO|>> WELL, TELL US ABOUT HOW IT'S 
20101201140349.571|20101201140351.000|CCO|UNUSUAL.
20101201140351.000|20101201140352.000|CCO|HE THINKS THIS WHOLE THING IS 
20101201140352.000|20101201140353.000|CCO|RIGGED.
20101201140353.000|20101201140354.000|CCO|WHAT DO YOU THINK HE MEANS BY 
20101201140354.000|20101201140355.000|CCO|THAT?
20101201140355.000|20101201140356.000|CCO|>> Reporter: WELL, I TALKED TO 
20101201140356.000|20101201140357.000|CCO|AIDES TO SENATOR BENNETT ABOUT 
20101201140357.000|20101201140358.000|CCO|THIS, BECAUSE HIS VOICE IS VERY 
20101201140358.000|20101201140359.000|CCO|RECOGNIZABLE, BUT IT WAS NO 
20101201140359.000|20101201140400.000|CCO|SECRET HE WAS THE ONE PRESIDING 
20101201140400.000|20101201140401.000|CCO|THERE.
20101201140401.000|20101201140402.667|CCO|SO WHEN THE MICROPHONE WAS LEFT 
20101201140402.667|20101201140404.333|CCO|ON, IT IS USUALLY NOT ON WHEN 
20101201140404.333|20101201140406.000|CCO|MEMBERS ARE VOTING, SO HE HAD 
20101201140406.000|20101201140407.667|CCO|THE SENSE OF BELIEVING HE WAS 
20101201140407.667|20101201140409.333|CCO|NOT BEING HEARD, TALKING ABOUT 
20101201140409.333|20101201140411.000|CCO|THE SYSTEM BEING RIGGED.
20101201140411.000|20101201140412.429|CCO|FRUSTRATION ON HIS PART THAT HE 
20101201140412.429|20101201140413.857|CCO|AND OTHER DEMOCRATS COULD NOT 
20101201140413.857|20101201140415.286|CCO|TALK ABOUT WHAT ISSUES SHOULD BE
20101201140415.286|20101201140416.714|CCO|VOTED ON DURING THE LAME-DUCK 
20101201140416.714|20101201140418.143|CCO|CONGRESS, THESE REMAINING WEEKS 
20101201140418.143|20101201140419.571|CCO|THAT ARE LEFT.
20101201140419.571|20101201140421.000|CCO|REMEMBER, BENNETT JUST CAME OFF 
20101201140421.000|20101201140422.429|CCO|A FIERCE RE-ELECTION BATTLE.
20101201140422.429|20101201140423.857|CCO|ACTUALLY, IT WAS HIS FIRST TIME 
20101201140423.857|20101201140425.286|CCO|BEING ELECTED.
20101201140425.286|20101201140426.714|CCO|HE'D BEEN APPOINTED TO THIS 
20101201140426.714|20101201140428.143|CCO|SEAT, NARROWLY BEAT A REPUBLICAN
20101201140428.143|20101201140429.571|CCO|AT HOME IN COLORADO.
20101201140429.571|20101201140431.000|CCO|HIS AIDES SAY HE WAS TALKING 
20101201140431.000|20101201140432.429|CCO|ABOUT THE SYSTEM, NOT 
20101201140432.429|20101201140433.857|CCO|SPECIFICALLY DEMOCRATIC 
20101201140433.857|20101201140435.286|CCO|LEADERSHIP.
20101201140435.286|20101201140436.714|CCO|BUT HE USED A VERY STINGING 
20101201140436.714|20101201140438.143|CCO|WORD, REPEATEDLY SAYING, "THIS 
20101201140438.143|20101201140439.571|CCO|IS RIGGED," EXPRESSING HIS 
20101201140439.571|20101201140441.000|CCO|FRUSTRATION THAT THE THINGS HE 
20101201140441.000|20101201140442.429|CCO|MIGHT WANT TO TALK ABOUT, TAX 
20101201140442.429|20101201140443.857|CCO|CUTS, UNEMPLOYMENT, THOSE THINGS
20101201140443.857|20101201140445.286|CCO|ARE NOT YET BEING DEALT WITH BY 
20101201140445.286|20101201140446.714|CCO|THE SENATE.
20101201140446.714|20101201140448.143|CCO|THERE, THEY WERE VOTING ON FOOD 
20101201140448.143|20101201140449.571|CCO|SAFETY YESTERDAY WHEN HE WAS 
20101201140449.571|20101201140451.000|CCO|CAUGHT ON THAT OPEN MIC.
20101201140451.000|20101201140453.000|CCO|>> ALL RIGHT, KELLY O'DONNELL IN
20101201140453.000|20101201140455.000|CCO|CAPITOL HILL FOR US, WITH A 
20101201140455.000|20101201140457.000|CCO|REMINDER OF THE MICHAEL KINGSLEY
20101201140457.000|20101201140459.000|CCO|RULE OF GAFFE, A GAFFE IN 
20101201140459.000|20101201140501.000|CCO|WASHINGTON IS WHEN SOMEBODY 
20101201140501.000|20101201140503.000|CCO|ACCIDENTALLY SPEAKS THE TRUTH.
20101201140503.000|20101201140505.000|CCO|MICHAEL BENNET, MORE RIGHT THAN 
20101201140505.000|20101201140507.000|CCO|FOLKS REALIZE.
20101201140507.000|20101201140509.000|CCO|ANYWAY, KELLY O'DONNELL, THANKS 
20101201140509.000|20101201140511.000|CCO|VERY MUCH.
20101201140511.000|20101201140633.857|SEG|Type=Story
