TOP|20101201170002|2010-12-01_1700_US_FOX-News_Fox_Online
COL|Communication Studies Archive, UCLA 
UID|703c265a-fd6c-11df-9b48-00e0815fe826
DUR|0:59:54.03
VID|640x480
CMT|
LAN|ENG
LBT|2010-12-01 09:00 America/Los_Angeles
SEG_01|2014-06-18 17:28:33|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101201170004.500|20101201175956.000|SEG|Type=Story
20101201170004.500|20101201175956.000|SEG_01|Type=Commercial
20101201170004.500|20101201170005.125|CCO| DISPLAY AT THE SMITHSONIAN
20101201170005.125|20101201170005.750|CCO|
20101201170005.750|20101201170006.375|CCO|
20101201170006.375|20101201170007.000|CCO|FUNDED BY YOUR TAX DOLLARS.
20101201170007.000|20101201170007.625|CCO|
20101201170007.625|20101201170008.250|CCO|
20101201170008.250|20101201170008.875|CCO|THE LATEST TWIST IN THE
20101201170008.875|20101201170009.500|CCO|
20101201170009.500|20101201170010.125|CCO|
20101201170010.125|20101201170010.750|CCO|CONTROVERSY, THAT'S COMING UP.
20101201170010.750|20101201170011.375|CCO|
20101201170011.375|20101201170012.000|CCO|
20101201170012.000|20101201170012.556|CCO|JON: NEW WAYS TO CUT THE BUDGET.
20101201170012.556|20101201170013.111|CCO|
20101201170013.111|20101201170013.667|CCO|
20101201170013.667|20101201170014.222|CCO|WHERE TO BEGIN, WILLIAM.
20101201170014.222|20101201170014.778|CCO|
20101201170014.778|20101201170015.333|CCO|
20101201170015.333|20101201170015.889|CCO|>> Reporter: A REPORT FROM
20101201170015.889|20101201170016.444|CCO|
20101201170016.444|20101201170017.000|CCO|
20101201170017.000|20101201170017.556|CCO|FEDERAL AUDITORS SHOWING UP TO
20101201170017.556|20101201170018.111|CCO|
20101201170018.111|20101201170018.667|CCO|
20101201170018.667|20101201170019.222|CCO|25% OF ALL GOVERNMENT PROGRAMS
20101201170019.222|20101201170019.778|CCO|
20101201170019.778|20101201170020.333|CCO|
20101201170020.333|20101201170020.889|CCO|DEMONSTRATE NO EVIDENCE OF
20101201170020.889|20101201170021.444|CCO|
20101201170021.444|20101201170022.000|CCO|
20101201170022.000|20101201170022.556|CCO|SUCCESS, IN OTHER WORDS THEY
20101201170022.556|20101201170023.111|CCO|
20101201170023.111|20101201170023.667|CCO|
20101201170023.667|20101201170024.222|CCO|DON'T WORK, JON, WE'LL SHOW YOU
20101201170024.222|20101201170024.778|CCO|
20101201170024.778|20101201170025.333|CCO|
20101201170025.333|20101201170025.889|CCO|SOME OF THE PROGRAMS THAT FAIL.
20101201170025.889|20101201170026.444|CCO|
20101201170026.444|20101201170027.000|CCO|
20101201170027.000|20101201170027.556|CCO|JON: AND ELECTRIC CARS COMING TO
20101201170027.556|20101201170028.111|CCO|
20101201170028.111|20101201170028.667|CCO|
20101201170028.667|20101201170029.222|CCO|A TOWN NEAR YOU, BUT ARE WE
20101201170029.222|20101201170029.778|CCO|
20101201170029.778|20101201170030.333|CCO|
20101201170030.333|20101201170030.889|CCO|PUTTING THE CART BEFORE THE
20101201170030.889|20101201170031.444|CCO|
20101201170031.444|20101201170032.000|CCO|
20101201170032.000|20101201170032.476|CCO|HORSE, PHIL?
20101201170032.476|20101201170032.952|CCO|
20101201170032.952|20101201170033.429|CCO|
20101201170033.429|20101201170033.905|CCO|>> Reporter: JON, MORE AND MORE
20101201170033.905|20101201170034.381|CCO|
20101201170034.381|20101201170034.857|CCO|
20101201170034.857|20101201170035.333|CCO|OF THESE SIGNS ARE GOING UP IN
20101201170035.333|20101201170035.810|CCO|
20101201170035.810|20101201170036.286|CCO|
20101201170036.286|20101201170036.762|CCO|PARKING GARAGES AROUND THE
20101201170036.762|20101201170037.238|CCO|
20101201170037.238|20101201170037.714|CCO|
