TOP|20101201220002|2010-12-01_2200_US_CNN_Situation_Room
COL|Communication Studies Archive, UCLA 
UID|58eab8ac-fd96-11df-ae78-00e0815fe826
DUR|0:59:54.03
VID|640x480
CMT|
TPF|transcripts.cnn.com|sitroom.01.html
HED|Protecting Secrets; Department of Justice Won't File Charges Against Ensign; GOP Accused of Holding Senate Hostage
LAN|ENG
LBT|2010-12-01 14:00 America/Los_Angeles
SEG_01|2014-06-18 17:29:18|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101201220006.000|20101201220015.333|SEG|Type=Story
20101201220006.000|20101201220007.000|CCO|THER 
20101201220007.000|20101201220008.000|CCO|OR NOT THE SENATE IS GOING 
20101201220008.000|20101201220009.000|CCO|RATIFY THIS TREATY WITH RUSSIA.
20101201220009.000|20101201220010.000|CCO|IT'S HIGH ON THE PRESIDENT'S 
20101201220010.000|20101201220011.000|CCO|AGENDA.
20101201220011.000|20101201220012.000|CCO|LET'S GO TO WOLF BLITZER IN THE 
20101201220012.000|20101201220013.667|CCO|"SITUATION ROOM."
20101201220013.667|20101201220015.333|CCO|WOLF.
20101201220015.333|20101201221202.000|SEG|Type=Story
20101201220015.333|20101201220017.000|CCO|>>> DREW, THANKS VERY MUCH.
20101201220017.000|20101201220018.667|CCO|HAPPENING NOW, OBAMA 
20101201220018.667|20101201220020.333|CCO|ADMINISTRATION TRYING TO GO TO A
20101201220020.333|20101201220022.000|CCO|NEW LENGTH OF TRYING TO PUNISH 
20101201220022.000|20101201220024.500|CCO|THE FOUNDER OF WIKILEAKS AND 
20101201220024.500|20101201220027.000|CCO|PUNISH THEM FOR PUTTING OUT MORE
20101201220027.000|20101201220029.500|CCO|SECRETS.
20101201220029.500|20101201220032.000|CCO|ALSO, REPUBLICANS ACCUSED OF 
20101201220032.000|20101201220034.000|CCO|HOLDING THE SENATE HOSTAGE.
20101201220034.000|20101201220036.000|CCO|THEY ARE DEMANDING ACTION ON 
20101201220036.000|20101201220038.000|CCO|IMPORTANT MONEY MATTERS OR ELSE.
20101201220038.000|20101201220040.000|CCO|AND AMERICA'S DEBT CLOCK IS 
20101201220040.000|20101201220042.000|CCO|TICKING RIGHT NOW BUT A NEW PLAN
20101201220042.000|20101201220043.667|CCO|TO SLASH SPENDING MAY BE DEAD ON
20101201220043.667|20101201220045.333|CCO|ARRIVAL.
20101201220045.333|20101201220047.000|CCO|I'LL ASK THE CHAIRMAN OF THE 
20101201220047.000|20101201220048.667|CCO|PRESIDENT'S DEBT COMMISSION WHAT
20101201220048.667|20101201220050.333|CCO|WENT WRONG.
20101201220050.333|20101201220052.000|CCO|I'M WOLF BLITZER, YOU'RE IN THE 
20101201220052.000|20101201220102.000|CCO|"SITUATION ROOM."
20101201220102.000|20101201220105.333|CCO|>> UP NEXT.
20101201220105.333|20101201220108.667|CCO|TLEAKS OF DIPLOMATIC 
20101201220108.667|20101201220112.000|CCO|SECRETS.
20101201220112.000|20101201220113.667|CCO|TAKING THE LEAKS MORE SERIOUS 
20101201220113.667|20101201220115.333|CCO|THAN EVER.
20101201220115.333|20101201220117.000|CCO|WHITE HOUSE UNDER ENORMOUS 
20101201220117.000|20101201220118.667|CCO|PRESSURE TO CRACK DOWN ON THE 
20101201220118.667|20101201220120.333|CCO|WHISTLE-BLOWER WEBSITE THAT'S 
20101201220120.333|20101201220122.000|CCO|BEEN WORKING FOR MONTHS AND 
20101201220122.000|20101201220123.429|CCO|MONTHS AND MONTHS TO EXPOSE 
20101201220123.429|20101201220124.857|CCO|CLASSIFIED INFORMATION.
20101201220124.857|20101201220126.286|CCO|LET GO STRAIGHT TO THE WHITE 
20101201220126.286|20101201220127.714|CCO|HOUSE CORRESPONDENT DAN LOTHIAN 
20101201220127.714|20101201220129.143|CCO|WORKING THE STORY FOR US.
20101201220129.143|20101201220130.571|CCO|WHITE HOUSE NAMED SOMEONE TO 
20101201220130.571|20101201220132.000|CCO|TAKE CHARGE OF DEALING WITH 
20101201220132.000|20101201220133.667|CCO|THESE SECURITY BREAKDOWNS.
20101201220133.667|20101201220135.333|CCO|WHY NOW?
20101201220135.333|20101201220137.000|CCO|WHY DID IT TAKE SO LONG TO COME 
20101201220137.000|20101201220138.667|CCO|TO THE REALIZATION THAT THEY'VE 
20101201220138.667|20101201220140.333|CCO|GOT AN ENORMOUS PROBLEM?
20101201220140.333|20101201220142.000|CCO|>> WOLF, FIRST OF ALL, THE 
20101201220142.000|20101201220145.333|CCO|PERSON NAMED -- HIS NAME IS 
20101201220145.333|20101201220148.667|CCO|RUSSELL TRAVERS, HIS JOB WILL BE
20101201220148.667|20101201220152.000|CCO|TO FIGURE OUT, INVESTIGATE THESE
20101201220152.000|20101201220153.429|CCO|GAPS THAT LED TO THE LEAK OF 
20101201220153.429|20101201220154.857|CCO|THIS CLASSIFIED INFORMATION.
20101201220154.857|20101201220156.286|CCO|HE'LL BE WORKING VERY CLOSELY 
20101201220156.286|20101201220157.714|CCO|WITH THE NATIONAL SECURITY 
20101201220157.714|20101201220159.143|CCO|COUNCIL TO COME UP WITH REFORMS 
20101201220159.143|20101201220200.571|CCO|TO TRY TO MAKE SURE SOMETHING 
20101201220200.571|20101201220202.000|CCO|LIKE THIS DOES NOT HAPPEN AGAIN.
20101201220202.000|20101201220203.429|CCO|IN ADDITION TO THAT, THE 
20101201220203.429|20101201220204.857|CCO|PRESIDENT'S INTELLIGENCE 
20101201220204.857|20101201220206.286|CCO|ADVISORY BOARD WILL ALSO BE 
20101201220206.286|20101201220207.714|CCO|LOOKING OVERALL AT THE EXECUTIVE
20101201220207.714|20101201220209.143|CCO|BRANCH TO SEE HOW THIS 
20101201220209.143|20101201220210.571|CCO|CLASSIFIED SENSITIVE INFORMATION
20101201220210.571|20101201220212.000|CCO|IS HANDLED.
20101201220212.000|20101201220214.000|CCO|ONE OF THE BIG QUESTIONS THAT 
20101201220214.000|20101201220216.000|CCO|WAS ASKED OF THE WHITE HOUSE 
20101201220216.000|20101201220218.000|CCO|TODAY IS WHY HAVE THEY WAITED SO
20101201220218.000|20101201220220.000|CCO|LONG FOR THIS BIG PUSH, HAVING 
20101201220220.000|20101201220222.000|CCO|KNOWN ABOUT THE WIKILEAKS 
20101201220222.000|20101201220224.500|CCO|SCANDAL FOR SO MANY MONTHS.
20101201220224.500|20101201220227.000|CCO|HERE'S WHAT SPOKESMAN ROBERT 
20101201220227.000|20101201220229.500|CCO|GIBBS HAD TO SAY ABOUT THAT.
20101201220229.500|20101201220232.000|CCO|I DON'T THINK IT'S ACCURATE TO 
20101201220232.000|20101201220234.500|CCO|SAY WE SOMEHOW READ THE PAPER 
20101201220234.500|20101201220237.000|CCO|OVER THE WEEKEND AND STARTED TO 
20101201220237.000|20101201220239.500|CCO|DO THIS.
20101201220239.500|20101201220242.000|CCO|THIS IS AN ONGOING EFFORT TO, AS
20101201220242.000|20101201220244.000|CCO|WE TALKED ABOUT MONDAY, TO BE 
20101201220244.000|20101201220246.000|CCO|SURE WE HAVE THE TYPE OF 
20101201220246.000|20101201220248.000|CCO|INFORMATION SHARING THAT WE 
20101201220248.000|20101201220250.000|CCO|UNDERSTAND IS IMPORTANT. 
20101201220250.000|20101201220252.000|CCO|>> NOW, THE DEPARTMENT OF 
20101201220252.000|20101201220253.667|CCO|DEFENSE, JUSTICE, ALSO THE STATE
20101201220253.667|20101201220255.333|CCO|DEPARTMENT, THEY'VE HAD REVIEW, 
20101201220255.333|20101201220257.000|CCO|ALSO CONDUCTING INVESTIGATIONS 
20101201220257.000|20101201220258.667|CCO|TO GET TO THE BOTTOM OF THIS.
20101201220258.667|20101201220300.333|CCO|WHITE HOUSE OFFICIALS AND OTHER 
20101201220300.333|20101201220302.000|CCO|OFFICIALS HAVE BEEN UNWILLING TO
20101201220302.000|20101201220304.500|CCO|EVEN CONFIRM SOME DETAILS THAT 
20101201220304.500|20101201220307.000|CCO|HAVE BEEN OUT THERE IN THESE 
20101201220307.000|20101201220309.500|CCO|DOCUMENTS.
20101201220309.500|20101201220312.000|CCO|THEY WILL SAY WHAT'S HAPPENING 
20101201220312.000|20101201220314.000|CCO|TODAY THEY WILL SAY SOMETHING 
20101201220314.000|20101201220316.000|CCO|ISN'T HAPPENING AGAIN, WOLF. 
20101201220316.000|20101201220318.000|CCO|>> DO YOU GET A SENSE TOP 
20101201220318.000|20101201220320.000|CCO|OFFICIALS ARE EMBARRASSED BY 
20101201220320.000|20101201220322.000|CCO|WHAT'S GOING ON?
20101201220322.000|20101201220323.429|CCO|>> THERE'S AN EMBARRASSMENT 
20101201220323.429|20101201220324.857|CCO|FACTOR, BASED ON INFORMATION OUT
20101201220324.857|20101201220326.286|CCO|THERE.
20101201220326.286|20101201220327.714|CCO|THERE ARE A LOT OF PRIVATE 
20101201220327.714|20101201220329.143|CCO|CONVERSATIONS THAT ARE HAD THAT 
