TOP|20101201233001|2010-12-01_2330_US_KCAL_Inside_Edition
COL|Communication Studies Archive, UCLA 
UID|eb06e362-fda2-11df-943c-00e0815ffae2
DUR|0:29:55.02
VID|640x480
CMT|
LAN|ENG
LBT|2010-12-01 15:30 America/Los_Angeles
SEG_01|2014-06-18 17:29:43|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101201233006.000|20101201233009.750|SEG|Type=Story
20101201233006.000|20101201233007.250|CCO|>>> AND CHRISTMAS SECURITY
20101201233007.250|20101201233008.500|CCO|CRACKDOWN.
20101201233008.500|20101201233009.750|CCO|>> JACKETS, BAGS OPEN.
20101201233009.750|20101201233013.000|SEG|Type=Story
20101201233009.750|20101201233011.000|CCO|>>> WAS SUSAN BOYLE ABLE TO HIT
20101201233011.000|20101201233013.000|CCO|THE HIGH NOTES?
20101201233013.000|20101201233037.667|SEG|Type=Story
20101201233013.000|20101201233015.000|CCO|>>> THEN MELTDOWN AT THE MALL. 
20101201233015.000|20101201233017.000|CCO|SHOPPERS FREAKING OUT AT STORES 
20101201233017.000|20101201233019.000|CCO|ACROSS THE COUNTRY. 
20101201233019.000|20101201233021.000|CCO|. 
20101201233021.000|20101201233022.250|CCO|>> WE ARE SEEING MORE AND MORE 
20101201233022.250|20101201233023.500|CCO|OF THIS. 
20101201233023.500|20101201233024.750|CCO|>> PLUS, THE HONEYMOON KILLER 
20101201233024.750|20101201233026.000|CCO|COMES HOME. 
20101201233026.000|20101201233027.250|CCO|HIS BRIDE DROWN SCUBA DIVING ON
20101201233027.250|20101201233028.500|CCO|THEIR HONEYMOON.
20101201233028.500|20101201233029.750|CCO|THE EXTRAORDINARY MOMENT WHEN HE
20101201233029.750|20101201233031.000|CCO|WAS CAUGHT REMOVING FLOWERS FROM
20101201233031.000|20101201233032.667|CCO|HER GRAVE.
20101201233032.667|20101201233034.333|CCO|THIS. 
20101201233034.333|20101201233036.000|CCO|IS THE GRAVE AFTER HE MESSED 
20101201233036.000|20101201233037.667|CCO|WITH IT. 
20101201233037.667|20101201233047.000|SEG|Type=Story
20101201233037.667|20101201233039.333|CCO|>>> AND KATE GOSSELIN SPEAKS
20101201233039.333|20101201233041.000|CCO|OUT.
20101201233041.000|20101201233043.000|CCO|>> THAT IS FALSE. 
20101201233043.000|20101201233045.000|CCO|THEY WERE NOT EXPELLED FROM 
20101201233045.000|20101201233047.000|CCO|SCHOOL. 
20101201233047.000|20101201233056.000|SEG|Type=Story
20101201233047.000|20101201233049.000|CCO|>>> PLUS, A LITTLE BOY HORRIBLY
20101201233049.000|20101201233051.000|CCO|DISFIGURED.
20101201233051.000|20101201233053.500|CCO|IN THE OPERATING ROOM FOR HIS
20101201233053.500|20101201233056.000|CCO|DRAMATIC TRANSFORMATION. 
20101201233056.000|20101201233102.667|SEG|Type=Story
20101201233056.000|20101201233058.500|CCO|>>> HELLO AND THANKS FOR JOINING
20101201233058.500|20101201233101.000|CCO|US, I'M DIANE McINERNEY IN FOR
20101201233101.000|20101201233102.667|CCO|DEBORAH NORVILLE.
20101201233102.667|20101201233243.500|SEG|Type=Story
20101201233102.667|20101201233104.333|CCO|>>> A SHOCKING AUDIOTAPE AND A
20101201233104.333|20101201233106.000|CCO|PHOTO OF BRITNEY SPEARS WITH
20101201233106.000|20101201233107.667|CCO|WHAT APPEARS TO BE A BLACK EYE.
20101201233107.667|20101201233109.333|CCO|IT'S THE LATEST TRAUMA FOR THE 
20101201233109.333|20101201233111.000|CCO|POP STAR. 
20101201233111.000|20101201233113.500|CCO|THE TAPE REPORTEDLY IS THE 
20101201233113.500|20101201233116.000|CCO|VOICE OF BRIGHT -- BRITNEY 
20101201233116.000|20101201233118.500|CCO|SAYING SHE WAS BEATEN BY HER 
20101201233118.500|20101201233121.000|CCO|BOYFRIEND. 
20101201233121.000|20101201233122.667|CCO|>> BEFORE OR AFTER HE BEAT ON 
20101201233122.667|20101201233124.333|CCO|ME. 
20101201233124.333|20101201233126.000|CCO|>> THE BOMBSHELL ALLEGATION 
20101201233126.000|20101201233127.667|CCO|FROM BRITNEY SPEARS. 
20101201233127.667|20101201233129.333|CCO|SHE SAID SHE WAS BEATEN BY HER 
20101201233129.333|20101201233131.000|CCO|BOYFRIEND. 
20101201233131.000|20101201233132.667|CCO|>> MY DAD DOES NOT WANT HIM 
20101201233132.667|20101201233134.333|CCO|AROUND ME. 
20101201233134.333|20101201233136.000|CCO|MY DAD HAS A SHOTGUN WAITING TO 
20101201233136.000|20101201233137.667|CCO|USE IT. 
20101201233137.667|20101201233139.333|CCO|>> RADAR ONLINE POSTED WHAT IT 
20101201233139.333|20101201233141.000|CCO|SAID IS A PHONE CALL BETWEEN 
20101201233141.000|20101201233143.000|CCO|BRITNEY AND HER EX-HUSBAND, 
20101201233143.000|20101201233145.000|CCO|JASON ALEXANDER WHO SHE MARRIED 
20101201233145.000|20101201233147.000|CCO|IN 2004. 
20101201233147.000|20101201233149.000|CCO|IT LASTED 55 HOURS BUT THEY 
20101201233149.000|20101201233151.000|CCO|REMAIN FRIENDS. 
20101201233151.000|20101201233152.429|CCO|>> HOW IS YOUR PROBLEMS WITH 
20101201233152.429|20101201233153.857|CCO|YOUR FIANCE. 
20101201233153.857|20101201233155.286|CCO|>> HE'S NOT MY FIANCE. 
20101201233155.286|20101201233156.714|CCO|>> I THOUGHT HE PROPOSED TO YOU 
20101201233156.714|20101201233158.143|CCO|AT THE BEACH. 
20101201233158.143|20101201233159.571|CCO|>> BEFORE OR AFTER HE BEAT ON 
20101201233159.571|20101201233201.000|CCO|ME. 
20101201233201.000|20101201233204.333|CCO|>> I DIDN'T KNOW HE PROPOSED. 
20101201233204.333|20101201233207.667|CCO|MY MOM TOLD ME BRIGHT BRITNEY 
20101201233207.667|20101201233211.000|CCO|IS ENGAGED. 
20101201233211.000|20101201233213.000|CCO|THIS WAS AFTER YOU TOLD ME 
20101201233213.000|20101201233215.000|CCO|ABOUT HIM BLACKING YOUR EYE. 
20101201233215.000|20101201233217.000|CCO|>> IT IS TRUE THAT HE DID THAT 
20101201233217.000|20101201233219.000|CCO|BUT IT'S NOT TRUE THAT I 
20101201233219.000|20101201233221.000|CCO|ACCEPTED IT AND RIGHT NOW WE 
20101201233221.000|20101201233223.500|CCO|ARE NOT TOGETH. 
20101201233223.500|20101201233226.000|CCO|>> EVEN SO YOU, TRAWICK WAS 
20101201233226.000|20101201233228.500|CCO|SEEN WITH BRITNEY AND HER TWO 
20101201233228.500|20101201233231.000|CCO|BOYS EARLIER THIS WEEK. 
20101201233231.000|20101201233233.000|CCO|THIS IS THE SHOCKING HEADLINE 
20101201233233.000|20101201233235.000|CCO|ON STAR MAGAZINE. 
20101201233235.000|20101201233237.000|CCO|THIS PHOTO OF BRITTNEY WITH 
20101201233237.000|20101201233239.000|CCO|WHAT IT CALLS SUSPICIOUS MARKS 
20101201233239.000|20101201233241.000|CCO|COULD BE EVIDENCE OF A PHYSICAL 
20101201233241.000|20101201233243.500|CCO|ALTERCATION. 
20101201233243.500|20101201233251.000|SEG|Type=Story
20101201233243.500|20101201233246.000|CCO|>>> REPS FOR BRITNEY AND JASON
20101201233246.000|20101201233248.500|CCO|DENY THE STORY IN STAR MAGAZINE
20101201233248.500|20101201233251.000|CCO|IS TRUE.
20101201233251.000|20101201233442.667|SEG|Type=Story
20101201233251.000|20101201233253.000|CCO|>>> YESTERDAY WE TOLD YOU ABOUT 
20101201233253.000|20101201233255.000|CCO|SUSAN BOYLE STOPPING WHILE 
20101201233255.000|20101201233257.000|CCO|SINGING. 
20101201233257.000|20101201233259.000|CCO|THERE WAS PLENTY OF DRAMA ON 
20101201233259.000|20101201233301.000|CCO|STAGE AND OFF. 
20101201233301.000|20101201233303.500|CCO|SECURITY WAS BEEFED UP FOR THE 
20101201233303.500|20101201233306.000|CCO|EVENT BECAUSE OF THAT FOILED 
20101201233306.000|20101201233308.500|CCO|BOMB PLOT IN PORTLAND. 
20101201233308.500|20101201233311.000|CCO|LES TRENT HAS DETAILS. 
20101201233311.000|20101201233312.667|CCO|>> A SPECTACULAR SHOW AT THE 
20101201233312.667|20101201233314.333|CCO|ROCKEFELLER CHRISTMAS TREE IS 
20101201233314.333|20101201233316.000|CCO|LIT. 
20101201233316.000|20101201233317.667|CCO|THOUSANDS GATHERED TO WATCH THE 
20101201233317.667|20101201233319.333|CCO|SPECTACLE. 
20101201233319.333|20101201233321.000|CCO|WHAT YOU DIDN'T SEE ON THE 
20101201233321.000|20101201233322.667|CCO|BROADCAST WAS THE INTENSE 
20101201233322.667|20101201233324.333|CCO|SECURITY. 
20101201233324.333|20101201233326.000|CCO|>> HAVE YOUR JACKETS AND BAGS 
20101201233326.000|20101201233327.667|CCO|OPEN. 
20101201233327.667|20101201233329.333|CCO|>> EVERY BAG, PURSE AND JACKET 
20101201233329.333|20101201233331.000|CCO|WAS SEARCHED. 
20101201233331.000|20101201233332.250|CCO|>> THIS YEAR THEY HAD US OPEN 
20101201233332.250|20101201233333.500|CCO|THE JACKETS, BAGS, CHECK 
20101201233333.500|20101201233334.750|CCO|EVERYTHING. 
20101201233334.750|20101201233336.000|CCO|>> THE BEEFED UP SECURITY COMES 
20101201233336.000|20101201233337.250|CCO|IN THE WAKE OF THAT TERRORIST 
20101201233337.250|20101201233338.500|CCO|PLOT AT THE TREE LIGHTING 
20101201233338.500|20101201233339.750|CCO|CEREMONY IN PORTLAND WHERE 
20101201233339.750|20101201233341.000|CCO|AUTHORITIES SAY A TEENAGER 
20101201233341.000|20101201233343.000|CCO|TRIED TO DETONATE WHAT HE 
20101201233343.000|20101201233345.000|CCO|THOUGHT WAS A CAR BOMB. 
20101201233345.000|20101201233347.000|CCO|AT ROCKEFELLER CENTER, COPS 
20101201233347.000|20101201233349.000|CCO|WERE TAKING NO CHANCES. 
20101201233349.000|20101201233351.000|CCO|WE SPOTTED BOMB SNIFFING DOGS 
20101201233351.000|20101201233353.500|CCO|AND AN ARMY OF POLICE OFFICERS. 
20101201233353.500|20101201233356.000|CCO|THERE WAS DRAMA ON STAGE, TOO, 
20101201233356.000|20101201233358.500|CCO|WITH SUSAN BOYLE HITTING THE 
20101201233358.500|20101201233401.000|CCO|HIGH NOTES AFTER STOPPING THE 
20101201233401.000|20101201233403.500|CCO|MUSIC DURING HER APPEARANCE 
20101201233403.500|20101201233406.000|CCO|TUESDAY ON THE VIEW. 
20101201233406.000|20101201233408.500|CCO|JUST HOURS AFTER SHE FROZE ON 
20101201233408.500|20101201233411.000|CCO|LIVE TV, SHE APPEARED AT THE 
20101201233411.000|20101201233413.500|CCO|HIGH PROFILE TREE LIGHTING 
20101201233413.500|20101201233416.000|CCO|CEREMONY AND PULLED IT OFF 
20101201233416.000|20101201233418.500|CCO|WITHOUT A HITCH. 
20101201233418.500|20101201233421.000|CCO|>>  [ SINGING ]. 
20101201233421.000|20101201233426.000|CCO|>> THIS IS THE PERFORMANCE 
20101201233426.000|20101201233431.000|CCO|EVERYONE IS TALKING ABOUT. 
20101201233431.000|20101201233434.333|CCO|LITTLE 10-YEAR OLD JACKIE EVAN 
20101201233434.333|20101201233437.667|CCO|COULD FROM "AMERICA'S GOT 
20101201233437.667|20101201233441.000|CCO|TALENT" WOWED THE CROWD WITH 
20101201233441.000|20101201233442.667|CCO|HER BIG VOICE 
20101201233442.667|20101201233554.333|SEG|Type=Story
20101201233442.667|20101201233444.333|CCO|>>> A FORMER AIDE TO SARAH PALIN
20101201233444.333|20101201233446.000|CCO|HAS COME OUT SWINGING AGAINST
20101201233446.000|20101201233447.667|CCO|THE POTENTIAL PRESIDENTIAL
20101201233447.667|20101201233449.333|CCO|CANDIDATE.
20101201233449.333|20101201233451.000|CCO|THE SENIOR ADVISOR UNLEASHED A
20101201233451.000|20101201233452.667|CCO|SCATHING CRITIQUE OF SARAH
20101201233452.667|20101201233454.333|CCO|PALIN.
20101201233454.333|20101201233456.000|CCO|>> BITTER, PRICKLY, CYNICAL.
20101201233456.000|20101201233457.667|CCO|THOSE ARE THE SCATHING WORDS
20101201233457.667|20101201233459.333|CCO|BEING USED TO DESCRIBE SARAH
20101201233459.333|20101201233501.000|CCO|PALIN BY A FORMER TOP AIDE.
20101201233501.000|20101201233504.333|CCO|>> I THINK HER NATURE HAS BEEN
20101201233504.333|20101201233507.667|CCO|REVEALED LATELY AS VERY PRICKLY,
20101201233507.667|20101201233511.000|CCO|VERY CYNICAL.
20101201233511.000|20101201233513.500|CCO|>> NICOLE WALLACE, A SENIOR 
20101201233513.500|20101201233516.000|CCO|ADVISER FOR THE CAMPAIGN 
20101201233516.000|20101201233518.500|CCO|APPEARED ON 
20101201233518.500|20101201233521.000|CCO|MSNBC MORNING JOE AND LASHED OUT
20101201233521.000|20101201233523.500|CCO|AT PALIN.
20101201233523.500|20101201233526.000|CCO|>> HER INCREDIBLE CYNICISM, HER
20101201233526.000|20101201233528.500|CCO|BITTERNESS, AGGRESSIVE ATTEMPTS
20101201233528.500|20101201233531.000|CCO|TO CLAW ANY ONE THAT POINTS OUT
20101201233531.000|20101201233533.500|CCO|AN AREA FOR HER TO WORK ON.
20101201233533.500|20101201233536.000|CCO|WALLACE AND PALIN HAD A 
20101201233536.000|20101201233538.500|CCO|TURBULENT RELATIONSHIP DURING 
20101201233538.500|20101201233541.000|CCO|THE ELECTION AND SHE WAS BLAMED 
20101201233541.000|20101201233542.667|CCO|FOR PALIN'S $150,000 WARDROBE 
20101201233542.667|20101201233544.333|CCO|FIASCO. 
20101201233544.333|20101201233546.000|CCO|>> IF IT LOOKED LIKE SHE WERE 
20101201233546.000|20101201233547.667|CCO|ABOUT TO BECOME THE NOMINEE OR 
20101201233547.667|20101201233549.333|CCO|HEAVEN FORBID THE LEADER OF THE 
20101201233549.333|20101201233551.000|CCO|FREE WORLD, A LOT OF PEOPLE 
20101201233551.000|20101201233552.667|CCO|WOULD STAND UP AND SAY A LOT OF 
20101201233552.667|20101201233554.333|CCO|THINGS. 
20101201233554.333|20101201233737.667|SEG|Type=Story
20101201233554.333|20101201233556.000|CCO|>>> YOU EXPECT THIS KIND OF 
20101201233556.000|20101201233557.667|CCO|BEHAVIOR IN A BOXING RING BUT A 
20101201233557.667|20101201233559.333|CCO|MALL? 
20101201233559.333|20101201233601.000|CCO|SCORES OF HOLLYWOOD SHOPPERS 
20101201233601.000|20101201233603.500|CCO|ARE CAPTURED ON VIDEO FLIPPING 
20101201233603.500|20101201233606.000|CCO|OUT, ENGAGING IN BRAWLS AND 
20101201233606.000|20101201233608.500|CCO|REPLACING THE HOLIDAY SPIRIT 
20101201233608.500|20101201233611.000|CCO|WITH RAGE. 
20101201233611.000|20101201233612.429|CCO|>> AMAZING MELTDOWN IN A 
20101201233612.429|20101201233613.857|CCO|DEPARTMENT STORE CAUGHT ON 
20101201233613.857|20101201233615.286|CCO|VIDEO. 
20101201233615.286|20101201233616.714|CCO|THIS WOMAN LOST IT IN THE CHECK 
20101201233616.714|20101201233618.143|CCO|OUTLINE AND HAD TO BE 
20101201233618.143|20101201233619.571|CCO|RESTRAINED BY STORE PERSONNEL. 
20101201233619.571|20101201233621.000|CCO|>> GET OUT OF THE WAY. 
20101201233621.000|20101201233622.667|CCO|>> YOU ARE PSYCHO. 
20101201233622.667|20101201233624.333|CCO|>> IT HAPPENED IN WISCONSIN. 
20101201233624.333|20101201233626.000|CCO|SHE WAS REPORTEDLY CAUGHT 
20101201233626.000|20101201233627.667|CCO|JUMPING THE CHECK OUTLINE WITH 
20101201233627.667|20101201233629.333|CCO|A CART FULL OF PURCHASES. 
20101201233629.333|20101201233631.000|CCO|>>  -- [ BLEEP ]. 
20101201233631.000|20101201233632.667|CCO|>> TOLD SHE HAD TO GO TO THE 
20101201233632.667|20101201233634.333|CCO|BACK OF THE LINE, SHE LOST HER 
20101201233634.333|20101201233636.000|CCO|COOL. 
20101201233636.000|20101201233637.667|CCO|>> BECAUSE OF THE ECONOMIC 
20101201233637.667|20101201233639.333|CCO|STRESS AND THE STRESS OF THE 
20101201233639.333|20101201233641.000|CCO|HOLIDAY SEASON, WE ARE SEEING 
20101201233641.000|20101201233642.667|CCO|MORE OF IT. 
20101201233642.667|20101201233644.333|CCO|>> IT'S SHOPPING RAGE. 
20101201233644.333|20101201233646.000|CCO|THE FRENZIED RUSH FOR BARGAINS 
20101201233646.000|20101201233647.667|CCO|CAN CAUSE A DISTURBING SCENE 
20101201233647.667|20101201233649.333|CCO|LIKE THIS STAMPEDE IN NEW YORK 
20101201233649.333|20101201233651.000|CCO|ON BLACK FRIDAY. 
20101201233651.000|20101201233653.000|CCO|A MAN IS ALMOST CRUSHED AS 
20101201233653.000|20101201233655.000|CCO|SHOPPERS CLIMB OVER HIM TO 
20101201233655.000|20101201233657.000|CCO|REACH THE FLAT SCREENS TVZ ON 
20101201233657.000|20101201233659.000|CCO|SALE. 
20101201233659.000|20101201233701.000|CCO|THIS WAS THE SCENE AT A WALMART 
20101201233701.000|20101201233703.000|CCO|IN TEXAS AS TONS OF SHOPPERS 
20101201233703.000|20101201233705.000|CCO|PUSHED FOR BARGAINS. 
20101201233705.000|20101201233707.000|CCO|WHAT WAS THE FUSS OVER? 
20101201233707.000|20101201233709.000|CCO|A $9 CROCK POT. 
20101201233709.000|20101201233711.000|CCO|>> WE SEE PEOPLE FITTING WITH 
20101201233711.000|20101201233712.667|CCO|EACH OTHER KNOCKING DOWN 
20101201233712.667|20101201233714.333|CCO|DISPLAYS, YELLING AT EMPLOYEES. 
20101201233714.333|20101201233716.000|CCO|THIS IS AN INDICATION OF THE 
20101201233716.000|20101201233717.667|CCO|STRESS THAT PEOPLE ARE UNDER IN 
20101201233717.667|20101201233719.333|CCO|OTHER PARTS OF THEIR LIVES AND 
20101201233719.333|20101201233721.000|CCO|THEY ARE BRINGING IT INTO THE 
20101201233721.000|20101201233723.000|CCO|RETAIL ENVIRONMENT. 
