TOP|20101202000002|2010-12-02_0000_US_FOX-News_Report_with_Shepard_Smith
COL|Communication Studies Archive, UCLA 
UID|1cd21be2-fda7-11df-8565-00e0815fe86c
DUR|0:59:54.03
VID|640x480
CMT|
LAN|ENG
LBT|2010-12-01 16:00 America/Los_Angeles
SEG_01|2014-06-18 17:30:01|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101202000012.000|20101202005956.000|SEG|Type=Story
20101202000012.000|20101202005956.000|SEG_01|Type=Commercial
20101202000012.000|20101202000012.833|CCO|>> Shepard: THE DEFICIT WILL
20101202000012.833|20101202000013.667|CCO|
20101202000013.667|20101202000014.500|CCO|
20101202000014.500|20101202000015.333|CCO|DESTROY AMERICA THAT FROM OUR
20101202000015.333|20101202000016.167|CCO|
20101202000016.167|20101202000017.000|CCO|
20101202000017.000|20101202000017.833|CCO|LEADERS TO INSIST WE MUST FIX IT
20101202000017.833|20101202000018.667|CCO|
20101202000018.667|20101202000019.500|CCO|
20101202000019.500|20101202000020.333|CCO|ARE WE WILLING TO TAKE THE CUT?
20101202000020.333|20101202000021.167|CCO|
20101202000021.167|20101202000022.000|CCO|
20101202000022.000|20101202000023.667|CCO|NOW THERE IS A PLAN.
20101202000023.667|20101202000025.333|CCO|
20101202000025.333|20101202000027.000|CCO|
20101202000027.000|20101202000028.667|CCO|TONIGHT THE DETAILS.
20101202000028.667|20101202000030.333|CCO|
20101202000030.333|20101202000032.000|CCO|
20101202000032.000|20101202000032.833|CCO|IF YOU HAVE A JOB -- IF YOU
20101202000032.833|20101202000033.667|CCO|
20101202000033.667|20101202000034.500|CCO|
20101202000034.500|20101202000035.333|CCO|DRIVE A CAR -- IF YOU EXPECT TO
20101202000035.333|20101202000036.167|CCO|
20101202000036.167|20101202000037.000|CCO|
20101202000037.000|20101202000037.833|CCO|COLLECT SOCIAL SECURITY, THIS
20101202000037.833|20101202000038.667|CCO|
20101202000038.667|20101202000039.500|CCO|
20101202000039.500|20101202000040.333|CCO|PLAN WOULD IMPACT YOUR LIFE.
20101202000040.333|20101202000041.167|CCO|
20101202000041.167|20101202000042.000|CCO|
20101202000042.000|20101202000042.556|CCO|>> THESE ARE TOUGH TIMES
20101202000042.556|20101202000043.111|CCO|
20101202000043.111|20101202000043.667|CCO|
20101202000043.667|20101202000044.222|CCO|REQUIRING TOUGH DECISIONS.
20101202000044.222|20101202000044.778|CCO|
20101202000044.778|20101202000045.333|CCO|
20101202000045.333|20101202000045.889|CCO|>> I THINK THE AMERICAN PEOPLE
20101202000045.889|20101202000046.444|CCO|
20101202000046.444|20101202000047.000|CCO|
20101202000047.000|20101202000047.556|CCO|WANT US TO DO SOMETHING REAL.
20101202000047.556|20101202000048.111|CCO|
20101202000048.111|20101202000048.667|CCO|
20101202000048.667|20101202000049.222|CCO|>> Shepard: TONIGHT, A MAJOR
20101202000049.222|20101202000049.778|CCO|
20101202000049.778|20101202000050.333|CCO|
20101202000050.333|20101202000050.889|CCO|PROPOSAL TO GET OUR NATION'S
20101202000050.889|20101202000051.444|CCO|
20101202000051.444|20101202000052.000|CCO|
20101202000052.000|20101202000053.111|CCO|FINANCES BACK ON TRACK.
20101202000053.111|20101202000054.222|CCO|
20101202000054.222|20101202000055.333|CCO|
20101202000055.333|20101202000056.444|CCO|BUT RESULTS COME AT A PRICE.
20101202000056.444|20101202000057.556|CCO|
20101202000057.556|20101202000058.667|CCO|
20101202000058.667|20101202000059.778|CCO|THE WIKILEAKS FOUNDER JULIAN
20101202000059.778|20101202000100.889|CCO|
20101202000100.889|20101202000102.000|CCO|
20101202000102.000|20101202000102.476|CCO|ASSANGE ALREADY UNDER FIRE FOR
20101202000102.476|20101202000102.952|CCO|
20101202000102.952|20101202000103.429|CCO|
20101202000103.429|20101202000103.905|CCO|POSTING THOUSANDS OF SECRET
20101202000103.905|20101202000104.381|CCO|
20101202000104.381|20101202000104.857|CCO|
20101202000104.857|20101202000105.333|CCO|GOVERNMENT DOCUMENTS.
20101202000105.333|20101202000105.810|CCO|
20101202000105.810|20101202000106.286|CCO|
20101202000106.286|20101202000106.762|CCO|NOW, HE HAS ANOTHER PROBLEM.
20101202000106.762|20101202000107.238|CCO|
20101202000107.238|20101202000107.714|CCO|
20101202000107.714|20101202000108.190|CCO|A GLOBAL WARRANT ON RAPE
20101202000108.190|20101202000108.667|CCO|
20101202000108.667|20101202000109.143|CCO|
20101202000109.143|20101202000109.619|CCO|CHARGES.
20101202000109.619|20101202000110.095|CCO|
20101202000110.095|20101202000110.571|CCO|
20101202000110.571|20101202000111.048|CCO|BUT HIS LAWYER SAYS THIS ISN'T
20101202000111.048|20101202000111.524|CCO|
20101202000111.524|20101202000112.000|CCO|
20101202000112.000|20101202000112.833|CCO|PROSECUTION.
20101202000112.833|20101202000113.667|CCO|
20101202000113.667|20101202000114.500|CCO|
20101202000114.500|20101202000115.333|CCO|IT'S PERSECUTION.
20101202000115.333|20101202000116.167|CCO|
20101202000116.167|20101202000117.000|CCO|
20101202000117.000|20101202000117.833|CCO|PLUS, THE MISSING BROTHERS IN
20101202000117.833|20101202000118.667|CCO|
20101202000118.667|20101202000119.500|CCO|
20101202000119.500|20101202000120.333|CCO|MICHIGAN.
20101202000120.333|20101202000121.167|CCO|
20101202000121.167|20101202000122.000|CCO|
20101202000122.000|20101202000122.667|CCO|EVEN AS VOLUNTEERS SCOUR THE
20101202000122.667|20101202000123.333|CCO|
20101202000123.333|20101202000124.000|CCO|
20101202000124.000|20101202000124.667|CCO|LANDSCAPE, THE FATHER APPEARED
20101202000124.667|20101202000125.333|CCO|
20101202000125.333|20101202000126.000|CCO|
20101202000126.000|20101202000126.667|CCO|IN COURT AND PUT UP A FIGHT.
20101202000126.667|20101202000127.333|CCO|
20101202000127.333|20101202000128.000|CCO|
20101202000128.000|20101202000128.667|CCO|TONIGHT, NEW DEVELOPMENTS IN THE
20101202000128.667|20101202000129.333|CCO|
20101202000129.333|20101202000130.000|CCO|
20101202000130.000|20101202000130.667|CCO|CASE AND THE POLICE CHIEF'S
20101202000130.667|20101202000131.333|CCO|
20101202000131.333|20101202000132.000|CCO|
20101202000132.000|20101202000132.556|CCO|APPEAL FOR HELP.
20101202000132.556|20101202000133.111|CCO|
20101202000133.111|20101202000133.667|CCO|
20101202000133.667|20101202000134.222|CCO|FIRST FROM FOX THIS WEDNESDAY
20101202000134.222|20101202000134.778|CCO|
20101202000134.778|20101202000135.333|CCO|
20101202000135.333|20101202000135.889|CCO|NIGHT, THE DRASTIC PLAN TO CUT
20101202000135.889|20101202000136.444|CCO|
20101202000136.444|20101202000137.000|CCO|
20101202000137.000|20101202000137.556|CCO|TRILLIONS FROM THE U.S. DEFICIT.
20101202000137.556|20101202000138.111|CCO|
20101202000138.111|20101202000138.667|CCO|
20101202000138.667|20101202000139.222|CCO|AND MAKE NO MISTAKE, WHEN WE'RE
20101202000139.222|20101202000139.778|CCO|
20101202000139.778|20101202000140.333|CCO|
20101202000140.333|20101202000140.889|CCO|TALKING NUMBERS LIKE THAT,
20101202000140.889|20101202000141.444|CCO|
20101202000141.444|20101202000142.000|CCO|
20101202000142.000|20101202000142.667|CCO|EVERYBODY WILL FEEL THE PAIN.
20101202000142.667|20101202000143.333|CCO|
20101202000143.333|20101202000144.000|CCO|
20101202000144.000|20101202000144.667|CCO|THE CO-CHAIRMAN OF PRESIDENT
20101202000144.667|20101202000145.333|CCO|
20101202000145.333|20101202000146.000|CCO|
20101202000146.000|20101202000146.667|CCO|OBAMA'S DEFICIT COMMISSION
20101202000146.667|20101202000147.333|CCO|
20101202000147.333|20101202000148.000|CCO|
20101202000148.000|20101202000148.667|CCO|UNVEILED A REVISED PROPOSAL
20101202000148.667|20101202000149.333|CCO|
20101202000149.333|20101202000150.000|CCO|
20101202000150.000|20101202000150.667|CCO|TODAY THAT CALLS FOR BIG CHANGES
20101202000150.667|20101202000151.333|CCO|
20101202000151.333|20101202000152.000|CCO|
20101202000152.000|20101202000152.556|CCO|IN HOW OUR NATION SPENDS ITS
20101202000152.556|20101202000153.111|CCO|
20101202000153.111|20101202000153.667|CCO|
20101202000153.667|20101202000154.222|CCO|MONEY AND COLLECTS ITS TAXES.
20101202000154.222|20101202000154.778|CCO|
20101202000154.778|20101202000155.333|CCO|
20101202000155.333|20101202000155.889|CCO|AMONG THE PROPOSALS, INCREASE
20101202000155.889|20101202000156.444|CCO|
20101202000156.444|20101202000157.000|CCO|
20101202000157.000|20101202000157.556|CCO|THE SOCIAL SECURITY RETIREMENT
20101202000157.556|20101202000158.111|CCO|
20101202000158.111|20101202000158.667|CCO|
20101202000158.667|20101202000159.222|CCO|AGE TO 68 OVER THE NEXT 40
20101202000159.222|20101202000159.778|CCO|
20101202000159.778|20101202000200.333|CCO|
20101202000200.333|20101202000200.889|CCO|YEARS.
20101202000200.889|20101202000201.444|CCO|
20101202000201.444|20101202000202.000|CCO|
20101202000202.000|20101202000202.556|CCO|ELIMINATE 200,000 JOBS FROM THE
20101202000202.556|20101202000203.111|CCO|
20101202000203.111|20101202000203.667|CCO|
20101202000203.667|20101202000204.222|CCO|FEDERAL PAYROLL.
20101202000204.222|20101202000204.778|CCO|
20101202000204.778|20101202000205.333|CCO|
20101202000205.333|20101202000205.889|CCO|NEARLY DOUBLE THE FEDERAL TAX ON
20101202000205.889|20101202000206.444|CCO|
20101202000206.444|20101202000207.000|CCO|
