TOP|20101202010001|2010-12-02_0100_US_KMEX_Primer_Impacto
COL|Communication Studies Archive, UCLA 
UID|7dea296c-fdaf-11df-b1bc-00e0815ffae2
DUR|0:59:55.02
VID|640x480
CMT|
LAN|SPA
LBT|2010-12-01 17:00 America/Los_Angeles
SEG_01|2014-06-18 17:30:29|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101202010011.000|20101202010946.000|SEG|Type=Story
20101202010011.000|20101202010016.000|SEG_01|Type=Commercial
20101202010011.000|20101202010013.500|CCO|IVISION
20101202010013.500|20101202010016.000|CCO|.
20101202010016.000|20101202010018.500|SEG_01|Type=Story start
20101202010016.000|20101202010018.500|CCO|>> Hoy en "Primer Impacto." 
20101202010018.500|20101202010021.000|CCO|Con amenazas de muerte abusador 
20101202010021.000|20101202010024.333|CCO|forzo a dos hispanas para saa 
20101202010024.333|20101202010027.667|CCO|salir bajos instintos.
20101202010027.667|20101202010031.000|CCO|>> Estamos en Suiza dónde los 
20101202010031.000|20101202010033.500|CCO|aspirantes esperan por 
20101202010033.500|20101202010036.000|CCO|conquistar las futuras sedes del
20101202010036.000|20101202010038.500|CCO|mundial de fútbol.
20101202010038.500|20101202010041.000|CCO|>> Golpean sin piedad a un reo 
20101202010041.000|20101202010043.500|CCO|sin que los guardias del penal 
20101202010043.500|20101202010046.000|CCO|muevan ni un dedo. 
20101202010046.000|20101202010048.500|CCO|Un adolescente logra escapar de 
20101202010048.500|20101202010051.000|CCO|verdugos que lo somos tenían a 
20101202010051.000|20101202010053.500|CCO|torturas. 
20101202010053.500|20101202010056.000|CCO|Y dicen que la imagen de la 
20101202010056.000|20101202010058.500|CCO|virgen morena apareció en una 
20101202010058.500|20101202010101.000|CCO|cocina haciendo milagros, 
20101202010101.000|20101202010103.500|CCO|Cristián Castro con su nuevo 
20101202010103.500|20101202010106.000|CCO|amor y revela que le gusta más 
20101202010106.000|20101202010108.500|CCO|del cantante. 
20101202010108.500|20101202010111.000|CCO|No se pierda las imágenes del 
20101202010111.000|20101202010113.000|CCO|esperado calendario de William 
20101202010113.000|20101202010115.000|CCO|Levy que vuelve e loca a 
20101202010115.000|20101202010117.000|CCO|fanáticas. 
20101202010117.000|20101202010119.000|CCO|Esto y más ahora mismo en 
20101202010119.000|20101202010121.000|CCO|"Primer Impacto." 
20101202010121.000|20101202010123.500|CCO|Cruzaron la frontera contratadas
20101202010123.500|20101202010126.000|CCO|como empleadas no imaginaron lo 
20101202010126.000|20101202010128.500|CCO|que les esperaba. 
20101202010128.500|20101202010131.000|CCO|A punta de nav va obligaron a 
