TOP|20101202020002|2010-12-02_0200_US_KABC_Eyewitness_News_6PM
COL|Communication Studies Archive, UCLA 
UID|dffc0136-fdb7-11df-a752-00e0815fe83e
DUR|0:29:54.04
VID|640x480
CMT|
LAN|ENG
LBT|2010-12-01 18:00 America/Los_Angeles
SEG_01|2014-06-18 17:30:42|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101202020003.818|20101202022917.000|SEG|Type=Story
20101202020003.818|20101202022956.000|SEG_01|Type=Commercial
20101202020003.818|20101202020004.273|CCO|ICTIMS.
20101202020004.273|20101202020004.727|CCO|
20101202020004.727|20101202020005.182|CCO|
20101202020005.182|20101202020005.636|CCO|AGAIN WE ARE AWAITING A NEWS
20101202020005.636|20101202020006.091|CCO|
20101202020006.091|20101202020006.545|CCO|
20101202020006.545|20101202020007.000|CCO|CONFERENCE AT THIS HOUR AND WILL
20101202020007.000|20101202020007.455|CCO|
20101202020007.455|20101202020007.909|CCO|
20101202020007.909|20101202020008.364|CCO|BRING YOU MUCH MORE ON THE STORY
20101202020008.364|20101202020008.818|CCO|
20101202020008.818|20101202020009.273|CCO|
20101202020009.273|20101202020009.727|CCO|LATER ON "EYEWITNESS NEWS."
20101202020009.727|20101202020010.182|CCO|
20101202020010.182|20101202020010.636|CCO|
20101202020010.636|20101202020011.091|CCO|REPORTING LIVE IN TOPANGA
20101202020011.091|20101202020011.545|CCO|
20101202020011.545|20101202020012.000|CCO|
20101202020012.000|20101202020012.417|CCO|CANYON.
20101202020012.417|20101202020012.833|CCO|
20101202020012.833|20101202020013.250|CCO|
20101202020013.250|20101202020013.667|CCO|LESLIE MILLER, ABC 7 "EYEWITNESS
20101202020013.667|20101202020014.083|CCO|
20101202020014.083|20101202020014.500|CCO|
20101202020014.500|20101202020014.917|CCO|NEWS."
20101202020014.917|20101202020015.333|CCO|
20101202020015.333|20101202020015.750|CCO|
20101202020015.750|20101202020016.167|CCO|DAVID: THANK YOU FOR THAT.
20101202020016.167|20101202020016.583|CCO|
20101202020016.583|20101202020017.000|CCO|
20101202020017.000|20101202020017.417|CCO|WE WANT TO GET TO A BREAKING
20101202020017.417|20101202020017.833|CCO|
20101202020017.833|20101202020018.250|CCO|
