TOP|20101202033002|2010-12-02_0330_US_KNBC_Access_Hollywood
COL|Communication Studies Archive, UCLA 
UID|72abc4b0-fdc4-11df-954b-00e0815fe86a
DUR|0:29:55.02
VID|640x480
CMT|
LAN|ENG
LBT|2010-12-01 19:30 America/Los_Angeles
SEG_01|2014-06-18 17:31:01|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101202033005.333|20101202035957.000|SEG|Type=Story
20101202033005.333|20101202033006.167|CCO|ES
20101202033006.167|20101202033007.000|CCO| A
20101202033007.000|20101202033007.833|CCO|MO
20101202033007.833|20101202033008.667|CCO|NG
20101202033008.667|20101202033009.500|CCO| U>>S  CHRISTINA IN LOVE ALREADY?
20101202033009.500|20101202033010.333|CCO|I'M MARIA MENOUNUS WITH HER 
20101202033010.333|20101202033011.167|CCO|REVEALING NEW INTERVIEW AND OUR 
20101202033011.167|20101202033012.000|CCO|SPOTLIGHT FOCUSES ON HER RISE TO
20101202033012.000|20101202033014.500|CCO|FAME.
20101202033014.500|20101202033017.000|CCO|FROM A YOUNG GIRL.
20101202033017.000|20101202033019.500|CCO|>>  FAMILY FUN TIME WITH THE 
20101202033019.500|20101202033022.000|CCO|DEPPS AND THE JOLIE-PITTS.
20101202033022.000|20101202033023.667|CCO|I'M TIM VINCENT IN PARIS WITH 
20101202033023.667|20101202033025.333|CCO|EVERYTHING JOHNNY.
20101202033025.333|20101202033027.000|CCO|FIRST TIME ANGELINA AND THE 
20101202033027.000|20101202033028.667|CCO|PAPPARAZZI PLAGUED ON THEIR NEW 
20101202033028.667|20101202033030.333|CCO|FILM.
20101202033030.333|20101202033032.000|CCO|>> I DON'T KNOW HOW ANGIE AND 
20101202033032.000|20101202033033.250|CCO|BRAD DO IT.
20101202033033.250|20101202033034.500|CCO|>> WAS BRITNEY SPEARS ABUSED BY 
20101202033034.500|20101202033035.750|CCO|HER BOYFRIEND?
20101202033035.750|20101202033037.000|CCO|"STAR" MAGAZINE CLAIMS THIS IS 
20101202033037.000|20101202033038.250|CCO|SO.
20101202033038.250|20101202033039.500|CCO|WELCOME TO "ACCESS HOLLYWOOD."
20101202033039.500|20101202033040.750|CCO|WE HAVE SPOKEN TO ALL SIDES IN 
20101202033040.750|20101202033042.000|CCO|THIS NEW BRITNEY CONTROVERSY AND
20101202033042.000|20101202033044.500|CCO|HEARD EXPLOSIVE AUDIO TAPES.
20101202033044.500|20101202033047.000|CCO|WE'LL BREAK IT ALL DOWN FOR YOU 
20101202033047.000|20101202033049.500|CCO|IN THE AH NATION LATER ON.
20101202033049.500|20101202033052.000|CCO|BUT WE BEGIN WITH NEW PHOTOS OF 
20101202033052.000|20101202033057.000|CCO|JAKE AND TAYLOR IN LOVE.
20101202033057.000|20101202033102.000|CCO|>>  IT'S OFFICIAL, A LOVE STORY 
20101202033102.000|20101202033103.429|CCO|FOR TAYLOR AND JAKE.
20101202033103.429|20101202033104.857|CCO|SNUGGLED TOGETHER ON 
20101202033104.857|20101202033106.286|CCO|THANKSGIVING DAY, THE TWO WERE 
20101202033106.286|20101202033107.714|CCO|ALL SMILES AND COULDN'T KEEP 
20101202033107.714|20101202033109.143|CCO|THEIR HANDS OFF EACH OTHER ON 
20101202033109.143|20101202033110.571|CCO|THE STREETS OF NOBODYING.
20101202033110.571|20101202033112.000|CCO|ACCORDING TO "US" MAGAZINE THEY 
20101202033112.000|20101202033113.667|CCO|SPENT THE HOLIDAY WITH JAKE'S 
20101202033113.667|20101202033115.333|CCO|FAMILY.
20101202033115.333|20101202033117.000|CCO|>> IT WAS VERY LAST MINUTE THAT 
20101202033117.000|20101202033118.667|CCO|JAKE WANTED TO SPEND 
20101202033118.667|20101202033120.333|CCO|THANKSGIVING WITH HER.
20101202033120.333|20101202033122.000|CCO|SHE DECIDED IN THE END SHE WOULD
20101202033122.000|20101202033123.667|CCO|BE WITH HIM.
20101202033123.667|20101202033125.333|CCO|>> A MILESTONE IN THE 
20101202033125.333|20101202033127.000|CCO|RELATIONSHIP WHICH "US" SAID 
20101202033127.000|20101202033128.667|CCO|BEGAN WHEN 29-YEAR-OLD JAKE 
20101202033128.667|20101202033130.333|CCO|ASKED HIS PEOPLE TO INTRODUCE 
20101202033130.333|20101202033132.000|CCO|HIM TO TAYLOR.
20101202033132.000|20101202033133.250|CCO|DESPITE THE AGE DIFFERENCE, 
20101202033133.250|20101202033134.500|CCO|TAYLOR BONDED WITH THE FAMILY.
20101202033134.500|20101202033135.750|CCO|CHECK OUT THIS PHOTO WITH SWIFT,
20101202033135.750|20101202033137.000|CCO|TAKING A POST MEAL WALK WITH 
20101202033137.000|20101202033138.250|CCO|JAKE'S SISTER MAGGIE AND 
20101202033138.250|20101202033139.500|CCO|MAGGIE'S DAUGHTER RAMONA BUT THE
20101202033139.500|20101202033140.750|CCO|COUPLE'S NEW YORK STAY WAS 
20101202033140.750|20101202033142.000|CCO|SHORT.
20101202033142.000|20101202033144.000|CCO|ON FRIDAY, THEY FLEW TO 
20101202033144.000|20101202033146.000|CCO|NASHVILLE TO VISIT THEIR FAMILY.
20101202033146.000|20101202033148.000|CCO|>> WHEN THEY WENT TO NASHVILLE, 
20101202033148.000|20101202033150.000|CCO|THEY WENT TO LOOK AT THE 
20101202033150.000|20101202033152.000|CCO|CHRISTMAS LIGHTS.
20101202033152.000|20101202033153.429|CCO|THEY KIND OF HAD THIS ROMANTIC 
20101202033153.429|20101202033154.857|CCO|EXCURSION TOGETHER AND LOOKED AT
20101202033154.857|20101202033156.286|CCO|THE CHRISTMAS LIGHTS.
20101202033156.286|20101202033157.714|CCO|THE COFFEE STOP, TENDS TO BE THE
20101202033157.714|20101202033159.143|CCO|THING THEY DO.
20101202033159.143|20101202033200.571|CCO|>>  TO SAY THE LEAST, THEY 
20101202033200.571|20101202033202.000|CCO|CAFFEINATED UP AT NO LESS THAN 
20101202033202.000|20101202033204.000|CCO|THREE COFFEE SHOPS IN NASHVILLE.
20101202033204.000|20101202033206.000|CCO|THIS WAS JUST ANOTHER STOP IN 
20101202033206.000|20101202033208.000|CCO|THEIR WHIRLWIND FIVE-WEEK 
20101202033208.000|20101202033210.000|CCO|COURTSHIP WHICH HAS REPORTEDLY 
20101202033210.000|20101202033212.000|CCO|INCLUDED TRIPS TO BIG SUR AND 
20101202033212.000|20101202033215.333|CCO|LONDON AND EXPECT A BIG 
20101202033215.333|20101202033218.667|CCO|CELEBRATION THIS MONTH.
20101202033218.667|20101202033222.000|CCO|THE TWO ARE KEEPING MUM.
20101202033222.000|20101202033223.429|CCO|TAYLOR LOVES TO TWITTER BUT HAS 
20101202033223.429|20101202033224.857|CCO|NOT TWEETED A WORD ABOUT JAKE 
20101202033224.857|20101202033226.286|CCO|AND NOT EVEN ELLEN COULD GET IT 
20101202033226.286|20101202033227.714|CCO|OUT OF HER LAST MONTH.
20101202033227.714|20101202033229.143|CCO|>> YOU'RE ALWAYS OPTIMISTIC 
20101202033229.143|20101202033230.571|CCO|ABOUT LOVE.
20101202033230.571|20101202033232.000|CCO|>> YES, ALWAYS, SOMETIMES.
20101202033232.000|20101202033234.500|CCO|>> RIGHT NOW YOU ARE?
20101202033234.500|20101202033237.000|CCO|>>  WELL, WHY WOULDN'T ANYONE 
20101202033237.000|20101202033239.500|CCO|BE?
20101202033239.500|20101202033242.000|CCO|RIGHT NOW.
20101202033242.000|20101202033244.500|CCO|>> HE ESPECIALLY IF YOUR BOYFRIEND 
20101202033244.500|20101202033247.000|CCO|IS JAKE GYLLENHAAL BECAUSE HE'S 
20101202033247.000|20101202033249.500|CCO|VERY HANDSOME.
20101202033249.500|20101202033252.000|CCO|>> BATTLE OF WHO COULD BE 
20101202033252.000|20101202033253.667|CCO|OSCAR'S LEADING LADIES?
20101202033253.667|20101202033255.333|CCO|HALLE IN HOLLYWOOD AND NATALIE 
20101202033255.333|20101202033257.000|CCO|IN NEW YORK.
20101202033257.000|20101202033258.667|CCO|LADIES NIGHT COAST TO COAST.
20101202033258.667|20101202033300.333|CCO|>> I FEEL FANTASTIC TONIGHT 
20101202033300.333|20101202033302.000|CCO|BECAUSE JUST SIX WEEKS AGO, I 
20101202033302.000|20101202033303.429|CCO|WON'T SURE THE MOVIE WOULD SEE 
20101202033303.429|20101202033304.857|CCO|THE LIGHT OF DAY.
20101202033304.857|20101202033306.286|CCO|>> GORGEOUS HALLE AT THE 
20101202033306.286|20101202033307.714|CCO|PREMIERE OF HER NEW FILM "FRANKY
20101202033307.714|20101202033309.143|CCO|AND ALICE.
20101202033309.143|20101202033310.571|CCO|"SHE PLAYS A STRIPPER BUT THIS 
20101202033310.571|20101202033312.000|CCO|ONE HAS MULTIPLE PERSONALITY 
20101202033312.000|20101202033313.667|CCO|DISORDER.
20101202033313.667|20101202033315.333|CCO|>>  GET YOUR HANDS OFF ME.
20101202033315.333|20101202033317.000|CCO|>> NOT MUCH RESEARCH TO PLAY A 
20101202033317.000|20101202033318.667|CCO|STRIPPER.
20101202033318.667|20101202033320.333|CCO|JUST TAKE THE CLOTHES OFF.
20101202033320.333|20101202033322.000|CCO|>>  OH --
20101202033322.000|20101202033327.000|CCO|>> THAT EASY.
20101202033327.000|20101202033332.000|CCO|>>  LADIES NIGHT CONTINUED IN 
20101202033332.000|20101202033334.500|CCO|NEW YORK CITY WITH THE BEAUTIES 
20101202033334.500|20101202033337.000|CCO|DRAPED IN BLACK DIOR, NATALIE 
20101202033337.000|20101202033339.500|CCO|PORTMAN IS FLATTERED THAT HER 
20101202033339.500|20101202033342.000|CCO|PERFORMANCE OF THE TROUBLED 
20101202033342.000|20101202033344.000|CCO|BALLERINA AND THE PSYCHO SEXUAL 
20101202033344.000|20101202033346.000|CCO|THRILLER IS GETTING LOTS OF 
20101202033346.000|20101202033348.000|CCO|OSCAR TALK.
20101202033348.000|20101202033350.000|CCO|>> I WAS NOMINATED BEFORE, BUT I
20101202033350.000|20101202033352.000|CCO|WAS LIVING IN ISRAEL GOING TO 
20101202033352.000|20101202033354.500|CCO|SCHOOL SO I DIDN'T REALLY 
20101202033354.500|20101202033357.000|CCO|EXPERIENCE ALL OF THIS HOOPLA SO
20101202033357.000|20101202033359.500|CCO|IT'S A NEW EXPERIENCE.
20101202033359.500|20101202033402.000|CCO|>>  THEN THERE WAS 39-YEAR-OLD 
20101202033402.000|20101202033404.000|CCO|WINONA RIDER WHO WAS THE ASIAN 
20101202033404.000|20101202033406.000|CCO|BALLERINA.
20101202033406.000|20101202033408.000|CCO|>>  IT WAS PARALLEL TO A LOT OF 
20101202033408.000|20101202033410.000|CCO|THINGS, YOU KNOW, GETTING OLDER 
20101202033410.000|20101202033412.000|CCO|IN HOLLYWOOD, GETTING OLDER IN 
20101202033412.000|20101202033414.000|CCO|THE BALLET WORLD.
20101202033414.000|20101202033416.000|CCO|BALLET WORLD IS MORE BRUTAL IN 
20101202033416.000|20101202033418.000|CCO|THE SENSE THAT YOUR CAREER IS 
20101202033418.000|20101202033420.000|CCO|SORT OF OVER WHEN YOU'RE VERY 
20101202033420.000|20101202033422.000|CCO|YOUNG AND IN HOLLYWOOD, AT LEAST
20101202033422.000|20101202033424.500|CCO|YOU CAN SORT OF MAYBE GO ON, YOU
20101202033424.500|20101202033427.000|CCO|KNOW, SHE HANDLES IT QUITE 
20101202033427.000|20101202033429.500|CCO|BADLY.
20101202033429.500|20101202033432.000|CCO|>> HI, MR. DOUGLAS.
20101202033432.000|20101202033434.000|CCO|>>  IT'S A FACT MICHAEL DOUGLAS 
20101202033434.000|20101202033436.000|CCO|APPEARS TO BE BATTLING BACK FROM
20101202033436.000|20101202033438.000|CCO|HIS BOUT WITH CANCER.
20101202033438.000|20101202033440.000|CCO|OUR CAMERA CAUGHT HIM LEAVING A 
20101202033440.000|20101202033442.000|CCO|VARIETY LAST NIGHT AND IN THE 
20101202033442.000|20101202033444.000|CCO|NEW ISSUE OF "PEOPLE" MAGAZINE 
20101202033444.000|20101202033446.000|CCO|DOUGLAS SAYS HE FEELS STRONGER 
20101202033446.000|20101202033448.000|CCO|EVERY DAY BUT IT'S A LONG ROAD 
20101202033448.000|20101202033450.000|CCO|BACK.
20101202033450.000|20101202033452.000|CCO|IT'S A TGIF FACT HEATHER 
20101202033452.000|20101202033453.667|CCO|LOCKLEAR HAS BEEN HOSPITALIZED.
20101202033453.667|20101202033455.333|CCO|THE 49-YEAR-OLD FORMER MELROSE 
20101202033455.333|20101202033457.000|CCO|PLACE AND SPIN CITY STAR CAME 
20101202033457.000|20101202033458.667|CCO|DOWN WITH A BACTERIAL INFECTION 
20101202033458.667|20101202033500.333|CCO|IS IS BEING TREATED WITH 
20101202033500.333|20101202033502.000|CCO|ANTIBIOTICS.
20101202033502.000|20101202033504.000|CCO|PREMIERE FIT FOR THE KING OF 
20101202033504.000|20101202033506.000|CCO|JUNGLE?
20101202033506.000|20101202033508.000|CCO|NONE OTHER THAN QUEEN ELIZABETH 
20101202033508.000|20101202033510.000|CCO|AND PRINCE PHILLIP TAENLD THE 
20101202033510.000|20101202033512.000|CCO|WORLD PREMIERE OF THE CHRONICLES
20101202033512.000|20101202033514.000|CCO|OF NARNIA.
20101202033514.000|20101202033516.000|CCO|WHILE THE QUEEN STOPPED THE SHOT
20101202033516.000|20101202033518.000|CCO|WITH SOME OF THE FILM'S YOUNG 
20101202033518.000|20101202033520.000|CCO|CAST MEMBERS.
20101202033520.000|20101202033522.000|CCO|IT'S A FACT CHRISTINA AGUILERRA 
20101202033522.000|20101202033523.667|CCO|IS TALKING ABOUT HER PAINFUL 
20101202033523.667|20101202033525.333|CCO|DECISION TO SPLIT WITH JORDAN 
20101202033525.333|20101202033527.000|CCO|BRATMAN AND THE POSSIBILITY OF 
20101202033527.000|20101202033528.667|CCO|FINDING LOVE AGAIN.
20101202033528.667|20101202033530.333|CCO|THINGS WERE SO UNHEALTHY AND 
20101202033530.333|20101202033532.000|CCO|UNHAPPY FOR BOTH JORDAN AND ME, 
20101202033532.000|20101202033534.000|CCO|I KNEW I HAD TO END IT.
20101202033534.000|20101202033536.000|CCO|CANDID WORDS FROM CHRISTINA WHO 
20101202033536.000|20101202033538.000|CCO|OPENS UP ABOUT HER FAILED 
20101202033538.000|20101202033540.000|CCO|MARRIAGE INSIDE THE PAGES OF 
20101202033540.000|20101202033542.000|CCO|"PEOPLE."
20101202033542.000|20101202033543.429|CCO|>>  SHE SAID THEY TRIED A LOT.
