TOP|20101202130002|2010-12-02_1300_US_FOX-News_Fox_and_Friends
COL|Communication Studies Archive, UCLA 
UID|137e6e0c-fe14-11df-a5ee-00e0815fe86c
DUR|0:59:54.03
VID|640x480
CMT|
LAN|ENG
LBT|2010-12-02 05:00 America/Los_Angeles
SEG_01|2014-06-18 17:31:45|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101202130003.429|20101202130129.143|SEG|Type=Story
20101202130003.429|20101202135956.000|SEG_01|Type=Commercial
20101202130003.429|20101202130003.786|CCO|FFORT IN
20101202130003.786|20101202130004.143|CCO|
20101202130004.143|20101202130004.500|CCO|
20101202130004.500|20101202130004.857|CCO|HAITI ABOUT TO GET MORE
20101202130004.857|20101202130005.214|CCO|
20101202130005.214|20101202130005.571|CCO|
20101202130005.571|20101202130005.929|CCO|EXPENSIVE FOR US?
20101202130005.929|20101202130006.286|CCO|
20101202130006.286|20101202130006.643|CCO|
20101202130006.643|20101202130007.000|CCO|SHOULD THE UNITED STATES BE
20101202130007.000|20101202130007.357|CCO|
20101202130007.357|20101202130007.714|CCO|
20101202130007.714|20101202130008.071|CCO|FORCED TO PICK UP A
20101202130008.071|20101202130008.429|CCO|
20101202130008.429|20101202130008.786|CCO|
20101202130008.786|20101202130009.143|CCO|MULTI-MILLION-DOLLAR TAB?
20101202130009.143|20101202130009.500|CCO|
20101202130009.500|20101202130009.857|CCO|
20101202130009.857|20101202130010.214|CCO|WE REPORT.
20101202130010.214|20101202130010.571|CCO|
20101202130010.571|20101202130010.929|CCO|
20101202130010.929|20101202130011.286|CCO|YOU DECIDE.
20101202130011.286|20101202130011.643|CCO|
20101202130011.643|20101202130012.000|CCO|
20101202130012.000|20101202130013.667|CCO|"FOX & FRIENDS" STARTS RIGHT
20101202130013.667|20101202130015.333|CCO|
20101202130015.333|20101202130017.000|CCO|
20101202130017.000|20101202130018.667|CCO|NOW.
20101202130018.667|20101202130020.333|CCO|
20101202130020.333|20101202130022.000|CCO|
20101202130022.000|20101202130022.556|CCO|#
20101202130022.556|20101202130023.111|CCO|
20101202130023.111|20101202130023.667|CCO|
20101202130023.667|20101202130024.222|CCO|>> Brian: WELCOME TO THE TIME
20101202130024.222|20101202130024.778|CCO|
20101202130024.778|20101202130025.333|CCO|
20101202130025.333|20101202130025.889|CCO|HOUR OF TODAY'S SHOW, WHICH IS
20101202130025.889|20101202130026.444|CCO|
20101202130026.444|20101202130027.000|CCO|
20101202130027.000|20101202130027.556|CCO|THE ONE DAY BEFORE FRIDAY, WHICH
20101202130027.556|20101202130028.111|CCO|
20101202130028.111|20101202130028.667|CCO|
20101202130028.667|20101202130029.222|CCO|SOME CALL THURSDAY.
20101202130029.222|20101202130029.778|CCO|
20101202130029.778|20101202130030.333|CCO|
20101202130030.333|20101202130030.889|CCO|LOOK AT THE BIG BOARD.
20101202130030.889|20101202130031.444|CCO|
20101202130031.444|20101202130032.000|CCO|
20101202130032.000|20101202130032.667|CCO|MICHELLE MALKIN IS HERE.
20101202130032.667|20101202130033.333|CCO|
20101202130033.333|20101202130034.000|CCO|
20101202130034.000|20101202130034.667|CCO|SHE DOESN'T EVEN KNOW IT YET.
20101202130034.667|20101202130035.333|CCO|
20101202130035.333|20101202130036.000|CCO|
20101202130036.000|20101202130036.667|CCO|DONALD TRUMP WILL BE HERE IN 30
20101202130036.667|20101202130037.333|CCO|
20101202130037.333|20101202130038.000|CCO|
20101202130038.000|20101202130038.667|CCO|MINUTES.
20101202130038.667|20101202130039.333|CCO|
20101202130039.333|20101202130040.000|CCO|
20101202130040.000|20101202130040.667|CCO|DONALD PAUL AND RAND PAUL TO
20101202130040.667|20101202130041.333|CCO|
20101202130041.333|20101202130042.000|CCO|
20101202130042.000|20101202130042.556|CCO|CLOSE THE SHOW.
20101202130042.556|20101202130043.111|CCO|
20101202130043.111|20101202130043.667|CCO|
20101202130043.667|20101202130044.222|CCO|MAYBE THE NEXT PRESIDENT AND THE
20101202130044.222|20101202130044.778|CCO|
20101202130044.778|20101202130045.333|CCO|
20101202130045.333|20101202130045.889|CCO|LATEST POLITICAL THOUGHT FROM
