TOP|20101202140001|2010-12-02_1400_US_MSNBC_The_Daily_Rundown
COL|Communication Studies Archive, UCLA 
UID|74ac06be-fe1c-11df-ad6a-00e0815fe930
DUR|0:59:55.02
VID|640x480
CMT|
LAN|ENG
LBT|2010-12-02 06:00 America/Los_Angeles
SEG_01|2014-06-18 17:31:51|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101202140011.000|20101202140055.286|SEG|Type=Story
20101202140011.000|20101202140021.000|CCO|>>> HEY, WHAT HAVE YOU LEARNED?
20101202140021.000|20101202140022.429|CCO|>> WE GOT THE STORY ABOUT STEVE 
20101202140022.429|20101202140023.857|CCO|MARTIN AND PEOPLE COMPLAINING, 
20101202140023.857|20101202140025.286|CCO|I'VE BEEN GETTING A LOT OF 
20101202140025.286|20101202140026.714|CCO|E-MAILS FROM PEOPLE WHO WERE 
20101202140026.714|20101202140028.143|CCO|THERE SAYING STEVE MARTIN WAS 
20101202140028.143|20101202140029.571|CCO|GREAT.
20101202140029.571|20101202140031.000|CCO|THE COMPLAINT WAS ABOUT THE 
20101202140031.000|20101202140032.250|CCO|MODERATOR DRIVING THE 
20101202140032.250|20101202140033.500|CCO|CONVERSATION TOWARD ART.
20101202140033.500|20101202140034.750|CCO|>> OKAY.
20101202140034.750|20101202140036.000|CCO|>> THEY WANTED TO HEAR ABOUT 
20101202140036.000|20101202140037.250|CCO|MOVIES.
20101202140037.250|20101202140038.500|CCO|>> WHAT DID YOU LEARN?
20101202140038.500|20101202140039.750|CCO|>> AFTER SEEING TOM COBURN'S 
20101202140039.750|20101202140041.000|CCO|BEARD, I THINK MORE BEARD IN THE
20101202140041.000|20101202140043.000|CCO|U.S. SENATE.
20101202140043.000|20101202140045.000|CCO|>> WHAT HAVE YOU LEARNED?
20101202140045.000|20101202140047.000|CCO|IKA IS PROBABLY MORE 
20101202140047.000|20101202140049.000|CCO|COMPLICATED THAN PEOPLE REALIZE.
20101202140049.000|20101202140051.000|CCO|>> WHAT HAVE YOU LEARNED?
20101202140051.000|20101202140052.429|CCO|>> I LEARNED THAT IT'S "MORNING 
20101202140052.429|20101202140053.857|CCO|JOE."
20101202140053.857|20101202140055.286|CCO|THAT WENT WELL.
20101202140055.286|20101202140101.000|SEG|Type=Story
20101202140055.286|20101202140056.714|CCO|>>> "DAILY RUNDOWN."
20101202140056.714|20101202140058.143|CCO|WE'LL REHEARSE NEXT TIME.
20101202140058.143|20101202140059.571|CCO|>> I -- I -- 
20101202140059.571|20101202140101.000|CCO|>> AND SCENE.
20101202140101.000|20101202140111.000|SEG|Type=Story
20101202140101.000|20101202140102.250|CCO|>>> RIGHT NOW ON CAPITOL HILL, 
20101202140102.250|20101202140103.500|CCO|SHOWDOWN OVER DON'T ASK, DON'T 
20101202140103.500|20101202140104.750|CCO|TELL.
20101202140104.750|20101202140106.000|CCO|THE PENTAGON'S TOP BRASS COME TO
20101202140106.000|20101202140107.250|CCO|TESTIFY.
20101202140107.250|20101202140108.500|CCO|YOU'RE LOOKING AT LIVE PICTURES.
20101202140108.500|20101202140109.750|CCO|WE'LL DIP IN LIVE DURING THIS 
20101202140109.750|20101202140111.000|CCO|HOUR.
20101202140111.000|20101202140121.000|SEG|Type=Story
20101202140111.000|20101202140112.667|CCO|>>> DEAL OR NO DEAL?
20101202140112.667|20101202140114.333|CCO|HOUSE DEMOCRATS SCHEDULE A 
20101202140114.333|20101202140116.000|CCO|TAX-CUT VOTE THAT REPUBLICANS 
20101202140116.000|20101202140117.667|CCO|CALL A GIMMICK, BUT THE 
20101202140117.667|20101202140119.333|CCO|BIPARTISAN NEGOTIATIONS KEEP ON 
20101202140119.333|20101202140121.000|CCO|GOING TODAY.
20101202140121.000|20101202140155.286|SEG|Type=Story
