TOP|20101202150001|2010-12-02_1500_US_CNN_Newsroom
COL|Communication Studies Archive, UCLA 
UID|d6c63c7c-fe24-11df-8e1c-00e0815fe826
DUR|0:59:55.02
VID|640x480
CMT|
TPF|transcripts.cnn.com|cnr.02.html
HED|Searching for E.T.; Twist in Murder of Hollywood Publicist; Amping up for 2011 Grammys; The 30-Second Pitch: Edwin Gutierrez
LAN|ENG
LBT|2010-12-02 07:00 America/Los_Angeles
SEG_01|2014-06-18 17:31:55|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101202150005.889|20101202150046.000|SEG|Type=Story
20101202150005.889|20101202150007.111|CCO|N 
20101202150007.111|20101202150008.333|CCO|LAST NIGHT AND URGED THE U.S. TO
20101202150008.333|20101202150009.556|CCO|NOT INTERFERE WITH THIS HIS 
20101202150009.556|20101202150010.778|CCO|COUNTRY'S AFFAIRS.
20101202150010.778|20101202150012.000|CCO|NASA HAS SCHEDULED A NEWS 
20101202150012.000|20101202150013.667|CCO|CONFERENCE TODAYnd AT WEB IS A 
20101202150013.667|20101202150015.333|CCO|BUZZ WITH SPECULATION THAT IT'S 
20101202150015.333|20101202150017.000|CCO|ABOUT LIFE BEYOND EARTH.
20101202150017.000|20101202150018.667|CCO|NASA'S NEWS RELEASE IS CERTAINLY
20101202150018.667|20101202150020.333|CCO|INTRIGUING.
20101202150020.333|20101202150022.000|CCO|YOU HAVE TO READ IT, IT PROMISES
20101202150022.000|20101202150025.333|CCO|A BINDING THAT WILL IMPACT THE 
20101202150025.333|20101202150028.667|CCO|SEARCH FOR EXTRA TERRESTRIAL 
20101202150028.667|20101202150032.000|CCO|LIFE.
20101202150032.000|20101202150034.000|CCO|JUST MINUTES FROM NOW, WE'LL 
20101202150034.000|20101202150036.000|CCO|KNOW WHICH CITY WILL HOST THE 
20101202150036.000|20101202150038.000|CCO|2018 AND 2022 WORLD CUP FINALS.
20101202150038.000|20101202150040.000|CCO|18 U.S. CITIES ARE AMONG THE 
20101202150040.000|20101202150042.000|CCO|CONTENDERS.
20101202150042.000|20101202150044.000|CCO|WE'LL HAVE A LIVE REPORT FOR 
20101202150044.000|20101202150046.000|CCO|YOU.
20101202150046.000|20101202150529.333|SEG|Type=Story
20101202150046.000|20101202150048.000|CCO|>>> WE START WITH NEWS OUT OF 
20101202150048.000|20101202150050.000|CCO|HOLLYWOOD.
20101202150050.000|20101202150052.000|CCO|POLICE MOVED IN ON A PERSON OF 
20101202150052.000|20101202150053.429|CCO|INTEREST IN THE KILLING OF 
20101202150053.429|20101202150054.857|CCO|PUBLICIST RONNIE CHASEN.
20101202150054.857|20101202150056.286|CCO|BUT THAT MAN SUDDENLY KILLED 
20101202150056.286|20101202150057.714|CCO|HIMSELF.
20101202150057.714|20101202150059.143|CCO|HE APPARENTLY PULLED OUT A 
20101202150059.143|20101202150100.571|CCO|HANDGUN AND SHOT HIMSELF AT A 
20101202150100.571|20101202150102.000|CCO|HOLLYWOOD APARTMENT BUILDING 
20101202150102.000|20101202150104.250|CCO|LAST NIGHT AS DETECTIVES WERE 
20101202150104.250|20101202150106.500|CCO|QUESTIONING HIM.
20101202150106.500|20101202150108.750|CCO|IT HAS JUST OVER TWO WEEKS SINCE
20101202150108.750|20101202150111.000|CCO|64-YEAR-OLD CHASEN WAS MURDERED.
20101202150111.000|20101202150116.000|CCO|THE SHOWBIZ BET WAS ON HER WAY 
20101202150116.000|20101202150121.000|CCO|HOME FROM A PARTY.
20101202150121.000|20101202150122.667|CCO|SOMEONE FIRED INTO HER CAR.
20101202150122.667|20101202150124.333|CCO|POLICE ARE CONSIDERING SEVERAL 
20101202150124.333|20101202150126.000|CCO|SCENARIOS.
20101202150126.000|20101202150127.667|CCO|MAYBE IT WAS CASE OF ROAD RAGE, 
20101202150127.667|20101202150129.333|CCO|JUST MAYBE.
20101202150129.333|20101202150131.000|CCO|AND MAYBE IT WAS A HIT.
20101202150131.000|20101202150136.000|CCO|AL LAP DUKE RECHASED PART OF 
20101202150136.000|20101202150141.000|CCO| 
20101202150141.000|20101202150142.429|CCO|CHASEN'S LAST DRIVE.STALKING 
20101202150142.429|20101202150143.857|CCO|CHASE P, IT WOULD HAVE BEEN 
20101202150143.857|20101202150145.286|CCO|OBVIOUS.
20101202150145.286|20101202150146.714|CCO|THERE ARE SECURITY CAMERAS 
20101202150146.714|20101202150148.143|CCO|AROUND HERE AND PLENTY OF PEOPLE
20101202150148.143|20101202150149.571|CCO|AND THEY WOULD HAVE HAD TO HAVE 
20101202150149.571|20101202150151.000|CCO|BEEN LYING IN WAIT TO SEE AS SHE
20101202150151.000|20101202150152.667|CCO|LEFT ONE WOULD THINK.
20101202150152.667|20101202150154.333|CCO|>> CHASEN MAY NOT HAVE BEEN A 
20101202150154.333|20101202150156.000|CCO|HOUSE HOLD NAME, BUT WELL-KNOWN 
20101202150156.000|20101202150157.667|CCO|IN HOLLYWOOD.
20101202150157.667|20101202150159.333|CCO|AND IF YOU WANTED TO BUILD YOUR 
20101202150159.333|20101202150201.000|CCO|OSCAR BUZZ OR BUILD YOUR NAME 
20101202150201.000|20101202150203.000|CCO|AND YOUR BRAND, SHE WAS THE 
20101202150203.000|20101202150205.000|CCO|GO-TO PR WOMAN TO DO IT.
20101202150205.000|20101202150207.000|CCO|WORKING ON CAMPAIGNS FOR THE 
20101202150207.000|20101202150209.000|CCO|HURT LOCKER, ON GOLDEN POND AND 
20101202150209.000|20101202150211.000|CCO|DRIVING MISSES DAISY AMONG MANY 
20101202150211.000|20101202150213.500|CCO|OTHERS, THIS IS SUCH A BIZARRE 
20101202150213.500|20101202150216.000|CCO|CASE.
20101202150216.000|20101202150218.500|CCO|SO MAUNANSWERED.
20101202150218.500|20101202150221.000|CCO|WHAT DO WE KNOW ABOUT THIS 
20101202150221.000|20101202150222.429|CCO|PERSON OF INTEREST?
20101202150222.429|20101202150223.857|CCO|DO WE KNOW WHY HE TOOKP UNANSWERED.
20101202150223.857|20101202150225.286|CCO|WHAT DO WE KNOW ABOUT THIS 
20101202150225.286|20101202150226.714|CCO|PERSON OF INTEREST?
20101202150226.714|20101202150228.143|CCO| UNANSWERED.
20101202150228.143|20101202150229.571|CCO|WHAT DO WE KNOW ABOUT THIS 
20101202150229.571|20101202150231.000|CCO|PERSON OF INTEREST?
20101202150231.000|20101202150231.833|CCO|UNANSWERED.
20101202150231.833|20101202150232.667|CCO|WHAT DO WE KNOW ABOUT THIS 
20101202150232.667|20101202150233.500|CCO|PERSON OF INTEREST?
20101202150233.500|20101202150234.333|CCO|DO WE KNOW WHY HE TOOK HIS LIFE?
20101202150234.333|20101202150235.167|CCO|IS IT THE END OF THE 
20101202150235.167|20101202150236.000|CCO|INVESTIGATION?
20101202150236.000|20101202150236.833|CCO|>> Reporter: IT IS NOT.
20101202150236.833|20101202150237.667|CCO|THAT WE KNOW.
20101202150237.667|20101202150238.500|CCO|DETECTIVES MADE THAT VERY CLEAR.
20101202150238.500|20101202150239.333|CCO|SO MAYBE THEY'RE STILL LOOKING 
20101202150239.333|20101202150240.167|CCO|FOR THAT SUSPECT OR SUSPECTS 
20101202150240.167|20101202150241.000|CCO|PERHAPS WHO ARE OUT THERE.
20101202150241.000|20101202150243.000|CCO|BUT WHAT'S REALLY INTERESTING, 
20101202150243.000|20101202150245.000|CCO|AS WELL, IS ESPECIALLY HERE YOU 
20101202150245.000|20101202150247.000|CCO|SUMMARIZE EVERYTHING AT THE TOP 
20101202150247.000|20101202150249.000|CCO|THIS CASE THAT WE'RE ALL VERY 
20101202150249.000|20101202150251.000|CCO|FAMILIAR WITH, THERE WAS SO MUCH
20101202150251.000|20101202150253.500|CCO|MYSTERY CONCERNING RO
20101202150253.500|20101202150256.000|CCO|CHASEN'S DEATH.
20101202150256.000|20101202150258.500|CCO|WHO WOULD HAVE WANTED HER DEAD?
20101202150258.500|20101202150301.000|CCO|AND THAT MAN WHO TURNED THE GUN 
20101202150301.000|20101202150303.750|CCO|ON HIMSELF, WHAT MADE HIM DO IT?
20101202150303.750|20101202150306.500|CCO|THEY DO SHOW UP HERE WITH A 
20101202150306.500|20101202150309.250|CCO|SEARCH WARRANT AND THIS GUY 
20101202150309.250|20101202150312.000|CCO|BEFORE THEY COULD EVEN QUESTION 
20101202150312.000|20101202150314.000|CCO|HIM PUT A GUN TO HIS HEAD AND 
20101202150314.000|20101202150316.000|CCO|ENDED HIS LIFE.
20101202150316.000|20101202150318.000|CCO|WE DON'T KNOW MUCH ABOUT HIM AT 
20101202150318.000|20101202150320.000|CCO|THIS HOUR EXCEPT 245 HE WAS 
20101202150320.000|20101202150322.000|CCO|BLACK MALE IN HIS EARLY 40s.
20101202150322.000|20101202150323.667|CCO|WE'VE BEEN ON THE PHONE ALL 
20101202150323.667|20101202150325.333|CCO|MORNING WITH THE CORONER'S 
20101202150325.333|20101202150327.000|CCO|OFFICE.
20101202150327.000|20101202150328.667|CCO|THEY'RE TRYEACH OUT TO 
20101202150328.667|20101202150330.333|CCO|FAMILY MEMBERS.
20101202150330.333|20101202150332.000|CCO|SO WE DON'T KNOW A LOT ABOUT 
20101202150332.000|20101202150333.667|CCO|HIM, BUT FROM PEOPLE WHO LIVE 
20101202150333.667|20101202150335.333|CCO|HERE, THEY SAY THIS IS A GUY WHO
20101202150335.333|20101202150337.000|CCO|WAS NO STRANGER TO TROUBLE, THAT
20101202150337.000|20101202150338.667|CCO|HE HAD BEEN IN AND OUT OF 
20101202150338.667|20101202150340.333|CCO|TROUBLE WITH THE LAW.
20101202150340.333|20101202150342.000|CCO|HE WAS AN EX-CON, HE HAD STINTS 
20101202150342.000|20101202150345.333|CCO|IN AND OUT OF PRISON.
20101202150345.333|20101202150348.667|CCO|YOU NAME IT, THEY SAID THAT DID 
20101202150348.667|20101202150352.000|CCO|HE IT.
20101202150352.000|20101202150353.667|CCO|AND SO A LOT OF MYSTERY 
20101202150353.667|20101202150355.333|CCO|SURROUNDING HIS DEATH.
