TOP|20101202150001|2010-12-02_1500_US_KCBS_The_Early_Show
COL|Communication Studies Archive, UCLA 
UID|27e78cd4-fe2d-11df-986f-001517add6f3
DUR|0:59:28.16
VID|640x368
CMT|
LAN|ENG
LBT|2010-12-02 07:00 America/Los_Angeles
SEG_01|2014-06-18 17:32:02|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101202150002.000|20101202150002.000|XDS|%     CALL:   
20101202150003.000|20101202150003.000|XDS|%  NETWORK: CBS
20101202150003.000|20101202150003.000|XDS|%    TITLE: BOS1105
20101202150003.000|20101202150011.000|SEG|Type=Story
20101202150003.000|20101202150011.000|CC1|RIGHT NOW.                      
20101202150011.000|20101202150012.000|SEG|Type=Story
20101202150011.000|20101202150011.000|CC1|>>> DEADLY STORMS.              
20101202150011.000|20101202150012.000|CC1|AT LEAST THREEEOPL              
20101202150012.000|20101202150022.000|SEG|Type=Story
20101202150012.000|20101202150013.000|CC1|>>> DEADLY STORMS.              
20101202150013.000|20101202150014.000|CC1|AT LEAST THREE PEOPLE WITH      
20101202150014.000|20101202150016.000|CC1|KILLED AS A POWERFUL WEATHER    
20101202150016.000|20101202150018.000|CC1|SYSTEM SPAWNS TORNADOES IN THE  
20101202150018.000|20101202150019.000|CC1|SOUTH AND FLOODING TO THE NORTH.
20101202150019.000|20101202150021.000|CC1|WE'RE TRACKING THE STORM AND THE
20101202150021.000|20101202150022.000|CC1|CLEANUP EFFORT.                 
20101202150022.000|20101202150037.000|SEG|Type=Story
20101202150022.000|20101202150023.000|CC1|>>> TAX SHOWDOWN.               
20101202150023.000|20101202150025.000|CC1|REPUBLICANS ON CAPITOL HILLfá FE
20101202150025.000|20101202150027.000|CC1|OFF WITH PRESIDENT OBAMA AND THE
20101202150027.000|20101202150028.000|CC1|DEMOCRATS OVER EXTENDING THE    
20101202150028.000|20101202150030.000|CC1|BUSH ERA TAX CUTS.              
20101202150030.000|20101202150031.000|CC1|COULD YOUR TAXES GO UP NEXT     
20101202150031.000|20101202150033.000|CC1|MONTH IF THEY DON'T REACH A     
20101202150033.000|20101202150034.000|CC1|COMPROMISE?                     
20101202150034.000|20101202150035.000|CC1|WE'LL HEAR FROM A LEADING       
20101202150035.000|20101202150036.000|CC1|CONSERVATIVE ON WHAT HIS PARTY  
20101202150036.000|20101202150037.000|CC1|PLAN TO DO ABOUT IT.            
20101202150037.000|20101202150106.000|SEG|Type=Story
20101202150037.000|20101202150038.000|CC1|>>> HOLLYWOOD MYSTERY.          
20101202150038.000|20101202150040.000|CC1|A PERSON OF INTEREST IN THE     
20101202150040.000|20101202150043.000|CC1|MURDER OF A HIGH-PROFILE MOVIE  
20101202150043.000|20101202150044.000|CC1|PUBLICIST KILLS HIMSELF LATE    
20101202150044.000|20101202150045.000|CC1|LAST NIGHT AFTER POLICE TRACK   
20101202150045.000|20101202150046.000|CC1|HIM DOWN.                       
20101202150046.000|20101202150048.000|CC1|WHERE DOES THE CASE GO NOW?     
20101202150048.000|20101202150049.000|CC1|WE ARE LIVE IN LOS ANGELES WITH 
20101202150049.000|20101202150051.000|CC1|THE LATEST ON THE SHOCKING NEW  
20101202150051.000|20101202150053.000|CC1|DEVELOPMENT, EARLY THIS THURSDAY
20101202150053.000|20101202150057.000|CC1|MORNING, DECEMBER 2nd, 2010.    
20101202150057.000|20101202150106.000|CC1|    CAPTIONING FUNDED BY CBS    
20101202150106.000|20101202150329.000|SEG|Type=Story
20101202150106.000|20101202150108.000|CC1|>>> WE WISH YOU A GOOD THURSDAY 
20101202150108.000|20101202150109.000|CC1|ALREADY MORNING HERE FROM "THE  
20101202150109.000|20101202150111.000|CC1|EARLY SHOW" SET.                
20101202150111.000|20101202150112.000|CC1|I'M HARRY SMITH.                
20101202150112.000|20101202150114.000|CC1|>> I'M ERICA HILL.              
20101202150114.000|20101202150115.000|CC1|BEAUTIFUL SKYLINE THERE.        
20101202150115.000|20101202150116.000|CC1|BEAUTIFUL SUNRISE.              
20101202150116.000|20101202150118.000|CC1|NOT THE CASE AROUND MUCH OF THE 
20101202150118.000|20101202150118.000|CC1|COUNTRY.                        
20101202150118.000|20101202150120.000|CC1|>> MY WIFE SHOPPING IN NEW      
20101202150120.000|20101202150121.000|CC1|JERSEY.                         
20101202150121.000|20101202150124.000|CC1|OPENED THE CAR DOOR AND ALMOST  
20101202150124.000|20101202150124.000|CC1|TORE IT OFF.                    
20101202150124.000|20101202150126.000|CC1|THOUGHT IT WAS THE MIDDLE OF A  
20101202150126.000|20101202150126.000|CC1|HURRICANE.                      
20101202150126.000|20101202150128.000|CC1|FLOODING AND SNOW AND TORNADOES 
20101202150128.000|20101202150130.000|CC1|ALL UP AND DOWN THE EASTERN     
20101202150130.000|20101202150131.000|CC1|SEABOARD.                       
20101202150131.000|20101202150132.000|CC1|CRAZY WEATHER AS MUCH OF THE    
20101202150132.000|20101202150133.000|CC1|EASTERN UNITED STATES IS        
20101202150133.000|20101202150136.000|CC1|CLEANING UP AFTER A FIERCE STORM
20101202150136.000|20101202150137.000|CC1|BLAMED FOR AT LEAST THREE       
20101202150137.000|20101202150138.000|CC1|DEATHS.                         
20101202150138.000|20101202150139.000|CC1|CAUSED TORNADOES IN THE DEEP    
20101202150139.000|20101202150140.000|CC1|SOUTH AND IN THE NORTHEAST      
20101202150140.000|20101202150141.000|CC1|STRANDED HUNDREDS OF THOUSANDS  
20101202150141.000|20101202150144.000|CC1|OF TRAVELERS AND KATHERINE BROWN
20101202150144.000|20101202150147.000|CC1|OF NEW YORK].                   
20101202150147.000|20101202150148.000|CC1|THE EAST SIDE OF MANHATTAN WITH 
20101202150148.000|20101202150149.000|CC1|THE LATEST.                     
20101202150149.000|20101202150152.000|CC1|GOOD MORNING.                   
20101202150152.000|20101202150153.000|CC1|>> Reporter: GOOD MORNING,      
20101202150153.000|20101202150153.000|CC1|HARRY.                          
20101202150153.000|20101202150154.000|CC1|THE STORM MOVED ON FROM THE     
20101202150154.000|20101202150157.000|CC1|NORTHEAST BUT THE CLEANUP IS    
20101202150157.000|20101202150159.000|CC1|JUST BEGINNING AND FOR MILLIONS 
20101202150159.000|20101202150201.000|CC1|OF AMERICANS THIS WILL BE A     
20101202150201.000|20101202150202.000|CC1|STORM TO REMEMBER.              
20101202150202.000|20101202150204.000|CC1|THE STORM WAS SO BAD BILL       
20101202150204.000|20101202150206.000|CC1|WALTMAN'S READY TO LEAVE THE    
20101202150206.000|20101202150207.000|CC1|CONNECTICUT HOME FOR GOOD.      
20101202150207.000|20101202150210.000|CC1|>> I'M NOT GOING TO BE HERE     
20101202150210.000|20101202150210.000|CC1|ANYMORE.                        
20101202150210.000|20101202150211.000|CC1|I COULD HAVE GOTTEN KILLED.     
20101202150211.000|20101202150212.000|CC1|>> Reporter: TRYING TO RIDE OUT 
20101202150212.000|20101202150216.000|CC1|THE STORMS WITH WINDS UP TO 70  
20101202150216.000|20101202150217.000|CC1|MILES PER HOUR SEPTEMBNT A TREE 
20101202150217.000|20101202150218.000|CC1|THROUGH THE ROOF.               
20101202150218.000|20101202150220.000|CC1|>> I JUST DON'T KNOW.           
20101202150220.000|20101202150222.000|CC1|THE HOUSE WAS MAD.              
20101202150222.000|20101202150222.000|CC1|THINGS ARE MAD.                 
20101202150222.000|20101202150224.000|CC1|>> Reporter: TENS OF THOUSANDS  
20101202150224.000|20101202150226.000|CC1|LOST POWER AFTER THE HIGH WINDS 
20101202150226.000|20101202150229.000|CC1|AND HEAVY RAINS PUSHED INTO NEW 
20101202150229.000|20101202150229.000|CC1|ENGLAND.                        
20101202150229.000|20101202150231.000|CC1|AT LEAST THREE PEOPLE WERE      
20101202150231.000|20101202150231.000|CC1|KILLED.                         
20101202150231.000|20101202150232.000|CC1|FLIGHTS AT NEW YORK AREA        
20101202150232.000|20101202150234.000|CC1|AIRPORTS WERE DELAYED BY UP TO  
20101202150234.000|20101202150235.000|CC1|FIVE HOURS.                     
20101202150235.000|20101202150237.000|CC1|HOURS BEFORE BASHING THE        
20101202150237.000|20101202150238.000|CC1|NORTHEAST, THE SYSTEM TORE      
20101202150238.000|20101202150239.000|CC1|THROUGH THE SOUTHEAST.          
20101202150239.000|20101202150241.000|CC1|AT LEAST 50 HOMES WERE DAMAGED  
20101202150241.000|20101202150243.000|CC1|IN THE ATLANTA AREA AFTER A     
20101202150243.000|20101202150244.000|CC1|STRING OF TORNADOES TOUCHED     
20101202150244.000|20101202150245.000|CC1|DOWN.                           
20101202150245.000|20101202150247.000|CC1|IN SOUTH CAROLINA, ANOTHER      
20101202150247.000|20101202150248.000|CC1|TWISTER.                        
20101202150248.000|20101202150251.000|CC1|AND A RIDE JOHN WILL NEVER      
20101202150251.000|20101202150251.000|CC1|FORGET.                         
20101202150251.000|20101202150254.000|CC1|>> I HEARD THE 2 x 4s AND ALL   
20101202150254.000|20101202150254.000|CC1|CRACKING.                       
20101202150254.000|20101202150256.000|CC1|I COULD FEEL THE HOME MOVING.   
20101202150256.000|20101202150257.000|CC1|I THOUGHT IT WAS GOING TO BLOW  
20101202150257.000|20101202150257.000|CC1|IT AWAY.                        
20101202150257.000|20101202150258.000|CC1|>> Reporter: IN THE MIDWEST, A  
20101202150258.000|20101202150259.000|CC1|DEEP FREEZE.                    
20101202150259.000|20101202150300.000|CC1|RESIDENTS HERE ARE USED TO      
20101202150300.000|20101202150301.000|CC1|AERLLY WINTER.                  
20101202150301.000|20101202150304.000|CC1|JUST NOT LIKE THIS.             
20101202150304.000|20101202150306.000|CC1|HEAVY SNOW AND ICE TIED UP      
20101202150306.000|20101202150308.000|CC1|HIGHWAYS FROM INDIANAPOLIS TO   
20101202150308.000|20101202150308.000|CC1|KALAMAZOO.                      
20101202150308.000|20101202150311.000|CC1|>> THIS IS A FIRST SNOWFALL,    
20101202150311.000|20101202150312.000|CC1|NATURALLY WE FORGET HOW TO      
20101202150312.000|20101202150315.000|CC1|DRIVE, SOME OF US.              
20101202150315.000|20101202150317.000|CC1|>> Reporter: AND THOUSANDS ARE  
20101202150317.000|20101202150318.000|CC1|STILL WITHOUT POWER HERE IN NEW 
20101202150318.000|20101202150320.000|CC1|YORK AND ACROSS THE NORTHEAST.  
20101202150320.000|20101202150321.000|CC1|THERE IS SOME GOOD NEWS, THOUGH.
20101202150321.000|20101202150323.000|CC1|THE AIRPORTS APPEAR TO BE       
20101202150323.000|20101202150324.000|CC1|GETTING BACK TO NORMAL.         
20101202150324.000|20101202150325.000|CC1|HARRY?                          
20101202150325.000|20101202150328.000|CC1|>> THANK YOU VERY MUCH.         
20101202150328.000|20101202150328.000|CC1|NOW HERE'S ERICA.               
20101202150328.000|20101202150329.000|CC1|>> THANKS.                      
20101202150329.000|20101202151013.000|SEG|Type=Story
20101202150329.000|20101202150331.000|CC1|>>> CONGRESS IS SCRAMBLING TO   
20101202150331.000|20101202150333.000|CC1|FIND COMPROMISES ON ISSUES THAT 
20101202150333.000|20101202150335.000|CC1|DIRECTLY AFFECT YOUR WALLET.    
20101202150335.000|20101202150336.000|CC1|INCLUDING THOSE BUSH ERA TAX    
20101202150336.000|20101202150338.000|CC1|RATES AS TIME IS RUNNING OUT    
20101202150338.000|20101202150339.000|CC1|BEFORE THE END OF THE YEAR.     
20101202150339.000|20101202150341.000|CC1|ALL THIS COMES AS MEMBERS OF    
20101202150341.000|20101202150342.000|CC1|PRESIDENT OBAMA'S DEFICIT       
20101202150342.000|20101202150343.000|CC1|CUTTING COMMISSION FLY TO FIND  
20101202150343.000|20101202150345.000|CC1|VOTES TO SEND THE               
20101202150345.000|20101202150347.000|CC1|RECOMMENDATIONS TO THE SENATE.  
20101202150347.000|20101202150348.000|CC1|CBS NEWS CONGRESSIONAL          
20101202150348.000|20101202150349.000|CC1|CORRESPONDENT NANCY CORDES HAS  
20101202150349.000|20101202150350.000|CC1|THE LATEST THIS MORNING FROM    
20101202150350.000|20101202150351.000|CC1|CAPITOL HILL.                   
20101202150351.000|20101202150352.000|CC1|GOOD MORNING.                   
20101202150352.000|20101202150353.000|CC1|>> Reporter: ERICA, GOOD        
20101202150353.000|20101202150353.000|CC1|MORNING.                        
20101202150353.000|20101202150355.000|CC1|REPUBLICANS HAVE DRAWN A LINE IN
20101202150355.000|20101202150357.000|CC1|THE SAND SAYING NOTHING ELSE    
20101202150357.000|20101202150358.000|CC1|WILL GET DONE IN THE SENATE     
20101202150358.000|20101202150401.000|CC1|UNTIL AN AGREEMENT IS REACHED ON
