TOP|20101202190002|2010-12-02_1900_US_CNN_Newsroom
COL|Communication Studies Archive, UCLA 
UID|5de378f2-fe46-11df-b3af-00e0815fe826
DUR|0:59:55.02
VID|640x480
CMT|
LAN|ENG
LBT|2010-12-02 11:00 America/Los_Angeles
SEG_01|2014-06-18 17:32:49|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101202190007.714|20101202191256.000|SEG|Type=Story
20101202190007.714|20101202190009.143|CCO|T OUTSIDE OF OUR 
20101202190009.143|20101202190010.571|CCO|OWN TINY PLANET TODAY IS YOUR 
20101202190010.571|20101202190012.000|CCO|DAY.
20101202190012.000|20101202190015.333|CCO|ANY SECOND NOW NASA WILL MAKE AN
20101202190015.333|20101202190018.667|CCO|ANNOUNCEMENT ABOUT SEARCH FOR 
20101202190018.667|20101202190022.000|CCO|EXTRATERRESTIAL LIFE.
20101202190022.000|20101202190025.333|CCO|WE THINK WE'LL HEAR ABOUT 
20101202190025.333|20101202190028.667|CCO|MICROBES.
20101202190028.667|20101202190032.000|CCO|REMEMBER THIS IT'S EVERY 
20101202190032.000|20101202190033.111|CCO|CHEMICAL ELEMENT KNOWN TO 
20101202190033.111|20101202190034.222|CCO|MANKIND.
20101202190034.222|20101202190035.333|CCO|I'LL SHOW THIS TO YOU.
20101202190035.333|20101202190036.444|CCO|MARK WILL HELP ME.
20101202190036.444|20101202190037.556|CCO|THIS IS THE PERIODIC TABLE OF 
20101202190037.556|20101202190038.667|CCO|THE ELEMENTS.
20101202190038.667|20101202190039.778|CCO|EVERYTHING THAT'S MADE.
20101202190039.778|20101202190040.889|CCO|EVERY KIND OF LIFE WE KNOW HAS 
20101202190040.889|20101202190042.000|CCO|THESE ELEMENTS IN IT.
20101202190042.000|20101202190044.500|CCO|THE ONES THERE IN YELLOW ONLY 
20101202190044.500|20101202190047.000|CCO|SIX OF THEM, HYDROGEN UP IN THE 
20101202190047.000|20101202190049.500|CCO|COP CORNER.
20101202190049.500|20101202190052.000|CCO|HYDROGEN, NITROGEN, OXYGEN, 
20101202190052.000|20101202190054.000|CCO|THESE ARE FUNDAMENTAL TO 
20101202190054.000|20101202190056.000|CCO|SUPPORTING LIFE.
20101202190056.000|20101202190058.000|CCO|THE YOSEMITE STUFF TLOOIFS ON 
20101202190058.000|20101202190100.000|CCO|ARSENIC WHICH IS A DEADLY 
20101202190100.000|20101202190102.000|CCO|POISON.
20101202190102.000|20101202190104.000|CCO|IT OCCURS ALL OVER THE WORLD BUT
20101202190104.000|20101202190106.000|CCO|NOT GOOD FOR US.
20101202190106.000|20101202190108.000|CCO|NOW THE KNOWLEDGE THAT 
20101202190108.000|20101202190110.000|CCO|SOMETHING, SOME BEING, SOME SORT
20101202190110.000|20101202190112.000|CCO|OF LIFE IS USING ARSENIC TO 
20101202190112.000|20101202190113.667|CCO|SURVIVE COULD GREATLY EXPAND THE
20101202190113.667|20101202190115.333|CCO|HORIZONs OF EXTRATERRESTIAL 
20101202190115.333|20101202190117.000|CCO|SEARCH TEAMS AND THEY HAVE BEEN 
20101202190117.000|20101202190118.667|CCO|BUSY.
20101202190118.667|20101202190120.333|CCO|LAST MONTH RESEARCHERS FOUND THE
20101202190120.333|20101202190122.000|CCO|FIRST PLANET TO COME FROM 
20101202190122.000|20101202190124.000|CCO|OUTSIDE OF OUR MILKY WAY GALAXY.
20101202190124.000|20101202190126.000|CCO|THIS IS AN ARTIST'S RENDITION.
20101202190126.000|20101202190128.000|CCO|THE JOURNAL "NATURE" POSTED THE 
20101202190128.000|20101202190130.000|CCO|NEWS THAT THE UNIVERSE MAY HAVE 
20101202190130.000|20101202190132.000|CCO|TRIPLED THE NUMBER OF STARS WE 
20101202190132.000|20101202190137.000|CCO|FIRST THOUGHT.
20101202190137.000|20101202190142.000|CCO|THE NEW NUMBER, 306 TILLION.
20101202190142.000|20101202190144.000|CCO|LET'S TALK A LITTLE ABOUT THE 
20101202190144.000|20101202190146.000|CCO|IMPLICATIONS OF WHAT WE THINK 
20101202190146.000|20101202190148.000|CCO|NASA IS GOING TO ANNOUNCE 
20101202190148.000|20101202190150.000|CCO|MOMENTARILY.
20101202190150.000|20101202190152.000|CCO|WE DON'T KNOW FOR SURE.
20101202190152.000|20101202190154.500|CCO|LET'S FIND OUT -- WE'LL FIND OUT
20101202190154.500|20101202190157.000|CCO|TOGETHER.
20101202190157.000|20101202190159.500|CCO|BILL NYE THE SCIENCE GUY IS 
20101202190159.500|20101202190202.000|CCO|BACK.
20101202190202.000|20101202190212.000|CCO|DR. TARTER IS AT THE SFEI.
20101202190212.000|20101202190213.667|CCO|SHE WAS THE INSPIRATION FOR JODI
20101202190213.667|20101202190215.333|CCO|FOSTER'S CHARACTER IN "CONTACT."
20101202190215.333|20101202190217.000|CCO|LET'S GO NASA.
20101202190217.000|20101202190218.667|CCO|>> FROM EARTH THAT WAS 
20101202190218.667|20101202190220.333|CCO|DISCOVERED THAT DOES SOMETHING 
20101202190220.333|20101202190222.000|CCO|VERY UNUSUAL.
20101202190222.000|20101202190224.500|CCO|TERRESTIAL LIFE BUT NOT LIFE AS 
20101202190224.500|20101202190227.000|CCO|WE KNOW IT.
20101202190227.000|20101202190229.500|CCO|THIS RESEARCH WAS FUNDED BY THE 
20101202190229.500|20101202190232.000|CCO|ASTRO BIOLOGY PROGRAM WHICH 
20101202190232.000|20101202190233.800|CCO|FOCUS ON THE ORIGIN OF LIFE, 
20101202190233.800|20101202190235.600|CCO|DISTRIBUTION OF LIFE AND FUTURE 
20101202190235.600|20101202190237.400|CCO|OF LIFE ON EARTH TO INFORM US AS
20101202190237.400|20101202190239.200|CCO|TO HOW WE MIGHT SEARCH FOR LIFE 
20101202190239.200|20101202190241.000|CCO|AND EVIDENCE OF LIFE IN OTHER 
20101202190241.000|20101202190243.000|CCO|PLACES IN OUR SOLAR SYSTEM.
20101202190243.000|20101202190245.000|CCO|NASA HAS HAD A LONG HISTORY OF 
20101202190245.000|20101202190247.000|CCO|FUNDING ORIGIN OF LIFE RESEARCH.
20101202190247.000|20101202190249.000|CCO|IN FACT WE'RE CELEBRATING OUR 
20101202190249.000|20101202190251.000|CCO|50th ANNIVERSARY THIS YEAR.
20101202190251.000|20101202190253.000|CCO|THE RESEARCH THAT'S GOING TO BE 
20101202190253.000|20101202190255.000|CCO|PRESENTED HERE TODAY SHOWS THE 
20101202190255.000|20101202190257.000|CCO|GOALS OF OUR PROGRAM AND OUR 
20101202190257.000|20101202190259.000|CCO|INTEREST IN THE ORIGIN OF LIFE 
20101202190259.000|20101202190301.000|CCO|AND LIFE IN THE UNIVERSE.
20101202190301.000|20101202190303.000|CCO|I WOULD LIKE TO INTRODUCE DR. 
20101202190303.000|20101202190305.000|CCO|SIMON, THE LEAD AUTHOR ON THE 
20101202190305.000|20101202190307.000|CCO|PAPER TO FILL US IN ON WHAT SHE 
20101202190307.000|20101202190309.000|CCO|DID AND WHAT SHE FOUND.
20101202190309.000|20101202190311.000|CCO|>> THANKS, MARY.
20101202190311.000|20101202190312.667|CCO|AS MARY PROBABLY KNOWS AND AS 
20101202190312.667|20101202190314.333|CCO|MANY OF MY COLLEAGUES WOULD 
20101202190314.333|20101202190316.000|CCO|AGREE W-I'M ALWAYS INTERESTED IN
20101202190316.000|20101202190317.667|CCO|EXCEPTIONS TO THE RULE.
20101202190317.667|20101202190319.333|CCO|WHAT I'M GOING TO TALK ABOUT 
20101202190319.333|20101202190321.000|CCO|HERE TODAY IS NOT THAT MUCH 
20101202190321.000|20101202190322.667|CCO|DIFFERENT THAN ANOTHER EXCEPTION
20101202190322.667|20101202190324.333|CCO|TO THE RULE.
20101202190324.333|20101202190326.000|CCO|AND SO I'VE DISCOVERED -- I'VE 
20101202190326.000|20101202190327.667|CCO|LED A TEAM THAT HAS DISCOVERED, 
20101202190327.667|20101202190329.333|CCO|SOMETHING THAT I'VE BEEN 
20101202190329.333|20101202190331.000|CCO|THINKING ABOUT FOR MANY YEARS.
20101202190331.000|20101202190333.000|CCO|I'VE BEEN THINKING ABOUT AN IDEA
20101202190333.000|20101202190335.000|CCO|OF SUBSTITUTION.
20101202190335.000|20101202190337.000|CCO|WHAT DOES IT MEAN TO BE 
20101202190337.000|20101202190339.000|CCO|SUBSTITUTION.
20101202190339.000|20101202190341.000|CCO|WHAT DOES IT MEAN TO ARE TOXICS.
20101202190341.000|20101202190344.333|CCO|I LED A TEAM THAT DISCOVERED A 
20101202190344.333|20101202190347.667|CCO|MICOBE.
20101202190347.667|20101202190351.000|CCO|ALL LIFE WE KNOW REQUIRES SIX 
20101202190351.000|20101202190353.500|CCO|ELEMENTS AND THE CRITICAL PIECES
20101202190353.500|20101202190356.000|CCO|WE'RE FAMILIAR W-DNA, RNA OR THE
20101202190356.000|20101202190358.500|CCO|INFORMATION TECHNOLOGY, THE 
20101202190358.500|20101202190401.000|CCO|PROTEIN WHICH ARE THE MOLECULAR 
20101202190401.000|20101202190403.500|CCO|MACHINES AND LIPIDS WHICH 
20101202190403.500|20101202190406.000|CCO|SEPARATE YOU FROM EVERYTHING 
20101202190406.000|20101202190408.500|CCO|ELSE.
20101202190408.500|20101202190411.000|CCO|SO BY DISCOVERING, WE DISCOVERED
20101202190411.000|20101202190413.500|CCO|IN OUR ORGANISM THAT CAN 
20101202190413.500|20101202190416.000|CCO|SUBSTITUTE ONE FOR ANOTHER.
20101202190416.000|20101202190418.500|CCO|I WANT TO GIVE US A LITTLE BIT 
20101202190418.500|20101202190421.000|CCO|IN AN ASTRO BIOLOGICAL CONTEXT 
20101202190421.000|20101202190424.333|CCO|OR LIFE IN A PLANETARY CONTEXT 
20101202190424.333|20101202190427.667|CCO|WHAT THIS COULD MEAN TO US.
20101202190427.667|20101202190431.000|CCO|I WOULD LIKE TO INTRODUCE TO YOU
20101202190431.000|20101202190436.000|CCO|TODAY THE BACTERIUM GFA-J1.
20101202190436.000|20101202190441.000|CCO|THESE ARE NOT LITTLE POTS TO.
20101202190441.000|20101202190442.667|CCO|THEY ARE MICROBES THAT 
20101202190442.667|20101202190444.333|CCO|SCIENTISTS CALL BUGS BUT THEY 
20101202190444.333|20101202190446.000|CCO|ARE NOT BUGS.
20101202190446.000|20101202190447.667|CCO|THIS IS A BACTERIUM THAT LOOKS 
20101202190447.667|20101202190449.333|CCO|ORDINARY, THIS IS A TYPE OF A 
20101202190449.333|20101202190451.000|CCO|MICROGRAPH THAT MANY OF HAVE 
20101202190451.000|20101202190453.500|CCO|SEEN BUT IT'S DOING SOMETHING 
20101202190453.500|20101202190456.000|CCO|EXTRAORDINARY.
20101202190456.000|20101202190458.500|CCO|WE'LL TALK ABOUT THAT.
20101202190458.500|20101202190501.000|CCO|BUT FIRST, LET'S FIND OUT WHERE 
20101202190501.000|20101202190503.000|CCO|THIS MICOBE IS FUN.
20101202190503.000|20101202190505.000|CCO|IT'S IN CALIFORNIA, EAST OF THE 
20101202190505.000|20101202190507.000|CCO|SIERRA, OUTSIDE OF THE YOSEMITE 
20101202190507.000|20101202190509.000|CCO|PARK.
20101202190509.000|20101202190511.000|CCO|A VERY INTERESTING ENVIRONMENT.
20101202190511.000|20101202190514.333|CCO|WE'LL TAKE A LOOK AT THAT.
20101202190514.333|20101202190517.667|CCO|PLEASE ROLL THAT FOOTAGE.
20101202190517.667|20101202190521.000|CCO|MONO LAKE HAS VERY HIGH LEVELS 
20101202190521.000|20101202190523.000|CCO|OF ARSENIC AND TEAMING WITH 
20101202190523.000|20101202190525.000|CCO|LIFE.
20101202190525.000|20101202190527.000|CCO|THE INHOSPITABLE ENVIRONMENT 
20101202190527.000|20101202190529.000|CCO|TEAMS WITH LIFE WITH BACTERIA 
20101202190529.000|20101202190531.000|CCO|AND ALGAE AND IS A MAJOR 
20101202190531.000|20101202190533.000|CCO|STOPPING POINT FOR MY GAER TO 
20101202190533.000|20101202190535.000|CCO|BIRDS ON THEIR WAY THROUGH THE 
20101202190535.000|20101202190537.000|CCO|UNITED STATES.
20101202190537.000|20101202190539.000|CCO|WE WENT TO LOOK FOR AN 
20101202190539.000|20101202190541.000|CCO|INTERESTING MICROBE.
20101202190541.000|20101202190543.000|CCO|LET ME TELL YOU A LITTLE BIT HOW
20101202190543.000|20101202190545.000|CCO|WE DID THIS.
20101202190545.000|20101202190547.000|CCO|IF YOU WANT TO LOOK FOR AN 
