TOP|20101202190001|2010-12-02_1900_US_KCBS_CBS_2_News_at_11
COL|Communication Studies Archive, UCLA 
UID|7d9f8934-fe4a-11df-be10-001517add6f3
DUR|0:29:29.66
VID|640x352
CMT|
LAN|ENG
LBT|2010-12-02 11:00 America/Los_Angeles
SEG_01|2014-06-18 17:32:51|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101202190002.000|20101202190002.000|XDS|%     CALL:   
20101202190002.000|20101202190002.000|XDS|%    TITLE: KC64POP20R
20101202190002.000|20101202190002.000|XDS|%  NETWORK: CBS
20101202190018.000|20101202192930.000|SEG|Type=Story
20101202190018.000|20101202190019.000|CC1| SANDRA: GOOD MORNING I'M       
20101202190019.000|20101202190022.000|CC1|SANDRA MITCHELL, KENT AND       
20101202190022.000|20101202190024.000|CC1|SIBILA HAVE THE MORNING OFF.    
20101202190024.000|20101202190031.000|CC1|BREAKING NEWS RIGHT NOW, ROD    
20101202190031.000|20101202190034.000|CC1|PATH OWE WILL SEEK THE DEATH    
20101202190034.000|20101202190034.000|CC1|PENT.                           
20101202190034.000|20101202190036.000|CC1|THE NEWS CONFERENCE JUST        
20101202190036.000|20101202190037.000|CC1|GETTING UNDER WAY.              
20101202190037.000|20101202190038.000|CC1|>> OF COURSE IN OUR COUNTY,     
20101202190038.000|20101202190040.000|CC1|AT LEAST IN THE LAST FOUR       
20101202190040.000|20101202190041.000|CC1|YEARS, HAVE ALSO CONTACTED      
20101202190041.000|20101202190044.000|CC1|THE VICTIM'S FAMILY AND HAVE    
20101202190044.000|20101202190045.000|CC1|TAKEN THE OPPORTUNITY TO        
20101202190045.000|20101202190049.000|CC1|DISCUSS WITH THEM AND ALL       
20101202190049.000|20101202190050.000|CC1|DETAILS WHAT THEY WOULD LIKE    
20101202190050.000|20101202190052.000|CC1|TO DISCUSS, AND WE SO LIST      
20101202190052.000|20101202190054.000|CC1|IT THEIR OPINION ON WHAT        
20101202190054.000|20101202190056.000|CC1|PENALTY WE SHOULD IMPOSE.       
20101202190056.000|20101202190058.000|CC1|THEN WE SIT DOWN AND HAVE       
20101202190058.000|20101202190100.000|CC1|ANOTHER MEETING WITH SENIOR     
20101202190100.000|20101202190102.000|CC1|STAFF, OUR SENIOR               
20101202190102.000|20101202190105.000|CC1|PROSECUTORS THEY HAVE           
20101202190105.000|20101202190107.000|CC1|HANDLED MANY DEATH              
20101202190107.000|20101202190108.000|CC1|PENALTIES, MYSELF INCLUDED,     
20101202190108.000|20101202190110.000|CC1|AND WE REVIEW THE CASE          
20101202190110.000|20101202190114.000|CC1|AGAIN, WE REVIEW THE            
20101202190114.000|20101202190116.000|CC1|VICTIM'S BACKGROUND AND ALL     
20101202190116.000|20101202190117.000|CC1|FACTS RELEVANT TO THAT          
20101202190117.000|20101202190118.000|CC1|SITUATION.                      
20101202190118.000|20101202190119.000|CC1|AT THAT MEETING ARE             
20101202190119.000|20101202190120.000|CC1|REPRESENTATIVES OF LAW          
20101202190120.000|20101202190121.000|CC1|ENFORCEMENT, AND OF COURSE      
20101202190121.000|20101202190123.000|CC1|WE ALSO ASK THEM WHAT           
20101202190123.000|20101202190126.000|CC1|THEY'RE OPINION IS AND WHAT     
20101202190126.000|20101202190129.000|CC1|PENALTY WE SHOULD SELECT.       
20101202190129.000|20101202190131.000|CC1|THE LAW REQUIRES US AS          
20101202190131.000|20101202190133.000|CC1|PROSECUTORS TO REVIEW           
20101202190133.000|20101202190134.000|CC1|AGGRAVATING CIRCUMSTANCES       
20101202190134.000|20101202190135.000|CC1|AND MITIGATING                  
20101202190135.000|20101202190136.000|CC1|CIRCUMSTANCES.                  
20101202190136.000|20101202190138.000|CC1|WE HAVE DONE SO IN THIS         
20101202190138.000|20101202190138.000|CC1|CASE.                           
20101202190138.000|20101202190141.000|CC1|WE LOOKED AT THE DEFENDANT'S    
20101202190141.000|20101202190143.000|CC1|BACKGROUND WHICH HAS MANY       
20101202190143.000|20101202190144.000|CC1|AGGRAVATING CIRCUMSTANCES IN    
20101202190144.000|20101202190145.000|CC1|IT.                             
20101202190145.000|20101202190146.000|CC1|WE ALSO --                      
20101202190146.000|20101202190148.000|CC1|AGGRAVATING CIRCUMSTANCES       
20101202190148.000|20101202190149.000|CC1|INCLUDE PRIOR FELONY            
20101202190149.000|20101202190152.000|CC1|CONVICTIONS, AND ANY ACT OF     
20101202190152.000|20101202190153.000|CC1|VIOLENCE WHETHER OR NOT THAT    
20101202190153.000|20101202190155.000|CC1|ACT OF VIOLENCE WAS             
20101202190155.000|20101202190155.000|CC1|PROSECUTED.                     
20101202190155.000|20101202190157.000|CC1|WE REVIEW ALL OF THOSE          
20101202190157.000|20101202190158.000|CC1|THINGS IN MAKING A DECISION     
20101202190158.000|20101202190200.000|CC1|IN THIS CASE, AND THEN WE       
20101202190200.000|20101202190201.000|CC1|ALSO HAD MANY DISCUSSIONS       
20101202190201.000|20101202190203.000|CC1|WITH THE DEFENDANT'S OWN        
20101202190203.000|20101202190206.000|CC1|FAMILY MEMBERS, SIBLINGS,       
20101202190206.000|20101202190207.000|CC1|RELATIVES FROM ALL OVER THE     
20101202190207.000|20101202190208.000|CC1|UNITED STATES WHO CAN           
20101202190208.000|20101202190211.000|CC1|PROVIDE US SOME INSIGHT INTO    
20101202190211.000|20101202190213.000|CC1|THE BACKGROUND OF THE           
20101202190213.000|20101202190213.000|CC1|DEFENDANT, AND WHETHER OR       
