TOP|20101202230001|2010-12-02_2300_US_CNN_Situation_Room
COL|Communication Studies Archive, UCLA 
UID|e4ec1bc6-fe67-11df-bb77-00e0815fe86c
DUR|0:59:55.02
VID|640x480
CMT|
TPF|transcripts.cnn.com|sitroom.02.html
HED|House Censures Charlie Rangel; Sarah Palin Off-Script
LAN|ENG
LBT|2010-12-02 15:00 America/Los_Angeles
SEG_01|2014-06-18 17:33:23|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101202230005.400|20101202230113.857|SEG|Type=Story
20101202230005.400|20101202230006.500|CCO|ISSUES, SO IT BREAKS MY 
20101202230006.500|20101202230007.600|CCO|HEART TO SEE THE CENSURE OF 
20101202230007.600|20101202230008.700|CCO|CHARLIE RANGEL AND OF COURSE, 
20101202230008.700|20101202230009.800|CCO|THE FIRST FEMALE SPEAKER HAVING 
20101202230009.800|20101202230010.900|CCO|TO READ THAT.
20101202230010.900|20101202230012.000|CCO|BUT WOLF, LET ME SAY THIS ABOUT 
20101202230012.000|20101202230014.250|CCO|CHARLIE RANGEL, HE MAY BE 80 
20101202230014.250|20101202230016.500|CCO|YEARS OLD, BUT HE IS ONE MAN WHO
20101202230016.500|20101202230018.750|CCO|WILL SUMMON THE COURAGE AND THE 
20101202230018.750|20101202230021.000|CCO|SPIRIT TO CONTINUE TO FIGHT FOR 
20101202230021.000|20101202230022.667|CCO|PEOPLE, AND HIS CONSTITUENTS IN 
20101202230022.667|20101202230024.333|CCO|HARLEM, SO TO MR. RANGEL AND HIS
20101202230024.333|20101202230026.000|CCO|FAMILY, IT HAS BEEN A LONG, LONG
20101202230026.000|20101202230027.667|CCO|PERIOD OF TIME FOR MR. RANGEL, 
20101202230027.667|20101202230029.333|CCO|BUT THIS, TOO, SHALL PASS.
20101202230029.333|20101202230031.000|CCO|MAY GOD BE WITH HIM. 
20101202230031.000|20101202230032.667|CCO|>> LET'S GET THE QUICK REACTION 
20101202230032.667|20101202230034.333|CCO|FROM THE REPUBLICAN STRATEGIST, 
20101202230034.333|20101202230036.000|CCO|MARY MATALIN. 
20101202230036.000|20101202230037.667|CCO|>> WELL, IT IS HARD TO MAKE A 
20101202230037.667|20101202230039.333|CCO|CASE THAT LAWMAKERS SHOULD NOT 
20101202230039.333|20101202230041.000|CCO|BE SUBJECTED TO THE SAME LAWS 
20101202230041.000|20101202230043.000|CCO|THEY MAKE, BUT I DON'T CARE WHAT
20101202230043.000|20101202230045.000|CCO|PARTY IT IS, HE IS A HUMAN BEING
20101202230045.000|20101202230047.000|CCO|AND I'M NOT A PROPONENT OF THAT 
20101202230047.000|20101202230049.000|CCO|PUBLIC HUMILIATION.
20101202230049.000|20101202230051.000|CCO|HE DESERVED IT.
20101202230051.000|20101202230053.000|CCO|HE BROKE THE LAW, BUT I THINK 
20101202230053.000|20101202230055.000|CCO|THAT PEOPLE IN PUBLIC SERVICE, 
20101202230055.000|20101202230057.000|CCO|THEY NEED TO FIND ANOTHER WAY TO
20101202230057.000|20101202230059.000|CCO|DEAL WITH THEIR ETHICAL ISSUES 
20101202230059.000|20101202230101.000|CCO|THAN -- I JUST DON'T -- I DON'T 
20101202230101.000|20101202230102.667|CCO|LIKE THE PUBLIC HUMILIATION 
20101202230102.667|20101202230104.333|CCO|THING, AND I DON'T CARE WHETHER 
20101202230104.333|20101202230106.000|CCO|IT IS A REPUBLICAN OR DEMOCRAT 
20101202230106.000|20101202230107.667|CCO|OR WHO IT IS.
20101202230107.667|20101202230109.333|CCO|IT IS "LORD OF THE FLIES."
20101202230109.333|20101202230111.000|CCO|>> MARY MATALIN AND DONNA 
20101202230111.000|20101202230112.429|CCO|BRAZILE, THANK YOU BOTH VERY, 
20101202230112.429|20101202230113.857|CCO|VERY MUCH.
20101202230113.857|20101202230209.750|SEG|Type=Story
20101202230113.857|20101202230115.286|CCO|>>> AND YOU ARE IN "THE 
20101202230115.286|20101202230116.714|CCO|SITUATION ROOM."
20101202230116.714|20101202230118.143|CCO|HAPPENING NOW, IT IS LIKE 
20101202230118.143|20101202230119.571|CCO|SOMETHING OUT OF A JAMES BOND 
20101202230119.571|20101202230121.000|CCO|MOVIE.
20101202230121.000|20101202230122.667|CCO|THE WEBSITE THAT'S LEAKING U.S. 
20101202230122.667|20101202230124.333|CCO|SECRETS BY THE THOUSANDS NOW 
20101202230124.333|20101202230126.000|CCO|REPORTEDLY MOVING INTO A NEW 
20101202230126.000|20101202230127.667|CCO|HIGH-TECH MOUNTAIN CAVE.
20101202230127.667|20101202230129.333|CCO|WE WILL TAKE YOU INSIDE.
20101202230129.333|20101202230131.000|CCO|ALSO, SARAH PALIN'S TIGHTLY 
20101202230131.000|20101202230132.667|CCO|CONTROLLED BOOK TOUR GOES OFF 
20101202230132.667|20101202230134.333|CCO|SCRIPT, AND GIVES OUR REPORTER A
20101202230134.333|20101202230136.000|CCO|CHANCE TO ASK HER THE QUESTIONS 
20101202230136.000|20101202230137.667|CCO|SHE DIDN'T NECESSARILY WANT TO 
20101202230137.667|20101202230139.333|CCO|ANSWER ON THIS DAY.
20101202230139.333|20101202230141.000|CCO|AND HE IS ABOUT TO TAKE OVER ONE
20101202230141.000|20101202230142.667|CCO|OF THE MOST HIGH PROFILE 
20101202230142.667|20101202230144.333|CCO|POSITIONS ON TELEVISION, GETTING
20101202230144.333|20101202230146.000|CCO|READY TO STEP INTO LARRY KING'S 
20101202230146.000|20101202230147.667|CCO|SUSPENDERS.
20101202230147.667|20101202230149.333|CCO|PIERS MORGAN MAKING THE CNN 
20101202230149.333|20101202230151.000|CCO|DEBUT RIGHT HERE IN "THE 
20101202230151.000|20101202230152.250|CCO|SITUATION ROOM" THIS HOUR.
20101202230152.250|20101202230153.500|CCO|WE WANT TO WELCOME OUR VIEWERS 
20101202230153.500|20101202230154.750|CCO|IN THE UNITED STATES AND AROUND 
20101202230154.750|20101202230156.000|CCO|THE WORLD.
20101202230156.000|20101202230157.250|CCO|BREAKING NEWS, POLITICAL 
20101202230157.250|20101202230158.500|CCO|HEADLINES AND JEANNE MOOS, ALL 
20101202230158.500|20101202230159.750|CCO|STRAIGHT AHEAD.
20101202230159.750|20101202230201.000|CCO|I'M WOLF BLITZER, AND YOU ARE IN
20101202230201.000|20101202230202.250|CCO|"THE SITUATION ROOM."
