TOP|20101203000002|2010-12-03_0000_US_CNN_John_King_USA
COL|Communication Studies Archive, UCLA 
UID|4718f8e8-fe70-11df-8c65-00e0815fe826
DUR|0:59:55.02
VID|640x480
CMT|
TPF|transcripts.cnn.com|jkusa.01.html
HED|House Censures Rangel; Tax Cuts; WikiLeaks Investigation
LAN|ENG
LBT|2010-12-02 16:00 America/Los_Angeles
SEG_01|2014-06-18 17:33:40|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101203000006.444|20101203000032.000|SEG|Type=Story
20101203000006.444|20101203000007.556|CCO|WE COULD PLU INTO YOU AND SEND 
20101203000007.556|20101203000008.667|CCO|OUT A LIVE SHOT?
20101203000008.667|20101203000009.778|CCO|>> ABSOLUTELY.
20101203000009.778|20101203000010.889|CCO|>> HIS PROJECT IS CALLED THE 
20101203000010.889|20101203000012.000|CCO|THIRD EYE, BUT WHEN THE PLANET 
20101203000012.000|20101203000014.000|CCO|OF SPACE BALL GOT BEAMED IN WITH
20101203000014.000|20101203000016.000|CCO|HIS HEAD ON BACKWARDS, IT'S NOT 
20101203000016.000|20101203000018.000|CCO|ALWAYS GREAT TO HAVE EYES IN THE
20101203000018.000|20101203000020.000|CCO|BACK OF YOUR HEAD.
20101203000020.000|20101203000022.000|CCO|>> WHY DIDN'T SOMEONE TELL ME MY
20101203000022.000|20101203000024.000|CCO|ASS WAS SO BIG.
20101203000024.000|20101203000026.000|CCO|IT'S LIKE A BALD SPOT ONLY NOT.
20101203000026.000|20101203000028.000|CCO|>> JEANNE MOOS, NEW YORK.
20101203000028.000|20101203000030.000|CCO|>> JOHN KING USA STARTS RIGHT 
20101203000030.000|20101203000032.000|CCO|NOW.
20101203000032.000|20101203000052.000|SEG|Type=Story
20101203000032.000|20101203000033.667|CCO|>>> THANKS, AND GOOD EVENING.
20101203000033.667|20101203000035.333|CCO|TONIGHT FASCINATING NEW RESEARCH
20101203000035.333|20101203000037.000|CCO|THAT FORCES US TO RETHINK 
20101203000037.000|20101203000038.667|CCO|FUNDAMENTAL QUESTIONS ABOUT THE 
20101203000038.667|20101203000040.333|CCO|BUILDING BLOCKS OF LIFE.
20101203000040.333|20101203000042.000|CCO|IT WAS A DISCOVERY RIGHT HERE ON
20101203000042.000|20101203000045.333|CCO|EARTH, BUT THE SCITIST SAYS 
20101203000045.333|20101203000048.667|CCO|IT'S MUCH MORE LIKELY SHE THINKS
20101203000048.667|20101203000052.000|CCO|THERE'S LIFE ELSEWHERE TOO. 
20101203000052.000|20101203000142.000|SEG|Type=Story
20101203000052.000|20101203000053.429|CCO|>>> CRACKLING EXCHANGING AS THE 
20101203000053.429|20101203000054.857|CCO|DEFENSE SECRETARY AND TOP 
20101203000054.857|20101203000056.286|CCO|MILITARY OFFICER MAKE THE CASE 
20101203000056.286|20101203000057.714|CCO|FOR REPEALING DON'T ASK DON'T 
20101203000057.714|20101203000059.143|CCO|TELL POLICY THAT PREVENTING GAY 
20101203000059.143|20101203000100.571|CCO|AMERICANS FROM SERVING OPENLY.
20101203000100.571|20101203000102.000|CCO|>> I'VE BEEN SERVING WITH GAYS 
20101203000102.000|20101203000103.667|CCO|AND LESBIANS MY WHOLE CAREER.
20101203000103.667|20101203000105.333|CCO|I WENT TO WAR WITH THEM ABOARD A
