TOP|20101203010001|2010-12-03_0100_US_KMEX_Primer_Impacto
COL|Communication Studies Archive, UCLA 
UID|a869ccdc-fe78-11df-80cf-00e0815ffae2
DUR|0:59:55.02
VID|640x480
CMT|
LAN|SPA
LBT|2010-12-02 17:00 America/Los_Angeles
SEG_01|2014-06-18 17:34:11|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101203010011.000|20101203010041.000|SEG|Type=Story
20101203010011.000|20101203010014.333|CCO|GORDO Y FLACA
20101203010014.333|20101203010017.667|CCO|(MÚsica)
20101203010017.667|20101203010021.000|CCO|Hoy en "Primer Impacto."
20101203010021.000|20101203010024.333|CCO|Estamos en Zúrich donde la FIFA 
20101203010024.333|20101203010027.667|CCO|hizo un histórico anuncio, las 
20101203010027.667|20101203010031.000|CCO|futuras sedes del mundial.
20101203010031.000|20101203010036.000|CCO|Y una desalmada la golpea sin 
20101203010036.000|20101203010041.000|CCO|piedad y la lanza al suelo.
20101203010041.000|20101203010111.000|SEG|Type=Story
20101203010041.000|20101203010044.333|CCO|>>> Atropellan a hispano que 
20101203010044.333|20101203010047.667|CCO|asesinó a su mujer e intentó 
20101203010047.667|20101203010051.000|CCO|escapar en una autopista.
20101203010051.000|20101203010053.000|CCO|Un impacto lanza a un 
20101203010053.000|20101203010055.000|CCO|automovilista contra otro 
20101203010055.000|20101203010057.000|CCO|vehículo.
20101203010057.000|20101203010059.000|CCO|Maltratan a un niño en un 
20101203010059.000|20101203010101.000|CCO|proceso de adopción.
20101203010101.000|20101203010104.333|CCO|La NASA revela un impactante 
20101203010104.333|20101203010107.667|CCO|descubrimiento que tiene que ver
20101203010107.667|20101203010111.000|CCO|con otras formas de vida.
20101203010111.000|20101203010123.500|SEG|Type=Story
20101203010111.000|20101203010116.000|CCO|>>> Y llegó el gran día, se dan 
20101203010116.000|20101203010121.000|CCO|a conocer los nominados ma 
20101203010121.000|20101203010123.500|CCO|premio Lo Nuestro.
20101203010123.500|20101203010143.000|SEG|Type=Story
20101203010123.500|20101203010126.000|CCO|>>> Mientras algunos saltan de 
20101203010126.000|20101203010128.500|CCO|júbilo, otros reciben una gran 
20101203010128.500|20101203010131.000|CCO|decepción, son las dos caras de 
20101203010131.000|20101203010134.333|CCO|la moneda entre los que 
20101203010134.333|20101203010137.667|CCO|aspiraban a ser anfiotriones del
20101203010137.667|20101203010141.000|CCO|deporte rey, la FIFA dejó a 
20101203010141.000|20101203010143.000|CCO|todos sorprendidos.
20101203010143.000|20101203010147.000|SEG|Type=Story
20101203010143.000|20101203010145.000|CCO|>>> Amigos, les saluda Verónica 
20101203010145.000|20101203010147.000|CCO|del Castillo.
20101203010147.000|20101203010151.000|SEG|Type=Story
20101203010147.000|20101203010149.000|CCO|>>> Gracias por estar con 
20101203010149.000|20101203010151.000|CCO|nosotros.
20101203010151.000|20101203010201.000|SEG|Type=Story
20101203010151.000|20101203010154.333|CCO|>>> Rusia y Qatar dos países que
20101203010154.333|20101203010157.667|CCO|jamás albergaron el torneo serán
20101203010157.667|20101203010201.000|CCO|las sedes en el 2018 y 2022.
20101203010201.000|20101203010213.500|SEG|Type=Story
20101203010201.000|20101203010206.000|CCO|>>> El anuncio lo hizo la FIFA 
20101203010206.000|20101203010211.000|CCO|en Zúrich, y ahí estuvo Fernando
20101203010211.000|20101203010213.500|CCO|fiore con todos los detalles.
20101203010213.500|20101203010334.333|SEG|Type=Story
20101203010213.500|20101203010216.000|CCO|>>> Algo no cambió en Zúrich, 
20101203010216.000|20101203010218.500|CCO|sigue haciendo mucho frío.
20101203010218.500|20101203010221.000|CCO|Sin embargo el mundo del fútbol 
20101203010221.000|20101203010224.333|CCO|no será el mismo, la FIFA 
20101203010224.333|20101203010227.667|CCO|seleccionó a los países que 
20101203010227.667|20101203010231.000|CCO|serán anfitriones del mundial, 
20101203010231.000|20101203010234.333|CCO|para el 2018 escogió a Rusia, 
20101203010234.333|20101203010237.667|CCO|para el 2022 seleccionó a Qatar 
20101203010237.667|20101203010241.000|CCO|que es país más pequeño que el 
20101203010241.000|20101203010244.333|CCO|estado de Connecticut, cosas del
20101203010244.333|20101203010247.667|CCO|fútbol y de la FIFA.
20101203010247.667|20101203010251.000|CCO|Y todo comenzó después del medio
20101203010251.000|20101203010254.333|CCO|día, y comenzaron a llegar las 
20101203010254.333|20101203010257.667|CCO|delegaciones, vimos llegar a 
20101203010257.667|20101203010301.000|CCO|Gullit, a del Bosque, Landon 
20101203010301.000|20101203010303.500|CCO|Donovan y muchos más.
20101203010303.500|20101203010306.000|CCO|Después llegaría el momento de 
20101203010306.000|20101203010308.500|CCO|tensión y ansiedad, quiénes 
20101203010308.500|20101203010311.000|CCO|serían los anfitriones.
20101203010311.000|20101203010331.000|CCO|Y todo quedó debelado cuando 
20101203010331.000|20101203010334.333|CCO|Blatter abrió los sobres.
20101203010334.333|20101203010407.667|SEG|Type=Story
20101203010334.333|20101203010337.667|CCO|>>> Desde ese momento se podría 
20101203010337.667|20101203010341.000|CCO|hablar de vencedores y vencidos,
20101203010341.000|20101203010346.000|CCO|9 países se iban a casi triste, 
20101203010346.000|20101203010351.000|CCO|pero se desataba la locura en 
20101203010351.000|20101203010354.333|CCO|Rusia y Qatar, el lema de Qatar 
20101203010354.333|20101203010357.667|CCO|es: Espera lo increíble.
20101203010357.667|20101203010401.000|CCO|Y vamos directamente con Paulo, 
20101203010401.000|20101203010404.333|CCO|nos habla más en detalles.
20101203010404.333|20101203010407.667|CCO|Adelante.
20101203010407.667|20101203010434.333|SEG|Type=Story
20101203010407.667|20101203010411.000|CCO|>>> Gracias, Fernando.
20101203010411.000|20101203010414.333|CCO|Rusia se quedó desde temprano 
20101203010414.333|20101203010417.667|CCO|con la sede del mundial 2018.
20101203010417.667|20101203010421.000|CCO|En la segunda ronda de votación 
20101203010421.000|20101203010424.333|CCO|con 13 de los 22 sufragios luego
20101203010424.333|20101203010427.667|CCO|de haber eliminado a Inglaterra,
20101203010427.667|20101203010431.000|CCO|y albegarán el próximo mundial 
20101203010431.000|20101203010434.333|CCO|después de Brasil.
20101203010434.333|20101203010521.000|SEG|Type=Story
20101203010434.333|20101203010437.667|CCO|>>> Rusia metió un gol 
20101203010437.667|20101203010441.000|CCO|inesperado, el país más extenso 
20101203010441.000|20101203010444.333|CCO|del mundo será el primero de 
20101203010444.333|20101203010447.667|CCO|Europa del este que albergará un
20101203010447.667|20101203010451.000|CCO|mundial.
20101203010451.000|20101203010454.333|CCO|Y al haber organizado los Juegos
20101203010454.333|20101203010457.667|CCO|Olímpicos del 80 ya tienen 
20101203010457.667|20101203010501.000|CCO|experiencia, hay preocupación 
20101203010501.000|20101203010504.333|CCO|por su escasa oferta de 
20101203010504.333|20101203010507.667|CCO|transporte público.
20101203010507.667|20101203010511.000|CCO|Y asegura tener 100 mil camas 
20101203010511.000|20101203010521.000|CCO|San Petersburgo.
20101203010521.000|20101203010635.000|SEG|Type=Story
20101203010521.000|20101203010523.500|CCO|>>> Y Rusia prometió que los 
20101203010523.500|20101203010526.000|CCO|aficionados tendrán acceso 
20101203010526.000|20101203010528.500|CCO|gratuito y no se requeriría 
20101203010528.500|20101203010531.000|CCO|visa.
20101203010531.000|20101203010536.000|CCO|Y hay otro debutante.
20101203010536.000|20101203010541.000|CCO|El llando de la delegación de 
20101203010541.000|20101203010546.000|CCO|Qatar emocionó a todo un 
20101203010546.000|20101203010551.000|CCO|planeta, la elección de este 
20101203010551.000|20101203010554.333|CCO|pequeño emirato árabe pone 
20101203010554.333|20101203010557.667|CCO|grandes incognitas, prevén una 
20101203010557.667|20101203010601.000|CCO|inversión de 700 millones.
