TOP|20101203020001|2010-12-03_0200_US_KABC_Eyewitness_News_6PM
COL|Communication Studies Archive, UCLA 
UID|0a2c4a6e-fe81-11df-9a5e-00e0815fe83e
DUR|0:29:55.02
VID|640x480
CMT|
LAN|ENG
LBT|2010-12-02 18:00 America/Los_Angeles
SEG_01|2014-06-18 17:34:26|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101203020003.500|20101203022956.000|SEG|Type=Story
20101203020003.500|20101203022956.000|SEG_01|Type=Commercial
20101203020003.500|20101203020004.125|CCO| OF HERE!
20101203020004.125|20101203020004.750|CCO|
20101203020004.750|20101203020005.375|CCO|
20101203020005.375|20101203020006.000|CCO|>> Reporter: PUBLICIST RONNI
20101203020006.000|20101203020006.625|CCO|
20101203020006.625|20101203020007.250|CCO|
20101203020007.250|20101203020007.875|CCO|CHASEN WAS SHOT SEVERAL
20101203020007.875|20101203020008.500|CCO|
20101203020008.500|20101203020009.125|CCO|
20101203020009.125|20101203020009.750|CCO|TIMES AS SHE DROVE HOME FROM
20101203020009.750|20101203020010.375|CCO|
20101203020010.375|20101203020011.000|CCO|
20101203020011.000|20101203020011.833|CCO|A PARTY AFTER A MOVIE
20101203020011.833|20101203020012.667|CCO|
20101203020012.667|20101203020013.500|CCO|
20101203020013.500|20101203020014.333|CCO|PREMIE THEY SAY SHE COULD
20101203020014.333|20101203020015.167|CCO|
20101203020015.167|20101203020016.000|CCO|
20101203020016.000|20101203020016.833|CCO|HAVE BEEN TARGETED.
20101203020016.833|20101203020017.667|CCO|
20101203020017.667|20101203020018.500|CCO|
20101203020018.500|20101203020019.333|CCO|>> THE WAY HE KEPT TALKING
20101203020019.333|20101203020020.167|CCO|
20101203020020.167|20101203020021.000|CCO|
20101203020021.000|20101203020021.556|CCO|ABOUT, IF HE GOT CAUGHT OR
20101203020021.556|20101203020022.111|CCO|
20101203020022.111|20101203020022.667|CCO|
20101203020022.667|20101203020023.222|CCO|IF POLICE CAUGHT HIM HE
20101203020023.222|20101203020023.778|CCO|
20101203020023.778|20101203020024.333|CCO|
20101203020024.333|20101203020024.889|CCO|WOULD NEVER GO BACK TO
20101203020024.889|20101203020025.444|CCO|
20101203020025.444|20101203020026.000|CCO|
20101203020026.000|20101203020026.556|CCO|PRISON, HIGH WOULD DIE
20101203020026.556|20101203020027.111|CCO|
20101203020027.111|20101203020027.667|CCO|
20101203020027.667|20101203020028.222|CCO|FIRST, GO OUT IN A BIG
20101203020028.222|20101203020028.778|CCO|
20101203020028.778|20101203020029.333|CCO|
20101203020029.333|20101203020029.889|CCO|BLAZE, HE WASN'T GOING BACK
20101203020029.889|20101203020030.444|CCO|
20101203020030.444|20101203020031.000|CCO|
20101203020031.000|20101203020031.556|CCO|TO PRISON.
20101203020031.556|20101203020032.111|CCO|
20101203020032.111|20101203020032.667|CCO|
20101203020032.667|20101203020033.222|CCO|>> Reporter: ALL THIS SOUNDS
20101203020033.222|20101203020033.778|CCO|
20101203020033.778|20101203020034.333|CCO|
20101203020034.333|20101203020034.889|CCO|FAR FETCHED, WHO SAID THAT
20101203020034.889|20101203020035.444|CCO|
20101203020035.444|20101203020036.000|CCO|
20101203020036.000|20101203020036.556|CCO|SMITH WOULD HANG AROUND FOR
20101203020036.556|20101203020037.111|CCO|
20101203020037.111|20101203020037.667|CCO|
20101203020037.667|20101203020038.222|CCO|HOURS AND TALKED A LOT BUT
20101203020038.222|20101203020038.778|CCO|
20101203020038.778|20101203020039.333|CCO|
