TOP|20101203030002|2010-12-03_0300_US_FOX-News_On_the_Record_Greta_Van_Susteren
COL|Communication Studies Archive, UCLA 
UID|6c8a7624-fe89-11df-8410-00e0815fe86c
DUR|0:59:54.03
VID|640x480
CMT|
LAN|ENG
LBT|2010-12-02 19:00 America/Los_Angeles
SEG_01|2014-06-18 17:34:48|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101203030003.429|20101203034812.000|SEG|Type=Story
20101203030003.429|20101203035956.000|SEG_01|Type=Commercial
20101203030003.429|20101203030003.786|CCO|AS SHE STANDS BY TO
20101203030003.786|20101203030004.143|CCO|
20101203030004.143|20101203030004.500|CCO|
20101203030004.500|20101203030004.857|CCO|BRING YOU THE REST OF THE NEWS
20101203030004.857|20101203030005.214|CCO|
20101203030005.214|20101203030005.571|CCO|
20101203030005.571|20101203030005.929|CCO|TONIGHT.
20101203030005.929|20101203030006.286|CCO|
20101203030006.286|20101203030006.643|CCO|
20101203030006.643|20101203030007.000|CCO|WE'LL BE BACK HERE TOMORROW
20101203030007.000|20101203030007.357|CCO|
20101203030007.357|20101203030007.714|CCO|
20101203030007.714|20101203030008.071|CCO|NIGHT.
20101203030008.071|20101203030008.429|CCO|
20101203030008.429|20101203030008.786|CCO|
20101203030008.786|20101203030009.143|CCO|THANKS FOR BEING WITH US.
20101203030009.143|20101203030009.500|CCO|
20101203030009.500|20101203030009.857|CCO|
20101203030009.857|20101203030010.214|CCO|WE HOPE YOU HAVE A GREAT NIGHT.
20101203030010.214|20101203030010.571|CCO|
20101203030010.571|20101203030010.929|CCO|
20101203030010.929|20101203030011.286|CCO|>> THANKS, SEAN.
20101203030011.286|20101203030011.643|CCO|
20101203030011.643|20101203030012.000|CCO|
20101203030012.000|20101203030012.476|CCO|TONIGHT YOU NEED TO HEAR THIS,
20101203030012.476|20101203030012.952|CCO|
20101203030012.952|20101203030013.429|CCO|
20101203030013.429|20101203030013.905|CCO|BECAUSE THIS IMPACTS YOU BIG
20101203030013.905|20101203030014.381|CCO|
20101203030014.381|20101203030014.857|CCO|
20101203030014.857|20101203030015.333|CCO|TIME.
20101203030015.333|20101203030015.810|CCO|
20101203030015.810|20101203030016.286|CCO|
20101203030016.286|20101203030016.762|CCO|REPUBLICAN SENATOR JON KYL ON
20101203030016.762|20101203030017.238|CCO|
20101203030017.238|20101203030017.714|CCO|
20101203030017.714|20101203030018.190|CCO|THE RECORD.
20101203030018.190|20101203030018.667|CCO|
20101203030018.667|20101203030019.143|CCO|
20101203030019.143|20101203030019.619|CCO|NICE TO SEE YOU, SIR.
20101203030019.619|20101203030020.095|CCO|
20101203030020.095|20101203030020.571|CCO|
20101203030020.571|20101203030021.048|CCO|>> THANKS, GRETA.
20101203030021.048|20101203030021.524|CCO|
20101203030021.524|20101203030022.000|CCO|
20101203030022.000|20101203030022.417|CCO|ALWAYS GREAT TO BE WITH YOU.
20101203030022.417|20101203030022.833|CCO|
20101203030022.833|20101203030023.250|CCO|
20101203030023.250|20101203030023.667|CCO|>> Greta: ACTIVITY IN THE HOUSE
20101203030023.667|20101203030024.083|CCO|
20101203030024.083|20101203030024.500|CCO|
20101203030024.500|20101203030024.917|CCO|OF REPRESENTATIVES TODAY.
20101203030024.917|20101203030025.333|CCO|
20101203030025.333|20101203030025.750|CCO|
20101203030025.750|20101203030026.167|CCO|YOU'VE GOT A BILL COMING FROM
20101203030026.167|20101203030026.583|CCO|
20101203030026.583|20101203030027.000|CCO|
20101203030027.000|20101203030027.417|CCO|THE HOUSE OVER TO THE SENATE
20101203030027.417|20101203030027.833|CCO|
20101203030027.833|20101203030028.250|CCO|
20101203030028.250|20101203030028.667|CCO|ABOUT THE EXTENSION OF THE
20101203030028.667|20101203030029.083|CCO|
20101203030029.083|20101203030029.500|CCO|
20101203030029.500|20101203030029.917|CCO|MIDDLE-CLASS TAX CUT.
20101203030029.917|20101203030030.333|CCO|
20101203030030.333|20101203030030.750|CCO|
20101203030030.750|20101203030031.167|CCO|DO YOU LIKE IT?
20101203030031.167|20101203030031.583|CCO|
20101203030031.583|20101203030032.000|CCO|
20101203030032.000|20101203030032.476|CCO|>> NO, I DON'T.
20101203030032.476|20101203030032.952|CCO|
20101203030032.952|20101203030033.429|CCO|
20101203030033.429|20101203030033.905|CCO|>> Greta: I'M TEASING YOU.
20101203030033.905|20101203030034.381|CCO|
20101203030034.381|20101203030034.857|CCO|
20101203030034.857|20101203030035.333|CCO|I KNOW YOU DON'T LIKE IT.
20101203030035.333|20101203030035.810|CCO|
20101203030035.810|20101203030036.286|CCO|
20101203030036.286|20101203030036.762|CCO|>> THEY HAD TO SHOW THAT THEIR
20101203030036.762|20101203030037.238|CCO|
20101203030037.238|20101203030037.714|CCO|
20101203030037.714|20101203030038.190|CCO|MEMBERS COULD VOTE TO SUPPORT
20101203030038.190|20101203030038.667|CCO|
20101203030038.667|20101203030039.143|CCO|
20101203030039.143|20101203030039.619|CCO|WHAT THE PRESIDENT AND THE
20101203030039.619|20101203030040.095|CCO|
20101203030040.095|20101203030040.571|CCO|
20101203030040.571|20101203030041.048|CCO|MAJORITY OF THE DEMOCRATS WANTED
20101203030041.048|20101203030041.524|CCO|
20101203030041.524|20101203030042.000|CCO|
20101203030042.000|20101203030042.667|CCO|TO SUPPORT, THEIR SO-CALLED
20101203030042.667|20101203030043.333|CCO|
20101203030043.333|20101203030044.000|CCO|
20101203030044.000|20101203030044.667|CCO|MIDDLE-CLASS TAX CUTS.
20101203030044.667|20101203030045.333|CCO|
20101203030045.333|20101203030046.000|CCO|
20101203030046.000|20101203030046.667|CCO|>> Greta: WHY DO YOU SHITHEAD?
20101203030046.667|20101203030047.333|CCO|
20101203030047.333|20101203030048.000|CCO|
20101203030048.000|20101203030048.667|CCO|THEY DIDN'T HAVE TO.
20101203030048.667|20101203030049.333|CCO|
20101203030049.333|20101203030050.000|CCO|
20101203030050.000|20101203030050.667|CCO|>> NO, THEY DIDN'T HAVE TO, BUT
20101203030050.667|20101203030051.333|CCO|
20101203030051.333|20101203030052.000|CCO|
20101203030052.000|20101203030052.667|CCO|FOR POLITICAL REASONS THEY HAD
20101203030052.667|20101203030053.333|CCO|
20101203030053.333|20101203030054.000|CCO|
20101203030054.000|20101203030054.667|CCO|TO DEMONSTRATE THAT THEY TRIED
20101203030054.667|20101203030055.333|CCO|
20101203030055.333|20101203030056.000|CCO|
20101203030056.000|20101203030056.667|CCO|HARD TO GET IT DONE.
20101203030056.667|20101203030057.333|CCO|
20101203030057.333|20101203030058.000|CCO|
20101203030058.000|20101203030058.667|CCO|>> Greta: AMERICANS DON'T BUSY
20101203030058.667|20101203030059.333|CCO|
20101203030059.333|20101203030100.000|CCO|
20101203030100.000|20101203030100.667|CCO|WORK FOR THE HOUSE, DON'T WANT
20101203030100.667|20101203030101.333|CCO|
20101203030101.333|20101203030102.000|CCO|
20101203030102.000|20101203030102.833|CCO|TO SEE WHETHER THE HOUSE KNOWS
20101203030102.833|20101203030103.667|CCO|
20101203030103.667|20101203030104.500|CCO|
20101203030104.500|20101203030105.333|CCO|HOW TO VOTE, AND THEY KNOW THE
20101203030105.333|20101203030106.167|CCO|
20101203030106.167|20101203030107.000|CCO|
20101203030107.000|20101203030107.833|CCO|BILL'S GOING OVER TO THE SENATE,
