TOP|20101203070002|2010-12-03_0700_US_ComedyCentral_Colbert_Report
COL|Communication Studies Archive, UCLA 
UID|f325c2bc-feaa-11df-85d1-00e0815fe826
DUR|0:34:54.02
VID|640x480
CMT|
LAN|ENG
LBT|2010-12-02 23:00 America/Los_Angeles
SEG_01|2014-06-18 17:34:58|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101203070022.000|20101203073456.000|SEG|Type=Story
20101203070022.000|20101203070022.909|CCO|DAVID!
20101203070022.909|20101203070030.182|SEG_01|Type=Commercial
20101203070022.909|20101203070023.818|CCO|           HEY SPADE!
20101203070023.818|20101203070024.727|CCO|      MIND IF I TAKE A DIP
20101203070024.727|20101203070025.636|CCO|             IN YOUR POOL?
20101203070025.636|20101203070026.545|CCO|       THAT'S A NEGATIVE
20101203070026.545|20101203070027.455|CCO|       GHOST RIDER.
20101203070027.455|20101203070028.364|CCO|         TOMORROW THEN?
20101203070028.364|20101203070029.273|CCO|      YOU KNOW THIS WHOLE
20101203070029.273|20101203070030.182|CCO|      WEEK IS TRICKY.
20101203070030.182|20101203070031.091|SEG_01|Type=Story start
20101203070030.182|20101203070031.091|CCO|7UP'S NEW CRISP, CLEAN TASTE CAN
20101203070031.091|20101203070032.000|CCO|MAKE ANYONE FEEL RIDICULOUSLY
20101203070032.000|20101203070144.000|SEG_01|Type=Commercial
20101203070032.000|20101203070034.500|CCO|            BUBBLY.
20101203070034.500|20101203070037.000|CCO|    NOT TOO SHABBY NEIGHBOR.
20101203070037.000|20101203070039.500|CCO|  7UP SO CRISP AND CLEAN IT'S
20101203070039.500|20101203070142.000|CCO|  RIDICULOUS.
20101203070142.000|20101203070144.000|CCO|>> Jon: THAT'S OUR SHOW.
20101203070144.000|20101203070146.000|SEG_01|Type=Story start
20101203070144.000|20101203070146.000|CCO|JOIN US ALL NEXT WEEK BEFORE.
20101203070146.000|20101203070148.000|CCO|WE GO.
20101203070148.000|20101203070150.000|CCO|I WANTED TO CONGRATULATIONS,
20101203070150.000|20101203070152.000|CCO|EVERYBODY.
20101203070152.000|20101203070154.000|CCO|WE DID AN EARTH BOOK AN AUDIO
20101203070154.000|20101203070156.000|CCO|THING.
20101203070156.000|20101203070158.000|CCO|IT GOT NOMINATED FOR A GRAMMY.
20101203070158.000|20101203070200.000|CCO|WE GOT NOMINATED FOR A GRAMMY.
20101203070200.000|20101203070202.000|CCO|[CHEERS AND APPLAUSE]
20101203070202.000|20101203070204.000|CCO|WHICH SOUNDS EXCITING.
20101203070204.000|20101203070206.000|CCO|TURNS OUT IT'S NOT THE AWARD
20101203070206.000|20101203070208.000|CCO|THEY GIVE OUT TO MUSICIANS, WE
20101203070208.000|20101203070210.000|CCO|WERE NOMINATED TO RECEIVE AN OLD
20101203070210.000|20101203070212.000|CCO|WOMAN.
20101203070212.000|20101203070213.429|CCO|[LAUGHTER]
20101203070213.429|20101203070214.857|CCO|WE DON'T EVEN KNOW HOW IT
20101203070214.857|20101203070216.286|CCO|HAPPENED.
20101203070216.286|20101203070217.714|CCO|[LAUGHTER]
20101203070217.714|20101203070219.143|CCO|IT WAS US AND THE PEOPLE WHO
20101203070219.143|20101203070220.571|CCO|LIVE NEXT DOOR IN THE
20101203070220.571|20101203070222.000|CCO|NEIGHBORHOOD.
20101203070222.000|20101203070223.429|CCO|IF WE WIN WE GET TO KEEP HER.
20101203070223.429|20101203070224.857|CCO|HER NAME IS GRAMMY.
20101203070224.857|20101203070226.286|CCO|SHE LIVES IN THE NEIGHBORHOOD
20101203070226.286|20101203070227.714|CCO|HERE AND SHE'S TROUBLE, BABEID.
20101203070227.714|20101203070229.143|CCO|[LAUGHTER]
20101203070229.143|20101203070230.571|CCO|-- TROUBLE, BABY.
20101203070230.571|20101203070232.000|CCO|I WANTED TO CONGRATULATE
20101203070232.000|20101203070234.000|CCO|EVERYBODY THAT WORKED SO HARD ON
20101203070234.000|20101203070236.000|CCO|THAT.
20101203070236.000|20101203070238.000|CCO|IT WAS SO EXCITING.
20101203070238.000|20101203070240.000|CCO|MAYBE WE GET TO MEET BEIBER.
20101203070240.000|20101203070242.000|CCO|HERE IT IS YOUR MOMENT OF ZEN.
20101203070242.000|20101203070244.500|CCO|>> THIS ISSUE OF INTEGRITY.
20101203070244.500|20101203070247.000|CCO|WE'RE AN INSTITUTION THAT VALUES
20101203070247.000|20101203070249.500|CCO|INTEGRITY AND ASK PEOPLE TO JOIN
20101203070249.500|20101203070302.000|CCO|US, WORK WITH US, FIGHT WITH US
20101203070302.000|20101203070303.667|CCO|AND DIE WITH US AND
20101203070303.667|20101203070305.333|CCO|>> Stephen: TONIGHT, AMERICA'S
20101203070305.333|20101203070307.000|CCO|NEWEST VICTIMIZED GROUP.
20101203070307.000|20101203070308.667|CCO|SORRY, MUSLIMS, YOU ARE SO LAST
20101203070308.667|20101203070310.333|CCO|RAMADAN.
20101203070310.333|20101203070312.000|CCO|THEN THE WAR ON CHRISTMAS IS
20101203070312.000|20101203070313.250|CCO|BACK.
20101203070313.250|20101203070314.500|CCO|IT'S THE ONLY WAR THAT'S BEEN
20101203070314.500|20101203070315.750|CCO|GOING ON LONGER THAN
20101203070315.750|20101203070317.000|CCO|AFGHANISTAN.
20101203070317.000|20101203070318.250|CCO|AND MY GUEST DAVID STOCKMAN WAS
20101203070318.250|20101203070319.500|CCO|PRESIDENT REAGAN'S BUDGET
20101203070319.500|20101203070320.750|CCO|DIRECTOR.
20101203070320.750|20101203070322.000|CCO|I'LL ASK HIM WHAT IT WAS LIKE
20101203070322.000|20101203070323.667|CCO|WHEN AMERICA HAD A BUDGET.
20101203070323.667|20101203070325.333|CCO|(LAUGHTER).
20101203070325.333|20101203070327.000|CCO|NASA SCIENTISTS HAVE DISCOVERED
20101203070327.000|20101203070328.667|CCO|A NEW FORM OF LIFE.
20101203070328.667|20101203070330.333|CCO|UNFORTUNATELY, IT WON'T DATE
20101203070330.333|20101203070332.000|CCO|THEM EITHER.
20101203070332.000|20101203070337.000|CCO|THIS IS "THE COLBERT REPORT."
20101203070337.000|20101203070342.000|CCO|CAPTIONING SPONSORED BY
20101203070342.000|20101203070347.000|CCO|COMEDY CENTRAL
20101203070347.000|20101203070352.000|CCO|(THEME SONG PLAYING)
