TOP|20101203070001|2010-12-03_0700_US_KCBS_CBS_2_News_at_11PM
COL|Communication Studies Archive, UCLA 
UID|f2a73c94-feaa-11df-adf3-00e0815fe725
DUR|0:34:54.02
VID|640x480
CMT|
LAN|ENG
LBT|2010-12-02 23:00 America/Los_Angeles
SEG_01|2014-06-18 17:35:00|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101203070005.444|20101203070827.000|SEG|Type=Story
20101203070005.444|20101203070006.556|CCO|S@
20101203070006.556|20101203070007.667|CCO|
20101203070007.667|20101203070008.778|CCO|
20101203070008.778|20101203070009.889|CCO|PAUL: BREAKING NEWS, THE METRO
20101203070009.889|20101203070011.000|CCO|
20101203070011.000|20101203070016.000|CCO|BLUE LINE CLOUDS WITH --
20101203070016.000|20101203070111.000|CCO|
20101203070111.000|20101203070112.111|CCO|COLLIDES WITH A CAR.
20101203070112.111|20101203070113.222|CCO|
20101203070113.222|20101203070114.333|CCO|
20101203070114.333|20101203070115.444|CCO|PAUL: GOOD EVENING.
20101203070115.444|20101203070116.556|CCO|
20101203070116.556|20101203070117.667|CCO|I'M PAUL MAGERS.
20101203070117.667|20101203070118.778|CCO|
20101203070118.778|20101203070119.889|CCO|IN SOUTH L.A., A BAD CRASH
20101203070119.889|20101203070121.000|CCO|
20101203070121.000|20101203070122.667|CCO|INVOLVING THE METRO BLUE LINE.
20101203070122.667|20101203070124.333|CCO|
20101203070124.333|20101203070126.000|CCO|>> Reporter: THIS IS THE BLUE
20101203070126.000|20101203070127.667|CCO|
20101203070127.667|20101203070129.333|CCO|LINE TRAIN HEADING NORTHBOUND.
20101203070129.333|20101203070131.000|CCO|
20101203070131.000|20101203070131.833|CCO|IT HIT A MINIBAN HERE, 41st
20101203070131.833|20101203070132.667|CCO|
20101203070132.667|20101203070133.500|CCO|41st AND ALAMEDA IN SOUTH L.A.
20101203070133.500|20101203070134.333|CCO|
20101203070134.333|20101203070135.167|CCO|THIS IS PEOPLE BEING TAKEN OFF
20101203070135.167|20101203070136.000|CCO|
20101203070136.000|20101203070136.833|CCO|OF THE TRAIN AND ON TO THE
20101203070136.833|20101203070137.667|CCO|
20101203070137.667|20101203070138.500|CCO|AMBULANCE.
20101203070138.500|20101203070139.333|CCO|
20101203070139.333|20101203070140.167|CCO|WE'RE HEARING THAT SEVEN PEOPLE
20101203070140.167|20101203070141.000|CCO|
20101203070141.000|20101203070141.833|CCO|ARE HEAR WITH
20101203070141.833|20101203070142.667|CCO|
20101203070142.667|20101203070143.500|CCO|NONLIFE-THREATENING INJURIES,
20101203070143.500|20101203070144.333|CCO|
20101203070144.333|20101203070145.167|CCO|ALTHOUGH THEY WILL BE TAKEN TO
20101203070145.167|20101203070146.000|CCO|
20101203070146.000|20101203070146.833|CCO|THE HOSPITAL AS A PRECAUTION.
20101203070146.833|20101203070147.667|CCO|
20101203070147.667|20101203070148.500|CCO|THERE ARE A LOT OF EMERGENCY
20101203070148.500|20101203070149.333|CCO|
20101203070149.333|20101203070150.167|CCO|CREWS ON THE SCENE, AND THEY
20101203070150.167|20101203070151.000|CCO|
20101203070151.000|20101203070151.833|CCO|WILL FINE OUT EXACTLY WHAT IS
20101203070151.833|20101203070152.667|CCO|
20101203070152.667|20101203070153.500|CCO|GENE ON IN THE TRAIN AS THEY
20101203070153.500|20101203070154.333|CCO|
20101203070154.333|20101203070155.167|CCO|INVESTIGATE THIS.
20101203070155.167|20101203070156.000|CCO|
20101203070156.000|20101203070156.833|CCO|WE ROLE SEND IT BACK TO YOU IN
20101203070156.833|20101203070157.667|CCO|
20101203070157.667|20101203070158.500|CCO|THE STUDIO.
20101203070158.500|20101203070159.333|CCO|
20101203070159.333|20101203070200.167|CCO|PAUL: NEW DEVELOPS IN THE RONI
20101203070200.167|20101203070201.000|CCO|
20101203070201.000|20101203070202.250|CCO|CHASEN MURDER INVESTIGATION.
