TOP|20101203150002|2010-12-03_1500_US_FOX-News_Fox_News_Live
COL|Communication Studies Archive, UCLA 
UID|017c6d00-feee-11df-9045-00e0815fe826
DUR|0:59:54.03
VID|640x480
CMT|
LAN|ENG
LBT|2010-12-03 07:00 America/Los_Angeles
SEG_01|2014-06-18 17:35:43|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101203150007.000|20101203155702.000|SEG|Type=Story
20101203150007.000|20101203150008.250|CCO|BUSINESS NETWORK'S LIZ CLAMAN 
20101203150008.250|20101203150009.500|CCO|JOINS US LATER IN THE HOUR, LOTS
20101203150009.500|20101203150010.750|CCO|TO CHEW OVER, THIS MORNING, 
20101203150010.750|20101203150012.000|CCO|FOLKS, AS THE UNEMPLOYMENT RATE 
20101203150012.000|20101203150014.500|CCO|RISES AMERICANS WONDER IF THEIR 
20101203150014.500|20101203150017.000|CCO|TAXES ARE ABOUT T GO UP, 
20101203150017.000|20101203150019.500|CCO|SENATOR BACKUS ON THE SENATE 
20101203150019.500|20101203150022.000|CCO|FLOOR PREPARING FOR A VOTE ON 
20101203150022.000|20101203150023.667|CCO|TWO DEMOCRATIC OPTIONS THAT 
20101203150023.667|20101203150025.333|CCO|WOULD EXTEND SOME BUT NOT ALL OF
20101203150025.333|20101203150027.000|CCO|THE BUSH ERA TAX CUTS.
20101203150027.000|20101203150028.667|CCO|THE SIZE OF YOUR PAYCHECK IS 
20101203150028.667|20101203150030.333|CCO|VERY MUCH AT STAKE, ON THAT 
20101203150030.333|20101203150032.000|CCO|FLOOR OF THE SENATE THIS MORNING
20101203150032.000|20101203150033.250|CCO|IN WASHINGTON AND THAT IS HOW WE
20101203150033.250|20101203150034.500|CCO|START THIS NEW HOUR OF 
20101203150034.500|20101203150035.750|CCO|"AMERICA'S NEWSROOM" ON A 
20101203150035.750|20101203150037.000|CCO|FRIDAY, GREAT TO HAVE YOU WITH 
20101203150037.000|20101203150038.250|CCO|US, I'M MARTHA MACCALLUM. 
20101203150038.250|20101203150039.500|CCO|BILL: I'M BILL HEMMER AND THE 
20101203150039.500|20101203150040.750|CCO|CONGRESS LIKES TO WORK WEEKENDS,
20101203150040.750|20101203150042.000|CCO|DON'T THEY?  
