TOP|20101203150001|2010-12-03_1500_US_KABC_Good_Morning_America
COL|Communication Studies Archive, UCLA 
UID|010782ce-feee-11df-ba43-00e0815fe92e
DUR|0:59:55.02
VID|640x480
CMT|
LAN|ENG
LBT|2010-12-03 07:00 America/Los_Angeles
SEG_01|2014-06-18 17:35:47|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101203150011.000|20101203150031.000|SEG|Type=Story
20101203150011.000|20101203150012.667|CCO|>>> GOOD MORNING, AMERICA.
20101203150012.667|20101203150014.333|CCO|I'M GEORGE STEPHANOPOULOS.
20101203150014.333|20101203150016.000|CCO|>> AND I'M ROBIN ROBERTS.
20101203150016.000|20101203150017.667|CCO|IT IS FRIDAY, DECEMBER 3rd.
20101203150017.667|20101203150019.333|CCO|STRANDED IN THE SNOW.
20101203150019.333|20101203150021.000|CCO|HUNDREDS OF DRIVERS BURIED IN A 
20101203150021.000|20101203150023.000|CCO|BLIZZARD, ON A NEW YORK 
20101203150023.000|20101203150025.000|CCO|INTERSTATE FOR OVER 20 HOURS IN 
20101203150025.000|20101203150027.000|CCO|3 FEET OF SNOW.
20101203150027.000|20101203150029.000|CCO|WE'LL SHOW YOU THE COMMUTE THAT 
20101203150029.000|20101203150031.000|CCO|TURNED INTO A NIGHTMARE.
20101203150031.000|20101203150041.000|SEG|Type=Story
20101203150031.000|20101203150032.667|CCO|>>> JOB THEN TAXES ON THE LINE.
20101203150032.667|20101203150034.333|CCO|WILL THE NEW JOBS REPORT BOOST 
20101203150034.333|20101203150036.000|CCO|THE ECONOMY?
20101203150036.000|20101203150037.667|CCO|AND HOW CLOSE IS CONGRESS TO A 
20101203150037.667|20101203150039.333|CCO|DEAL ON TAX CUTS?
20101203150039.333|20101203150041.000|CCO|THE BOTTOM LINE, THIS MORNING.
20101203150041.000|20101203150052.667|SEG|Type=Story
20101203150041.000|20101203150042.429|CCO|>>> AND NEW DETAILS IN THE DEATH
20101203150042.429|20101203150043.857|CCO|OF A HOLLYWOOD PUBLICIST.
20101203150043.857|20101203150045.286|CCO|NEIGHBORS DESCRIBE HOW THE 
20101203150045.286|20101203150046.714|CCO|SUSPECT CONFESSED BEFORE FATALLY
20101203150046.714|20101203150048.143|CCO|SHOOTING HIMSELF.
20101203150048.143|20101203150049.571|CCO|AND DO NEW REVELATIONS FROM 
20101203150049.571|20101203150051.000|CCO|RONNI CHASEN'S WILL TOLD CLUES 
20101203150051.000|20101203150052.667|CCO|TO THE CRIME?
20101203150052.667|20101203150127.250|SEG|Type=Story
20101203150052.667|20101203150054.333|CCO|>>> AND AN UNFORGETTABLE FINISH.
20101203150054.333|20101203150056.000|CCO|A TEENAGE RUNNER COLLAPSES IN 
20101203150056.000|20101203150057.667|CCO|PAIN.
20101203150057.667|20101203150059.333|CCO|THEN, CRAWLS ACROSS THE FINISH 
20101203150059.333|20101203150101.000|CCO|LINE.
20101203150101.000|20101203150103.500|CCO|INSPIRED BY HER COACH FACING HIS
20101203150103.500|20101203150106.000|CCO|OWN RACE AGAINST TIME.
20101203150106.000|20101203150108.500|CCO|THEY ARE HERE LIVE WITH THEIR 
20101203150108.500|20101203150111.000|CCO|INCREDIBLE STORY. 
20101203150111.000|20101203150114.333|CCO|>> EVERY TIME I SEE VIDEO OF 
20101203150114.333|20101203150117.667|CCO|THAT RUNNER, I GET CHILLS.
20101203150117.667|20101203150121.000|CCO|>> IT IS UNBELIEVABLE.
20101203150121.000|20101203150122.250|CCO|SHE WON THE STATE CHAMPIONSHIP, 
20101203150122.250|20101203150123.500|CCO|BY CRAWLING ACROSS THAT LINE.
20101203150123.500|20101203150124.750|CCO|>> YES, SHE DID.
20101203150124.750|20101203150126.000|CCO|A HAPPY FRIDAY MORNING TO ALL OF
20101203150126.000|20101203150127.250|CCO|US ALL.
20101203150127.250|20101203150147.667|SEG|Type=Story
20101203150127.250|20101203150128.500|CCO|>>> UPSTATE NEW YORK, NOT SO 
20101203150128.500|20101203150129.750|CCO|MUCH.
20101203150129.750|20101203150131.000|CCO|UP TO 40 INCHES OF SNOW FOR SOME
20101203150131.000|20101203150132.429|CCO|PARTS OF UPSTATE NEW YORK.
20101203150132.429|20101203150133.857|CCO|MORE ON THE WAY.
20101203150133.857|20101203150135.286|CCO|BIG QUESTIONS THIS MORNING ABOUT
20101203150135.286|20101203150136.714|CCO|WHY HUNDREDS FOR LEFT STRANDED 
20101203150136.714|20101203150138.143|CCO|FOR OVER A DAY, ON THE 
20101203150138.143|20101203150139.571|CCO|INTERSTATE AFTER A TRUCK 
20101203150139.571|20101203150141.000|CCO|JACKKNIFED.
20101203150141.000|20101203150142.111|CCO|WE'LL HAVE A LIVE REPORT.
20101203150142.111|20101203150143.222|CCO|>> OPEN UP THE INTERSTATE RIGHT 
20101203150143.222|20101203150144.333|CCO|NOW.
20101203150144.333|20101203150145.444|CCO|BUT THE PASSENGERS WERE THERE, 
20101203150145.444|20101203150146.556|CCO|AS YOU SAID, OVER A DAY 
20101203150146.556|20101203150147.667|CCO|YESTERDAY.
20101203150147.667|20101203150217.000|SEG|Type=Story
20101203150147.667|20101203150148.778|CCO|>>> WE ALSO HAVE BIG ECONOMIC 
20101203150148.778|20101203150149.889|CCO|NEWS THIS MORNING.
20101203150149.889|20101203150151.000|CCO|THE LATEST JOBS REPORT IS COMING
20101203150151.000|20101203150153.000|CCO|OUT.
20101203150153.000|20101203150155.000|CCO|AS CONGRESS HAS A GAME OF 
20101203150155.000|20101203150157.000|CCO|CHICKEN OVER TAX CUTS AND 
20101203150157.000|20101203150159.000|CCO|UNEMPLOYMENT BENEFITS.
20101203150159.000|20101203150201.000|CCO|THERE'S NO DEAL YET.
20101203150201.000|20101203150202.667|CCO|THE SENATORS WILL STAY IN.
20101203150202.667|20101203150204.333|CCO|AND THE HOUSE VOTED TO EXTEND 
20101203150204.333|20101203150206.000|CCO|THE MIDDLE-CLASS TAX CUTS.
20101203150206.000|20101203150207.667|CCO|AND THE INCOMING HOUSE SPEAKER 
20101203150207.667|20101203150209.333|CCO|NOT HAPPY ABOUT IT AT ALL.
20101203150209.333|20101203150211.000|CCO|HE CALLED IT CHICKEN CRAP.
20101203150211.000|20101203150212.000|CCO|SO, TEMPERS ARE FRAYING.
20101203150212.000|20101203150213.000|CCO|BUT BEHIND CLOSED DOORS, THEY 
20101203150213.000|20101203150214.000|CCO|MAY STILL BE CLOSING IN ON A 
20101203150214.000|20101203150215.000|CCO|DEAL.
20101203150215.000|20101203150216.000|CCO|>> THERE HAS TO BE SOME SORT OF 
20101203150216.000|20101203150217.000|CCO|COMPROMISE IN THE WORKS.
20101203150217.000|20101203150226.714|SEG|Type=Story
20101203150217.000|20101203150218.000|CCO|>>> AND A HEROIC RESCUE IN 
20101203150218.000|20101203150219.000|CCO|FLORIDA.
20101203150219.000|20101203150220.000|CCO|A POLICE OFFICER PULLS A TRAPPED
20101203150220.000|20101203150221.000|CCO|WOMAN FROM A BURNING SUV, AFTER 
20101203150221.000|20101203150222.429|CCO|SHOOTING OUT HER WINDOW.
20101203150222.429|20101203150223.857|CCO|ALL CAUGHT ON THE DASHBOARD 
20101203150223.857|20101203150225.286|CCO|CAMERA.
20101203150225.286|20101203150226.714|CCO|WE HAVE THAT STORY COMING UP.
20101203150226.714|20101203150609.571|SEG|Type=Story
20101203150226.714|20101203150228.143|CCO|>>> WE BEGIN ON CAPITOL HILL, 
20101203150228.143|20101203150229.571|CCO|WHERE JON KARL, AS ALWAYS, IS 
20101203150229.571|20101203150231.000|CCO|FOLLOWING THE ACTION.
20101203150231.000|20101203150232.429|CCO|JON?
20101203150232.429|20101203150233.857|CCO|>> Reporter: GEORGE, THE 
20101203150233.857|20101203150235.286|CCO|DEMOCRATS ARE FORCING TWO VOTES 
20101203150235.286|20101203150236.714|CCO|TOMORROW ON THIS.
20101203150236.714|20101203150238.143|CCO|THE FIRST WOULD EXTEND THE TAX 
20101203150238.143|20101203150239.571|CCO|CUTS, BUT ONLY FOR THOSE MAKES 
20101203150239.571|20101203150241.000|CCO|LESS THAN $250,000 A YEAR.
20101203150241.000|20101203150242.429|CCO|THE SECOND WOULD EXTEND THEM FOR
20101203150242.429|20101203150243.857|CCO|ANYONE MAKING LESS THAN $1 
20101203150243.857|20101203150245.286|CCO|MILLION A YEAR.
20101203150245.286|20101203150246.714|CCO|BUT REPUBLICANS ARE SET TO SAY 
20101203150246.714|20101203150248.143|CCO|NO WAY.
20101203150248.143|20101203150249.571|CCO|THEY WANT ALL THE TAX CUTS 
20101203150249.571|20101203150251.000|CCO|EXTENDED.
20101203150251.000|20101203150253.500|CCO|>> THE MOTION IS ADOPTED.
20101203150253.500|20101203150256.000|CCO|>> Reporter: THE HOUSE VOTED TO 
20101203150256.000|20101203150258.500|CCO|DO WHAT DEMOCRATS HAVE LONG BEEN
20101203150258.500|20101203150301.000|CCO|CALLING FOR, EXTENDING THE TAX 
20101203150301.000|20101203150302.429|CCO|CUTS ONLY FOR THE MIDDLE CLASS.
20101203150302.429|20101203150303.857|CCO|LETTING THE REST OF THEM EXPIRE.
20101203150303.857|20101203150305.286|CCO|>> MIDDLE CLASS AND WORKING 
20101203150305.286|20101203150306.714|CCO|FAMILIES NEED ALL OF THE HELP 
20101203150306.714|20101203150308.143|CCO|THEY CAN GET.
20101203150308.143|20101203150309.571|CCO|>> IT'S THE RIGHT THING TO DO.
20101203150309.571|20101203150311.000|CCO|>> Reporter: BUT REPUBLICANS WHO
20101203150311.000|20101203150312.429|CCO|DON'T TAKE OVER THE HOUSE UNTIL 
