TOP|20101203160001|2010-12-03_1600_US_KABC_Good_Morning_America
COL|Communication Studies Archive, UCLA 
UID|62de56fa-fef6-11df-a26f-00e0815fe83e
DUR|0:59:55.02
VID|640x480
CMT|
LAN|ENG
LBT|2010-12-03 08:00 America/Los_Angeles
SEG_01|2014-06-18 17:36:04|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101203160011.000|20101203160025.000|SEG|Type=Story
20101203160011.000|20101203160021.000|CCO| SOMEDAY SOMEBODY'S GOING TO 
20101203160021.000|20101203160023.000|CCO|MAKE YOU TURN AROUND 
20101203160023.000|20101203160025.000|CCO| AND SAY GOOD-BYE 
20101203160025.000|20101203160109.182|SEG|Type=Story
20101203160025.000|20101203160027.000|CCO|>>> AND GEORGE STEPHANOPOULOS 
20101203160027.000|20101203160029.000|CCO|WASINGING THIS SONG IN THE 
20101203160029.000|20101203160031.000|CCO|COMMERCIAL BREAKS.
20101203160031.000|20101203160032.429|CCO|YOU DIDN'T KNOW THAT?
20101203160032.429|20101203160033.857|CCO|>> I DID NOT.
20101203160033.857|20101203160035.286|CCO|WHO IS CAUSING ALL THAT TROUBLE 
20101203160035.286|20101203160036.714|CCO|DOWN THERE?
20101203160036.714|20101203160038.143|CCO|WELL, THANK YOU, I GUESS.
20101203160038.143|20101203160039.571|CCO|>> A RELATIVE, RIGHT?
20101203160039.571|20101203160041.000|CCO|>> THANKS, MOM.
20101203160041.000|20101203160043.500|CCO|>> OH, GOSH.
20101203160043.500|20101203160046.000|CCO|WHAT BETTER HOLIDAY GIFT COULD 
20101203160046.000|20101203160048.500|CCO|WE HAVE FOR YOU?
20101203160048.500|20101203160051.000|CCO|THAN WILSON PHILLIPS.
20101203160051.000|20101203160052.429|CCO|THEY'RE GIVING THEIR FANS, 
20101203160052.429|20101203160053.857|CCO|THEY'RE BACK TOGETHER AGAIN.
20101203160053.857|20101203160055.286|CCO|CARNIE AND WENDY WILSON.
20101203160055.286|20101203160056.714|CCO|AND CHYNNA PHILLIPS.
20101203160056.714|20101203160058.143|CCO|THEIR FIRST CD IN SIX YEARS.
20101203160058.143|20101203160059.571|CCO|AND THEY'RE SINGING FOR US THIS 
20101203160059.571|20101203160101.000|CCO|MORNING.
20101203160101.000|20101203160101.909|CCO|YOU CAN LOOK OVER AND SEE THEM 
20101203160101.909|20101203160102.818|CCO|RIGHT NOW.
20101203160102.818|20101203160103.727|CCO|>> HI, GUYS.
20101203160103.727|20101203160104.636|CCO|>> OVER HERE.
20101203160104.636|20101203160105.545|CCO|LOOK TO YOUR RIGHT.
20101203160105.545|20101203160106.455|CCO|HERE WE ARE.
20101203160106.455|20101203160107.364|CCO|>> HEY.
20101203160107.364|20101203160108.273|CCO|>> WONDERFUL TO HAVE THEM HERE.
20101203160108.273|20101203160109.182|CCO|>> THAT IS GREAT.
20101203160109.182|20101203160125.444|SEG|Type=Story
20101203160109.182|20101203160110.091|CCO|>>> WE ALSO HAVE AN AMAZING 
20101203160110.091|20101203160111.000|CCO|STORY THIS HALF HOUR.
20101203160111.000|20101203160112.429|CCO|A RUNNER LAST WEEKEND, STATE 
20101203160112.429|20101203160113.857|CCO|CHAMPIONSHIPS IN CALIFORNIA, 
20101203160113.857|20101203160115.286|CCO|OVERCOME BY PAIN.
20101203160115.286|20101203160116.714|CCO|COLLAPSES, JUST BEFORE THE END 
20101203160116.714|20101203160118.143|CCO|OF THE RACE.
20101203160118.143|20101203160119.571|CCO|BUT SHE CRAWLED ACROSS THE 
20101203160119.571|20101203160121.000|CCO|FINISH LINE TO GIVE THE STATE 
20101203160121.000|20101203160122.111|CCO|CHAMPIONSHIP FOR HER TEAM.
20101203160122.111|20101203160123.222|CCO|AND HER COACH.
20101203160123.222|20101203160124.333|CCO|WE'RE GOING TO TALK TO THEM 
20101203160124.333|20101203160125.444|CCO|AHEAD.
20101203160125.444|20101203160132.250|SEG|Type=Story
20101203160125.444|20101203160126.556|CCO|>>> AND ALSO AHEAD, 
20101203160126.556|20101203160127.667|CCO|INTERNATIONAL SUPERSTAR CHEF, 
20101203160127.667|20101203160128.778|CCO|JAMIE OLIVER, WHIPS UP A 
20101203160128.778|20101203160129.889|CCO|BREAKFAST TO SPICE UP YOUR 
20101203160129.889|20101203160131.000|CCO|MORNING.
20101203160131.000|20101203160132.250|CCO|AND QUITE A MORNING IT IS.
20101203160132.250|20101203160204.333|SEG|Type=Story
20101203160132.250|20101203160133.500|CCO|>>> FIRST, LET'S LOOK AT THE TOP
20101203160133.500|20101203160134.750|CCO|STORIES THIS MORNING.
20101203160134.750|20101203160136.000|CCO|BIANNA GOLODRYGA IS IN FOR JUJU 
20101203160136.000|20101203160137.250|CCO|AT THE NEWSDESK.
20101203160137.250|20101203160138.500|CCO|>> GOOD MORNING, ROBIN.
20101203160138.500|20101203160139.750|CCO|AND GEORGE.
20101203160139.750|20101203160141.000|CCO|AND GOOD MORNING, EVERYONE.
20101203160141.000|20101203160142.429|CCO|WE BEGIN WITH DISAPPOINTING NEWS
20101203160142.429|20101203160143.857|CCO|ABOUT THE JOB MARKET.
20101203160143.857|20101203160145.286|CCO|THE GOVERNMENT JUST REPORTED THE
20101203160145.286|20101203160146.714|CCO|JOB GROWTH SLOWED IN NOVEMBER, 
20101203160146.714|20101203160148.143|CCO|WITH EMPLOYERS ADDING ONLY 
20101203160148.143|20101203160149.571|CCO|39,000 JOBS LAST MONTH.
20101203160149.571|20101203160151.000|CCO|THAT'S NOT NEARLY ENOUGH TO 
20101203160151.000|20101203160152.250|CCO|BRING DOWN THE UNEMPLOYMENT 
20101203160152.250|20101203160153.500|CCO|RATE.
20101203160153.500|20101203160154.750|CCO|IN FACT, UNEMPLOYMENT ROSE TO 
20101203160154.750|20101203160156.000|CCO|9.8%.
20101203160156.000|20101203160157.250|CCO|NOVEMBER NOW MARKS THE 
20101203160157.250|20101203160158.500|CCO|19th-CONSECUTIVE MONTH THAT THE 
20101203160158.500|20101203160159.750|CCO|UNEMPLOYMENT RATE HAS BEEN ABOVE
20101203160159.750|20101203160201.000|CCO|9%.
20101203160201.000|20101203160204.333|CCO|AND THAT IS A RECORD.
20101203160204.333|20101203160227.000|SEG|Type=Story
20101203160204.333|20101203160207.667|CCO|>>> PRESIDENT OBAMA IS LEANING 
20101203160207.667|20101203160211.000|CCO|ON CONGRESS TO EXTEND 
20101203160211.000|20101203160214.333|CCO|UNEMPLOYMENT BENEFITS, AS PART 
20101203160214.333|20101203160217.667|CCO|OF A DEAL TO EXTEND TAX CUTS 
20101203160217.667|20101203160221.000|CCO|THAT EXPIRE AT THE END OF THE 
20101203160221.000|20101203160222.000|CCO|YEAR.
20101203160222.000|20101203160223.000|CCO|CLOSED-DOOR TALKS ARE UNDER WAY,
20101203160223.000|20101203160224.000|CCO|ON A COMPROMISE THAT WOULD 
20101203160224.000|20101203160225.000|CCO|EXTEND TAX CUTS FOR ALL 
20101203160225.000|20101203160226.000|CCO|AMERICANS, BUT ONLY FOR A YEAR 
20101203160226.000|20101203160227.000|CCO|OR TWO.
20101203160227.000|20101203160240.000|SEG|Type=Story
20101203160227.000|20101203160228.000|CCO|>>> INTERSTATE 90 NEAR BUFFALO, 
20101203160228.000|20101203160229.000|CCO|NEW YORK, HAS FINALLY REOPENED 
20101203160229.000|20101203160230.000|CCO|THIS MORNING, AFTER A MASSIVE 
20101203160230.000|20101203160231.000|CCO|SNOWSTORM CLOSED THE HIGHWAY FOR
20101203160231.000|20101203160232.000|CCO|MORE THAN 20 HOURS.
20101203160232.000|20101203160233.000|CCO|HUNDREDS OF DRIVERS WERE 
20101203160233.000|20101203160234.000|CCO|STRANDED.
20101203160234.000|20101203160235.000|CCO|STATE AUTHORITIES ARE PLANNING 
20101203160235.000|20101203160236.000|CCO|TO REVIEW THE EMERGENCY 
20101203160236.000|20101203160237.000|CCO|PROCEDURES, SAYING THEY WERE 
20101203160237.000|20101203160238.000|CCO|OVERWHELMED BY THE STORM.
20101203160238.000|20101203160239.000|CCO|BUT SHOULD HAVE BEEN ABLE TO 
20101203160239.000|20101203160240.000|CCO|EVACUATE THE DRIVERS.
20101203160240.000|20101203160252.667|SEG|Type=Story
20101203160240.000|20101203160241.000|CCO|>>> AND ONE STORY WE'RE 
20101203160241.000|20101203160242.250|CCO|FOLLOWING OVERSEAS THIS MORNING.
20101203160242.250|20101203160243.500|CCO|FIRE CREWS FROM AROUND THE WORLD
20101203160243.500|20101203160244.750|CCO|ARE ARRIVING IN ISRAEL TO HELP 
20101203160244.750|20101203160246.000|CCO|CONTROL A MASSIVE FOREST FIRE 
20101203160246.000|20101203160247.250|CCO|THAT'S KILLED AT LEAST 41 
20101203160247.250|20101203160248.500|CCO|PEOPLE.
20101203160248.500|20101203160249.750|CCO|FLAMES SPREAD TO THE OUTSKIRTS 
20101203160249.750|20101203160251.000|CCO|OF THE COUNTRY'S THIRD-LARGEST 
