TOP|20101203190002|2010-12-03_1900_US_KCBS_CBS_2_News_at_11
COL|Communication Studies Archive, UCLA 
UID|885e7176-ff0f-11df-9053-00e0815fe725
DUR|0:29:55.02
VID|640x480
CMT|
LAN|ENG
LBT|2010-12-03 11:00 America/Los_Angeles
SEG_01|2014-06-18 17:36:32|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101203190032.000|20101203192957.000|SEG|Type=Story
20101203190032.000|20101203190033.111|CCO|KC64POP20R
20101203190033.111|20101203190034.222|CCO|
20101203190034.222|20101203190035.333|CCO|
20101203190035.333|20101203190036.444|CCO|SANDRA: GOOD MORNING.
20101203190036.444|20101203190037.556|CCO|
20101203190037.556|20101203190038.667|CCO|I'M SANDRA MITCHELL.
20101203190038.667|20101203190039.778|CCO|
20101203190039.778|20101203190040.889|CCO|KENT AND SABILA ARE OFF TODAY.
20101203190040.889|20101203190042.000|CCO|
20101203190042.000|20101203190043.000|CCO|WE ARE LEARNING A LOT MORE TODAY
20101203190043.000|20101203190044.000|CCO|
20101203190044.000|20101203190045.000|CCO|AND THE PERSON OF INTEREST WHO
20101203190045.000|20101203190046.000|CCO|
20101203190046.000|20101203190047.000|CCO|KILLED HIMSELF DURING HER MURDER
20101203190047.000|20101203190048.000|CCO|
20101203190048.000|20101203190049.000|CCO|INVESTIGATION.
20101203190049.000|20101203190050.000|CCO|
20101203190050.000|20101203190051.000|CCO|CBS 2 KRISTINE LAZAR LIVE IN THE
20101203190051.000|20101203190052.000|CCO|
20101203190052.000|20101203190052.833|CCO|FAIRFAX DISTRICT WITH THE LATEST
20101203190052.833|20101203190053.667|CCO|
20101203190053.667|20101203190054.500|CCO|ON THE CASE.
20101203190054.500|20101203190055.333|CCO|
20101203190055.333|20101203190056.167|CCO|>> Reporter: GOOD MORNING,
20101203190056.167|20101203190057.000|CCO|
20101203190057.000|20101203190057.833|CCO|SANDRA.
20101203190057.833|20101203190058.667|CCO|
20101203190058.667|20101203190059.500|CCO|I SMOKE WITH ONE OF THE POLICE
20101203190059.500|20101203190100.333|CCO|
20101203190100.333|20101203190101.167|CCO|SIGNATURES -- SAN JACINTO
20101203190101.167|20101203190102.000|CCO|
20101203190102.000|20101203190102.833|CCO|VALLEYS ON THIS CASE.
20101203190102.833|20101203190103.667|CCO|
20101203190103.667|20101203190104.500|CCO|BEVERLY HILLS POLICE ARE BEING
20101203190104.500|20101203190105.333|CCO|
20101203190105.333|20101203190106.167|CCO|TIGHT-LIPPED ON THIS MURDER
20101203190106.167|20101203190107.000|CCO|
20101203190107.000|20101203190107.833|CCO|INVESTIGATION.
20101203190107.833|20101203190108.667|CCO|
20101203190108.667|20101203190109.500|CCO|THEY HAVE SEALED DOCUMENTS AND
20101203190109.500|20101203190110.333|CCO|
20101203190110.333|20101203190111.167|CCO|PHOTOS.
