TOP|20101204000001|2010-12-04_0000_US_KABC_Eyewitness_News_4PM
COL|Communication Studies Archive, UCLA 
UID|70b973de-ff39-11df-9878-00e0815fe83e
DUR|0:59:54.03
VID|640x480
CMT|
LAN|ENG
LBT|2010-12-03 16:00 America/Los_Angeles
SEG_01|2014-02-14 18:17:06|Source_Program=commercial_detection.py|Source_Person=Weixin Li
20101204000004.333|20101204005955.000|SEG|Type=Story
20101204000004.333|20101204000005.167|CCO|FAMILY'S CABIN
20101204000005.167|20101204000006.000|CCO|IN BIG BEAR LAKE ON 
20101204000006.000|20101204000006.833|CCO|SATURDAY.
20101204000006.833|20101204000007.667|CCO|HE SAID HE WANTED TO GO BACK
20101204000007.667|20101204000008.500|CCO|TO SAN DIEGO.
20101204000008.500|20101204000009.333|CCO|AN AUTOPSY WILL BE DONE TO 
20101204000009.333|20101204000010.167|CCO|DETERMINE THE EXACT CAUSE OF
20101204000010.167|20101204000011.000|CCO|DEATH.
20101204000011.000|20101204000012.429|CCO|>> ANOTHER NEW CHAPTER IN 
20101204000012.429|20101204000013.857|CCO|THE MURDER OF HOLLYWO
20101204000013.857|20101204000015.286|CCO|PUBLICIST.
20101204000015.286|20101204000016.714|CCO|NEW DETAILS ARE COMING TO 
20101204000016.714|20101204000018.143|CCO|LIGHT ABOUT A SO-CALLED 
20101204000018.143|20101204000019.571|CCO|PERSON OF INTEREST IN THE 
20101204000019.571|20101204000021.000|CCO|CASE.
20101204000021.000|20101204000022.250|CCO|MIRIAM HERNANDEZ IS LIVE 
20101204000022.250|20101204000023.500|CCO|OUTSIDE THE BEVERLY HILLS 
20101204000023.500|20101204000024.750|CCO|POLICE DEPARTMENT WITH 
20101204000024.750|20101204000026.000|CCO|TODAY'S DEVELOPMENTS.
20101204000026.000|20101204000027.250|CCO|>> BEVERLY HILLS P.D. 
20101204000027.250|20101204000028.500|CCO|CONTINUES TO WORK MANY 
20101204000028.500|20101204000029.750|CCO|ANGLES, AND THEY SAY THEY'RE
20101204000029.750|20101204000031.000|CCO|CONTINUING TO WORK ON THIS 
20101204000031.000|20101204000032.429|CCO|CASE 24/7.
20101204000032.429|20101204000033.857|CCO|ABOUT THE MAN WHO PULLED A 
20101204000033.857|20101204000035.286|CCO|GUN AND SHOT HIMSELF.
20101204000035.286|20101204000036.714|CCO|THEY SAY THEY STILL DO NOT 
20101204000036.714|20101204000038.143|CCO|KNOW WHETHER HE WAS INVOLVED
20101204000038.143|20101204000039.571|CCO|IN THE MURDER OF THE 
20101204000039.571|20101204000041.000|CCO|PUBLICIST OR NOT.
20101204000041.000|20101204000042.250|CCO|>> THE PERSON OF INTEREST 
20101204000042.250|20101204000043.500|CCO|PURSUED BY BEVERLY HILLS 
20101204000043.500|20101204000044.750|CCO|P.D. IS NOW VISIBLE IN A MUG
20101204000044.750|20101204000046.000|CCO|SHOT.
20101204000046.000|20101204000047.250|CCO|INVESTIGATORS ARE TRYING TO 
20101204000047.250|20101204000048.500|CCO|DETERMINE WHERE HE WAS ON 
20101204000048.500|20101204000049.750|CCO|THE NIGHT THE PUBLICIST WAS 
20101204000049.750|20101204000051.000|CCO|SHOT.
20101204000051.000|20101204000052.429|CCO|HAROLD MARTIN SMITH WAS 
20101204000052.429|20101204000053.857|CCO|EVICTED FROM THE HARVEY 
20101204000053.857|20101204000055.286|CCO|APARTMENTS.
20101204000055.286|20101204000056.714|CCO|HE WAS AN EX-CON WHO AT 
20101204000056.714|20101204000058.143|CCO|TIMES APPEARED DELUSIONAL TO
20101204000058.143|20101204000059.571|CCO|NEIGHBORS.
20101204000059.571|20101204000101.000|CCO|HE BRAGGED THAT HE WAS OWED 
20101204000101.000|20101204000102.250|CCO|$10,000 EITHER FROM A 
20101204000102.250|20101204000103.500|CCO|LAWSUIT SETTLEMENT OR A HIT 
20101204000103.500|20101204000104.750|CCO|ON THE WOMAN.
20101204000104.750|20101204000106.000|CCO|AS INVESTIGATORS APPROACHED 
20101204000106.000|20101204000107.250|CCO|HIM TO BE INTERVIEWED, HE 
20101204000107.250|20101204000108.500|CCO|SHOT HIMSELF.
20101204000108.500|20101204000109.750|CCO|MEANTIME, DETECTIVES ALSO 
20101204000109.750|20101204000111.000|CCO|LOOK FOR A MOTIVE.
20101204000111.000|20101204000112.667|CCO|THE WILL IS AMONG MANY 
20101204000112.667|20101204000114.333|CCO|DOCUMENTS UNDER EXAMINATION.
20101204000114.333|20101204000116.000|CCO|SHE WAS HER FRIEND FOR 30 
20101204000116.000|20101204000117.667|CCO|YEARS AND SECTOR OF HER 
20101204000117.667|20101204000119.333|CCO|ESTATE.
20101204000119.333|20101204000121.000|CCO|>> SHE'S VERY SMART WITH 
20101204000121.000|20101204000122.667|CCO|MONEY, YES.
20101204000122.667|20101204000124.333|CCO|AND AS FAR AS I -- YES, WE 
20101204000124.333|20101204000126.000|CCO|TALKED ABOUT STOCKS A LOT.
20101204000126.000|20101204000127.667|CCO|SHE WAS A SMART INVESTOR.
20101204000127.667|20101204000129.333|CCO|>> THERE WAS NO HARD 
20101204000129.333|20101204000131.000|CCO|FEELINGS KNOWN TO HER ABOUT 
20101204000131.000|20101204000132.667|CCO|A WILL DRAWN UP IN 1994, 
20101204000132.667|20101204000134.333|CCO|EVEN THOUGH A NIECE IS 
20101204000134.333|20101204000136.000|CCO|SINGING A SONG OF PRAISE TO 
20101204000136.000|20101204000137.667|CCO|HER AUNT WAS SNUBBED WITH A 
20101204000137.667|20101204000139.333|CCO|$10 GIFT.
20101204000139.333|20101204000141.000|CCO|THE WOMAN WAS WORTH $1.6 
20101204000141.000|20101204000142.667|CCO|MILLION THEN.
20101204000142.667|20101204000144.333|CCO|THE FAMILY IS NOW LOOKING 
20101204000144.333|20101204000146.000|CCO|FOR AN UPDATED WILL.
20101204000146.000|20101204000147.667|CCO|>> IT COULD ALSO BE IN A BAG
20101204000147.667|20101204000149.333|CCO|IN HER HOUSE OR SOMETHING.
20101204000149.333|20101204000151.000|CCO|SHE MAY HAVE HAD A YELLOW 
20101204000151.000|20101204000152.667|CCO|PAD WORKING ON IT.
20101204000152.667|20101204000154.333|CCO|UNLESS YOUDOCUMENT, 
20101204000154.333|20101204000156.000|CCO|IT HAS TO BE OFFICIAL.
20101204000156.000|20101204000157.667|CCO|>> PEOPLE CAME TO COURT TO 
20101204000157.667|20101204000159.333|CCO|FREE UP FUNDS FOR HER 
20101204000159.333|20101204000201.000|CCO|COMPANY.
20101204000201.000|20101204000202.250|CCO|THEY NEED TO PAY EMPLOYEES 
20101204000202.250|20101204000203.500|CCO|PROMOTING CLIENTS FOR THE 
20101204000203.500|20101204000204.750|CCO|OSCARS.
20101204000204.750|20101204000206.000|CCO|SHE NEVER TOLD HER ABOUT 
20101204000206.000|20101204000207.250|CCO|BEING SCARED OR THREATENED, 
20101204000207.250|20101204000208.500|CCO|SHE SAYS.
20101204000208.500|20101204000209.750|CCO|SHE DISMISSES THE 
20101204000209.750|20101204000211.000|CCO|POSSIBILITY OF ROAD RAGE.
20101204000211.000|20101204000212.429|CCO|>> SHE WAS SMART AND CAREFUL
20101204000212.429|20101204000213.857|CCO|AND SHE WAS RISK ADVERSE AND
20101204000213.857|20101204000215.286|CCO|NOT A FAST DRIVER.
20101204000215.286|20101204000216.714|CCO|SHE WOULDN'T CUT SOMEONE 
20101204000216.714|20101204000218.143|CCO|OFF.
20101204000218.143|20101204000219.571|CCO|SHE THOUGHT I DROVE TOO 
20101204000219.571|20101204000221.000|CCO|FAST.
20101204000221.000|20101204000222.667|CCO|>> AS FOR HER ESTATE, 
20101204000222.667|20101204000224.333|CCO|NOTHING WAS SETTLED IN COURT
20101204000224.333|20101204000226.000|CCO|TODAY.
