TOP|20101204010002|2010-12-04_0100_US_CNN-Headline_Nancy_Grace
COL|Communication Studies Archive, UCLA 
UID|d2fac018-ff41-11df-8b05-00e0815fe86c
DUR|0:59:54.03
VID|640x480
CMT|
TPF|transcripts.cnn.com|ng.01.html
HED|Person of Interest in Chasen Murder Commits Suicide in Front of Cops
LAN|ENG
LBT|2010-12-03 17:00 America/Los_Angeles
SEG_01|2014-06-18 17:37:30|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101204010012.000|20101204010135.333|SEG|Type=Story
20101204010012.000|20101204010022.000|CCO|>>> BREAKING NEWS TONIGHT.
20101204010022.000|20101204010024.000|CCO|LIVE TO BEVERLY HILLS 
20101204010024.000|20101204010026.000|CCO|CALIFORNIA.
20101204010026.000|20101204010028.000|CCO|MURDER IN HOLLYWOOD.
20101204010028.000|20101204010030.000|CCO|AFTER LEAVING A STAR-STUDDED RED
20101204010030.000|20101204010032.000|CCO|CARPET PREMIER OF CHER'S NEW 
20101204010032.000|20101204010037.000|CCO|MOVIE, "BERLESQUE" A PUBLICIST 
20101204010037.000|20101204010042.000|CCO|IS GUNNED DOWN.
20101204010042.000|20101204010044.500|CCO|A HAIL OF BULLETS FIRED INTO HER
20101204010044.500|20101204010047.000|CCO|MERCEDES BENZ.
20101204010047.000|20101204010049.500|CCO|ARMED WITH A SEARCH WARRANT, 
20101204010049.500|20101204010052.000|CCO|APPROACH A PERSON OF INTEREST IN
20101204010052.000|20101204010054.500|CCO|THIS BRUTAL SLAYING IN THE LOBBY
20101204010054.500|20101204010057.000|CCO|OF HIS APARTMENT BUILDING.
20101204010057.000|20101204010059.500|CCO|MOMENTS LATER, THE MAN, HE PULLS
20101204010059.500|20101204010102.000|CCO|OUT A PISTOL, FATALLY SHOOTING 
20101204010102.000|20101204010104.500|CCO|HIMSELF IN THE HEAD.
20101204010104.500|20101204010107.000|CCO|REPORTS EMERGING TONIGHT.
20101204010107.000|20101204010109.500|CCO|THIS MAN, ALLEGEDLY BRAGGED TO 
20101204010109.500|20101204010112.000|CCO|NEIGHBORS THAT HE KILLED RONNIE 
20101204010112.000|20101204010114.000|CCO|CHACIN AND HE WAS WAITING FOR A 
20101204010114.000|20101204010116.000|CCO|$10,000 PAYMENT FOR THE JOB HE 
20101204010116.000|20101204010118.000|CCO|DID.
20101204010118.000|20101204010120.000|CCO|DID PUBLIC RELATIONS KNOW A 
20101204010120.000|20101204010122.000|CCO|LITTLE TOO MUCH AND WAS SHE 
20101204010122.000|20101204010132.000|CCO|GUNNED DOWN IN A TWISTED 
20101204010132.000|20101204010135.333|CCO|HOLLYWOOD MURDER FOR HIRE PLOT?
20101204010135.333|20101204011236.000|SEG|Type=Story
20101204010135.333|20101204010138.667|CCO|>>> WAS THE KILLING A MURDER OF 
20101204010138.667|20101204010142.000|CCO|HIRE?
20101204010142.000|20101204010144.000|CCO|>> POPULAR HOLLYWOOD PUBLICIST.
20101204010144.000|20101204010146.000|CCO|>> SHOT ABOUT THREE OR FOUR 
20101204010146.000|20101204010148.000|CCO|TIMES WITH BULLETS.
20101204010148.000|20101204010150.000|CCO|>> ALL HELL BROKE LOOSE IN 
20101204010150.000|20101204010152.000|CCO|HOLLYWOOD.
20101204010152.000|20101204010154.000|CCO|>> A PERSON OF INTEREST FROM THE
20101204010154.000|20101204010156.000|CCO|INCIDENT.
20101204010156.000|20101204010158.000|CCO|>> PULLED A GUN AS BEVERLY HILLS
20101204010158.000|20101204010200.000|CCO|DETECTIVES WERE INTERROGATING 
20101204010200.000|20101204010202.000|CCO|HIM.
20101204010202.000|20101204010203.500|CCO|>> THERE WAS A SELF-INFLICTED 
20101204010203.500|20101204010205.000|CCO|GUNSHOT WOUND.
20101204010205.000|20101204010206.500|CCO|>> REPORTS HE WAS TO GET $10,000
20101204010206.500|20101204010208.000|CCO|SOON.
20101204010208.000|20101204010209.500|CCO|IT WAS FOR A JOB HE DID.
20101204010209.500|20101204010211.000|CCO|>> WAS IT FOR A HIT?
20101204010211.000|20101204010213.000|CCO|WHO WOULD WANT TO DO IT TO HER?
20101204010213.000|20101204010215.000|CCO|>> WAS SHE TARGETED HERE?
20101204010215.000|20101204010217.000|CCO|>> GOOD EVENING.
20101204010217.000|20101204010219.000|CCO|I'M GENE KA SAR ES IN FOR NANCY 
20101204010219.000|20101204010221.000|CCO|GRACE.
