TOP|20101204040002|2010-12-04_0400_US_CNN_Anderson_Cooper_360
COL|Communication Studies Archive, UCLA 
UID|f87b0ff0-ff5a-11df-8853-00e0815fe826
DUR|0:59:54.03
VID|640x480
CMT|
TPF|transcripts.cnn.com|acd.02.html
HED|What about Jobs; "Don't Ask, Don't Tell," Top Brass Divided; No One to Trust in Afghanistan; "Picture-Perfect" Disney Town Reeling; Tracing the Steps of Lennon's Killer
LAN|ENG
LBT|2010-12-03 20:00 America/Los_Angeles
SEG_01|2014-06-18 17:38:38|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101204040042.000|20101204040132.667|SEG|Type=Story
20101204040042.000|20101204040045.333|CCO|TONIGHT WITH UNEMPLOYMENT RISING
20101204040045.333|20101204040048.667|CCO|AND JOBLESS BENEFITS EXPIRING, 
20101204040048.667|20101204040052.000|CCO|WHAT ARE YOUR ELECTED OFFICIALS 
20101204040052.000|20101204040054.500|CCO|DOING ABOUT IT? 
20101204040054.500|20101204040057.000|CCO|ONE IS SAYING THAT WORKING WITH 
20101204040057.000|20101204040059.500|CCO|REPUBLICANS IS ALMOST LIKE 
20101204040059.500|20101204040102.000|CCO|NEGOTIATING WITH TERRORISTS.
20101204040102.000|20101204040103.125|CCO|ANOTHER IS CALLING A DEMOCRATIC 
20101204040103.125|20101204040104.250|CCO|BILL POULTRY POOP.
20101204040104.250|20101204040105.375|CCO|YET ANOTHER IS PUSHING FOR 
20101204040105.375|20101204040106.500|CCO|ONLINE GAMING.
20101204040106.500|20101204040107.625|CCO|THERE SURE ARE A LOT OF PEOPLE 
20101204040107.625|20101204040108.750|CCO|NOT DOING ANY WORK THESE DAYS.
20101204040108.750|20101204040109.875|CCO|WE'RE KEEPING THE ONES IN 
20101204040109.875|20101204040111.000|CCO|WASHINGTON HONEST.
20101204040111.000|20101204040112.250|CCO|ALSO TONIGHT, A DIFFERENT TAKE 
20101204040112.250|20101204040113.500|CCO|ON REPEALING DON'T ASK, DON'T 
20101204040113.500|20101204040114.750|CCO|TELL.
20101204040114.750|20101204040116.000|CCO|SOME OF THE MILITARY SERVICE 
20101204040116.000|20101204040117.250|CCO|CHIEFS RAISING CONCERNS, ALL OF 
20101204040117.250|20101204040118.500|CCO|THEM SAYING THEY'LL MAKE THE 
