TOP|20101204060002|2010-12-04_0600_US_KABC_20-20
COL|Communication Studies Archive, UCLA 
UID|bbdd9ff2-ff6b-11df-b09f-00e0815fe92e
DUR|0:59:54.03
VID|640x480
CMT|
LAN|ENG
LBT|2010-12-03 22:00 America/Los_Angeles
SEG_01|2014-06-18 17:38:44|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101204060007.714|20101204065956.000|SEG|Type=Story
20101204060007.714|20101204060009.143|CCO| ON AND GIVE US YOUR WWYD 
20101204060009.143|20101204060010.571|CCO|AT ABCNEWS.COM/WWYD.
20101204060010.571|20101204060012.000|CCO|AND NOW, SEE WHAT'S NEXT ON 
20101204060012.000|20101204060015.333|CCO|"20/20," STARTING RIGHT NOW.
20101204060015.333|20101204060018.667|CCO|>> TONIGHT ON "20/20," A 
20101204060018.667|20101204060022.000|CCO|BACKYARD DROWNING.
20101204060022.000|20101204060023.250|CCO|>> MY DAUGHTER FELL IN THE POOL 
20101204060023.250|20101204060024.500|CCO|AND SHE'S NOT BREATHING.
20101204060024.500|20101204060025.750|CCO|PLEASE HURRY. 
20101204060025.750|20101204060027.000|CCO|>> BUT WAS IT AN ACCIDENT?
20101204060027.000|20101204060028.250|CCO|HIS TESTIMONY COULD SEND HIS 
20101204060028.250|20101204060029.500|CCO|MOTHER TO PRISON FOR LIFE. 
20101204060029.500|20101204060030.750|CCO|>> CAN YOU TELL ME WHAT A LIE 
20101204060030.750|20101204060032.000|CCO|IS?
20101204060032.000|20101204060033.429|CCO|>> IT'S NOT THE TRUTH. 
20101204060033.429|20101204060034.857|CCO|>> BUT IS HE TELLING THE TRUTH 
20101204060034.857|20101204060036.286|CCO|ABOUT HIS OWN MOTHER?
20101204060036.286|20101204060037.714|CCO|>> WHY WOULD HE POINT THE FINGER
20101204060037.714|20101204060039.143|CCO|AT YOU. 
20101204060039.143|20101204060040.571|CCO|>> I FULLY BELIEVE MY SON WAS 
20101204060040.571|20101204060042.000|CCO|COACHED. 
20101204060042.000|20101204060044.000|CCO|>> HIS TEARS ARE REAL, BUT ARE 
20101204060044.000|20101204060046.000|CCO|HER CRIES FOR HELP AN ACT. 
20101204060046.000|20101204060048.000|CCO|>> SHE WOULD HAVE TO BE MERYL 
20101204060048.000|20101204060050.000|CCO|STREEP TO PULL THAT OFF. 
20101204060050.000|20101204060052.000|CCO|>> A BOY'S MEMORY, HIS MOTHER'S 
20101204060052.000|20101204060054.000|CCO|STORY AND MURDER. 
20101204060054.000|20101204060056.000|CCO|>> ADRIANNA IS NOT THE FIRST 
20101204060056.000|20101204060058.000|CCO|CHILD YOU'VE LOST.
