TOP|20101204060002|2010-12-04_0600_US_KNBC_Dateline_NBC
COL|Communication Studies Archive, UCLA 
UID|bbce3b8e-ff6b-11df-85a7-00e0815fe930
DUR|0:59:54.03
VID|640x480
CMT|
LAN|ENG
LBT|2010-12-03 22:00 America/Los_Angeles
SEG_01|2014-06-18 17:38:47|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101204060012.000|20101204060015.333|SEG|Type=Story
20101204060012.000|20101204060015.333|CCO| SHOES
20101204060015.333|20101204060931.000|SEG|Type=Story
20101204060015.333|20101204060018.667|CCO|>>> WE HAVE A CLOCK AND ITS'S 
20101204060018.667|20101204060022.000|CCO|RUNNING AND WE KNOW IT. 
20101204060022.000|20101204060024.000|CCO|>> HE IS A MOVIE STAR ON 
20101204060024.000|20101204060026.000|CCO|LOCATION.
20101204060026.000|20101204060028.000|CCO|BUT MAKE NO MISTAKE, THIS IS NO 
20101204060028.000|20101204060030.000|CCO|HOLLYWOOD PRODUCTION.
20101204060030.000|20101204060032.000|CCO|AND THEY'RE CROCODILES. 
20101204060032.000|20101204060034.000|CCO|>> SUPPER TIME. 
20101204060034.000|20101204060036.000|CCO|>> THIS IS A MISSION.
20101204060036.000|20101204060038.000|CCO|AN URGENT JOURNEY DEEP INSIDE 
20101204060038.000|20101204060040.000|CCO|ONE OF THE MOST VIOLENT PLACES 
20101204060040.000|20101204060042.000|CCO|ON E.
20101204060042.000|20101204060043.429|CCO|WE'RE IN NO MAN'S LAND MONOW.
20101204060043.429|20101204060044.857|CCO|A HORRIFIC BATTLE IS BREWING 
20101204060044.857|20101204060046.286|CCO|HERE.
20101204060046.286|20101204060047.714|CCO|BUT HIS BATTLE IS JUST 
20101204060047.714|20101204060049.143|CCO|BEGINNING. 
20101204060049.143|20101204060050.571|CCO|>> IF I SAID TO YOU 200,000 
20101204060050.571|20101204060052.000|CCO|PEOPLE WERE GOING TO BE KILLED, 
20101204060052.000|20101204060054.000|CCO|WHAT WOULD YOU DO?
20101204060054.000|20101204060056.000|CCO|>> FROM A REMOTE AND DANGEROUS 
20101204060056.000|20101204060058.000|CCO|LAND TO THE HIGHEST CORRIDORS OF
20101204060058.000|20101204060100.000|CCO|POWER, CAN ONE MAN HELP PREVENT 
20101204060100.000|20101204060102.000|CCO|A WAR?
20101204060102.000|20101204060103.667|CCO|>> THIS LITTLE GIRL IS PULLING 
20101204060103.667|20101204060105.333|CCO|ON MY FINGER.
20101204060105.333|20101204060107.000|CCO|I'M GOING TO GET THAT LITTLE 
20101204060107.000|20101204060108.667|CCO|GIRL. 
20101204060108.667|20101204060110.333|CCO|>> TIME IS RUNNING OUT.
20101204060110.333|20101204060112.000|CCO|"WINDS OF WAR" GEORGE CLOONEY IN
20101204060112.000|20101204060113.429|CCO|SUDAN.
20101204060113.429|20101204060114.857|CCO|GOOD EVENING AND WELCOME TO 
20101204060114.857|20101204060116.286|CCO|"DATELINE."
20101204060116.286|20101204060117.714|CCO|I'M ANN CURRY.
20101204060117.714|20101204060119.143|CCO|IT COULD BE THE PLOT FROM ONE OF
20101204060119.143|20101204060120.571|CCO|HIS FILMS, A SOLITARY MAN 
20101204060120.571|20101204060122.000|CCO|FIGHTING FURIOUSLY TO BEAT THE 
20101204060122.000|20101204060123.429|CCO|CLOCK AND SOUND THE ALARM THAT 
20101204060123.429|20101204060124.857|CCO|DISASTER IS LOOMING.
20101204060124.857|20101204060126.286|CCO|BUT THE ROLE THAT ACTOR GEORGE 
20101204060126.286|20101204060127.714|CCO|CLOONEY HAS CHOSEN NOW IS REAL 
20101204060127.714|20101204060129.143|CCO|AND SO ARE THE STAKES.
20101204060129.143|20101204060130.571|CCO|    CAPTIONS PAID FOR BY
20101204060130.571|20101204060132.000|CCO|    NBC-UNIVERSAL TELEVISION
20101204060132.000|20101204060135.333|CCO|>> IF I SAID TO YOU NOW THAT 90 
20101204060135.333|20101204060138.667|CCO|DAYS FROM NOW THERE'S GOING TO 
20101204060138.667|20101204060142.000|CCO|BE AN EARTHQUAKE AND PEOPLE WILL
20101204060142.000|20101204060143.429|CCO|BE KILLED, WHAT WOULD YOU DO?
