TOP|20101205133001|2010-12-05_1330_US_KNBC_Chris_Matthews
COL|Communication Studies Archive, UCLA 
UID|c2faaff6-0073-11e0-a461-00e0815fe930
DUR|0:29:55.02
VID|640x480
CMT|
LAN|ENG
LBT|2010-12-05 05:30 America/Los_Angeles
SEG_01|2014-06-18 17:39:41|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101205133021.000|20101205135956.000|SEG|Type=Story
20101205133021.000|20101205133023.000|CCO|>> THIS IS "THE CHRIS MATTHEWS  
20101205133023.000|20101205133025.000|CCO|SHOW."
20101205133025.000|20101205133027.000|CCO|>> ASK NOT WHAT YOUR COUNTRY CAN
20101205133027.000|20101205133029.000|CCO|DO FOR YOU. 
20101205133029.000|20101205133031.000|CCO|>> I CAN HEAR YOU.
20101205133031.000|20101205133033.000|CCO|>> THE TIME FOR CHANGE HAS COME!
20101205133033.000|20101205133035.000|CCO|> TAKING CHARGE WITH 
20101205133035.000|20101205133037.000|CCO|UNEMPLOYMENT ROUNDING TO 10%, 
20101205133037.000|20101205133039.000|CCO|BANKRUPTCY OVERSEAS, THE  
20101205133039.000|20101205133041.000|CCO|NATIONAL DEBT EXPLODING.
20101205133041.000|20101205133042.667|CCO|WILL PRESIDENT OBAMA RISE TO THE
20101205133042.667|20101205133044.333|CCO|OCCASION? 
20101205133044.333|20101205133046.000|CCO|WILL HE TAKE A HARD STAND ON  
20101205133046.000|20101205133047.667|CCO|SPENDING AND TAXES? 
20101205133047.667|20101205133049.333|CCO|WILL HE STAND BEHIND HIS  
20101205133049.333|20101205133051.000|CCO|COMMISSION'S PLAN, GRASP IT WITH
20101205133051.000|20101205133052.667|CCO|BOTH HANDS AND BE THE GROWN-UP  
20101205133052.667|20101205133054.333|CCO|THE COUNTRY NEEDS?
20101205133054.333|20101205133056.000|CCO|MAJORITY POLITICS.
20101205133056.000|20101205133057.667|CCO|WITH 20% OF VOTERS CALLING  
20101205133057.667|20101205133059.333|CCO|THEMSELVES PROGRESSIVES, IF 
20101205133059.333|20101205133101.000|CCO|BARACK OBAMA PUTS HIS SHOULDER  
20101205133101.000|20101205133103.500|CCO|TO THE WHEEL, CAN HE HAVE ENOUGH
20101205133103.500|20101205133106.000|CCO|MODERATES TO ATTACK THE DEAD. 
20101205133106.000|20101205133108.500|CCO|AND SOLDIERS FIGHT. 
20101205133108.500|20101205133111.000|CCO|MOST MILITARY SEE NO PROBLEM  
20101205133111.000|20101205133113.000|CCO|WITH OPEN SERVICE BY GAYS AND 
20101205133113.000|20101205133115.000|CCO|LESBIANS, WHY ARE MOST ARENAS 
20101205133115.000|20101205133117.000|CCO|AND HALF THE COMBAT RANKS 
20101205133117.000|20101205133119.000|CCO|OPPOSED?
20101205133119.000|20101205133121.000|CCO|IF WE GET RID OF DON'T ASK DON'T
20101205133121.000|20101205133123.500|CCO|TELL, HOW WILL WE MAKE IT WORK. 
20101205133123.500|20101205133126.000|CCO|TODAY, JOHN HEILEMANN, THE  
20101205133126.000|20101205133128.500|CCO|NATIONAL JOURNAL'S SUSAN DAVIS, 
20101205133128.500|20101205133131.000|CCO|NBC'S ANDREA MITCHELL AND ANDREW
20101205133131.000|20101205133132.667|CCO|SULLIVAN. 
20101205133132.667|20101205133134.333|CCO|PRESIDENT OBAMA IS WAIST DEEP IN
20101205133134.333|20101205133136.000|CCO|CRISIS. 
20101205133136.000|20101205133137.667|CCO|IT LOOKS LIKE ONE OPPORTUNITY 
20101205133137.667|20101205133139.333|CCO|MIGHT BE THERE FOR HIM. 
20101205133139.333|20101205133141.000|CCO|IT'S THE UNIVERSAL AGREEMENT ON 
20101205133141.000|20101205133143.000|CCO|EVERY SIDE OF THE SPECTRUM HERE 
20101205133143.000|20101205133145.000|CCO|IN WASHINGTON THAT SOMETHING HAS
20101205133145.000|20101205133147.000|CCO|TO BE DONE TO SAVE OUR COUNTRY  
20101205133147.000|20101205133149.000|CCO|FROM THE GROWING NATIONAL DEBT. 
20101205133149.000|20101205133151.000|CCO|THE BIPARTISAN COMMISSION 
20101205133151.000|20101205133153.000|CCO|COULDN'T GET A COMMANDING 
20101205133153.000|20101205133155.000|CCO|BIPARTISAN FOR THE PLAN.
20101205133155.000|20101205133157.000|CCO|RAISING THE RETIREMENT AGE FOR  
20101205133157.000|20101205133159.000|CCO|SOCIAL SECURITY AND RESTRAINING 
20101205133159.000|20101205133201.000|CCO|MEDICARE AND MEDICAID.
20101205133201.000|20101205133202.667|CCO|THE BITTER PILL ARE TAX 
20101205133202.667|20101205133204.333|CCO|INCREASES AND HUGE DEFENSE CUTS.
20101205133204.333|20101205133206.000|CCO|IN THE POLLS, A 1/3 OF THE  
20101205133206.000|20101205133207.667|CCO|COUNTRY SAYS THEY DON'T ENOUGH  
20101205133207.667|20101205133209.333|CCO|YET.
20101205133209.333|20101205133211.000|CCO|TO THE 2/3 THAT HAVE STAKED OUT 
20101205133211.000|20101205133213.000|CCO|A POSITION, THE LIBERALS ARE THE
20101205133213.000|20101205133215.000|CCO|BIG SUPPORTERS OF THE DEBT  
20101205133215.000|20101205133217.000|CCO|REDUCTION AND THE MODERAT.
20101205133217.000|20101205133219.000|CCO|THE LEAST RECEPTIVE ARE 
20101205133219.000|20101205133221.000|CCO|SELF-DESCRIBED CONSERVATIVES. 
20101205133221.000|20101205133222.429|CCO|JOHN, THIS IS IRONY TO ANYONE 
20101205133222.429|20101205133223.857|CCO|WHO HAS GROWN UP IN AMERICAN  
20101205133223.857|20101205133225.286|CCO|POLITICS. 
20101205133225.286|20101205133226.714|CCO|CONSERVATIVES ARE AGAINST BIG 
20101205133226.714|20101205133228.143|CCO|DEFICITS. 
20101205133228.143|20101205133229.571|CCO|SHOULDN'T THEY BE OUT THERE AT  
20101205133229.571|20101205133231.000|CCO|THE RAMPARTS, LET'S GET 
20101205133231.000|20101205133232.667|CCO|SOMETHING DONE? 
20101205133232.667|20101205133234.333|CCO|>> IN WASHINGTON, D.C., YOU HAVE
20101205133234.333|20101205133236.000|CCO|DEMOCRATS WHO ARE BROADLY NOT 
20101205133236.000|20101205133237.667|CCO|ENTHUSIASTIC ABOUT DEFICIT  
