TOP|20101206010001|2010-12-06_0100_US_CNN_CNN_Live_Event_Special
COL|Communication Studies Archive, UCLA 
UID|27b2d530-00d4-11e0-920b-00e0815fe86c
DUR|0:59:54.03
VID|640x480
CMT|Sept 26 2010 What the Pope Knew
TPF|transcripts.cnn.com|se.01.html
HED|The Murder of John Lennon
LAN|ENG
LBT|2010-12-05 17:00 America/Los_Angeles
SEG_01|2014-06-18 17:40:27|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101206010007.286|20101206010012.000|SEG|Type=Story
20101206010007.286|20101206010008.857|CCO|TAC--
20101206010008.857|20101206010010.429|CCO|        
20101206010010.429|20101206010012.000|CCO|        www.vitac.com
20101206010012.000|20101206010014.500|SEG|Type=Story
20101206010012.000|20101206010014.500|CCO|>>> JOHN LENNON HAS BEEN SHOT.
20101206010014.500|20101206011111.000|SEG|Type=Story
20101206010014.500|20101206010017.000|CCO|>>> DECEMBER 8, 1980.
20101206010017.000|20101206010019.500|CCO|>> PEOPLE HERE IN BRITAIN ARE 
20101206010019.500|20101206010022.000|CCO|SHOCKED AND SADDENED.
20101206010022.000|20101206010027.000|CCO|>> AN ICON LOST, A FAMILY IN 
20101206010027.000|20101206010032.000|CCO|MOURNING, A WORLD WONDERING WHY.
20101206010032.000|20101206010033.667|CCO|30 YEARS LATER, THOSE WHO WERE 
20101206010033.667|20101206010035.333|CCO|THERE SPEAK OUT.
20101206010035.333|20101206010037.000|CCO|>> HE JUST SHOT LENNON.
20101206010037.000|20101206010038.667|CCO|>> EXCLUSIVE RECORDINGS OF A 
20101206010038.667|20101206010040.333|CCO|KILLER.
20101206010040.333|20101206010042.000|CCO|>> I HEARD BOOM, BOOM, BOOM.
20101206010042.000|20101206010045.333|CCO|>> Narrator: AN INSIDER'S LOOK 
20101206010045.333|20101206010048.667|CCO|AT THE MURDER OF A LEGEND.
20101206010048.667|20101206010102.000|CCO|"LOSING LENNON: COUNTDOWN TO 
20101206010102.000|20101206010105.333|CCO|MURDER."
20101206010105.333|20101206010108.667|CCO|>> HERE WE ARE, I'M GOING TO BE 
20101206010108.667|20101206010112.000|CCO|40, LIFE BEGINS AT 40, SO THEY 
20101206010112.000|20101206010117.000|CCO|PROMISED.
