TOP|20101206010002|2010-12-06_0100_US_KCBS_CBS_2_News_at_5
COL|Communication Studies Archive, UCLA 
UID|27b7793c-00d4-11e0-880e-00e0815fe725
DUR|0:29:54.04
VID|640x480
CMT|
LAN|ENG
LBT|2010-12-05 17:00 America/Los_Angeles
SEG_01|2014-06-18 17:40:28|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101206010042.000|20101206012956.000|SEG|Type=Story
20101206010042.000|20101206012956.000|SEG_01|Type=Commercial
20101206010042.000|20101206010047.000|CCO|>> CBS 2 DOPPLER RADAR SHOWS
20101206010047.000|20101206010052.000|CCO|
20101206010052.000|20101206010052.714|CCO|RAIN FALLING AND MORE ON THE
20101206010052.714|20101206010053.429|CCO|
20101206010053.429|20101206010054.143|CCO|WAY.
20101206010054.143|20101206010054.857|CCO|
20101206010054.857|20101206010055.571|CCO|HELLO, EVERYBODY.
20101206010055.571|20101206010056.286|CCO|
20101206010056.286|20101206010057.000|CCO|SERENE: CAN SEE THE RAIN ON THE
20101206010057.000|20101206010057.714|CCO|
20101206010057.714|20101206010058.429|CCO|LENS OVER THE MOUNT WILSON
20101206010058.429|20101206010059.143|CCO|
20101206010059.143|20101206010059.857|CCO|CAMERA.
20101206010059.857|20101206010100.571|CCO|
20101206010100.571|20101206010101.286|CCO|LET'S GO OUT TO KAJ GOLDBERG
20101206010101.286|20101206010102.000|CCO|
20101206010102.000|20101206010103.667|CCO|WITH THE WEATHER.
20101206010103.667|20101206010105.333|CCO|
20101206010105.333|20101206010107.000|CCO|KAJ: THANK YOU VERY MUCH.
20101206010107.000|20101206010108.667|CCO|
20101206010108.667|20101206010110.333|CCO|WET WEATHER THROUGHOUT MOST OF
20101206010110.333|20101206010112.000|CCO|
20101206010112.000|20101206010113.000|CCO|SOUTHERN CALIFORNIA RIGHT NOW.
20101206010113.000|20101206010114.000|CCO|
20101206010114.000|20101206010115.000|CCO|IT WILL CONTINUE TO BE WET FOR
20101206010115.000|20101206010116.000|CCO|
20101206010116.000|20101206010117.000|CCO|MOST OF THE NIGHT.
20101206010117.000|20101206010118.000|CCO|
