TOP|20101206030002|2010-12-06_0300_US_CNN_Newsroom
COL|Communication Studies Archive, UCLA 
UID|eb4e2c14-00e4-11e0-b61f-00e0815fe826
DUR|0:59:54.03
VID|640x480
CMT|
TPF|transcripts.cnn.com|cnr.06.html
HED|Bernanke: Normal Unemployment Maybe Years Away; Iran Claims Nuclear Independence; Facebook Rolls Out New Profile Page Design
LAN|ENG
LBT|2010-12-05 19:00 America/Los_Angeles
SEG_01|2014-06-18 17:40:39|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101206030008.667|20101206030015.750|SEG|Type=Story
20101206030008.667|20101206030010.333|CCO|>> Larry: GOOD NIGHT, EVERYBODY.
20101206030010.333|20101206030012.000|CCO| OOH, TIL YOU COME BACK TO ME 
20101206030012.000|20101206030013.250|CCO|THAT'S WHAT I'M GOING TO DO 
20101206030013.250|20101206030014.500|CCO|>> Larry: THANK YOU, BABY.
20101206030014.500|20101206030015.750|CCO|LET'S HEAR T.
20101206030015.750|20101206030218.667|SEG|Type=Story
20101206030015.750|20101206030017.000|CCO|>>>GOOD EVENING, EVERYONE.
20101206030017.000|20101206030018.250|CCO|I'M DON LEMON.
20101206030018.250|20101206030019.500|CCO|THANKS FOR JOINING US.
20101206030019.500|20101206030020.750|CCO|WE BEGIN TONIGHT WITH A STUNNING
20101206030020.750|20101206030022.000|CCO|ADMISSION FROM THE NATION'S TOP 
20101206030022.000|20101206030023.667|CCO|ECONOMIST.
20101206030023.667|20101206030025.333|CCO|BRACE YOURSELVES.
20101206030025.333|20101206030027.000|CCO|RECOVERY MAY TAKE MUCH LONGER 
20101206030027.000|20101206030028.667|CCO|THAN EXPECTED.
20101206030028.667|20101206030030.333|CCO|THIS GRIM NEWS FROM FED CHAIR 
20101206030030.333|20101206030032.000|CCO|BEN BERNANKE COMING JUST TWO 
20101206030032.000|20101206030033.429|CCO|DAYS AFTER THAT UNEXPECTED GRIM 
20101206030033.429|20101206030034.857|CCO|JOBS REPORT.
20101206030034.857|20101206030036.286|CCO|BERNANKE SAID TONIGHT ON "60 
20101206030036.286|20101206030037.714|CCO|MINUTES" THAT AT THE RATE WE'RE 
20101206030037.714|20101206030039.143|CCO|GOING IT COULD BE FOUR, FIVE 
20101206030039.143|20101206030040.571|CCO|YEARS BEFORE WE ARE BACK TO A 
20101206030040.571|20101206030042.000|CCO|MORE NORMAL UNEMPLOYMENT RATE.
20101206030042.000|20101206030047.000|CCO|OUR CHIEF BUSINESS CORRESPONDENT
20101206030047.000|20101206030052.000|CCO|ALI VELSHI EXPLAINS WHAT THAT 
20101206030052.000|20101206030053.667|CCO|MEANS TO AMERICA. 
20101206030053.667|20101206030055.333|CCO|>> BEN BERNANKE WAS ON THE OTHER
20101206030055.333|20101206030057.000|CCO|SIDE SAYING THINGS WERE NOT AS 
20101206030057.000|20101206030058.667|CCO|BAD AS THEY WERE, AND WHAT HE 
20101206030058.667|20101206030100.333|CCO|WANTS TO DO HERE IS NOT GET 
20101206030100.333|20101206030102.000|CCO|EVERYBODY'S HOPES UP.
20101206030102.000|20101206030103.667|CCO|THE REALITY IS IT WON'T TAKE 
20101206030103.667|20101206030105.333|CCO|FOUR OR FIVE YEARS TO GET BACK 
20101206030105.333|20101206030107.000|CCO|TO THE 5% UNEMPLOYMENT WE WERE 
20101206030107.000|20101206030108.667|CCO|AT AT THE BEGINNING OF TWEFNG 
20101206030108.667|20101206030110.333|CCO|BUT IT IS GOING TO TAKE A WHILE 
20101206030110.333|20101206030112.000|CCO|AND THINGS HAVE BEEN SLOWER THAN
20101206030112.000|20101206030113.250|CCO|EXPECTED.
20101206030113.250|20101206030114.500|CCO|MOST ESTIMATES WERE THAT 
20101206030114.500|20101206030115.750|CCO|SOMETIME IN 2014 OR SO THINGS 
20101206030115.750|20101206030117.000|CCO|WOULD START GETTING BACK TO 
20101206030117.000|20101206030118.250|CCO|NORMAL, OR AT LEAST WE'D GOAT 
20101206030118.250|20101206030119.500|CCO|THOSE LEVELS.
20101206030119.500|20101206030120.750|CCO|NOW IT LOOKS LIKE IT WILL BE A 
20101206030120.750|20101206030122.000|CCO|LITTLE LONGER, AND BEN BERNANKE 
20101206030122.000|20101206030123.429|CCO|DOESN'T WANT YOU BLAMING HIM FOR
20101206030123.429|20101206030124.857|CCO|IT IN IT TAKES LONGER THAN 
20101206030124.857|20101206030126.286|CCO|EXPECTED. 
20101206030126.286|20101206030127.714|CCO|>> ALI, JUST LAST WEEK BEFORE WE
20101206030127.714|20101206030129.143|CCO|GOT THE JOBS NUMBERS, THE 
20101206030129.143|20101206030130.571|CCO|ECONOMY WAS LOOKING BETTER.
20101206030130.571|20101206030132.000|CCO|THAT'S WHAT EXPERTS ARE 
20101206030132.000|20101206030133.667|CCO|PREDICTING.
20101206030133.667|20101206030135.333|CCO|NOW WE'RE HEARING THE 9.8% 
20101206030135.333|20101206030137.000|CCO|UNEMPLOYMENT RATE AND NOW THIS.
20101206030137.000|20101206030138.667|CCO|ARE WE GOING BACKWARDS?
20101206030138.667|20101206030140.333|CCO|>> Reporter: WE'RE NOT GOING 
20101206030140.333|20101206030142.000|CCO|BACKWARDS, GOING FORWARDS MORE 
20101206030142.000|20101206030143.250|CCO|SLOWLY THAN WE HOPED TO BE, AND 
20101206030143.250|20101206030144.500|CCO|THE PROBLEM IS WHEN YOU LOOK OUT
20101206030144.500|20101206030145.750|CCO|AND LOOK AT NEXT YEAR'S ECONOMY,
20101206030145.750|20101206030147.000|CCO|IT'S ACTUALLY GOING TO BE BETTER
20101206030147.000|20101206030148.250|CCO|THAN THIS YEAR'S.
20101206030148.250|20101206030149.500|CCO|BETWEEN TECHNOLOGY WHICH MAKES 
20101206030149.500|20101206030150.750|CCO|US NEED FEWER WORKERS AND 
20101206030150.750|20101206030152.000|CCO|GLOBALIZATION WHICH MAKES US 
20101206030152.000|20101206030153.667|CCO|OUTSOURCE WORKERS, WE'RE NOT 
20101206030153.667|20101206030155.333|CCO|GETTING THE JOBS BACK.
20101206030155.333|20101206030157.000|CCO|IT'S NOT THAT THE REST OF THE 
20101206030157.000|20101206030158.667|CCO|ECONOMY, LISTENING TO WHAT 
20101206030158.667|20101206030200.333|CCO|BERNANKE SAID, NOT THAT THE REST
20101206030200.333|20101206030202.000|CCO|OF THE ECONOMY WILL NOT RECOVER 
20101206030202.000|20101206030203.429|CCO|FASTER ALSO, WE GET BACK TO THE 
20101206030203.429|20101206030204.857|CCO|5% UNEMPLOYMENT RATE THAT WE 
20101206030204.857|20101206030206.286|CCO|WERE THERE RIGHT AROUND THE 
20101206030206.286|20101206030207.714|CCO|RECESSION.
20101206030207.714|20101206030209.143|CCO|THAT'S THE THING THAT WILL TAKE 
20101206030209.143|20101206030210.571|CCO|US A LITTLE LONGER. 
20101206030210.571|20101206030212.000|CCO|>> ALI VELSHI WILL BE REPORTING 
20101206030212.000|20101206030213.111|CCO|THIS TOMORROW, MAY ACTUALLY BE 
20101206030213.111|20101206030214.222|CCO|HIS LEAD STORY AT 1:00 P.M. 
20101206030214.222|20101206030215.333|CCO|EASTERN HERE ON CNN.
20101206030215.333|20101206030216.444|CCO|OUR SENIOR BUSINESS 
20101206030216.444|20101206030217.556|CCO|CORRESPONDENT.
20101206030217.556|20101206030218.667|CCO|THANK YOU, ALI. 
20101206030218.667|20101206030453.667|SEG|Type=Story
20101206030218.667|20101206030219.778|CCO|>>> WORD TONIGHT FROM WASHINGTON
20101206030219.778|20101206030220.889|CCO|THAT DEMOCRATS ARE TRYING TO 
20101206030220.889|20101206030222.000|CCO|REACH SOME SORT OF COMPROMISE ON
20101206030222.000|20101206030223.667|CCO|THE SO-CALLED BUSH TAX CUTS.
20101206030223.667|20101206030225.333|CCO|THOSE CUTS EXPIRE AT THE END OF 
20101206030225.333|20101206030227.000|CCO|THE YEAR, JUST A FEW SHORT WEEKS
20101206030227.000|20101206030228.667|CCO|FROM NOW.
20101206030228.667|20101206030230.333|CCO|SO FAR REPUBLICANS HAVE BEEN 
20101206030230.333|20101206030232.000|CCO|ABLE TO BLOCK ATTEMPTS TO EXTEND
20101206030232.000|20101206030233.667|CCO|THE CUTS FOR ONLY THE MIDDLE 
20101206030233.667|20101206030235.333|CCO|CLASS, AND THE GOP WANTS THE 
20101206030235.333|20101206030237.000|CCO|CUTS EXTENDED FOR EVERYONE, 
20101206030237.000|20101206030238.667|CCO|INCLUDING THE WEALTHY.
20101206030238.667|20101206030240.333|CCO|EARLIER CNN POLITICAL 
20101206030240.333|20101206030242.000|CCO|CONTRIBUTOR WILLIAM BENNETT, 
20101206030242.000|20101206030243.667|CCO|BILL BENNETT, EXPLAINED THE 
20101206030243.667|20101206030245.333|CCO|CONSERVATIVE POSITION. 
20101206030245.333|20101206030247.000|CCO|>> YOU KNOW, IF YOU LIVE IN A 
20101206030247.000|20101206030248.667|CCO|STATE LIKE MARYLAND AND YOU MAKE
20101206030248.667|20101206030250.333|CCO|$250,000 YOUR YEAR, YOUR FAMILY 
20101206030250.333|20101206030252.000|CCO|DOES, YOU'RE PAYING 50% OF YOUR 
20101206030252.000|20101206030253.429|CCO|INCOME IN TAXES, AND THAT'S A 
20101206030253.429|20101206030254.857|CCO|LOT, AND WE THINK THAT'S ENOUGH.
