TOP|20101206050001|2010-12-06_0500_US_KNBC_Channel_4_News
COL|Communication Studies Archive, UCLA 
UID|ae8e8d9e-00f5-11e0-af5c-00e0815fe930
DUR|0:59:55.02
VID|640x480
CMT|
LAN|ENG
LBT|2010-12-05 21:00 America/Los_Angeles
SEG_01|2014-06-18 17:40:43|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101206050005.444|20101206050521.000|SEG|Type=Story
20101206050005.444|20101206050006.556|CCO|AND THIS YEAR'S DEBACLE?
20101206050006.556|20101206050007.667|CCO|FORGET ABOUT IT.
20101206050007.667|20101206050008.778|CCO|I AM DONE WITH IT.
20101206050008.778|20101206050009.889|CCO|IT'S NOT WORKING, AND IT WAS A 
20101206050009.889|20101206050011.000|CCO|BAD IDEA TO COME BACK.
20101206050011.000|20101206050013.000|CCO|AND JACKSON CAME IN AND PLAYS 
20101206050013.000|20101206050015.000|CCO|OKAY, AND THERE HE IS THROWING 
20101206050015.000|20101206050017.000|CCO|AN UNBELIEVABLE BALL TO RICE, 
20101206050017.000|20101206050019.000|CCO|AND HE COMES DOWN WITH IT.
20101206050019.000|20101206050021.000|CCO|BUFFALO GOT BLOWN AWAY.
20101206050021.000|20101206050023.500|CCO|RAN THEFFICIENTLY.
20101206050023.500|20101206050026.000|CCO|AND JACKSON, I DON'T KNOW IF HE 
20101206050026.000|20101206050028.500|CCO|IS A QUARTERBACK OF THE FUTURE 
20101206050028.500|20101206050031.000|CCO|OR NOT, BUT ONE DIRECTION THEY 
20101206050031.000|20101206050033.500|CCO|WILL GO WITH AS FAR AS WHO THEIR
20101206050033.500|20101206050036.000|CCO|COACH WILL BE, AND HOW COULD YOU
20101206050036.000|20101206050038.500|CCO|START WITH FAVRE ANYMORE?
20101206050038.500|20101206050041.000|CCO|HE IS NOT PLAYING WELL AT ALL.
20101206050041.000|20101206050042.250|CCO|THE SITUATION IN MINNESOTA IS 
20101206050042.250|20101206050043.500|CCO|LOST.
20101206050043.500|20101206050044.750|CCO|THE COACH HAS BEEN FIRED.
20101206050044.750|20101206050046.000|CCO|FORGET IT.
20101206050046.000|20101206050047.250|CCO|IT'S OVER.
20101206050047.250|20101206050048.500|CCO|IT ENDED UGLY, AND IT WAS A BAD 
20101206050048.500|20101206050049.750|CCO|IDEA.
20101206050049.750|20101206050051.000|CCO|GO BACK TO MISSISSIPPI, AND 
20101206050051.000|20101206050053.500|CCO|NOBODY WILL FOLLOW YOU.
20101206050053.500|20101206050056.000|CCO|THERE WILL BE NO REPORTERS ON 
20101206050056.000|20101206050058.500|CCO|YOUR LAWN ANYMORE, BRETT, JUST 
20101206050058.500|20101206050101.000|CCO|SELL WRANGLERS AND LET'S BE 
20101206050101.000|20101206050103.000|CCO|FINISH WITH THIS.
20101206050103.000|20101206050105.000|CCO|>> WHAT IS WRONG WITH INDY?
20101206050105.000|20101206050107.000|CCO|>> SEEMS LIKE EVERY PICK HE 
20101206050107.000|20101206050109.000|CCO|THROWS GOES BACK TO THE HOUSE.
20101206050109.000|20101206050111.000|CCO|WE'RE TALKING ABOUT 11 
20101206050111.000|20101206050112.429|CCO|INTERCEPTIONS IN THE LAST THREE 
20101206050112.429|20101206050113.857|CCO|DAYS.
20101206050113.857|20101206050115.286|CCO|UNBELIEVABLE.
20101206050115.286|20101206050116.714|CCO|I KNOW THAT HE DOES NOT HAVE 
20101206050116.714|20101206050118.143|CCO|DALLAS CLARK.
20101206050118.143|20101206050119.571|CCO|I KNOW AUSTIN DID NOT PLAY IN 
20101206050119.571|20101206050121.000|CCO|THE GAME EITHER.
20101206050121.000|20101206050122.667|CCO|BUT LOOK AT RIVERS.
20101206050122.667|20101206050124.333|CCO|HE HAS NOT HAD ANYBODY ALL 
