TOP|20101206070002|2010-12-06_0700_US_KCBS_CBS_2_News_at_11PM
COL|Communication Studies Archive, UCLA 
UID|724bed20-0106-11e0-94b0-00e0815fe725
DUR|0:29:55.02
VID|640x480
CMT|
LAN|ENG
LBT|2010-12-05 23:00 America/Los_Angeles
SEG_01|2014-06-18 17:40:48|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101206070004.857|20101206072957.000|SEG|Type=Story
20101206070004.857|20101206072957.000|SEG_01|Type=Commercial
20101206070004.857|20101206070005.571|CCO|S
20101206070005.571|20101206070006.286|CCO|
20101206070006.286|20101206070007.000|CCO|JUAN: POUNDING RAIN, DRIVING
20101206070007.000|20101206070007.714|CCO|
20101206070007.714|20101206070008.429|CCO|WINDS WE'RE ON "STORM
20101206070008.429|20101206070009.143|CCO|
20101206070009.143|20101206070009.857|CCO|WATCH."
20101206070009.857|20101206070010.571|CCO|
20101206070010.571|20101206070011.286|CCO|SERENE: "CBS2 NEWS" AT 11:00
20101206070011.286|20101206070022.000|CCO|
20101206070022.000|20101206070025.333|CCO|IS 60 SECONDS AWAY.
20101206070025.333|20101206070028.667|CCO|
20101206070028.667|20101206070112.000|CCO|
20101206070112.000|20101206070117.000|CCO| 
20101206070117.000|20101206070122.000|CCO|
20101206070122.000|20101206070123.000|CCO|JUAN: RAIN, WIND, AND SNOW
20101206070123.000|20101206070124.000|CCO|
20101206070124.000|20101206070125.000|CCO|MAKE FOR A STORMY SUNDAY
20101206070125.000|20101206070126.000|CCO|
20101206070126.000|20101206070127.000|CCO|NIGHT HOW LONG THE THE
20101206070127.000|20101206070128.000|CCO|
20101206070128.000|20101206070129.000|CCO|WEATHER LAST?
20101206070129.000|20101206070130.000|CCO|
20101206070130.000|20101206070131.000|CCO|I AM JUAN FERNANDEZ.
20101206070131.000|20101206070132.000|CCO|
20101206070132.000|20101206070132.833|CCO|SERENE: I AM SERENE BRANSON,
20101206070132.833|20101206070133.667|CCO|
20101206070133.667|20101206070134.500|CCO|HEAVY RAIN IN MANY AREAS,
20101206070134.500|20101206070135.333|CCO|
20101206070135.333|20101206070136.167|CCO|CBS2 KAJ GOLDBERG BEGINS OUR
20101206070136.167|20101206070137.000|CCO|
20101206070137.000|20101206070137.833|CCO|TEAM COVERAGE WITH A LOOK AT
20101206070137.833|20101206070138.667|CCO|
20101206070138.667|20101206070139.500|CCO|LATEST DOPPLER.
20101206070139.500|20101206070140.333|CCO|
20101206070140.333|20101206070141.167|CCO|KAJ: THANK YOU VERY MUCH.
20101206070141.167|20101206070142.000|CCO|
20101206070142.000|20101206070143.667|CCO|A SOGGY SUNDAY NIGHT HERE.
20101206070143.667|20101206070145.333|CCO|
20101206070145.333|20101206070147.000|CCO|THE RAIN KEEPS ROLLING IN,
20101206070147.000|20101206070148.667|CCO|
20101206070148.667|20101206070150.333|CCO|THIS IS A 3 HOUR LOOP, CBS2
20101206070150.333|20101206070152.000|CCO|
20101206070152.000|20101206070152.833|CCO|DOPPLER IN HIGH-DEFINITION,
20101206070152.833|20101206070153.667|CCO|
20101206070153.667|20101206070154.500|CCO|SNOW IN WESTERN SIERRA AND
20101206070154.500|20101206070155.333|CCO|
20101206070155.333|20101206070156.167|CCO|MODERATE TO HEAVY RAIN
20101206070156.167|20101206070157.000|CCO|
20101206070157.000|20101206070157.833|CCO|HERE.
20101206070157.833|20101206070158.667|CCO|
20101206070158.667|20101206070159.500|CCO|FOCUS IN TO DOWNTOWN LOS
20101206070159.500|20101206070200.333|CCO|
20101206070200.333|20101206070201.167|CCO|ANGELES AREA.
20101206070201.167|20101206070202.000|CCO|
20101206070202.000|20101206070203.667|CCO|YOU CAN LOOK AT SOME HEAVY
20101206070203.667|20101206070205.333|CCO|
20101206070205.333|20101206070207.000|CCO|POCKETS OF RAIN IN EAST
20101206070207.000|20101206070208.667|CCO|
20101206070208.667|20101206070210.333|CCO|L.A., MOVING FOR TOWARD EL
20101206070210.333|20101206070212.000|CCO|
20101206070212.000|20101206070213.250|CCO|MONTE, AND DOWN TODAY LONG
20101206070213.250|20101206070214.500|CCO|
20101206070214.500|20101206070215.750|CCO|BEACH, THE SYSTEMS MOVING
20101206070215.750|20101206070217.000|CCO|
20101206070217.000|20101206070218.250|CCO|FROM WEST TO EAST, RANCHO
20101206070218.250|20101206070219.500|CCO|
20101206070219.500|20101206070220.750|CCO|CUCAMONGA GETTING ANOTHER
20101206070220.750|20101206070222.000|CCO|
20101206070222.000|20101206070222.714|CCO|GOOD CELL ON THE 10 FREEWAY
20101206070222.714|20101206070223.429|CCO|
20101206070223.429|20101206070224.143|CCO|FURTHER TODAY SAN
20101206070224.143|20101206070224.857|CCO|
20101206070224.857|20101206070225.571|CCO|BERNARDINO, WE HAVE
20101206070225.571|20101206070226.286|CCO|
20101206070226.286|20101206070227.000|CCO|SOUTHERLY WINDS, THEY ARE
20101206070227.000|20101206070227.714|CCO|
20101206070227.714|20101206070228.429|CCO|CRANKING UP, BECAUSE OF THAT
20101206070228.429|20101206070229.143|CCO|
20101206070229.143|20101206070229.857|CCO|WE HAVE LIFT.
20101206070229.857|20101206070230.571|CCO|
20101206070230.571|20101206070231.286|CCO|IT IS OPENING UP THE CLOUDS,
20101206070231.286|20101206070232.000|CCO|
20101206070232.000|20101206070232.833|CCO|AND REALLY PUTTING RAIN ON
20101206070232.833|20101206070233.667|CCO|
20101206070233.667|20101206070234.500|CCO|THE GROUND, THIS CELL TOWARD
20101206070234.500|20101206070235.333|CCO|
20101206070235.333|20101206070236.167|CCO|SANTA MONICA, MARINA DEL REY
20101206070236.167|20101206070237.000|CCO|
20101206070237.000|20101206070237.833|CCO|AS WELL.
20101206070237.833|20101206070238.667|CCO|
20101206070238.667|20101206070239.500|CCO|AS AIRPORT, WINDS ARE OUT
20101206070239.500|20101206070240.333|CCO|
20101206070240.333|20101206070241.167|CCO|THERE.
20101206070241.167|20101206070242.000|CCO|
20101206070242.000|20101206070243.000|CCO|AND UP IN THE LOCAL
20101206070243.000|20101206070244.000|CCO|
20101206070244.000|20101206070245.000|CCO|MOUNTAINS WE HAVE WIND
20101206070245.000|20101206070246.000|CCO|
20101206070246.000|20101206070247.000|CCO|ADVISORY UNTIL EARLY
20101206070247.000|20101206070248.000|CCO|
20101206070248.000|20101206070249.000|CCO|TOMORROW MORNING AT ABOUT
20101206070249.000|20101206070250.000|CCO|
20101206070250.000|20101206070251.000|CCO|3:00 A.M.
20101206070251.000|20101206070252.000|CCO|
20101206070252.000|20101206070253.000|CCO|WE'LL HAVE YOUR MONDAY
20101206070253.000|20101206070254.000|CCO|
20101206070254.000|20101206070255.000|CCO|FORECAST COMING IN.
20101206070255.000|20101206070256.000|CCO|
20101206070256.000|20101206070257.000|CCO|JUAN: THANK YOU, STORMY
20101206070257.000|20101206070258.000|CCO|
20101206070258.000|20101206070259.000|CCO|CONDITIONS, THEY ARE RAISING
20101206070259.000|20101206070300.000|CCO|
20101206070300.000|20101206070301.000|CCO|CONCERNS ABOUT A WOMAN
