TOP|20101206070001|2010-12-06_0700_US_KNBC_Channel_4_News_at_11PM
COL|Communication Studies Archive, UCLA 
UID|720f8344-0106-11e0-bc86-00e0815fe930
DUR|0:34:55.02
VID|640x480
CMT|
LAN|ENG
LBT|2010-12-05 23:00 America/Los_Angeles
SEG_01|2014-06-18 17:40:48|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101206070006.000|20101206070007.250|SEG|Type=Story
20101206070006.000|20101206070007.250|CCO| WE HAVEN'T.
20101206070007.250|20101206070121.000|SEG|Type=Story
20101206070007.250|20101206070008.500|CCO|>>> THAT'S ALL FOR NOW.
20101206070008.500|20101206070009.750|CCO|I'M ANN CURRY.
20101206070009.750|20101206070011.000|CCO|FOR ALL OF US HERE AT NBC NEWS, 
20101206070011.000|20101206070011.588|CCO|THANKS FOR JOINING US.
20101206070011.588|20101206070121.000|SEG_01|Type=Commercial
20101206070011.588|20101206070012.176|CCO|    
20101206070012.176|20101206070012.765|CCO|        [ Female Announcer ]
20101206070012.765|20101206070013.353|CCO|
20101206070013.353|20101206070013.941|CCO|      Vons TALKS Hostess Gifts.
20101206070013.941|20101206070014.529|CCO|                
20101206070014.529|20101206070015.118|CCO|                  HEY, TROUT,
20101206070015.118|20101206070015.706|CCO|        
20101206070015.706|20101206070016.294|CCO|        WHAT GIFT DID YOU BRING?
20101206070016.294|20101206070016.882|CCO|      MY DANCE MOVES.
20101206070016.882|20101206070017.471|CCO|      [ beat-boxing ]
20101206070017.471|20101206070018.059|CCO|            
20101206070018.059|20101206070018.647|CCO|              THAT'S NOT A GIFT.
20101206070018.647|20101206070019.235|CCO|    
20101206070019.235|20101206070019.824|CCO|        [ Female Announcer ]
20101206070019.824|20101206070020.412|CCO|
20101206070020.412|20101206070021.000|CCO|  IT'S THE THOUGHT THAT COUNTS.
20101206070021.000|20101206070024.333|CCO|        
20101206070024.333|20101206070027.667|CCO|          AND THE GIFT.
20101206070027.667|20101206070051.000|CCO|    Vo. INGREDIENTS FOR LIFE.
20101206070051.000|20101206070052.429|CCO|1
20101206070052.429|20101206070053.857|CCO|        
20101206070053.857|20101206070055.286|CCO|        THAT SMELLS SCRUMPTIOUS.
20101206070055.286|20101206070056.714|CCO|            
20101206070056.714|20101206070058.143|CCO|                YUMMY!
20101206070058.143|20101206070059.571|CCO|
20101206070059.571|20101206070101.000|CCO|SMELLS DELIGHTFUL.
20101206070101.000|20101206070101.833|CCO|                
20101206070101.833|20101206070102.667|CCO|                    AWESOME!
20101206070102.667|20101206070103.500|CCO|    I'M NOT SMELLING
20101206070103.500|20101206070104.333|CCO|    
20101206070104.333|20101206070105.167|CCO|        ANYTHING.
20101206070105.167|20101206070106.000|CCO|    
20101206070106.000|20101206070106.833|CCO|        [ Female Announcer ]
20101206070106.833|20101206070107.667|CCO|
20101206070107.667|20101206070108.500|CCO|  EVERYTHING FOR HOLIDAY BAKING.
20101206070108.500|20101206070109.333|CCO|        
20101206070109.333|20101206070110.167|CCO|          JUST ADD LOVE.
20101206070110.167|20101206070121.000|CCO|    Vons. INGREDIENTS FOR LIFE.
20101206070121.000|20101206070216.000|SEG_01|Type=Story start
20101206070121.000|20101206070216.000|SEG|Type=Story
20101206070121.000|20101206070126.000|CCO|>>> THE FAST MOVING FRONT MOVES 
20101206070126.000|20101206070131.000|CCO|INTO SOUTHERN CALIFORNIA.
20101206070131.000|20101206070133.000|CCO|AT TIMES THE RAINS HAVE BEEN 
