TOP|20101206120001|2010-12-06_1200_US_FOX-News_Fox_and_Friends
COL|Communication Studies Archive, UCLA 
UID|5adef3f6-0130-11e0-bd34-00e0815fe826
DUR|0:59:55.02
VID|640x480
CMT|
LAN|ENG
LBT|2010-12-06 04:00 America/Los_Angeles
SEG_01|2014-06-18 17:40:52|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101206120005.444|20101206121721.000|SEG|Type=Story
20101206120005.444|20101206120011.000|SEG_01|Type=Commercial
20101206120005.444|20101206120006.556|CCO|IT HAS VITAMIN D,
20101206120006.556|20101206120007.667|CCO|WHICH EMERGING SCIENCE SUGGESTS
20101206120007.667|20101206120008.778|CCO|    
20101206120008.778|20101206120009.889|CCO|    SUPPORTS BREAST HEALTH,
20101206120009.889|20101206120011.000|CCO|  CENTRUM SILVER ULTRA WOMEN'S.
20101206120011.000|20101206120013.500|SEG_01|Type=Story start
20101206120011.000|20101206120013.500|CCO|>>  GOOD MORNING, EVERYONE.
20101206120013.500|20101206120016.000|CCO|HOPE YOU HAD A GREAT WEEKEND.
20101206120016.000|20101206120018.500|CCO|I'M GRETCHEN CARLSON.
20101206120018.500|20101206120021.000|CCO|THANKS FOR SHARING YOUR TIME.
20101206120021.000|20101206120022.250|CCO|EXTENDING THE BUSH TAX CUTS, 
20101206120022.250|20101206120023.500|CCO|PUTTING DEMOCRATS AND CONGRESS 
20101206120023.500|20101206120024.750|CCO|AT ODDS.
20101206120024.750|20101206120026.000|CCO|SOME CALLING IT A TAX TIME BOMB 
20101206120026.000|20101206120027.250|CCO|SENT BY THE BUSH ADMINISTRATION.
20101206120027.250|20101206120028.500|CCO|DANA PERINO, FORMER WHITE HOUSE 
20101206120028.500|20101206120029.750|CCO|PRESS SECRETARY HERE, SHE SAYS 
20101206120029.750|20101206120031.000|CCO|TO SET THE RECORD STRAIGHT.
20101206120031.000|20101206120032.429|CCO|>> OK.
20101206120032.429|20101206120033.857|CCO|THE CHRISTMAS PARADE IN TULSA 
20101206120033.857|20101206120035.286|CCO|BEING RENAMED THE HOLIDAY PARADE
20101206120035.286|20101206120036.714|CCO|OF LIGHTS.
20101206120036.714|20101206120038.143|CCO|YOU JUST HEARD FROM THE CHAIRMAN
