TOP|20101206180001|2010-12-06_1800_US_CNN_Newsroom
COL|Communication Studies Archive, UCLA 
UID|a5b8d996-0162-11e0-9517-00e0815fe826
DUR|0:59:55.02
VID|640x480
CMT|
TPF|transcripts.cnn.com|cnr.05.html
HED|9th Circuit Hears California Prop 8 Case; WikiLeaks Cables Point to Chinese Government Hacking; More Stimulus Possible; Obama's Focus on the Economy; Google Launches eBooks Today; Attorney General Holder on
LAN|ENG
LBT|2010-12-06 10:00 America/Los_Angeles
SEG_01|2014-06-18 17:41:50|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101206180005.444|20101206180016.714|SEG|Type=Story
20101206180005.444|20101206180006.556|CCO| 350 PEOPLE 
20101206180006.556|20101206180007.667|CCO|HAVE EITHER PUT DOWN DEPOSITS OR
20101206180007.667|20101206180008.778|CCO|PAID IN FULL FOR THE FLIGHTS 
20101206180008.778|20101206180009.889|CCO|THAT WILL LAST BETWEEN AND HOUR 
20101206180009.889|20101206180011.000|CCO|AND A HALF AND TWO HOURS.
20101206180011.000|20101206180012.429|CCO|WE UNDERSTAND ON THAT FIRST 
20101206180012.429|20101206180013.857|CCO|FLIGHT, SIR RICHARD BRANSON AND 
20101206180013.857|20101206180015.286|CCO|HIS FAMILY.
20101206180015.286|20101206180016.714|CCO|JOHN ZARRELLA, CNN, MIAMI.
20101206180016.714|20101206180027.667|SEG|Type=Story
20101206180016.714|20101206180018.143|CCO|>>> AND THE "CNN NEWSROOM" 
20101206180018.143|20101206180019.571|CCO|CONTINUES RIGHT NOW WITH ALI 
20101206180019.571|20101206180021.000|CCO|VELSHI.
20101206180021.000|20101206180022.667|CCO|>> THANK YOU, DREW.
20101206180022.667|20101206180024.333|CCO|HAVE A GREAT AFTERNOON.
20101206180024.333|20101206180026.000|CCO|I'M ALI VELSHI AS DREW SAID WITH
20101206180026.000|20101206180027.667|CCO|YOU THE NEXT TWO HOURS. 
20101206180027.667|20101206180036.000|SEG|Type=Story
20101206180027.667|20101206180029.333|CCO|>>> ON THE RUNDOWN A WIKILEAKS 
20101206180029.333|20101206180031.000|CCO|BOMBSHELL, A SINISTER ATTACK 
20101206180031.000|20101206180032.667|CCO|THAT CHASED GOOGLE OUT OF CHINA 
20101206180032.667|20101206180034.333|CCO|TRACED TO THE HIGHEST LEVELS OF 
20101206180034.333|20101206180036.000|CCO|THE CHINESE GOVERNMENT. 
20101206180036.000|20101206180045.286|SEG|Type=Story
20101206180036.000|20101206180037.667|CCO|>>> PLUS A TOWN IN SHOCK AFTER A
20101206180037.667|20101206180039.333|CCO|HIGH SCHOOL CATCHER WEARING FULL
20101206180039.333|20101206180041.000|CCO|PROTECTIVE GEAR DIES INSTANTLY 
20101206180041.000|20101206180042.429|CCO|AFTER GETTING HIT IN THE CHEST 
20101206180042.429|20101206180043.857|CCO|BY A PITCH.
20101206180043.857|20101206180045.286|CCO|HOW COULD IT HAPPEN?
20101206180045.286|20101206180051.000|SEG|Type=Story
20101206180045.286|20101206180046.714|CCO|>>> AND WITH TODAY'S BIG EYE, 
20101206180046.714|20101206180048.143|CCO|BETTER HEALTH IS A MOUSE CLICK 
20101206180048.143|20101206180049.571|CCO|AWAY.
20101206180049.571|20101206180051.000|CCO|M.D. MOUSE IS IN THE HOUSE.
20101206180051.000|20101206180419.750|SEG|Type=Story
20101206180051.000|20101206180052.429|CCO|>>> FOR THE PAST FEW YEARS, IF 
20101206180052.429|20101206180053.857|CCO|YOU DIDN'T LIKE THE LAWS 
20101206180053.857|20101206180055.286|CCO|REGARDING SAME-SEX MARRIAGE IN 
20101206180055.286|20101206180056.714|CCO|CALIFORNIA YOU BASICALLY JUST 
20101206180056.714|20101206180058.143|CCO|WILL TO WAIT A WHILE FOR THE 
20101206180058.143|20101206180059.571|CCO|CHANGE.
20101206180059.571|20101206180101.000|CCO|AFTER LAWSUITS, RALLIES, 
20101206180101.000|20101206180102.250|CCO|PROTESTS AND PETITIONS AND VOTER
20101206180102.250|20101206180103.500|CCO|REFERENDUM, RUNNING OUT OF 
20101206180103.500|20101206180104.750|CCO|PLACES TO FIGHT THIS BATTLE.
20101206180104.750|20101206180106.000|CCO|THAT MEANS STAKE ARE GETTING 
20101206180106.000|20101206180107.250|CCO|HIGHER.
20101206180107.250|20101206180108.500|CCO|A HUGE FIGHT UNDERWAY RIGHT NOW 
20101206180108.500|20101206180109.750|CCO|AND THE OUTCOME COULD CHANGE THE
20101206180109.750|20101206180111.000|CCO|LAWS IN YOUR STATE, TOO.
20101206180111.000|20101206180113.000|CCO|A FEDERAL APPEALS COURT IN SAN 
20101206180113.000|20101206180115.000|CCO|FRANCISCO IS HEARING ARGUMENTS 
20101206180115.000|20101206180117.000|CCO|FOR AND AGAINST PROPOSITION 8.
20101206180117.000|20101206180119.000|CCO|THAT'S A VOTER PASSED MEASURE 
20101206180119.000|20101206180121.000|CCO|THAT RENDERS SAME-SEX MARRIAGE 
20101206180121.000|20101206180122.429|CCO|ILLEGAL.
20101206180122.429|20101206180123.857|CCO|ITS BACKERS APPEALING A TRIAL 
20101206180123.857|20101206180125.286|CCO|COURT RULING PROPOSITION 8 
20101206180125.286|20101206180126.714|CCO|VIOLATES THE "KUWAIT PROTECTION 
20101206180126.714|20101206180128.143|CCO|CLAUSE OF THE CONSTITUTION."
20101206180128.143|20101206180129.571|CCO|ALMOST CERTAIN THE SUPREME COURT
20101206180129.571|20101206180131.000|CCO|WILL HAVE THE FINAL WORD.
