TOP|20101206190001|2010-12-06_1900_US_KNBC_Channel_4_News_Mid_Day_Report
COL|Communication Studies Archive, UCLA 
UID|077ae3f6-016b-11e0-9bd5-00e0815fe86a
DUR|0:59:55.02
VID|640x480
CMT|
LAN|ENG
LBT|2010-12-06 11:00 America/Los_Angeles
SEG_01|2014-06-18 17:42:05|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101206190011.000|20101206191221.000|SEG|Type=Story
20101206190011.000|20101206190014.667|CCO|>>  HERE WE GO.
20101206190014.667|20101206190018.333|CCO|STAND BY 2, BILLY AND KIT.
20101206190018.333|20101206190022.000|CCO|>> STAND BY, CAMERA ONE.
20101206190022.000|20101206190023.667|CCO|>> WE'RE LIVE IN FIVE, FOUR, 
20101206190023.667|20101206190025.333|CCO|THREE, TWO --
20101206190025.333|20101206190027.000|CCO|>> CAMERA TWO.
20101206190027.000|20101206190028.667|CCO|>> ONE.
20101206190028.667|20101206190030.333|CCO|>> TODAY ON "ACCESS HOLLYWOOD 
20101206190030.333|20101206190032.000|CCO|LIVE" --
20101206190032.000|20101206190033.800|CCO|>> WAS BRISTOL FORCED BY MOM TO 
20101206190033.800|20101206190035.600|CCO|DANCE?
20101206190035.600|20101206190037.400|CCO|A PALIN VS. CHO WAR OF WORDS.
20101206190037.400|20101206190039.200|CCO|>> ACCIDENT BEFORE A JUSTIN 
20101206190039.200|20101206190041.000|CCO|BIEBER CONCERT.
20101206190041.000|20101206190042.429|CCO|>>  WE'RE LIVE WITH THE LOVELY 
20101206190042.429|20101206190043.857|CCO|ANGIE HARMON.
20101206190043.857|20101206190045.286|CCO| THE PROPOSAL PEOPLE ARE STILL 
20101206190045.286|20101206190046.714|CCO|TALKING ABOUT.
20101206190046.714|20101206190048.143|CCO|>>  HE'S THE MAN OF A CERTAIN 
20101206190048.143|20101206190049.571|CCO|AGE.
20101206190049.571|20101206190051.000|CCO|AND PROUD OF IT.
20101206190051.000|20101206190053.750|CCO|SCOTT BACULA IN THE HOUSE.
20101206190053.750|20101206190056.500|CCO|>> PLUS FROM THE ABC COMEDY 
20101206190056.500|20101206190059.250|CCO|"BETTER WITH YOU" JENNIFER 
20101206190059.250|20101206190102.000|CCO|FINNEGAN.
20101206190102.000|20101206190103.667|CCO|>> AND YOGI BEAR'S RANGERS TOM 
20101206190103.667|20101206190105.333|CCO|CAVANAUGH.
20101206190105.333|20101206190107.000|CCO|>>  I'M BILLY BUSH.
20101206190107.000|20101206190108.667|CCO|>> AND I'M KIT HOOVER.
20101206190108.667|20101206190110.333|CCO|WELCOME TO "ACCESS HOLLYWOOD 
20101206190110.333|20101206190112.000|CCO|LIVE."
20101206190112.000|20101206190113.800|CCO|>> HEY, PALIN VS. CHO.
20101206190113.800|20101206190115.600|CCO|A NEW "DANCING WITH THE STARS" 
20101206190115.600|20101206190117.400|CCO|CONTROVERSY IS TODAY'S BIG NEWS.
20101206190117.400|20101206190119.200|CCO|>>  NOT DANCING ANYMORE BUT THE 
20101206190119.200|20101206190121.000|CCO|DRAMA CONTINUES.
20101206190121.000|20101206190122.375|CCO|IT'S A BATTLE OF THE BLOGS THAT 
20101206190122.375|20101206190123.750|CCO|STARTED AFTER MARGARET POSTED 
20101206190123.750|20101206190125.125|CCO|THIS ENTRY TITLED "PISTOL 
20101206190125.125|20101206190126.500|CCO|WHIPPED" ABOUT WHY SHE HEARD 
20101206190126.500|20101206190127.875|CCO|BRISTOL DID THE SHOW IN THE 
20101206190127.875|20101206190129.250|CCO|FIRST PLACE.
20101206190129.250|20101206190130.625|CCO|"I HEARD FROM SOMEONE WHO REALLY
20101206190130.625|20101206190132.000|CCO|SHOULD KNOW THAT THE ONLY REASON
20101206190132.000|20101206190133.667|CCO|BRISTOL WAS ON THE SHOW WAS 
20101206190133.667|20101206190135.333|CCO|BECAUSE SARAH PALIN FORCED HER 
20101206190135.333|20101206190137.000|CCO|TO DO IT.
20101206190137.000|20101206190138.667|CCO|SHE REPORTEDLY BLAMED BRISTOL 
20101206190138.667|20101206190140.333|CCO|HARSHLY AND OPENLY IN THE 
20101206190140.333|20101206190142.000|CCO|CIRCLES I HEARD IT FROM FOR NOT 
20101206190142.000|20101206190143.429|CCO|WINNING THE ELECTION.
20101206190143.429|20101206190144.857|CCO|SHE TOLD BRISTOL SHE OWED IT TO 
20101206190144.857|20101206190146.286|CCO|HER TO DO "DANCING WITH THE 
20101206190146.286|20101206190147.714|CCO|STARS" SO AMERICA WOULD FALL IN 
20101206190147.714|20101206190149.143|CCO|LOVE WITH HER AGAIN AND MAKE IT 
20101206190149.143|20101206190150.571|CCO|POSSIBLE FOR SARAH PALIN TO RUN 
20101206190150.571|20101206190152.000|CCO|IN 2012."
20101206190152.000|20101206190153.429|CCO|>>  BRISTOL FIRED BACK IN HER 
20101206190153.429|20101206190154.857|CCO|BLOG SAYING "TO MY FRIEND, 
20101206190154.857|20101206190156.286|CCO|MARGARET CHO."
20101206190156.286|20101206190157.714|CCO|MY FRIEND.
