TOP|20101206200001|2010-12-06_2000_US_CNN_Newsroom
COL|Communication Studies Archive, UCLA 
UID|694b0ebe-0173-11e0-8fdf-00e0815fe86c
DUR|0:59:55.02
VID|640x480
CMT|
TPF|transcripts.cnn.com|cnr.07.html
HED|Democrats in Revolt?; WikiLeaks Founder Under Fire
LAN|ENG
LBT|2010-12-06 12:00 America/Los_Angeles
SEG_01|2014-06-18 17:42:12|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101206200006.500|20101206200302.667|SEG|Type=Story
20101206200006.500|20101206200007.875|CCO| VIDEO OUT.
20101206200007.875|20101206200009.250|CCO|THIS IS VIDEO WE JUST GOT IN.
20101206200009.250|20101206200010.625|CCO|I'M GOING TO WALK YOU THROUGH 
20101206200010.625|20101206200012.000|CCO|THIS WILD -- THIS IS A FOOTBALL 
20101206200012.000|20101206200013.667|CCO|TAILGATE WITH THE COLLEGE 
20101206200013.667|20101206200015.333|CCO|STUDENT WHO SHOT THIS WHOLE 
20101206200015.333|20101206200017.000|CCO|THING BEHIND THE CAMERA.
20101206200017.000|20101206200018.667|CCO|I'M GOING TO BE TALKING TO HIM.
20101206200018.667|20101206200020.333|CCO|HE'S GOING TO TELL ME HOW THIS 
20101206200020.333|20101206200022.000|CCO|WHOLE THING GOT GOING, WHAT 
20101206200022.000|20101206200024.000|CCO|HAPPENED WITH THE ROWDY FANS WHO
20101206200024.000|20101206200026.000|CCO|OBVIOUSLY GOT OUT OF CONTROL.
20101206200026.000|20101206200028.000|CCO|THIS WAS THE ROSE BOWL.
20101206200028.000|20101206200030.000|CCO|THIS WAS A COUPLE HOURS BEFORE 
20101206200030.000|20101206200032.000|CCO|THE ROSE BOWL BIG GAME, USS/UCLA
20101206200032.000|20101206200033.250|CCO|FRIDAY AFTERNOON AT THE ROSE 
20101206200033.250|20101206200034.500|CCO|BOWL.
20101206200034.500|20101206200035.750|CCO|THIS TAKES COLLEGE RIVALRY TO A 
20101206200035.750|20101206200037.000|CCO|WHOLE NEW LEVEL.
20101206200037.000|20101206200038.250|CCO|A COUPLE OF PEOPLE WERE STABBED.
20101206200038.250|20101206200039.500|CCO|A COUPLE OF POLICE OFFICERS WERE
20101206200039.500|20101206200040.750|CCO|INJURED.
20101206200040.750|20101206200042.000|CCO|OBVIOUSLY, IT GOT UGLY.
20101206200042.000|20101206200043.429|CCO|WE'RE GOING TO GO THERE IN JUST 
20101206200043.429|20101206200044.857|CCO|A MOMENT.
20101206200044.857|20101206200046.286|CCO|BUT FIRST LET'S LOOK AT A 
20101206200046.286|20101206200047.714|CCO|CALENDAR.
20101206200047.714|20101206200049.143|CCO|25 DAYS HERE.
20101206200049.143|20101206200050.571|CCO|25 DAYS AND COUNTING.
20101206200050.571|20101206200052.000|CCO|WHAT HAPPENS IN 25 DAYS?
20101206200052.000|20101206200053.111|CCO|YOUR TAXES, MY TAXES, 
20101206200053.111|20101206200054.222|CCO|EVERYBODY'S TAXES GOING TO GO 
20101206200054.222|20101206200055.333|CCO|UP.
20101206200055.333|20101206200056.444|CCO|I HAVE BREAKING NEWS FOR YOU 
20101206200056.444|20101206200057.556|CCO|RIGHT NOW.
20101206200057.556|20101206200058.667|CCO|YOU SEE THE PRESIDENT GETTING 
20101206200058.667|20101206200059.778|CCO|OFF AIR FORCE ONE.
20101206200059.778|20101206200100.889|CCO|HE'S BEEN IN NORTH CAROLINA 
20101206200100.889|20101206200102.000|CCO|TALKING ECONOMY.
20101206200102.000|20101206200104.500|CCO|BACK IN WASHINGTON, ABOUT TO 
20101206200104.500|20101206200107.000|CCO|ENTER INTO THIS MEETING WITH 
20101206200107.000|20101206200109.500|CCO|CONGRESSIONAL DEMOCRATS WHO 
20101206200109.500|20101206200112.000|CCO|APPEAR TO BE CLOSE TO A 
20101206200112.000|20101206200113.667|CCO|FULL-SCALE REVOLT OVER POSSIBLE 
20101206200113.667|20101206200115.333|CCO|DEALMAKING WITH THE REPUBLICANS.
20101206200115.333|20101206200117.000|CCO|BRIANNA KEILAR IS BREAKING THE 
20101206200117.000|20101206200118.667|CCO|NEWS FOR US THIS AFTERNOON.
20101206200118.667|20101206200120.333|CCO|WHAT DO YOU KNOW?
20101206200120.333|20101206200122.000|CCO|>> Reporter: 3:30 P.M. AT THE 
20101206200122.000|20101206200123.429|CCO|WHITE HOUSE WE'RE JUST LEARNING 
20101206200123.429|20101206200124.857|CCO|THIS, BROOKE, PRESIDENT OBAMA IS
20101206200124.857|20101206200126.286|CCO|GOING TO BE MEETING WITH THE 
20101206200126.286|20101206200127.714|CCO|NUMBER ONE AND NUMBER TWO 
20101206200127.714|20101206200129.143|CCO|DEMOCRATS IN THE HOUSE AND THE 
20101206200129.143|20101206200130.571|CCO|SENATE.
20101206200130.571|20101206200132.000|CCO|SO HARRY REID, DICK DURBIN, 
20101206200132.000|20101206200134.000|CCO|SPEAKER PELOSI AND STENY HOYER.
20101206200134.000|20101206200136.000|CCO|AT THIS MOMENT YOU HAVE 
20101206200136.000|20101206200138.000|CCO|DEMOCRATS, ESPECIALLY HOUSE 
20101206200138.000|20101206200140.000|CCO|DEMOCRATS, WHO ARE REALLY 
20101206200140.000|20101206200142.000|CCO|PUSHING BACK ON THE WHITE HOUSE.
20101206200142.000|20101206200143.667|CCO|HOUSE DEMOCRATS -- TOP HOUSE 
20101206200143.667|20101206200145.333|CCO|DEMOCRATS HAVE BEEN MEETING WITH
20101206200145.333|20101206200147.000|CCO|VICE PRESIDENT BIDEN DURING THE 
20101206200147.000|20101206200148.667|CCO|LAST HOUR.
20101206200148.667|20101206200150.333|CCO|I SPOKE TO THE DEMOCRATIC 
20101206200150.333|20101206200152.000|CCO|CONGRESSIONAL AIDE WHO TOLD ME 
20101206200152.000|20101206200153.429|CCO|ONE OF THE MESSAGES THEY'RE 
20101206200153.429|20101206200154.857|CCO|TRYING TO IMPART TO THE WHITE 
20101206200154.857|20101206200156.286|CCO|HOUSE IS, QUOTE, WE WON'T RUBBER
20101206200156.286|20101206200157.714|CCO|STAMP A DEAL BETWEEN YOU AND 
20101206200157.714|20101206200159.143|CCO|MITCH McCONNELL, THE TOP 
20101206200159.143|20101206200200.571|CCO|REPUBLICAN IN THE SENATE AND 
20101206200200.571|20101206200202.000|CCO|MAKE IT CLEAR DON'T TAKE OUR 
20101206200202.000|20101206200203.286|CCO|SUPPORT FOR GRANTED.
20101206200203.286|20101206200204.571|CCO|WHAT IS THIS AIDE TALKING ABOUT 
20101206200204.571|20101206200205.857|CCO|HERE?
20101206200205.857|20101206200207.143|CCO|RIGHT NOW IT SEEMS NEGOTIATIONS 
20101206200207.143|20101206200208.429|CCO|ARE LEANING TOWARDS EXTENDING 
20101206200208.429|20101206200209.714|CCO|THOSE BUSH ERA TAX CUTS FOR ALL 
