TOP|20101206220001|2010-12-06_2200_US_FOX-News_Glenn_Beck
COL|Communication Studies Archive, UCLA 
UID|2ca9afea-0184-11e0-9bf2-00e0815fe826
DUR|0:59:55.02
VID|640x480
CMT|
LAN|ENG
LBT|2010-12-06 14:00 America/Los_Angeles
SEG_01|2014-06-18 17:42:24|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101206220003.857|20101206223358.500|SEG|Type=Story
20101206220003.857|20101206220004.571|CCO| SPEAK.
20101206220004.571|20101206220005.286|CCO|THIS DOESN'T APPLY TO YOU.
20101206220005.286|20101206220006.000|CCO|IT'S THE OTHER GUYS.
20101206220006.000|20101206220006.714|CCO|YOU'RE FINE.
20101206220006.714|20101206220011.000|SEG_01|Type=Commercial
20101206220006.714|20101206220007.429|CCO|GOOD NIGHT.
20101206220007.429|20101206220008.143|CCO|        
20101206220008.143|20101206220008.857|CCO|        Captioned By
20101206220008.857|20101206220009.571|CCO|Closed Captioning Services, Inc
20101206220009.571|20101206220010.286|CCO|                
20101206220010.286|20101206220011.000|CCO|                
20101206220011.000|20101206220013.500|SEG_01|Type=Story start
20101206220011.000|20101206220013.500|CCO|>> Glenn: WELCOME TO THE 
20101206220013.500|20101206220016.000|CCO|"GLENN BECK PROGRAM."
20101206220016.000|20101206220018.500|CCO|ABOUT A YEAR AGO ON THIS SHOW,
20101206220018.500|20101206220021.000|CCO|I ASKED YOU TO TALK TO YOUR 
20101206220021.000|20101206220022.250|CCO|FRIENDS.
20101206220022.250|20101206220023.500|CCO|I TOLD YOU WHAT WAS COMING.
20101206220023.500|20101206220024.750|CCO|I HAVE REMEMBER MY EXACT 
20101206220024.750|20101206220026.000|CCO|WORDS.
20101206220026.000|20101206220027.250|CCO|I SAID A YEAR FROM NOW, THIS 
20101206220027.250|20101206220028.500|CCO|COMING CHRISTMAS, YOU WON'T 
20101206220028.500|20101206220029.750|CCO|RECOGNIZE AMERICA.
20101206220029.750|20101206220031.000|CCO|I TOLD YOU A FEW THINGS COMING
20101206220031.000|20101206220032.429|CCO|AND I ASKED YOU TO TELL YOUR 
20101206220032.429|20101206220033.857|CCO|FRIENDS.
20101206220033.857|20101206220035.286|CCO|I'M SURE THEY CALLED YOU 
20101206220035.286|20101206220036.714|CCO|CRAZY.
20101206220036.714|20101206220038.143|CCO|I KNOW I WAS MOCKED BY THE 
20101206220038.143|20101206220039.571|CCO|PRESS, LEFT.
20101206220039.571|20101206220041.000|CCO|BUT YOU'RE AWAKE.
20101206220041.000|20101206220042.250|CCO|AND YOUR FRIENDS PROBABLY TOLD
20101206220042.250|20101206220043.500|CCO|YOU AH, IT'S STILL GOING TO BE
20101206220043.500|20101206220044.750|CCO|AMERICA.
20101206220044.750|20101206220046.000|CCO|RIGHT.
20101206220046.000|20101206220047.250|CCO|BUT IF YOU TOLD YOUR FRIENDS 
20101206220047.250|20101206220048.500|CCO|THE THINGS I ASKED YOU TO TELL
20101206220048.500|20101206220049.750|CCO|THEM A YEAR AGO, I WANT YOU TO
20101206220049.750|20101206220051.000|CCO|CHECK BACK IN WITH THEM.
20101206220051.000|20101206220052.667|CCO|I WANT YOU TO GIVE THEM AN 
20101206220052.667|20101206220054.333|CCO|UPDATE AND ASK THEM WHY DID 
20101206220054.333|20101206220056.000|CCO|YOU FIGHT ME IF IT WASN'T A 
20101206220056.000|20101206220057.667|CCO|BIG DEAL?
20101206220057.667|20101206220059.333|CCO|ONE.
20101206220059.333|20101206220101.000|CCO|THAT THE FED WOULD MONOTIZE 
20101206220101.000|20101206220102.429|CCO|OUR DEBT AFTER PROMISING THAT 
20101206220102.429|20101206220103.857|CCO|THEY WOULDN'T.
20101206220103.857|20101206220105.286|CCO|OH, WE HAVE MORE ON THIS WITH 
20101206220105.286|20101206220106.714|CCO|BEN BERNANKE IN A MINUTE.
20101206220106.714|20101206220108.143|CCO|THEY SAID NO, NOT GOING TO 
20101206220108.143|20101206220109.571|CCO|HAPPEN.
20101206220109.571|20101206220111.000|CCO|WELL, IT IS.
20101206220111.000|20101206220112.250|CCO|YOU TOLD THEM EUROPE WOULD BE 
20101206220112.250|20101206220113.500|CCO|ON THE BRINK OF DISASTER AND 
20101206220113.500|20101206220114.750|CCO|THERE WOULD BE PEOPLE RIOTING 
20101206220114.750|20101206220116.000|CCO|IN THE STREETS.
20101206220116.000|20101206220117.250|CCO|NO NO, NO.
20101206220117.250|20101206220118.500|CCO|THEY SAID NO, THAT WOULDN'T 
20101206220118.500|20101206220119.750|CCO|HAPPEN.
20101206220119.750|20101206220121.000|CCO|IF YOU TOLD THEM A YEAR AGO 
20101206220121.000|20101206220123.000|CCO|THAT TRYING TO GET ON AN 
20101206220123.000|20101206220125.000|CCO|AIRPLANE TO TRAVEL YOU'D GET 
20101206220125.000|20101206220127.000|CCO|FELT UP BY INVASIVE PATDOWNS 
20101206220127.000|20101206220129.000|CCO|AND SENT THROUGH SCANNERS THAT
20101206220129.000|20101206220131.000|CCO|WOULD TAKE NAKED PICTURES OF 
20101206220131.000|20101206220132.667|CCO|YOU AND CHUCK SCHUMER WOULD 
20101206220132.667|20101206220134.333|CCO|SAY WE'LL PROTECT YOU WHILE 
20101206220134.333|20101206220136.000|CCO|PROTECTING YOU FROM THE NAKED 
20101206220136.000|20101206220137.667|CCO|PICTURES, THEY WOULD HAVE SAID
20101206220137.667|20101206220139.333|CCO|IT'S NOT GOING TO HAPPEN.
20101206220139.333|20101206220141.000|CCO|IF YOU TOLD THEM THAT RUSSIA, 
20101206220141.000|20101206220144.333|CCO|A COMPANY NAMED ARMS THAT 
20101206220144.333|20101206220147.667|CCO|ACTUALLY HAS SOLD URANIUM IN 
20101206220147.667|20101206220151.000|CCO|IRAN WAS GIVEN CONTROL OF 50% 
20101206220151.000|20101206220153.000|CCO|OF THE U.S. URANIUM OUTPUT IN 
20101206220153.000|20101206220155.000|CCO|WYOMING, YOU WOULD HAVE BEEN 
20101206220155.000|20101206220157.000|CCO|CALLED CRAZY.
20101206220157.000|20101206220159.000|CCO|IF YOU TOLD THEM THAT THE 
20101206220159.000|20101206220201.000|CCO|ADMINISTRATION WOULD 
20101206220201.000|20101206220202.667|CCO|COMPLETELY BYPASS CONGRESS TO 
20101206220202.667|20101206220204.333|CCO|PASS NEW BROADCAST RULES, 
20101206220204.333|20101206220206.000|CCO|RULES THAT MAKE NET 
20101206220206.000|20101206220207.667|CCO|NEUTRALITY, ANOTHER REGULATION
20101206220207.667|20101206220209.333|CCO|GOING AROUND CONGRESS AND THE 
20101206220209.333|20101206220211.000|CCO|COURTS TO GET.
20101206220211.000|20101206220212.429|CCO|IT WOULD LOOK LIKE CHILD'S 
20101206220212.429|20101206220213.857|CCO|PLAY.
20101206220213.857|20101206220215.286|CCO|THEY WOULD HAVE TOLD YOU IT'S 
20101206220215.286|20101206220216.714|CCO|NOT GOING TO HAPPEN.
20101206220216.714|20101206220218.143|CCO|THEY WOULD HAVE BELIEVED 
20101206220218.143|20101206220219.571|CCO|FEDERAL LAW ENFORCEMENT 
20101206220219.571|20101206220221.000|CCO|AGENCIES ARE TRACKING BY 
20101206220221.000|20101206220222.667|CCO|PUTTING GPS WITHOUT A WARRANT 
20101206220222.667|20101206220224.333|CCO|UNDER PEOPLE'S CARS.
20101206220224.333|20101206220226.000|CCO|AND NOW, AS WE TOLD YOU ON 
20101206220226.000|20101206220227.667|CCO|THIS PROGRAM AND HOPEFULLY YOU
20101206220227.667|20101206220229.333|CCO|TOLD YOUR FRIENDS IT WOULD 
20101206220229.333|20101206220231.000|CCO|COME, WE FIND OUT NOW AMERICAN
20101206220231.000|20101206220232.667|CCO|CREDIT CARD TRANSACTIONS ARE 
20101206220232.667|20101206220234.333|CCO|BEING TRACKED IN REAL-TIME 
20101206220234.333|20101206220236.000|CCO|WITHOUT A WARRANT.
20101206220236.000|20101206220237.667|CCO|THEY, I'M SURE IF YOU SAID 
20101206220237.667|20101206220239.333|CCO|THAT TO THEM, A FEW MONTHS 
20101206220239.333|20101206220241.000|CCO|BACK, THEY SAID NO, NO, NO, 
20101206220241.000|20101206220242.429|CCO|NO.
20101206220242.429|20101206220243.857|CCO|NOT IN AMERICA.
20101206220243.857|20101206220245.286|CCO|THAT'S CRAZY.
20101206220245.286|20101206220246.714|CCO|IT'S NOT GOING TO HAPPEN HERE.
20101206220246.714|20101206220248.143|CCO|WELL, ALL OF THOSE THINGS ARE 
20101206220248.143|20101206220249.571|CCO|HAPPENING NOW.
20101206220249.571|20101206220251.000|CCO|LOOK HOW FAR WE'VE PROGRESSED 
20101206220251.000|20101206220253.000|CCO|IN THE LAST YEAR.
20101206220253.000|20101206220255.000|CCO|YOU KNOW WHAT?
20101206220255.000|20101206220257.000|CCO|IT'S NOT SLOWING DOWN.
20101206220257.000|20101206220259.000|CCO|IMAGINE WHAT AMERICA LOOKS 
20101206220259.000|20101206220301.000|CCO|LIKE AFTER ANOTHER YEAR OF 
20101206220301.000|20101206220302.429|CCO|THIS PROGRESS.
20101206220302.429|20101206220303.857|CCO|BUCKLE UP.
20101206220303.857|20101206220305.286|CCO|IT'S GOING TO BE A BUMPY RIDE.
20101206220305.286|20101206220306.714|CCO|TONIGHT, I WANT TO MAKE 
20101206220306.714|20101206220308.143|CCO|ANOTHER PREDICTION.
20101206220308.143|20101206220309.571|CCO|AT THE SAME TIME, I MADE IT 
20101206220309.571|20101206220311.000|CCO|LAST YEAR.
20101206220311.000|20101206220312.667|CCO|AMERICA, ANOTHER YEAR.
20101206220312.667|20101206220314.333|CCO|YOU WON'T RECOGNIZE YOUR 
20101206220314.333|20101206220316.000|CCO|COUNTRY YET AGAIN.
20101206220316.000|20101206220317.667|CCO|NEXT CHRISTMAS.
20101206220317.667|20101206220319.333|CCO|BUT YOU DO HAVE A CHOICE.
20101206220319.333|20101206220321.000|CCO|HOPEFULLY IT'S A LITTLE 
20101206220321.000|20101206220323.000|CCO|CLEARER AS TO WHY YOU MUST 
20101206220323.000|20101206220325.000|CCO|TAKE A STAND, AND MAKE A 
20101206220325.000|20101206220327.000|CCO|CHOICE.
20101206220327.000|20101206220329.000|CCO|C'MON!
20101206220329.000|20101206220331.000|CCO|
20101206220331.000|20101206220336.000|CCO|
20101206220336.000|20101206220341.000|CCO|>> Glenn: HELLO, AMERICA.
