TOP|20101206220002|2010-12-06_2200_US_MSNBC_Hardball_with_Chris_Matthews
COL|Communication Studies Archive, UCLA 
UID|2d157374-0184-11e0-b8d1-00e0815fe86a
DUR|0:59:54.03
VID|640x480
CMT|
LAN|ENG
LBT|2010-12-06 14:00 America/Los_Angeles
SEG_01|2014-06-18 17:42:28|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101206220005.333|20101206220017.000|SEG|Type=Story
20101206220005.333|20101206220006.167|CCO|HAVE 
20101206220006.167|20101206220007.000|CCO|CHILDREN, THE IMPLICATIONS OF 
20101206220007.000|20101206220007.833|CCO|THAT DECISION ARE SUBSTANTIAL TO
20101206220007.833|20101206220008.667|CCO|SAY THE LEAST.
20101206220008.667|20101206220009.500|CCO|>> ABSOLUTELY.
20101206220009.500|20101206220010.333|CCO|>> NICE TO SEE YOU.
20101206220010.333|20101206220011.167|CCO|THAT WILL DO IT FOR US.
20101206220011.167|20101206220012.000|CCO|I AM DYLAN RATIGAN AND 
20101206220012.000|20101206220017.000|CCO|"HARDBALL'S" UP RIGHT NOW.
20101206220017.000|20101206220032.000|SEG|Type=Story
20101206220017.000|20101206220022.000|CCO|>>> WHICH WAY SHOULD HE GO?
20101206220022.000|20101206220032.000|CCO|LET'S PLAY "HARDBALL."
20101206220032.000|20101206220148.000|SEG|Type=Story
20101206220032.000|20101206220033.667|CCO|>>> GOOD EVENING.
20101206220033.667|20101206220035.333|CCO|I'M CHRIS MATTHEWS IN NEW YORK.
20101206220035.333|20101206220037.000|CCO|WHAT DOES PRESIDENT OBAMA DO 
20101206220037.000|20101206220038.667|CCO|NOW?
20101206220038.667|20101206220040.333|CCO|TRY TO APPEASE THE ANGRY 
20101206220040.333|20101206220042.000|CCO|LIBERALS WHO BELIEVE HE'S GIVEN 
20101206220042.000|20101206220043.667|CCO|AWAY THE STORE TO REPUBLICANS OR
20101206220043.667|20101206220045.333|CCO|PULL A CLINTON AND PLAY THE ROLE
20101206220045.333|20101206220047.000|CCO|OF THE MODERATE.
20101206220047.000|20101206220048.667|CCO|RIGHT NOW, HE'S PLEASING NO ONE.
20101206220048.667|20101206220050.333|CCO|ALSO, THE REPUBLICANS SHOWED 
20101206220050.333|20101206220052.000|CCO|THEIR HAND THIS WEEKEND VOTING 
20101206220052.000|20101206220053.429|CCO|AGAINST LIMITED TAX CUTS TO 
20101206220053.429|20101206220054.857|CCO|THOSE MAKING LESS THAN A MILLION
20101206220054.857|20101206220056.286|CCO|DOLLARS A YEAR.
20101206220056.286|20101206220057.714|CCO|WELL, THE TWO QUESTIONS FACING 
20101206220057.714|20101206220059.143|CCO|DEMOCRATS ARE, CAN THEY MAKE THE
20101206220059.143|20101206220100.571|CCO|REPUBLICANS PAY POLITICALLY FOR 
20101206220100.571|20101206220102.000|CCO|THAT STAND FOR THE RICH AND ARE 
20101206220102.000|20101206220104.000|CCO|THE DEMOCRATS' OTHER PRIORITIES 
20101206220104.000|20101206220106.000|CCO|OUT THERE LIKE EXTENDING JOBLESS
20101206220106.000|20101206220108.000|CCO|BENEFITS FOR PEOPLE OUT OF WORK,
20101206220108.000|20101206220110.000|CCO|THE NEW S.T.A.R.T. TREATY TO 
20101206220110.000|20101206220112.000|CCO|STOP IS NUCLEAR WAR FROM 
20101206220112.000|20101206220114.000|CCO|STARTING AGAIN, DON'T ASK DON'T 
20101206220114.000|20101206220116.000|CCO|TELL, ARE THEY WORTH GIVING UP 
20101206220116.000|20101206220118.000|CCO|ON THE TAX BREAKS AND GIVING 
20101206220118.000|20101206220120.000|CCO|THEM TO THE RICH.
20101206220120.000|20101206220122.000|CCO|PLUS, HAS THE WORD GONE OIT 
20101206220122.000|20101206220124.000|CCO|AMONG SOME REPUBLICANS, IT'S 
20101206220124.000|20101206220126.000|CCO|OKAY TO BASH SARAH PALIN?
20101206220126.000|20101206220128.000|CCO|WHERE ONCE WAS HEARD A 
20101206220128.000|20101206220130.000|CCO|DISCOURAGING WORD, NOW PALIN IS 
20101206220130.000|20101206220132.000|CCO|TAKING SHOTS FROM THE LIKES OF 
20101206220132.000|20101206220133.667|CCO|ED ROLLINS, JOE SCARBOROUGH, 
20101206220133.667|20101206220135.333|CCO|EVEN BARBARA BUSH.
20101206220135.333|20101206220137.000|CCO|HAS SOMEONE SOUNDED THE DOG 
20101206220137.000|20101206220138.667|CCO|WHISTLE?
20101206220138.667|20101206220140.333|CCO|AND A FEDERAL APPEALS COURT 
20101206220140.333|20101206220142.000|CCO|HEARD ARGUMENTS THIS AFTERNOON 
20101206220142.000|20101206220144.000|CCO|ON PROPOSITION-8.
20101206220144.000|20101206220146.000|CCO|DAVID BOISE JOINS US HERE 
20101206220146.000|20101206220148.000|CCO|TONIGHT.
20101206220148.000|20101206221115.333|SEG|Type=Story
20101206220148.000|20101206220150.000|CCO|>>> FINALLY, ANOTHER BRILLIANT 
20101206220150.000|20101206220152.000|CCO|IDEA FROM THE PEOPLE THAT 
20101206220152.000|20101206220153.429|CCO|BROUGHT YOU TEA PARTY NATION.
20101206220153.429|20101206220154.857|CCO|CATCH THIS.
20101206220154.857|20101206220156.286|CCO|VOTING RIGHTS SHOULD BE LIMITED 
20101206220156.286|20101206220157.714|CCO|TO THOSE PEOPLE WHO OWN LAND.
20101206220157.714|20101206220159.143|CCO|WOW.
20101206220159.143|20101206220200.571|CCO|THAT'S GOING BACK.
20101206220200.571|20101206220202.000|CCO|CHECK OUT THE "SIDESHOW."
20101206220202.000|20101206220204.500|CCO|WE START WITH WHAT PRESIDENT 
20101206220204.500|20101206220207.000|CCO|OBAMA SHOULD BE DOING NOW.
20101206220207.000|20101206220209.500|CCO|JOHN HARRIS IS A BRILLIANT 
