TOP|20101207000002|2010-12-07_0000_US_FOX-News_Report_with_Shepard_Smith
COL|Communication Studies Archive, UCLA 
UID|f0654362-0194-11e0-94fa-00e0815fe826
DUR|0:59:54.03
VID|640x480
CMT|
LAN|ENG
LBT|2010-12-06 16:00 America/Los_Angeles
SEG_01|2014-06-18 17:42:54|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101207000007.714|20101207005956.000|SEG|Type=Story
20101207000007.714|20101207005956.000|SEG_01|Type=Commercial
20101207000007.714|20101207000009.143|CCO|," FAIR, BALANCED,
20101207000009.143|20101207000010.571|CCO|
20101207000010.571|20101207000012.000|CCO|
20101207000012.000|20101207000012.476|CCO|BREAKING, AND UNAFRAID
20101207000012.476|20101207000012.952|CCO|
20101207000012.952|20101207000013.429|CCO|
20101207000013.429|20101207000013.905|CCO|>> Shepard: IT'S NOW A DONE
20101207000013.905|20101207000014.381|CCO|
20101207000014.381|20101207000014.857|CCO|
20101207000014.857|20101207000015.333|CCO|DEAL.
20101207000015.333|20101207000015.810|CCO|
20101207000015.810|20101207000016.286|CCO|
20101207000016.286|20101207000016.762|CCO|TAX BREAKS FOR EVERYONE AT ALL
20101207000016.762|20101207000017.238|CCO|
20101207000017.238|20101207000017.714|CCO|
20101207000017.714|20101207000018.190|CCO|LEVELS.
20101207000018.190|20101207000018.667|CCO|
20101207000018.667|20101207000019.143|CCO|
20101207000019.143|20101207000019.619|CCO|JOBLESS BENEFITS TO BE EXTENDED
20101207000019.619|20101207000020.095|CCO|
20101207000020.095|20101207000020.571|CCO|
20101207000020.571|20101207000021.048|CCO|AND MUCH MORE.
20101207000021.048|20101207000021.524|CCO|
20101207000021.524|20101207000022.000|CCO|
20101207000022.000|20101207000023.111|CCO|WHAT DOES IT ALL MEAN FOR
20101207000023.111|20101207000024.222|CCO|
20101207000024.222|20101207000025.333|CCO|
20101207000025.333|20101207000026.444|CCO|FAMILIES, FOR BILLIONAIRES?
20101207000026.444|20101207000027.556|CCO|
20101207000027.556|20101207000028.667|CCO|
20101207000028.667|20101207000029.778|CCO|FOR THE NATION?
20101207000029.778|20101207000030.889|CCO|
20101207000030.889|20101207000032.000|CCO|
20101207000032.000|20101207000032.667|CCO|[CHEERS]
20101207000032.667|20101207000033.333|CCO|
20101207000033.333|20101207000034.000|CCO|
20101207000034.000|20101207000034.667|CCO|>> Shepard: COUNTING DOWN TO A
20101207000034.667|20101207000035.333|CCO|
20101207000035.333|20101207000036.000|CCO|
20101207000036.000|20101207000036.667|CCO|NEW YEAR'S DAY TAX HIKE.
20101207000036.667|20101207000037.333|CCO|
20101207000037.333|20101207000038.000|CCO|
20101207000038.000|20101207000038.667|CCO|>> WE HAVE GOT TO FIND SOME
20101207000038.667|20101207000039.333|CCO|
20101207000039.333|20101207000040.000|CCO|
20101207000040.000|20101207000040.667|CCO|CONSENSUS HERE.
20101207000040.667|20101207000041.333|CCO|
20101207000041.333|20101207000042.000|CCO|
20101207000042.000|20101207000042.667|CCO|>> LAST THING WE NEED TO DO IS
20101207000042.667|20101207000043.333|CCO|
20101207000043.333|20101207000044.000|CCO|
20101207000044.000|20101207000044.667|CCO|RAISE TAXES DURING FRAGILE
20101207000044.667|20101207000045.333|CCO|
20101207000045.333|20101207000046.000|CCO|
20101207000046.000|20101207000046.667|CCO|RECOVERY.
20101207000046.667|20101207000047.333|CCO|
20101207000047.333|20101207000048.000|CCO|
20101207000048.000|20101207000048.667|CCO|>> Shepard: COMPROMISE ONE THAT
20101207000048.667|20101207000049.333|CCO|
20101207000049.333|20101207000050.000|CCO|
20101207000050.000|20101207000050.667|CCO|COULD GO BEYOND TAX CUTS.
20101207000050.667|20101207000051.333|CCO|
20101207000051.333|20101207000052.000|CCO|
20101207000052.000|20101207000052.476|CCO|THE LATEST WIKILEAKS MAY BE MORE
20101207000052.476|20101207000052.952|CCO|
20101207000052.952|20101207000053.429|CCO|
20101207000053.429|20101207000053.905|CCO|DANGEROUS THAN WE REALIZED.
20101207000053.905|20101207000054.381|CCO|
20101207000054.381|20101207000054.857|CCO|
20101207000054.857|20101207000055.333|CCO|>> THE AMERICAN PEOPLE
20101207000055.333|20101207000055.810|CCO|
20101207000055.810|20101207000056.286|CCO|
20101207000056.286|20101207000056.762|CCO|THEMSELVES HAVE BEEN PUT AT
20101207000056.762|20101207000057.238|CCO|
20101207000057.238|20101207000057.714|CCO|
20101207000057.714|20101207000058.190|CCO|RISK.
20101207000058.190|20101207000058.667|CCO|
20101207000058.667|20101207000059.143|CCO|
20101207000059.143|20101207000059.619|CCO|>> Shepard: NEW DETAILS ABOUT
20101207000059.619|20101207000100.095|CCO|
20101207000100.095|20101207000100.571|CCO|
20101207000100.571|20101207000101.048|CCO|THE SECRETS WIKILEAKS REVEALED
20101207000101.048|20101207000101.524|CCO|
20101207000101.524|20101207000102.000|CCO|
20101207000102.000|20101207000103.111|CCO|PLUS, NEW PRESSURE ON THE WEB
20101207000103.111|20101207000104.222|CCO|
20101207000104.222|20101207000105.333|CCO|
20101207000105.333|20101207000106.444|CCO|SITE AND ITS FOUNDER.
20101207000106.444|20101207000107.556|CCO|
20101207000107.556|20101207000108.667|CCO|
20101207000108.667|20101207000109.778|CCO|AND WHAT WILL AIRPORT SCREENING
20101207000109.778|20101207000110.889|CCO|
20101207000110.889|20101207000112.000|CCO|
20101207000112.000|20101207000112.667|CCO|BE LIKE AFTER THIS?
20101207000112.667|20101207000113.333|CCO|
20101207000113.333|20101207000114.000|CCO|
20101207000114.000|20101207000114.667|CCO|AL QAEDA APPARENTLY WORKING ON A
20101207000114.667|20101207000115.333|CCO|
20101207000115.333|20101207000116.000|CCO|
20101207000116.000|20101207000116.667|CCO|NEW WEAPON.
20101207000116.667|20101207000117.333|CCO|
20101207000117.333|20101207000118.000|CCO|
20101207000118.000|20101207000118.667|CCO|THE FRANKEN BOMBER.
20101207000118.667|20101207000119.333|CCO|
20101207000119.333|20101207000120.000|CCO|
