TOP|20101207000001|2010-12-07_0000_US_KABC_Eyewitness_News_4PM
COL|Communication Studies Archive, UCLA 
UID|eff26f36-0194-11e0-83a1-00e0815fe92e
DUR|0:59:55.02
VID|640x480
CMT|
LAN|ENG
LBT|2010-12-06 16:00 America/Los_Angeles
SEG_01|2014-06-18 17:42:56|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101207000004.636|20101207005956.000|SEG|Type=Story
20101207000004.636|20101207000005.545|CCO|NUATION OF TAX 
20101207000005.545|20101207000006.455|CCO|CUTS FOR ALL WORKERS.
20101207000006.455|20101207000007.364|CCO|THE PRESIDENT HAS BACKED 
20101207000007.364|20101207000008.273|CCO|DOWN ON HIS INSISTENCE THERE
20101207000008.273|20101207000009.182|CCO|BE NO CUTS FOR THE WEALTHY.
20101207000009.182|20101207000010.091|CCO|THE DEAL ALSO INCLUDES AN 
20101207000010.091|20101207000011.000|CCO|EXTENSION OF THE 
20101207000011.000|20101207000012.667|CCO|UNEMPLOYMENT BENEFITS.
20101207000012.667|20101207000014.333|CCO|PRESSURE ON THE WHITE HOUSE 
20101207000014.333|20101207000016.000|CCO|AND CONGRESS INCREASED WITH 
20101207000016.000|20101207000017.667|CCO|NEWS THAT UNEMPLOYMENT ROSE 
20101207000017.667|20101207000019.333|CCO|LAST MONTH TO 9.8%.
20101207000019.333|20101207000021.000|CCO|THE PRESIDENT HAS BEEN 
20101207000021.000|20101207000023.000|CCO|ADAMANT ABOUT NOT EXTENDING 
20101207000023.000|20101207000025.000|CCO|THE BUSH TAX CUTS FOR PEOPLE
20101207000025.000|20101207000027.000|CCO|MAKING MORE THAN $250,000 A 
20101207000027.000|20101207000029.000|CCO|YEAR.
20101207000029.000|20101207000031.000|CCO|BUT REPUBLICANS ARE JUST AS 
20101207000031.000|20101207000033.000|CCO|INSISTENT THE CUTS BE FOR 
20101207000033.000|20101207000035.000|CCO|ALL TAXPAYERS.
20101207000035.000|20101207000037.000|CCO|THE PRESIDENT AGREED TO 
20101207000037.000|20101207000039.000|CCO|EXTEND IT FOR TWO YEARS.
20101207000039.000|20101207000041.000|CCO|IT MEANS MORE MONEY IN 
20101207000041.000|20101207000042.667|CCO|EVERYONE'S POCKET.
20101207000042.667|20101207000044.333|CCO|HE ESTIMATES IT WILL COST 
20101207000044.333|20101207000046.000|CCO|TAXPAYERS AN AVERAGE OF 
20101207000046.000|20101207000047.667|CCO|$3,000 APIECE IF THEY'RE NOT
20101207000047.667|20101207000049.333|CCO|EXTENDED.
20101207000049.333|20101207000051.000|CCO|>> I'M NOT GOING TO LET 
20101207000051.000|20101207000053.000|CCO|WORKING FAMILIES ACROSS THIS
20101207000053.000|20101207000055.000|CCO|COUNTRY BECOME COLLATERAL 
20101207000055.000|20101207000057.000|CCO|DAMAGE FOR WARFARE HERE IN 
20101207000057.000|20101207000059.000|CCO|WASHINGTON AND I'M NOT 
20101207000059.000|20101207000101.000|CCO|LETTING OUR ECONOMY SLIP 
20101207000101.000|20101207000102.429|CCO|BACKWARDS AND WE'RE PULLING 
20101207000102.429|20101207000103.857|CCO|OURSELVES OUT OF THIS 
20101207000103.857|20101207000105.286|CCO|DEVASTATING RECESSION.
20101207000105.286|20101207000106.714|CCO|I'M NOT WILLING TO SEE 2 
20101207000106.714|20101207000108.143|CCO|MILLION AMERICANS WHO STAND 
20101207000108.143|20101207000109.571|CCO|TO LOSE THEIR UNEMPLOYMENT 
20101207000109.571|20101207000111.000|CCO|INSURANCE AT THE END OF THE 
20101207000111.000|20101207000112.429|CCO|MONTH TO PUT IN A SITUATION 
20101207000112.429|20101207000113.857|CCO|WHERE THEY MIGHT LOSE THEIR 
20101207000113.857|20101207000115.286|CCO|HOME OR CAR OR SUFFER SOME 
20101207000115.286|20101207000116.714|CCO|ADDITIONAL ECONOMIC 
20101207000116.714|20101207000118.143|CCO|CATASTROPHE.
20101207000118.143|20101207000119.571|CCO|>> AS THE PRESIDENT SAID, 
20101207000119.571|20101207000121.000|CCO|EVERYONE WILL FIND FAULT IN 
20101207000121.000|20101207000122.429|CCO|THE COMPROMISE BUT IT KEEPS 
20101207000122.429|20101207000123.857|CCO|THE GOVERNMENT MOVING.
20101207000123.857|20101207000125.286|CCO|AND THE AGREEMENT COULD LEAD
20101207000125.286|20101207000126.714|CCO|TO OTHER IMPORTANT 
20101207000126.714|20101207000128.143|CCO|AGREEMENTS, LIKE 
20101207000128.143|20101207000129.571|CCO|RATIFICATION OF THE 
20101207000129.571|20101207000131.000|CCO|STRATEGIC ARMS REDUCTION 
20101207000131.000|20101207000133.500|CCO|TREATY.
20101207000133.500|20101207000136.000|CCO|>> THANK YOU, JOHN.
20101207000136.000|20101207000138.500|CCO|>> WE HAVE MORE BREAKING 
20101207000138.500|20101207000141.000|CCO|NEWS.
20101207000141.000|20101207000142.667|CCO|JACK KAISER, NOTED LOCAL 
20101207000142.667|20101207000144.333|CCO|ECONOMIST, DIED AT THE AGE 
20101207000144.333|20101207000146.000|CCO|OF 86.
20101207000146.000|20101207000147.667|CCO|HE WAS WITH THE LOS ANGELES 
20101207000147.667|20101207000149.333|CCO|COUNTY ECONOMIC DEVELOPMENT 
20101207000149.333|20101207000151.000|CCO|CORPORATION WHICH TRACKED 
20101207000151.000|20101207000151.909|CCO|THE LOCAL ECONOMY, JOB 
20101207000151.909|20101207000152.818|CCO|GROWTH AND MORE RECENTLY JOB
20101207000152.818|20101207000153.727|CCO|LOSS.
20101207000153.727|20101207000154.636|CCO|HE WAS A FREQUENT SOURCE OF 
20101207000154.636|20101207000155.545|CCO|IMPORTANT ECONOMIC 
20101207000155.545|20101207000156.455|CCO|INFORMATION ON EYEWITNESS 
20101207000156.455|20101207000157.364|CCO|NEWS.
20101207000157.364|20101207000158.273|CCO|NO WORD ON THE CAUSE OF 
20101207000158.273|20101207000159.182|CCO|DEATH.
20101207000159.182|20101207000200.091|CCO|WE'LL HAVE MORE ON 
20101207000200.091|20101207000201.000|CCO|MR. KAISER'S PASSING COMING 
20101207000201.000|20101207000202.667|CCO|UP AT 5:00.
20101207000202.667|20101207000204.333|CCO|>> NOW TO AN APPARENT 
20101207000204.333|20101207000206.000|CCO|MURDER-SUICIDE INVOLVING AN 
20101207000206.000|20101207000207.667|CCO|ELDERLY COUPLE.
20101207000207.667|20101207000209.333|CCO|IT HAPPENED AT A HOME IN 
20101207000209.333|20101207000211.000|CCO|LAGUNA WOODS.
20101207000211.000|20101207000212.250|CCO|THE SHOTS MAY HAVE BEEN 
20101207000212.250|20101207000213.500|CCO|HEARD ON A 911 CALL AS A 
20101207000213.500|20101207000214.750|CCO|WOMAN SCREAMED FOR HELP.
20101207000214.750|20101207000216.000|CCO|EILEEN FRERE IS COVERING 
20101207000216.000|20101207000217.250|CCO|THAT STORY AND WE'LL CHECK 
20101207000217.250|20101207000218.500|CCO|IN WITH HER IN A FEW 
20101207000218.500|20101207000219.750|CCO|MINUTES.
20101207000219.750|20101207000221.000|CCO|>> MEANTIME, A TODDLER IS 
20101207000221.000|20101207000222.667|CCO|PULLED OUT FROM A BURNED-OUT
20101207000222.667|20101207000224.333|CCO|APARTMENT AND MOTHER IS NOW 
20101207000224.333|20101207000226.000|CCO|BEHIND BARS.
20101207000226.000|20101207000227.667|CCO|THE FIRE BROKE OUT EARLY 
20101207000227.667|20101207000229.333|CCO|THIS MORNING AT AN APARTMENT
20101207000229.333|20101207000231.000|CCO|IN THE 2600 BLOCK OF EAST 
20101207000231.000|20101207000232.429|CCO|55TH WAY IN LONG BEACH.
20101207000232.429|20101207000233.857|CCO|FIREFIGHTERS HAD THE FIRE 
20101207000233.857|20101207000235.286|CCO|OUT IN 12 MINUTES AND 
20101207000235.286|20101207000236.714|CCO|SEARCHED FOR THE BOY.
20101207000236.714|20101207000238.143|CCO|ONE FIREFIGHTER FELL THROUGH
20101207000238.143|20101207000239.571|CCO|THE FLOOR UP TO HIS ELBOWS, 
20101207000239.571|20101207000241.000|CCO|PULLED HIMSELF UP AND FOUND 
20101207000241.000|20101207000242.250|CCO|THE TWO-YEAR-OLD IN 
20101207000242.250|20101207000243.500|CCO|RESPIRATORY ARREST.
20101207000243.500|20101207000244.750|CCO|AUTHORITIES SAY HE'D BEEN 
20101207000244.750|20101207000246.000|CCO|ALONE FOR SEVERAL HOURS.
20101207000246.000|20101207000247.250|CCO|HIS MOTHER WAS BOOKED ON 
20101207000247.250|20101207000248.500|CCO|SUSPICION OF FELONY CHILD 
20101207000248.500|20101207000249.750|CCO|ABUSE.
20101207000249.750|20101207000251.000|CCO|WE'LL GIVE YOU THE LATEST 
20101207000251.000|20101207000252.250|CCO|CONDITION ON THE BOY AND THE
20101207000252.250|20101207000253.500|CCO|FIREFIGHTERS WHO RESCUED HIM
20101207000253.500|20101207000254.750|CCO|AT 5:00.
20101207000254.750|20101207000256.000|CCO|>> GOVERNOR ARNOLD 
20101207000256.000|20101207000257.250|CCO|SCHWARZENEGGER DECLARED A 
