TOP|20101207010001|2010-12-07_0100_US_KCBS_CBS_2_News_at_5
COL|Communication Studies Archive, UCLA 
UID|51f34cb6-019d-11e0-b6f9-00e0815ffae2
DUR|0:59:55.02
VID|640x480
CMT|
LAN|ENG
LBT|2010-12-06 17:00 America/Los_Angeles
SEG_01|2014-02-03 01:06:22|Source_Program=commercial_detection.py|Source_Person=Weixin Li
20101207010003.222|20101207015956.000|SEG|Type=Story
20101207010003.222|20101207010003.778|CCO|03
20101207010003.778|20101207010004.333|CCO|2
20101207010004.333|20101207010004.889|CCO|I WOULD NOT SPECULATE AT THIS
20101207010004.889|20101207010005.444|CCO|
20101207010005.444|20101207010006.000|CCO|TIME.
20101207010006.000|20101207010006.556|CCO|
20101207010006.556|20101207010007.111|CCO|IF.
20101207010007.111|20101207010007.667|CCO|
20101207010007.667|20101207010008.222|CCO|>> Reporter: THE COUPLE HAS
20101207010008.222|20101207010008.778|CCO|
20101207010008.778|20101207010009.333|CCO|LIVED HERE IN LAGUNA WODS
20101207010009.333|20101207010009.889|CCO|
20101207010009.889|20101207010010.444|CCO|VILLAGE FOR 11 YEARS.
20101207010010.444|20101207010011.000|CCO|
20101207010011.000|20101207010011.625|CCO|AUTHORITIES ARE NOT RELEASING
20101207010011.625|20101207010012.250|CCO|
20101207010012.250|20101207010012.875|CCO|THEIR NAMES.
20101207010012.875|20101207010013.500|CCO|
20101207010013.500|20101207010014.125|CCO|THAT IS THE LATEST LIVE IN
20101207010014.125|20101207010014.750|CCO|
20101207010014.750|20101207010015.375|CCO|LAGUNA WOODS VILLAGE.
20101207010015.375|20101207010016.000|CCO|
20101207010016.000|20101207010016.625|CCO|MICHELE GILE.
20101207010016.625|20101207010017.250|CCO|
20101207010017.250|20101207010017.875|CCO|BACK TO YOU.
20101207010017.875|20101207010018.500|CCO|
20101207010018.500|20101207010019.125|CCO|PAUL: THANK YOU.
20101207010019.125|20101207010019.750|CCO|
20101207010019.750|20101207010020.375|CCO|UNEMPLOYMENT BENEFITS AND TAX
20101207010020.375|20101207010021.000|CCO|
20101207010021.000|20101207010021.833|CCO|BREAKS WILL BOTH BE EXTENDED.
20101207010021.833|20101207010022.667|CCO|
20101207010022.667|20101207010023.500|CCO|SHARON: THAT COMPROMISE ALSO
20101207010023.500|20101207010024.333|CCO|
20101207010024.333|20101207010025.167|CCO|INCLUDES NEW TAX BREAKS FOR
20101207010025.167|20101207010026.000|CCO|
20101207010026.000|20101207010026.833|CCO|BUSINESS.
20101207010026.833|20101207010027.667|CCO|
20101207010027.667|20101207010028.500|CCO|LEADERS FROM BOTH PARTIES HAVE
20101207010028.500|20101207010029.333|CCO|
20101207010029.333|20101207010030.167|CCO|BEEN NEGOTIATING BEHIND CLOSED
20101207010030.167|20101207010031.000|CCO|
20101207010031.000|20101207010031.714|CCO|DOORS FOR DAYS.
20101207010031.714|20101207010032.429|CCO|
20101207010032.429|20101207010033.143|CCO|TONIGHT THE PRESIDENT AGREED TO
20101207010033.143|20101207010033.857|CCO|
20101207010033.857|20101207010034.571|CCO|A PLAN THAT WILL EXTEND TAX CUTS
20101207010034.571|20101207010035.286|CCO|
20101207010035.286|20101207010036.000|CCO|FOR EVERYBODY INCLUDING THE
20101207010036.000|20101207010036.714|CCO|
20101207010036.714|20101207010037.429|CCO|WEALTHIEST AMERICANS.
20101207010037.429|20101207010038.143|CCO|
20101207010038.143|20101207010038.857|CCO|THE PRESIDENT WILL GET WHAT HE
20101207010038.857|20101207010039.571|CCO|
20101207010039.571|20101207010040.286|CCO|HAS BEEN AFTER, AN EXTENSION OF
20101207010040.286|20101207010041.000|CCO|
20101207010041.000|20101207010042.000|CCO|BENEFITS FOR THE UNEMPLOYED.
20101207010042.000|20101207010043.000|CCO|
20101207010043.000|20101207010044.000|CCO|HE KNOWS THAT EVERYONE WILL BE
20101207010044.000|20101207010045.000|CCO|
20101207010045.000|20101207010046.000|CCO|HAPPY ABOUT THIS.
20101207010046.000|20101207010047.000|CCO|
20101207010047.000|20101207010048.000|CCO|>> AS SYMPATHETIC AS AND TO
20101207010048.000|20101207010049.000|CCO|
20101207010049.000|20101207010050.000|CCO|THOSE WHO PREFER A FIGHT OVER
20101207010050.000|20101207010051.000|CCO|
20101207010051.000|20101207010052.000|CCO|COMPROMISE AS MUCH AS THE
20101207010052.000|20101207010053.000|CCO|
20101207010053.000|20101207010054.000|CCO|POLITICAL WISDOM MAY DICTATE
20101207010054.000|20101207010055.000|CCO|
20101207010055.000|20101207010056.000|CCO|FIGHTING OVER SOLVING PROBLEMS,
20101207010056.000|20101207010057.000|CCO|
20101207010057.000|20101207010058.000|CCO|IT WOULD BE THE WRONG THING TO
20101207010058.000|20101207010059.000|CCO|
20101207010059.000|20101207010100.000|CCO|DO.
20101207010100.000|20101207010101.000|CCO|
20101207010101.000|20101207010101.833|CCO|PAUL: THE AGREEMENT INCLUDES A
20101207010101.833|20101207010102.667|CCO|
20101207010102.667|20101207010103.500|CCO|1-SHARE REDUCTION IN SOCIAL
20101207010103.500|20101207010104.333|CCO|
