TOP|20101207010002|2010-12-07_0100_US_MSNBC_Countdown_with_Keith_Olbermann
COL|Communication Studies Archive, UCLA 
UID|5229d9ca-019d-11e0-bc02-00e0815fe930
DUR|0:59:54.03
VID|640x480
CMT|
LAN|ENG
LBT|2010-12-06 17:00 America/Los_Angeles
SEG_01|2014-06-18 17:43:28|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101207010006.444|20101207010015.333|SEG|Type=Story
20101207010006.444|20101207010007.556|CCO| GUT AND 
20101207010007.556|20101207010008.667|CCO|CALLING PEOPLE NAMES.
20101207010008.667|20101207010009.778|CCO|THAT'S "HARDBALL" FOR NOW.
20101207010009.778|20101207010010.889|CCO|THANKS FOR BEING WAS.
20101207010010.889|20101207010012.000|CCO|"COUNTDOWN WITH KEITH OLBERMANN"
20101207010012.000|20101207010015.333|CCO|STARTS RIGHT NOW.
20101207010015.333|20101207010043.250|SEG|Type=Story
20101207010015.333|20101207010018.667|CCO|>>> WHICH OF THESE STORIES WILL 
20101207010018.667|20101207010022.000|CCO|YOU BE TALKING ABOUT TOMORROW?
20101207010022.000|20101207010024.000|CCO|IN THE RED TO CHINA.
20101207010024.000|20101207010026.000|CCO|>> WE WON'T BE ABLE TO COMPETE 
20101207010026.000|20101207010028.000|CCO|WITH COUNTRIES LIKE CHINA IF WE 
20101207010028.000|20101207010030.000|CCO|KEEP BORROWING FROM COUNTRIES 
20101207010030.000|20101207010032.000|CCO|LIKE CHINA.
20101207010032.000|20101207010033.429|CCO|>> TONIGHT A "COUNTDOWN" SPECIAL
20101207010033.429|20101207010034.857|CCO|REPORT.
20101207010034.857|20101207010036.286|CCO|HOW MUCH WE'LL HAVE TO BORROW 
20101207010036.286|20101207010037.714|CCO|FROM CHINA TO KEEP THE BUSH TAX 
20101207010037.714|20101207010039.143|CCO|CUTS.
20101207010039.143|20101207010040.571|CCO|AND WHAT THE GOVERNMENT WON'T 
20101207010040.571|20101207010042.000|CCO|TELL US ABOUT OTHER COUNTRIES 
20101207010042.000|20101207010043.250|CCO|WE'LL HAVE TO BORROW FROM.
20101207010043.250|20101207010056.000|SEG|Type=Story
20101207010043.250|20101207010044.500|CCO|>>> DEAL WITH IT.
20101207010044.500|20101207010045.750|CCO|THE PRESIDENT ANNOUNCES A 
20101207010045.750|20101207010047.000|CCO|FRAMEWORK TO EXTEND ALL THE TAX 
20101207010047.000|20101207010048.250|CCO|CUTS.
20101207010048.250|20101207010049.500|CCO|THE CONSOLATION PRIZE?
20101207010049.500|20101207010050.750|CCO|EXTENDING UNEMPLOYMENT.
20101207010050.750|20101207010052.000|CCO|TEMPORARILY.
20101207010052.000|20101207010054.000|CCO|THE DEMOCRATS NOT TOO HAPPY.
20101207010054.000|20101207010056.000|CCO|OUR GUEST SAM STEIN.
20101207010056.000|20101207010115.333|SEG|Type=Story
20101207010056.000|20101207010058.000|CCO|>>> "DON'T ASK, DON'T TELL," 
20101207010058.000|20101207010100.000|CCO|JUST FOLLOW THE MAVERICK.
20101207010100.000|20101207010102.000|CCO|SENATOR McCONNELL'S PLAN OF 
20101207010102.000|20101207010103.250|CCO|ATTACK FOR FIGHTING REPEAL.
20101207010103.250|20101207010104.500|CCO|>> MY PERSONAL VIEW IS THAT 
20101207010104.500|20101207010105.750|CCO|SENATOR McCAIN IS CORRECT ON 
20101207010105.750|20101207010107.000|CCO|THIS.
20101207010107.000|20101207010108.250|CCO|I INTEND TO FOLLOW HIS LEAD.
20101207010108.250|20101207010109.500|CCO|WE'LL FIND OUT WHEN WE FINALLY 
20101207010109.500|20101207010110.750|CCO|GET AROUND TO DEBATING THIS 
20101207010110.750|20101207010112.000|CCO|BILL, WHICH I THINK WILL NOT BE 
20101207010112.000|20101207010115.333|CCO|BEFORE THE END OF THE YEAR.
20101207010115.333|20101207010134.500|SEG|Type=Story
20101207010115.333|20101207010118.667|CCO|>>> ASSANGE'S INSURANCE FILE.
20101207010118.667|20101207010122.000|CCO|THE POISE PILL THREAT AS 
20101207010122.000|20101207010123.429|CCO|SCOTLAND YARD ISSUES A WARRANT 
20101207010123.429|20101207010124.857|CCO|FOR HIS ARREST, JULIAN ASSANGE 
20101207010124.857|20101207010126.286|CCO|PROMISES A RELEASE OF ANOTHER 
20101207010126.286|20101207010127.714|CCO|BATCH OF UNCENSORED DOCUMENTS.
20101207010127.714|20101207010129.143|CCO|QUOTE, IF SOMETHING HAPPENS TO 
20101207010129.143|20101207010130.571|CCO|US, THE KEY PARTS WILL BE 
20101207010130.571|20101207010132.000|CCO|RELEASED AUTOMATICALLY.
20101207010132.000|20101207010134.500|CCO|WE'LL HAVE THE LATEST DETAILS.
20101207010134.500|20101207010204.500|SEG|Type=Story
20101207010134.500|20101207010137.000|CCO|>>> AND PALIN'S STEEL TRAP.
20101207010137.000|20101207010139.500|CCO|WE NEED YOU AS CHAIRMAN OF THE 
20101207010139.500|20101207010142.000|CCO|RNC WRITES THE LEADER OF TEA 
20101207010142.000|20101207010144.000|CCO|PARTY NATION TO THE FORMER 
20101207010144.000|20101207010146.000|CCO|GOVERNOR OF ALASKA.
20101207010146.000|20101207010148.000|CCO|>> THANKS, BUT NO THANKS. 
20101207010148.000|20101207010150.000|CCO|>> OF COURSE.
20101207010150.000|20101207010152.000|CCO|IT WOULD MEAN WORK.
20101207010152.000|20101207010157.000|CCO|ALL THE NEWS AND COMMENTARY NOW 
20101207010157.000|20101207010202.000|CCO|ON "COUNTDOWN."
20101207010202.000|20101207010204.500|CCO|>> TOUGHER THAN IT LOOKED.
20101207010204.500|20101207010227.714|SEG|Type=Story
20101207010204.500|20101207010207.000|CCO|>>> GOOD EVENING.
20101207010207.000|20101207010209.500|CCO|I'M SAM CEDAR NO FOR KEITH 
20101207010209.500|20101207010212.000|CCO|OLBERMANN.
20101207010212.000|20101207010213.250|CCO|701 DAYS UNTIL THE 2012 
20101207010213.250|20101207010214.500|CCO|PRESIDENTIAL ?ÇELECTION.
20101207010214.500|20101207010215.750|CCO|TONIGHT A COUNTDOWN SPECIAL 
20101207010215.750|20101207010217.000|CCO|REPORT.
20101207010217.000|20101207010218.250|CCO|HOW MUCH MONEY WILL THE U.S. 
20101207010218.250|20101207010219.500|CCO|HAVE TO BORROW FROM OTHER 
