TOP|20101207020002|2010-12-07_0200_US_CNN_Larry_King_Live
COL|Communication Studies Archive, UCLA 
UID|b42b68a2-01a5-11e0-b42a-00e0815fe86c
DUR|0:59:55.02
VID|640x480
CMT|
TPF|transcripts.cnn.com|lkl.01.html
HED|Interview With Al Pacino
LAN|ENG
LBT|2010-12-06 18:00 America/Los_Angeles
SEG_01|2014-06-18 17:43:31|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101207020006.444|20101207020032.000|SEG|Type=Story
20101207020006.444|20101207020008.667|SEG_01|Type=Commercial
20101207020006.444|20101207020007.556|CCO| LET'S SEND THE PRESIDENT AN 
20101207020007.556|20101207020008.667|CCO|E-MAIL.
20101207020008.667|20101207020009.778|SEG_01|Type=Story start
20101207020008.667|20101207020009.778|CCO|THE ANSWER IS IN THE PALM OF 
20101207020009.778|20101207020010.889|CCO|YOUR HAND. 
20101207020010.889|20101207020012.000|CCO|>> THANKS FOR BEING WITH US.
20101207020012.000|20101207020015.333|CCO|BE SURE TO JOIN US TOMORROW 
20101207020015.333|20101207020018.667|CCO|NIGHT, GOOD NIGHT FROM NEW YORK.
20101207020018.667|20101207020022.000|CCO|"LARRY KING LIVE" STARTS RIGHT 
20101207020022.000|20101207020032.000|CCO|NOW.
20101207020032.000|20101207021031.000|SEG|Type=Story
20101207020032.000|20101207020033.429|CCO|>>> SAY HELLO TO MY FRIEND. 
20101207020033.429|20101207020034.857|CCO|>> TONIGHT MY GOOD BUDDY, MY 
20101207020034.857|20101207020036.286|CCO|BEST MAN.
20101207020036.286|20101207020037.714|CCO|AL PACINO.
20101207020037.714|20101207020039.143|CCO|>> I LOVE THE PEOPLE I PLAY. 
20101207020039.143|20101207020040.571|CCO|>> ONE OF THE WORLD'S GREATEST 
20101207020040.571|20101207020042.000|CCO|ACTORS.
20101207020042.000|20101207020044.500|CCO|AND A VERY PRIVATE GUY.
20101207020044.500|20101207020047.000|CCO|HE'S GOING TO SIT DOWN FOR A 
20101207020047.000|20101207020049.500|CCO|RARE AND REVEALING INTERVIEW.
20101207020049.500|20101207020052.000|CCO|WE THOUGHT "THE GODFATHER" WOULD
20101207020052.000|20101207020053.429|CCO|BOMB AT THE BOX OFFICE. 
20101207020053.429|20101207020054.857|CCO|>> YOU EVER TURNED DOWN A ROLE 
20101207020054.857|20101207020056.286|CCO|YOU REGRETTED?
20101207020056.286|20101207020057.714|CCO|>> YEAH. 
20101207020057.714|20101207020059.143|CCO|>> Larry: THE ACADEMY AWARD 
20101207020059.143|20101207020100.571|CCO|WINNER AL PACINO.
20101207020100.571|20101207020102.000|CCO|WE'LL TALK ABOUT GEORGE CLOONEY,
20101207020102.000|20101207020112.000|CCO|BRAD PITT AND OTHERS ALL NEXT ON
20101207020112.000|20101207020113.667|CCO|"LARRY KING LIVE."
20101207020113.667|20101207020115.333|CCO|>> Larry: WE'RE IN AL PACINO'S 
20101207020115.333|20101207020117.000|CCO|BACKYARD IN BEVERLY HILLS.
20101207020117.000|20101207020118.667|CCO|YEAH.
20101207020118.667|20101207020120.333|CCO|THE LAST TIME HE WAS WITH US 
20101207020120.333|20101207020122.000|CCO|AFTER MUCH BEGGING AND CAJOLING 
20101207020122.000|20101207020123.429|CCO|WAS BACK IN 1996.
20101207020123.429|20101207020124.857|CCO|WE THOUGHT IT WOULD BE THE START
20101207020124.857|20101207020126.286|CCO|OF HUNDREDS OF INTERVIEWS, AND 
20101207020126.286|20101207020127.714|CCO|THIS IS IS THE SECOND TIME.
20101207020127.714|20101207020129.143|CCO|WE'VE BECOME VERY CLOSE FRIENDS,
20101207020129.143|20101207020130.571|CCO|SPENT A LOT OF TIME TOGETHER.
20101207020130.571|20101207020132.000|CCO|THIS IS ONLY THE SECOND TIME ON 
20101207020132.000|20101207020133.000|CCO|THE SHOW.
20101207020133.000|20101207020134.000|CCO|LET'S SHOW YOU A CLIP OF THE 
20101207020134.000|20101207020135.000|CCO|FIRST TIME FROM 15 YEARS AGO. 
20101207020135.000|20101207020136.000|CCO|>> NO, DON'T.
20101207020136.000|20101207020137.000|CCO|DON'T.
20101207020137.000|20101207020138.000|CCO|>> WATCH. 
20101207020138.000|20101207020139.000|CCO|>> NO.
20101207020139.000|20101207020140.000|CCO|>> Larry: WHY HAVE YOU FINALLY 
20101207020140.000|20101207020141.000|CCO|COME?
20101207020141.000|20101207020142.000|CCO|>> COME HERE?
20101207020142.000|20101207020144.000|CCO|>> Larry: YES, FINALLY, AFTER 
20101207020144.000|20101207020146.000|CCO|YEARS ASKING?
20101207020146.000|20101207020148.000|CCO|>> SENILITITY, I GUESS.
20101207020148.000|20101207020150.000|CCO|>> Larry: WHY DO YOU DISLIKE 
20101207020150.000|20101207020152.000|CCO|INTERVIEWS?
20101207020152.000|20101207020155.333|CCO|>> WELL, I DON'T -- I THINK IT'S
20101207020155.333|20101207020158.667|CCO|BECAUSE IT STARTS WITH THE WHOLE
20101207020158.667|20101207020202.000|CCO|IDEA OF BEING AN ACTOR, WHEN IS 
20101207020202.000|20101207020203.800|CCO|SOMETHING THAT IS KIND OF -- THE
