TOP|20101207020002|2010-12-07_0200_US_FOX-News_Hannity
COL|Communication Studies Archive, UCLA 
UID|b42b7ec8-01a5-11e0-8c02-00e0815fe86c
DUR|0:59:55.02
VID|640x480
CMT|
LAN|ENG
LBT|2010-12-06 18:00 America/Los_Angeles
SEG_01|2014-06-18 17:43:35|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101207020012.000|20101207025957.000|SEG|Type=Story
20101207020012.000|20101207020015.333|CCO|>> SEAN: A DEAL APPEARS TO
20101207020015.333|20101207020018.667|CCO|HAVE BEEN STRUCK IN OUR NATION'S
20101207020018.667|20101207020022.000|CCO|CAPITAL TO EXTEND ALL BUSH ERA
20101207020022.000|20101207020023.429|CCO|TAX CUTS ANNOUNCED BY
20101207020023.429|20101207020024.857|CCO|PRESIDENT OBAMA A SHORT TIME
20101207020024.857|20101207020026.286|CCO|AGO.
20101207020026.286|20101207020027.714|CCO|FIRST, DEMOCRATS HAVE AGREED
20101207020027.714|20101207020029.143|CCO|TO EXTEND ALL BUSH TAX RATES
20101207020029.143|20101207020030.571|CCO|FOR TWO YEARS.
20101207020030.571|20101207020032.000|CCO|IN EXCHANGE THE GOP HAS AN GET
20101207020032.000|20101207020034.000|CCO|TO A 13 MONTH EXTENSION OF
20101207020034.000|20101207020036.000|CCO|UNEMPLOYMENT INSURANCE SET TO
20101207020036.000|20101207020038.000|CCO|EXPIRE THE END OF THIS MONTH
20101207020038.000|20101207020040.000|CCO|FOR TWO MILLION AMERICANS.
20101207020040.000|20101207020042.000|CCO|ALSO, 2011 WILL SEE A 2%
20101207020042.000|20101207020044.500|CCO|REDUCTION IN PAYROLL TAXES.
20101207020044.500|20101207020047.000|CCO|ON THE ESTATE TAX FOR TWO
20101207020047.000|20101207020049.500|CCO|YEARS IT WILL STAN AT 35%.
20101207020049.500|20101207020052.000|CCO|THAT INCLUDES A FIVE MILLION
20101207020052.000|20101207020053.667|CCO|DOLLAR EXEMPTION CLAUSE THIS
20101207020053.667|20101207020055.333|CCO|IS A HUGE POLITICAL VICTORY
20101207020055.333|20101207020057.000|CCO|FOR REPUBLICANS.
20101207020057.000|20101207020058.667|CCO|TONIGHT, AS THE POTENTIAL DEAL
