TOP|20101207020002|2010-12-07_0200_US_KMEX_Noticias_34
COL|Communication Studies Archive, UCLA 
UID|b3efb078-01a5-11e0-91f7-00e0815ffae2
DUR|0:29:54.04
VID|640x480
CMT|
LAN|SPA
LBT|2010-12-06 18:00 America/Los_Angeles
SEG_01|2014-06-18 17:43:39|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101207020008.667|20101207022956.000|SEG|Type=Story
20101207020008.667|20101207020010.333|CCO|PRIMER IMPACTO Noticias 
20101207020010.333|20101207020012.000|CCO|Un sospechoso abre fuego contra 
20101207020012.000|20101207020015.333|CCO|varias persona 
20101207020015.333|20101207020018.667|CCO|>> Buenas tardes la buena 
20101207020018.667|20101207020022.000|CCO|noticia es que el Boulevard 
20101207020022.000|20101207020027.000|CCO|acaba de abrir, el individuo 
20101207020027.000|20101207020032.000|CCO|sobre la camilla es el 
20101207020032.000|20101207020037.000|CCO|sospechoso que la policía 
20101207020037.000|20101207020042.000|CCO|raestroó, el indocumentados es 
20101207020042.000|20101207020047.000|CCO|Se encontraban en la 
20101207020047.000|20101207020052.000|CCO|interseccion se inicio nbusqueda
20101207020052.000|20101207020057.000|CCO|intensa, el sospechoso recibió 
20101207020057.000|20101207020102.000|CCO|mordedura de los perros
20101207020102.000|20101207020106.500|CCO|Están buscando el arma
20101207020106.500|20101207020111.000|CCO|Tambiñn dicen lo siguiente
20101207020111.000|20101207020116.000|CCO|>> Buscamos si alguien llego al 
20101207020116.000|20101207020121.000|CCO|hospital 
20101207020121.000|20101207020124.333|CCO|>> Que paso con el perimetro
20101207020124.333|20101207020127.667|CCO|>> Están buscando el arma
20101207020127.667|20101207020131.000|CCO|>> Y regresamos al video donde 
20101207020131.000|20101207020141.000|CCO|ustedes ven la ambulancia donde 
20101207020141.000|20101207020146.000|CCO|el individuo fue transportado
20101207020146.000|20101207020151.000|CCO|La buena noticia es que ha 
20101207020151.000|20101207020153.000|CCO|reabierto la búsqueda, continúan
20101207020153.000|20101207020155.000|CCO|buscando el arma y a las 
20101207020155.000|20101207020157.000|CCO|víctimas
20101207020157.000|20101207020159.000|CCO|>> Muchas gracias 
20101207020159.000|20101207020201.000|CCO|>> Acaban de arrestar a la madre
20101207020201.000|20101207020211.000|CCO|del niño de dos años del 
20101207020211.000|20101207020216.000|CCO|departamento incendiado en la 
20101207020216.000|20101207020221.000|CCO|mañana la madre de 31 años dejo 
20101207020221.000|20101207020226.000|CCO|al be solo por lo que enfrenta
20101207020226.000|20101207020231.000|CCO|cargos
20101207020231.000|20101207020234.333|CCO|>> Secuestro en Los Angeles a 
20101207020234.333|20101207020237.667|CCO|una mujer liberada casi 6 horas 
20101207020237.667|20101207020241.000|CCO|despuñs, le robaron su dinero
20101207020241.000|20101207020246.000|CCO|>> Se trata de una señora 
20101207020246.000|20101207020301.000|CCO|hispana que ahorraba dinero para
20101207020301.000|20101207020304.333|CCO|el viaje a Mñxico se quedo sin 6
20101207020304.333|20101207020307.667|CCO|mil dólares, poiden que tengan 
20101207020307.667|20101207020311.000|CCO|precaución 
20101207020311.000|20101207020316.000|CCO|>> No me movia para ningún lado
20101207020316.000|20101207020321.000|CCO|>> Por más de 4 ciudades estuvo 
20101207020321.000|20101207020326.000|CCO|esta señora, recuerda como dos 
20101207020326.000|20101207020331.000|CCO|sospechosos le pedian un favor 
20101207020331.000|20101207020334.333|CCO|cuando ella salia de un 
20101207020334.333|20101207020337.667|CCO|supermercado
20101207020337.667|20101207020341.000|CCO|>> El hombre abrió la opuerta de
20101207020341.000|20101207020344.333|CCO|atrás
20101207020344.333|20101207020347.667|CCO|>>La obligaron a sacar dinero
20101207020347.667|20101207020351.000|CCO|>> Me decían que me matarian
20101207020351.000|20101207020401.000|CCO|>> La llevaron a su casa donde 
20101207020401.000|20101207020406.000|CCO|la hicieron sacar dinero y nadie
20101207020406.000|20101207020411.000|CCO|sospecho
20101207020411.000|20101207020416.000|CCO|>>La señora recuerda que la 
20101207020416.000|20101207020421.000|CCO|llevaron a una tienda donde 
20101207020421.000|20101207020424.333|CCO|compraron cosas con su tarjeta 
20101207020424.333|20101207020427.667|CCO|>> Se llevaron todo lo que tengo
20101207020427.667|20101207020431.000|CCO|>>Hay muchos videos
20101207020431.000|20101207020434.333|CCO|>> Es el sentimiento de los 
20101207020434.333|20101207020437.667|CCO|familiares
20101207020437.667|20101207020441.000|CCO|>> Que no los dejen solos, si no
20101207020441.000|20101207020444.333|CCO|tienen nietos, a quiñn que 
20101207020444.333|20101207020447.667|CCO|busquen a alguien para que anden
20101207020447.667|20101207020451.000|CCO|acompañadas pero que no la dejen
20101207020451.000|20101207020501.000|CCO|sola
20101207020501.000|20101207020504.333|CCO|>> No pueden dahora entrevistas
20101207020504.333|20101207020507.667|CCO|>> Eviten dejarlos solos, 
20101207020507.667|20101207020511.000|CCO|desconfien de extraños, llamen a
20101207020511.000|20101207020521.000|CCO|la policía y no crean que la 
20101207020521.000|20101207020523.500|CCO|gente les den boletos de 
20101207020523.500|20101207020526.000|CCO|lotería ganadora, o que les den 
20101207020526.000|20101207020528.500|CCO|oro
20101207020528.500|20101207020531.000|CCO|>> No hay que confiar en nadie
20101207020531.000|20101207020536.000|CCO|>> Todavía no dan con el 
20101207020536.000|20101207020541.000|CCO|paradero de Michellee de 41 años
20101207020541.000|20101207020544.333|CCO|de edad que esta desaparecida 
20101207020544.333|20101207020547.667|CCO|cuando encontraron su vehículo 
20101207020547.667|20101207020551.000|CCO|abandonado, dicen que es 
20101207020551.000|20101207020554.333|CCO|excursionista pero que nunca 
20101207020554.333|20101207020557.667|CCO|camina de noche 
20101207020557.667|20101207020601.000|CCO|>> Tomar metro será más seguro 
20101207020601.000|20101207020606.000|CCO|presentaron nuevo modelo de alta
20101207020606.000|20101207020611.000|CCO|tecnología para amortiguar 
20101207020611.000|20101207020614.333|CCO|choques, 10 están en circulación
20101207020614.333|20101207020617.667|CCO|y su fabricante esta en la 
20101207020617.667|20101207020621.000|CCO|ciudad donde abrieron empleos 
20101207020621.000|20101207020624.333|CCO|nuevos
20101207020624.333|20101207020627.667|CCO|>> Fuerte incendio tambiñn 
20101207020627.667|20101207020631.000|CCO|consumio documentos migratorios 
20101207020631.000|20101207020636.000|CCO|que ahora paraliza la vida de 
20101207020636.000|20101207020641.000|CCO|varios de ellos
20101207020641.000|20101207020644.333|CCO|>> Cadena de gente buena se 
20101207020644.333|20101207020647.667|CCO|unio, detalles desde la plaza
20101207020647.667|20101207020651.000|CCO|>> Buenas tardes ya se escucha 
20101207020651.000|20101207020701.000|CCO|las guitarras y antes solo se 
20101207020701.000|20101207020706.000|CCO|hablaba de trámites migrartorios
20101207020706.000|20101207020711.000|CCO|>> Hoy la plaza fue oficina de 
20101207020711.000|20101207020716.000|CCO|inmigración 
20101207020716.000|20101207020721.000|CCO|El abogado acudio al llamado en 
