TOP|20101207060001|2010-12-07_0600_US_KTLA_Prime_News_at_10PM
COL|Communication Studies Archive, UCLA 
UID|3a8cb84e-01c7-11e0-9587-00e0815ffae2
DUR|0:59:55.02
VID|640x480
CMT|
LAN|ENG
LBT|2010-12-06 22:00 America/Los_Angeles
SEG_01|2014-06-18 17:44:04|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101207060006.000|20101207060011.000|SEG|Type=Story
20101207060006.000|20101207060007.250|CCO|EDRDS TOLD SHE HAS 
20101207060007.250|20101207060008.500|CCO|WEEKS TO LIVE. 
20101207060008.500|20101207060009.750|CCO|THE NEWS AT 10:00 STARTS RIGHT 
20101207060009.750|20101207060011.000|CCO|MW. 
20101207060011.000|20101207060231.667|SEG|Type=Story
20101207060011.000|20101207060013.500|CCO|>>>  AND NOW A RIVAL MASSIVE 
20101207060013.500|20101207060016.000|CCO|TAILGATING PARTY, TWO RIVAL 
20101207060016.000|20101207060018.500|CCO|SCHOOLS AND NOW A MAJOR FIGHT. 
20101207060018.500|20101207060021.000|CCO|TONIGHT, NEW VIDEO AND NEW 
20101207060021.000|20101207060024.333|CCO|DETAILS ABOUT THE ROSE BOWL 
20101207060024.333|20101207060027.667|CCO|BRAWL. 
20101207060027.667|20101207060031.000|CCO|GOOD EVENING, I'M MICAH OHLMAN, 
20101207060031.000|20101207060033.000|CCO|AND THREE PEOPLE WERE CHARGED 
20101207060033.000|20101207060035.000|CCO|IN THE FIGHT. 
20101207060035.000|20101207060037.000|CCO|AND POLICE MAY MAKE MORE 
20101207060037.000|20101207060039.000|CCO|ARRESTS. 
20101207060039.000|20101207060041.000|CCO|JAIME CHAMBERS HAS MORE. 
20101207060041.000|20101207060043.500|CCO|>> Reporter: YES, IT IS A BIG 
20101207060043.500|20101207060046.000|CCO|RIVALRY, BUT THE TENSIONS ARE 
20101207060046.000|20101207060048.500|CCO|SO HIGH ALL IT TAKES IS ONE 
20101207060048.500|20101207060051.000|CCO|PERSON TO THROW A FOOTBALL PASS 
20101207060051.000|20101207060052.429|CCO|INTO A CAR TO SET OFF A BIG 
20101207060052.429|20101207060053.857|CCO|FIGHT. 
20101207060053.857|20101207060055.286|CCO|THE THUGS ARE AN EMBARRASSMENT 
20101207060055.286|20101207060056.714|CCO|TO THEIR COLORS, OUT OF CONTROL 
20101207060056.714|20101207060058.143|CCO|AND FIGHTING FOR SEEMINGLY NO 
20101207060058.143|20101207060059.571|CCO|REASON. 
20101207060059.571|20101207060101.000|CCO|THE VIOLENCE GOES UP, AND NOW 
20101207060101.000|20101207060102.286|CCO|WATCH CLOSELY AS THE MAN IN THE 
20101207060102.286|20101207060103.571|CCO|WHITE SHIRT STABS THE MAN OVER 
20101207060103.571|20101207060104.857|CCO|AND OVER AS THEY ROLL ON THE 
20101207060104.857|20101207060106.143|CCO|GROUND. 
20101207060106.143|20101207060107.429|CCO|NOW POLICE HAVE ALREADY 
20101207060107.429|20101207060108.714|CCO|ARRESTED THREE AND MORE ARRESTS 
20101207060108.714|20101207060110.000|CCO|ARE EXPECTED. 
20101207060110.000|20101207060112.000|CCO|>> IT GIVES US ANOTHER 
20101207060112.000|20101207060114.000|CCO|PERSPECTIVE ON WHAT HAPPENED ON 
20101207060114.000|20101207060116.000|CCO|THAT PARTICULAR EVENING. 
20101207060116.000|20101207060118.000|CCO|SO WE'RE TAKING A LOOK AT 
20101207060118.000|20101207060120.000|CCO|YouTube, TWEETS, ANYTHING 
20101207060120.000|20101207060122.500|CCO|COMING IN WE'LL LOOK AT. 
20101207060122.500|20101207060125.000|CCO|>> Reporter: WITH SO MUCH 
20101207060125.000|20101207060127.500|CCO|VIOLENCE UNRECORDED, EACH 
20101207060127.500|20101207060130.000|CCO|SHOWING THE STABBINGS AS AN ACT 
20101207060130.000|20101207060135.000|CCO|OF ATTEMPTED MURDER. 
20101207060135.000|20101207060140.000|CCO|NOW CISNEROS IS CHARGED WITH 
20101207060140.000|20101207060141.667|CCO|ATTEMPTED MURDER, THERE WERE AT 
20101207060141.667|20101207060143.333|CCO|LEAST TWO VICTIMS, BEING 
