TOP|20101207070001|2010-12-07_0700_US_KMEX_Noticias_34
COL|Communication Studies Archive, UCLA 
UID|9c894370-01cf-11e0-8fab-00e0815ffae2
DUR|0:29:55.02
VID|640x480
CMT|
LAN|SPA
LBT|2010-12-06 23:00 America/Los_Angeles
SEG_01|2014-06-18 17:44:10|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101207070051.000|20101207072956.000|SEG|Type=Story
20101207070051.000|20101207070101.000|SEG_01|Type=Commercial
20101207070051.000|20101207070056.000|CCO|ION
20101207070056.000|20101207070101.000|CCO|CC1:
20101207070101.000|20101207070106.000|SEG_01|Type=Story start
20101207070101.000|20101207070106.000|CCO|trombotico algo que se formo
20101207070106.000|20101207070111.000|CCO|>>Los latinos tien muchos 
20101207070111.000|20101207070121.000|CCO|casos
20101207070121.000|20101207070126.000|CCO|>>Mareo frecuente, hasta la 
20101207070126.000|20101207070131.000|CCO|posibilidad de quedar 
20101207070131.000|20101207070134.333|CCO|paralitico, pierda del habla
20101207070134.333|20101207070137.667|CCO|>>lamentablemente, el 
20101207070137.667|20101207070141.000|CCO|tratamiento se da en salas de 
20101207070141.000|20101207070146.000|CCO|emergencia
20101207070146.000|20101207070151.000|CCO|>>Lo que tiene que hacer, dejar 
20101207070151.000|20101207070156.000|CCO|de tomar, fumar y hacer 
20101207070156.000|20101207070201.000|CCO|ejercios
20101207070201.000|20101207070206.000|CCO|>>Es así como iniciamos noticias
20101207070206.000|20101207070211.000|CCO|solo a las 11
20101207070211.000|20101207070216.000|CCO|>>En alta definicion
20101207070216.000|20101207070221.000|CCO|>>Que tal muy buenas noches, 
20101207070221.000|20101207070231.000|CCO|esta noche estaremos con el 34 a
20101207070231.000|20101207070236.000|CCO|su lado, para que sus hijos 
20101207070236.000|20101207070241.000|CCO|sigan con sus estudios 
20101207070241.000|20101207070246.000|CCO|universitarios
20101207070246.000|20101207070251.000|CCO|>>Lo que esta sucediendo es que 
20101207070251.000|20101207070301.000|CCO|hay personas que se quieren 
20101207070301.000|20101207070306.000|CCO|aprovechar del espiritu navideño
20101207070306.000|20101207070311.000|CCO|>>Prometen y algunos piden 
20101207070311.000|20101207070316.000|CCO|donaciones caritativas
20101207070316.000|20101207070321.000|CCO|>>Muchos tienen un transfondo 
20101207070321.000|20101207070326.000|CCO|criminal, y muchos ven sí la 
20101207070326.000|20101207070331.000|CCO|persona esta sola
20101207070331.000|20101207070334.333|CCO|>>La policía admitio sobre estas
20101207070334.333|20101207070337.667|CCO|personas que lo hacen
20101207070337.667|20101207070341.000|CCO|>>Siempre y cuando esta persona 
