TOP|20101207140002|2010-12-07_1400_US_KTTV-FOX_Morning_News_at_6AM
COL|Communication Studies Archive, UCLA 
UID|497bab92-020a-11e0-93ec-00e0815fe826
DUR|0:59:55.02
VID|640x480
CMT|
LAN|ENG
LBT|2010-12-07 06:00 America/Los_Angeles
SEG_01|2014-02-14 18:17:36|Source_Program=commercial_detection.py|Source_Person=Weixin Li
20101207140032.000|20101207140042.000|SEG|Type=Story
20101207140032.000|20101207140034.000|CCO|>>> THE PAINSTAKING SEARCH 
20101207140034.000|20101207140036.000|CCO|CONTINUES FOR A MISSING HIKER 
20101207140036.000|20101207140038.000|CCO|NEAR MOUNT BALDY, VOLUNTEERS 
20101207140038.000|20101207140040.000|CCO|ARE PITCHING IN TO HELP FIND 
20101207140040.000|20101207140042.000|CCO|THE WOMAN. 
20101207140042.000|20101207140053.667|SEG|Type=Story
20101207140042.000|20101207140043.429|CCO|>>> A TERRIBLE FIRE WITH A 
20101207140043.429|20101207140044.857|CCO|HORRIFIC DISCOVERY, A 2-YEAR-
20101207140044.857|20101207140046.286|CCO|OLD BOY LEFT HOME ALONE. 
20101207140046.286|20101207140047.714|CCO|FORTUNATELY A HERO FIREFIGHTER 
20101207140047.714|20101207140049.143|CCO|SAVED THE DAY. 
20101207140049.143|20101207140050.571|CCO|WE'VE GOT MORE HERE ON THE FOX 
20101207140050.571|20101207140052.000|CCO|11 MORNING NEWS AT 6:00 
20101207140052.000|20101207140053.667|CCO|BEGINNING NOW.  
20101207140053.667|20101207140300.000|SEG|Type=Story
20101207140053.667|20101207140055.333|CCO|>>> GOOD MORNING. 
20101207140055.333|20101207140057.000|CCO|WELCOME TO THE FOX 11 MORNING 
20101207140057.000|20101207140058.667|CCO|NEWS AT 6:00. 
20101207140058.667|20101207140100.333|CCO|I'M TONY MCEWING. 
20101207140100.333|20101207140102.000|CCO|>> I'M JEAN MARTIREZ. 
20101207140102.000|20101207140103.250|CCO|GLAD YOU'RE WITH US ON THIS 
20101207140103.250|20101207140104.500|CCO|TUESDAY. 
20101207140104.500|20101207140105.750|CCO|RICK DICKERT LOOKING AWESOME 
20101207140105.750|20101207140107.000|CCO|WITH THIS FORECAST. 
20101207140107.000|20101207140108.250|CCO|IT'S NOT JUST FOR TODAY. 
20101207140108.250|20101207140109.500|CCO|IT'S FOR DAYS ON END. 
20101207140109.500|20101207140110.750|CCO|>> YES, YOU'RE RIGHT. 
20101207140110.750|20101207140112.000|CCO|I'M A POPULAR GUY WHEN I 
20101207140112.000|20101207140113.667|CCO|DELIVER A FORECAST LIKE THIS. 
20101207140113.667|20101207140115.333|CCO|IT'S BEEN A TOUGH GO WEATHER-
20101207140115.333|20101207140117.000|CCO|WISE THROUGHOUT THE AUTUMN 
20101207140117.000|20101207140118.667|CCO|MONTHS, SUMMER AS WELL, THE 
20101207140118.667|20101207140120.333|CCO|YEAR WITHOUT A SUMMER. 
20101207140120.333|20101207140122.000|CCO|IT'S BEEN COOL FOR SEVERAL 
20101207140122.000|20101207140123.111|CCO|WEEKS. 
20101207140123.111|20101207140124.222|CCO|WE'RE GETTING A BREAK. 
20101207140124.222|20101207140125.333|CCO|HIGH PRESSURE BUILDING IN, 
20101207140125.333|20101207140126.444|CCO|WE'RE GOING TO SEE A DRY AND 
20101207140126.444|20101207140127.556|CCO|MILD WEATHER PATTERN SET UP 
20101207140127.556|20101207140128.667|CCO|ACROSS SOUTHERN CALIFORNIA FOR 
20101207140128.667|20101207140129.778|CCO|THE REMAINDER OF THE WORK WEEK. 
20101207140129.778|20101207140130.889|CCO|IT STARTS TODAY. 
20101207140130.889|20101207140132.000|CCO|EARLY THIS MORNING WE WERE 
20101207140132.000|20101207140133.429|CCO|SEEING DENSE FOG NEAR THE 
20101207140133.429|20101207140134.857|CCO|SHORE, MAINLY SOUTHERN L.A. 
20101207140134.857|20101207140136.286|CCO|COUNTY AND ORANGE COUNTY. 
20101207140136.286|20101207140137.714|CCO|NO DENSE FOG ADVISORIES, 
20101207140137.714|20101207140139.143|CCO|VISIBILITIES ARE DOWN TO 1/4 
20101207140139.143|20101207140140.571|CCO|MILE OR LESS. 
20101207140140.571|20101207140142.000|CCO|FURTHER NORTH IN THE SAN 
20101207140142.000|20101207140144.000|CCO|FERNANDO VALLEY WE HAVE A BIT 
20101207140144.000|20101207140146.000|CCO|OF AN OFFSHORE FLOW. 
20101207140146.000|20101207140148.000|CCO|WE'RE SEEING NORTHEAST CANYON 
20101207140148.000|20101207140150.000|CCO|WINDS FROM 10 TO 20 MILES AN 
20101207140150.000|20101207140152.000|CCO|HOUR, PERHAPS STRONGER GUSTS, 
20101207140152.000|20101207140153.000|CCO|NO WIND ADVISORIES FOR THOSE 
20101207140153.000|20101207140154.000|CCO|WINDS. 
20101207140154.000|20101207140155.000|CCO|SUNNY SKIES, WARMER 
20101207140155.000|20101207140156.000|CCO|TEMPERATURES, THE BIG WEATHER 
20101207140156.000|20101207140157.000|CCO|STORY. 
20101207140157.000|20101207140158.000|CCO|ROOM TEMPERATURE 72 FOR 
20101207140158.000|20101207140159.000|CCO|DOWNTOWN L.A., MID-70s IN THE 
20101207140159.000|20101207140200.000|CCO|VALLEYS AND I.E. 
20101207140200.000|20101207140201.000|CCO|LOOK AT THE SEVEN-DAY FORECAST, 
20101207140201.000|20101207140202.000|CCO|NO RAIN IN THE FORECAST 
20101207140202.000|20101207140204.000|CCO|THROUGHOUT THE REMAINDER OF THE 
20101207140204.000|20101207140206.000|CCO|WORK WEEK OR EVEN THE WEEKEND. 
20101207140206.000|20101207140208.000|CCO|BY THE WEEKEND, WE'RE GOING TO 
20101207140208.000|20101207140210.000|CCO|LOOK FOR THAT RIDGE TO RAMP UP 
20101207140210.000|20101207140212.000|CCO|EVEN MORE, AN OFFSHORE FLOW 
20101207140212.000|20101207140214.000|CCO|WILL DEVELOP, TEMPERATURES IN 
20101207140214.000|20101207140216.000|CCO|THE UPPER 70s AND LOWER 80s 
20101207140216.000|20101207140218.000|CCO|SATURDAY INTO EARLY NEXT WEEK. 
20101207140218.000|20101207140220.000|CCO|BEAUTIFUL HOLIDAY CONDITIONS. 
20101207140220.000|20101207140222.000|CCO|NOT SO MUCH ON THE ROADWAYS 
20101207140222.000|20101207140223.250|CCO|EARLY ON THIS TUESDAY MORNING. 
20101207140223.250|20101207140224.500|CCO|WE HAVE TWO SIG ALERTS. 
20101207140224.500|20101207140225.750|CCO|LAKEVIEW TERRACE, FOOTHILL 
20101207140225.750|20101207140227.000|CCO|FREEWAY AT OSBORNE, RIGHT TWO 
20101207140227.000|20101207140228.250|CCO|LANES TAKEN AWAY BECAUSE OF THE 
20101207140228.250|20101207140229.500|CCO|RIG THAT WENT OFF THE SIDE OF 
20101207140229.500|20101207140230.750|CCO|THE FREEWAY. 
20101207140230.750|20101207140232.000|CCO|IT WAS LOADED WITH GROCERIES. 
20101207140232.000|20101207140234.000|CCO|A BIG MESS THERE. 
20101207140234.000|20101207140236.000|CCO|WE'RE ON OUR WAY TO CHECK THAT 
20101207140236.000|20101207140238.000|CCO|OUT. 
20101207140238.000|20101207140240.000|CCO|WE'LL GIVE YOU AN AERIAL SHOT. 
20101207140240.000|20101207140242.000|CCO|GRANADA HILLS, 405 SOUTHBOUND, 
20101207140242.000|20101207140243.667|CCO|PAST OF THE 118 FREEWAY. 
20101207140243.667|20101207140245.333|CCO|A BIG RIG AND SUV COLLIDED, AND 
20101207140245.333|20101207140247.000|CCO|THAT SUV HAS OVERTURNED AND IS 
20101207140247.000|20101207140248.667|CCO|IN LANES. 
20101207140248.667|20101207140250.333|CCO|10 FREEWAY AT CRENSHAW, BOTH 
20101207140250.333|20101207140252.000|CCO|THE EASTBOUND AND WESTBOUND 
20101207140252.000|20101207140254.000|CCO|SIDES THROUGH MID-CITY BETWEEN 
20101207140254.000|20101207140256.000|CCO|THE 405 AND 110 LOADING UP, 
20101207140256.000|20101207140258.000|CCO|STILL MOVING AT A DECENT PACE. 
20101207140258.000|20101207140300.000|CCO|BACK TO YOU. 
20101207140300.000|20101207140452.000|SEG|Type=Story
20101207140300.000|20101207140302.000|CCO|>>> A BIG RIG CRASHES ON THE 
20101207140302.000|20101207140303.667|CCO|210 FREEWAY AND PLOWS INTO A 
20101207140303.667|20101207140305.333|CCO|MOBILE HOME PARK BELOW. 
20101207140305.333|20101207140307.000|CCO|THIS IS LAKEVIEW TERRACE WHERE 
20101207140307.000|20101207140308.667|CCO|WE GO TO GINA SILVA RIGHT THERE 
20101207140308.667|20101207140310.333|CCO|AT THE TRUCK, REALLY SCARY 
20101207140310.333|20101207140312.000|CCO|STUFF THERE. 
20101207140312.000|20101207140313.667|CCO|>> Reporter: ABSOLUTELY. 
20101207140313.667|20101207140315.333|CCO|CAN YOU IMAGINE BEING THE 
20101207140315.333|20101207140317.000|CCO|HOMEOWNER? 
20101207140317.000|20101207140318.667|CCO|WE'RE RIGHT BELOW THE 210 
20101207140318.667|20101207140320.333|CCO|FREEWAY AT FOOTHILL BOULEVARD. 
20101207140320.333|20101207140322.000|CCO|TAKE A LOOK. 
20101207140322.000|20101207140323.667|CCO|THIS BIG RIG JUST A FEW FEET 
20101207140323.667|20101207140325.333|CCO|AWAY FROM THE MOBILE HOME. 
20101207140325.333|20101207140327.000|CCO|THIS HAPPENED AT 3:30 THIS 
20101207140327.000|20101207140328.667|CCO|MORNING. 
20101207140328.667|20101207140330.333|CCO|CHP TELLING US THE DRIVER FELL 
20101207140330.333|20101207140332.000|CCO|ASLEEP AT THE WHEEL, LOST 
20101207140332.000|20101207140333.429|CCO|CONTROL AND ENDED UP HERE. 
20101207140333.429|20101207140334.857|CCO|THE HOMEOWNER IS MARK. 
20101207140334.857|20101207140336.286|CCO|MARK, YOU MUST HAVE BEEN SO 
20101207140336.286|20101207140337.714|CCO|SCARED. 
20101207140337.714|20101207140339.143|CCO|DESCRIBE WHAT YOU HEARD. 
20101207140339.143|20101207140340.571|CCO|>> IT WAS 3:30 IN THE MORNING. 
20101207140340.571|20101207140342.000|CCO|MY ALARM WENT OFF. 
20101207140342.000|20101207140344.000|CCO|GET UP EARLY TO MAKE COFFEE, 
20101207140344.000|20101207140346.000|CCO|WAKE MY WIFE AND DAUGHTER. 
20101207140346.000|20101207140348.000|CCO|WE HEARD THIS HORRIFIC RUMBLING 
20101207140348.000|20101207140350.000|CCO|AND WE WENT THROUGH THE 
20101207140350.000|20101207140352.000|CCO|SCENARIO ONCE BEFORE EIGHT 
20101207140352.000|20101207140354.000|CCO|YEARS AGO WHEN A SEMI TURNED 
20101207140354.000|20101207140356.000|CCO|OVER AND LANDED ON ITS SIDE 
20101207140356.000|20101207140358.000|CCO|WITH A BUNCH OF LOADED 
20101207140358.000|20101207140400.000|CCO|HERSHEY'S SYRUP. 
20101207140400.000|20101207140402.000|CCO|>> Reporter: DID YOU SEE IT 
20101207140402.000|20101207140403.667|CCO|COMING AT YOU OR HAD IT ALREADY 
20101207140403.667|20101207140405.333|CCO|CRASHED? 
20101207140405.333|20101207140407.000|CCO|>> WE SAW IT COMING DOWN THE 
20101207140407.000|20101207140408.667|CCO|HILL, BARRELING DOWN THE HILL. 
20101207140408.667|20101207140410.333|CCO|>> WHAT DID YOUR WIFE SAY. 
20101207140410.333|20101207140412.000|CCO|>> MY WIFE WAS SCREAMING, MY 
20101207140412.000|20101207140413.429|CCO|DAUGHTER WAS SCREAMING. 
20101207140413.429|20101207140414.857|CCO|WE THOUGHT WE WERE GOING TO BE 
20101207140414.857|20101207140416.286|CCO|TAKEN OUT. 
20101207140416.286|20101207140417.714|CCO|>> Reporter: I'LL BET. 
20101207140417.714|20101207140419.143|CCO|LOOK AT THIS MONSTER. 
20101207140419.143|20101207140420.571|CCO|AGAIN, THE CHP TELLING US THE 
20101207140420.571|20101207140422.000|CCO|DRIVER WAS GOING ABOUT 50 MILES 
20101207140422.000|20101207140424.000|CCO|PER HOUR, THERE WAS A 13-YEAR-
20101207140424.000|20101207140426.000|CCO|OLD BOY INSIDE, ONE OF THE 
20101207140426.000|20101207140428.000|CCO|PASSENGERS WAS TRANSPORTED TO 
20101207140428.000|20101207140430.000|CCO|THE HOSPITAL. 
20101207140430.000|20101207140432.000|CCO|IF YOU CAN SEE HOW CRUNCHED THE 
20101207140432.000|20101207140433.667|CCO|CAB IS YOU WOULD HAVE THOUGHT 
20101207140433.667|20101207140435.333|CCO|SOME INJURIES WOULD HAVE BEEN 
20101207140435.333|20101207140437.000|CCO|VERY SERIOUS. 
20101207140437.000|20101207140438.667|CCO|AT THIS POINT CHP IS TELLING US 
20101207140438.667|20101207140440.333|CCO|THAT THEY ARE NOT SERIOUS. 
20101207140440.333|20101207140442.000|CCO|WE TALKED TO FIREFIGHTERS AND 
20101207140442.000|20101207140443.429|CCO|THEY ARE SAYING MIRACULOUSLY 
20101207140443.429|20101207140444.857|CCO|EVERYONE WILL BE FINE. 
20101207140444.857|20101207140446.286|CCO|THAT IS THE LATEST, REPORTING 
