TOP|20101207150002|2010-12-07_1500_US_KABC_Good_Morning_America
COL|Communication Studies Archive, UCLA 
UID|ab295ae4-0212-11e0-9dc1-00e0815fe92e
DUR|0:59:55.02
VID|640x480
CMT|
LAN|ENG
LBT|2010-12-07 07:00 America/Los_Angeles
SEG_01|2014-06-18 17:44:58|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101207150012.000|20101207150034.857|SEG|Type=Story
20101207150012.000|20101207150013.667|CCO|>>> GOOD MORNING, AMERICA.
20101207150013.667|20101207150015.333|CCO|I'M ROBIN ROBERTS.
20101207150015.333|20101207150017.000|CCO|>> AND I'M DAVID MUIR.
20101207150017.000|20101207150018.667|CCO|IT IS TUESDAY, DECEMBER 7th.
20101207150018.667|20101207150020.333|CCO|BREAKING NEWS THIS MORNING.
20101207150020.333|20101207150022.000|CCO|JULIAN ASSANGE HAS BEEN ARRESTED
20101207150022.000|20101207150024.500|CCO|IN LONDON.
20101207150024.500|20101207150027.000|CCO|THE WIKILEAKS FOUNDER TAKEN IN 
20101207150027.000|20101207150029.500|CCO|TO FACE CHARGES FOR SEX CRIMES.
20101207150029.500|20101207150032.000|CCO|WILL HE FOLLOW THROUGH ON HIS 
20101207150032.000|20101207150033.429|CCO|DOOMSDAY THREAT TO RELEASE ALL 
20101207150033.429|20101207150034.857|CCO|OF THOSE DAMAGING DOCUMENTS?
20101207150034.857|20101207150045.750|SEG|Type=Story
20101207150034.857|20101207150036.286|CCO|>>> IT'S A DEAL.
20101207150036.286|20101207150037.714|CCO|THE PRESIDENT AND REPUBLICAN 
20101207150037.714|20101207150039.143|CCO|LEADERS HAMMER OUT AN AGREEMENT 
20101207150039.143|20101207150040.571|CCO|TO EXTEND THE BUSH TAX CUTS.
20101207150040.571|20101207150042.000|CCO|WE BREAK DOWN THE NUMBERS, THE 
20101207150042.000|20101207150043.250|CCO|NUMBERS THAT WILL CUT PAYROLL 
20101207150043.250|20101207150044.500|CCO|TAXES FOR EVERY 
20101207150044.500|20101207150045.750|CCO|AMERICAN WORKER.
20101207150045.750|20101207150057.000|SEG|Type=Story
20101207150045.750|20101207150047.000|CCO|>>> HER GRACEFUL GOOD-BYE.
20101207150047.000|20101207150048.250|CCO|ELIZABETH EDWARDS NEARS THE END 
20101207150048.250|20101207150049.500|CCO|OF HER LONG BATTLE WITH CANCER 
20101207150049.500|20101207150050.750|CCO|WITH A MESSAGE OF HOPE AND 
20101207150050.750|20101207150052.000|CCO|COURAGE.
20101207150052.000|20101207150053.667|CCO|THIS MORNING THE LATEST ON HER 
20101207150053.667|20101207150055.333|CCO|CONDITION AS HER FAMILY AND
20101207150055.333|20101207150057.000|CCO|JOHN EDWARDS GATHER AROUND HER.
20101207150057.000|20101207150113.667|SEG|Type=Story
20101207150057.000|20101207150058.667|CCO|>>> AND RECIPE FOR DANGER.
20101207150058.667|20101207150100.333|CCO|WHY YOUR GLASS COOKWARE COULD 
20101207150100.333|20101207150102.000|CCO|SUDDENLY SHATTER.
20101207150102.000|20101207150107.000|CCO|THE CONSUMER INVESTIGATION YOU 
20101207150107.000|20101207150112.000|CCO|NEED TO HEAR BEFORE YOU START 
20101207150112.000|20101207150113.667|CCO|YOUR HOLIDAY BAKING.
20101207150113.667|20101207150143.000|SEG|Type=Story
20101207150113.667|20101207150115.333|CCO|>>> AND GOOD MORNING, EVERYONE.
20101207150115.333|20101207150117.000|CCO|AS YOU KNOW, GEORGE IS HEADED 
20101207150117.000|20101207150118.667|CCO|BACK FROM AFGHANISTAN.
20101207150118.667|20101207150120.333|CCO|ALWAYS A JOY TO HAVE DAVID
20101207150120.333|20101207150122.000|CCO|MUIR HERE WITH US.
20101207150122.000|20101207150123.250|CCO|AND AS YOU SAID, BREAKING NEWS.
20101207150123.250|20101207150124.500|CCO|>> BREAKING NEWS.
20101207150124.500|20101207150125.750|CCO|GREAT TO BE WITH YOU, ROBIN.
20101207150125.750|20101207150127.000|CCO|BUT WE'LL GET RIGHT TO IT THIS 
20101207150127.000|20101207150128.250|CCO|MORNING.
20101207150128.250|20101207150129.500|CCO|WIKILEAKS FOUNDER, JULIAN 
