TOP|20101207190002|2010-12-07_1900_US_KABC_Eyewitness_News_11AM
COL|Communication Studies Archive, UCLA 
UID|31fb1712-0234-11e0-8684-00e0815fe83e
DUR|0:59:55.02
VID|640x480
CMT|
LAN|ENG
LBT|2010-12-07 11:00 America/Los_Angeles
SEG_01|2014-06-18 17:45:43|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101207190042.000|20101207195957.000|SEG|Type=Story
20101207190042.000|20101207190047.000|CCO|PHILLIP: WE DO HAVE BREAKING 
20101207190047.000|20101207190052.000|CCO|NEWS.
20101207190052.000|20101207190054.500|CCO|KEY TURN IN THE EVENT OVER THE 
20101207190054.500|20101207190057.000|CCO|KEY OWNERSHIP OF THE DODGERS.
20101207190057.000|20101207190059.500|CCO|JUDGE HAS RULED A POST NUPTIAL 
20101207190059.500|20101207190102.000|CCO|AGREEMENT GIVING THE OWNERSHIP 
20101207190102.000|20101207190104.500|CCO|TO JAMIE MCCOURT IS NOT VALID.
20101207190104.500|20101207190107.000|CCO|LESLIE: THE FUTURE OF THE 
20101207190107.000|20101207190109.500|CCO|DODGERS IS STILL VERY MUCH UP 
20101207190109.500|20101207190112.000|CCO|IN THE AIR THIS MORNING.
20101207190112.000|20101207190113.667|CCO|HERE IS BREAKING DETAILS OF 
20101207190113.667|20101207190115.333|CCO|THAT RULING.
20101207190115.333|20101207190117.000|CCO|JOHN?
20101207190117.000|20101207190118.667|CCO|>> Reporter: WELL, LESLIE, THAT 
20101207190118.667|20101207190120.333|CCO|2004 MARITAL PROPERTY AGREEMENT 
20101207190120.333|20101207190122.000|CCO|WAS AT THE CORE OF THE VERY 
20101207190122.000|20101207190124.500|CCO|BITTER SETTLEMENT DISPUTE 
20101207190124.500|20101207190127.000|CCO|BETWEEN FRANK AND JAMIE MCCOURT.
20101207190127.000|20101207190129.500|CCO|IT WAS LEFT IN THE HANDS OF THE 
20101207190129.500|20101207190132.000|CCO|SUPERIOR COURT JUDGE.
20101207190132.000|20101207190134.000|CCO|TODAY HE RULED THAT THAT 
