TOP|20101207210002|2010-12-07_2100_US_CNN_Newsroom
COL|Communication Studies Archive, UCLA 
UID|f5975f18-0244-11e0-8aa1-00e0815fe86a
DUR|0:59:55.02
VID|640x480
CMT|
TPF|transcripts.cnn.com|cnr.08.html
HED|President Obama Defends Tax Deal; WikiLeaks Founder Arrested; Reality Show Shakeup on TLC: The Gosselins Visit the Palins' Alaska
LAN|ENG
LBT|2010-12-07 13:00 America/Los_Angeles
SEG_01|2014-06-18 17:45:59|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101207210006.000|20101207210040.000|SEG|Type=Story
20101207210006.000|20101207210007.000|CCO|P AGAINST A 
20101207210007.000|20101207210008.000|CCO|DEADLINE, THEY DON'T WANT TO 
20101207210008.000|20101207210009.000|CCO|CONTINUE THIS THING GO 
20101207210009.000|20101207210010.000|CCO|CHRISTMAS.
20101207210010.000|20101207210011.000|CCO|SO THE DAYS ARE TICKING BY, WE 
20101207210011.000|20101207210012.000|CCO|HAVE TO WAIT AND SEE WHAT WAS 
20101207210012.000|20101207210014.000|CCO|BEFORE IT GOES BEFORE THE SENATE
20101207210014.000|20101207210016.000|CCO|AND THE HOUSE.
20101207210016.000|20101207210018.000|CCO|I WANT TO REMIND EVERYONE WE'LL 
20101207210018.000|20101207210020.000|CCO|GET ANOTHER POLITICAL TICKER IN 
20101207210020.000|20101207210022.000|CCO|ABOUT A HALF AN HOUR.
20101207210022.000|20101207210025.333|CCO|BUT I HAVE THESE GUYS IN THE 
20101207210025.333|20101207210028.667|CCO|STUDIO, AS WE END THE 3:00 AND 
20101207210028.667|20101207210032.000|CCO|START THE 4:00, THESE ARE MY NEW
20101207210032.000|20101207210034.000|CCO|FRIENDS FROM CEDAR VALLEY 
20101207210034.000|20101207210036.000|CCO|ELEMENTARY.
20101207210036.000|20101207210038.000|CCO|CAN YOU SAY BE RIGHT BACK?
20101207210038.000|20101207210040.000|CCO|>> BE RIGHT BACK.
20101207210040.000|20101207210054.500|SEG|Type=Story
20101207210040.000|20101207210042.000|CCO|>>> THERE IS A BIG SURPRISE IN 
20101207210042.000|20101207210044.500|CCO|THE TAX CUT DEAL, MONEY JUST IN 
20101207210044.500|20101207210047.000|CCO|TIME FOR THE HOLIDAYS FOR YOU, 
20101207210047.000|20101207210049.500|CCO|BUT, BOY ARE SOME DEMOCRATS 
20101207210049.500|20101207210052.000|CCO|ANGRY WITH PRESIDENT OBAMA.
20101207210052.000|20101207210054.500|CCO|THE NEWS IS NOW.
20101207210054.500|20101207210114.857|SEG|Type=Story
20101207210054.500|20101207210057.000|CCO|>>> PRESIDENT OBAMA CHANGING HIS
20101207210057.000|20101207210059.500|CCO|TUNE.
20101207210059.500|20101207210102.000|CCO|>> I'M GOING TO ROLL BACK THE 
20101207210102.000|20101207210105.333|CCO|BUSH TAX CUTS FOR THE VERY 
20101207210105.333|20101207210108.667|CCO|WEALTHIEST AMERICANS.
