TOP|20101207230002|2010-12-07_2300_US_KABC_Oprah_Winfrey
COL|Communication Studies Archive, UCLA 
UID|b90c4dfe-0255-11e0-a444-00e0815fe83e
DUR|0:59:55.02
VID|640x480
CMT|
LAN|ENG
LBT|2010-12-07 15:00 America/Los_Angeles
SEG_01|2014-06-18 17:46:13|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101207230012.000|20101207235957.000|SEG|Type=Story
20101207230012.000|20101207230013.667|CCO|[CAPTIONING MADE POSSIBLE BY
20101207230013.667|20101207230015.333|CCO|KING WORLD]
20101207230015.333|20101207230017.000|CCO|[CHEERING AND APPLAUSE] 
20101207230017.000|20101207230018.667|CCO|OPRAH: TODAY. JESSICA SEINFELD
20101207230018.667|20101207230020.333|CCO|RESCUES AMERICA'S WORST COOKS.
20101207230020.333|20101207230022.000|CCO|HOW WOULD YOU RATE YOUR WIFE'S
20101207230022.000|20101207230023.429|CCO|COOKING?
20101207230023.429|20101207230024.857|CCO|>> WHAT AM I GONNA SAY? 
20101207230024.857|20101207230026.286|CCO|[LAUGHTER]
20101207230026.286|20101207230027.714|CCO|OPRAH: WANT TO KNOW WHAT TO COOK
20101207230027.714|20101207230029.143|CCO|FOR DINNER TONIGHT? CROCK POT 
20101207230029.143|20101207230030.571|CCO|LASAGNA. 20-MINUTE TOSTADAS.
20101207230030.571|20101207230032.000|CCO|THAT IS REALLY GOOD. SPICE UP 
20101207230032.000|20101207230033.667|CCO|STEAK. NO-FAIL ROASTED CHICKEN.
20101207230033.667|20101207230035.333|CCO|DOUBLE DELICIOUS! THEN, 
20101207230035.333|20101207230037.000|CCO|ATTENTION, LABEL LOVERS.
20101207230037.000|20101207230038.667|CCO|>> THE ENTIRE OUTFIT IS UNDER
20101207230038.667|20101207230040.333|CCO|$100.
20101207230040.333|20101207230042.000|CCO|OPRAH: CAN YOU TELL WHICH COSTS 
20101207230042.000|20101207230043.667|CCO|MORE? GET THOSE CHI-CHI,
20101207230043.667|20101207230045.333|CCO|LA-DI-DA LOOKS FOR LESS.
20101207230045.333|20101207230047.000|CCO|NEXT.
20101207230047.000|20101207230048.667|CCO|[CHEERING AND APPLAUSE]
20101207230048.667|20101207230050.333|CCO|OPRAH: OK. SO LET ME ASK YOU--IS
20101207230050.333|20101207230052.000|CCO|THIS YOU? DINNERTIME IS
20101207230052.000|20101207230053.667|CCO|APPROACHING. YOUR FAMILY IS 
20101207230053.667|20101207230055.333|CCO|HUNGRY, AND YOU'RE TIRED, AND 
20101207230055.333|20101207230057.000|CCO|YOU'RE NOT THE WORLD'S MOST 
20101207230057.000|20101207230058.667|CCO|CREATIVE COOK. YOU'VE ALREADY
20101207230058.667|20101207230100.333|CCO|RUN THROUGH YOUR LIST OF
20101207230100.333|20101207230102.000|CCO|EVERYTHING YOU KNOW HOW TO DO.
20101207230102.000|20101207230104.000|CCO|SO YOU SEE YOUR PHONE, THE
20101207230104.000|20101207230106.000|CCO|TAKEOUT MENUS ARE TAPED TO THE
20101207230106.000|20101207230108.000|CCO|FRIDGE. I'M ASKING YOU DON'T DO
20101207230108.000|20101207230110.000|CCO|IT. NOT TONIGHT. NOT TONIGHT.
20101207230110.000|20101207230112.000|CCO|DON'T DO IT. YOU DESERVE A GREAT
20101207230112.000|20101207230114.500|CCO|HOME-COOKED MEAL. YOUR FAMILY
20101207230114.500|20101207230117.000|CCO|DOES. JESSICA SEINFELD IS HERE
20101207230117.000|20101207230119.500|CCO|TO HELP YOU AND YOUR FAMILY. HER
20101207230119.500|20101207230122.000|CCO|NEW COOKBOOK IS TITLED--COME ON.
20101207230122.000|20101207230124.500|CCO|HER NEW COOKBOOK IS TITLED NOT
20101207230124.500|20101207230127.000|CCO|JUST DELICIOUS, "DOUBLE
20101207230127.000|20101207230129.500|CCO|DELICIOUS."
20101207230129.500|20101207230132.000|CCO|>> HA HA.
20101207230132.000|20101207230133.667|CCO|OPRAH: GOOD, SIMPLE FOOD FOR
20101207230133.667|20101207230135.333|CCO|BUSY, COMPLICATED LIVES, AND
20101207230135.333|20101207230137.000|CCO|THAT'S REALLY WHAT WE ARE.
20101207230137.000|20101207230138.667|CCO|WELCOME BACK.
20101207230138.667|20101207230140.333|CCO|>> THANK YOU FOR HAVING ME. 
20101207230140.333|20101207230142.000|CCO|GREAT TO BE HERE.
20101207230142.000|20101207230142.909|CCO|OPRAH: IN THE KITCHEN WITH
20101207230142.909|20101207230143.818|CCO|YOU.
20101207230143.818|20101207230144.727|CCO|>> I LOVE IT. 
20101207230144.727|20101207230145.636|CCO|OPRAH: FIRST OF ALL, LOVE THE 
20101207230145.636|20101207230146.545|CCO|BOOK, LOVE THE TITLE. 
20101207230146.545|20101207230147.455|CCO|>> THANK YOU. 
20101207230147.455|20101207230148.364|CCO|RAH: YES. AND IS THAT BECAUSE 
20101207230148.364|20101207230149.273|CCO|YOU HAVE A COMPLICATED LIFE AND 
20101207230149.273|20101207230150.182|CCO|UNDERSTAND THAT EVERYBODY ELSE
20101207230150.182|20101207230151.091|CCO|DOES? 
20101207230151.091|20101207230152.000|CCO|>> I THINK EVERYBODY HAS
20101207230152.000|20101207230153.667|CCO|COMPLICATED LIVES. I THINK
20101207230153.667|20101207230155.333|CCO|PEOPLE ARE WORKING SO HARD. 
20101207230155.333|20101207230157.000|CCO|PEOPLE ARE WORKING DOUBLE WHAT
20101207230157.000|20101207230158.667|CCO|THEY USED TO DO IN THIS COUNTRY,
20101207230158.667|20101207230200.333|CCO|AND I THINK FOOD IS SOMETHING
20101207230200.333|20101207230202.000|CCO|THAT'S SUFFERED IN THIS COUNTRY,
20101207230202.000|20101207230205.333|CCO|AND THAT'S SOMETHING THAT I FEEL
20101207230205.333|20101207230208.667|CCO|VERY PASSIONATE ABOUT.
20101207230208.667|20101207230212.000|CCO|OPRAH: SO JESSICA'S HUSBAND 
20101207230212.000|20101207230217.000|CCO|JERRY IS HERE ALONG WITH--
20101207230217.000|20101207230222.000|CCO|[CHEERING AND APPLAUSE]
20101207230222.000|20101207230223.111|CCO|OPRAH: ONE OF HER BEST PALS AND
20101207230223.111|20101207230224.222|CCO|OUR BEST PAL ALI WENTWORTH. HI, 
20101207230224.222|20101207230225.333|CCO|GUYS. HI, HI, HI. SO WHEN YOU'RE
20101207230225.333|20101207230226.444|CCO|AT HOME, DO YOU HANG OUT IN THE 
20101207230226.444|20101207230227.556|CCO|KITCHEN A LOT, MR. SEINFELD?
20101207230227.556|20101207230228.667|CCO|>> YEAH. I THINK EVERYBODY LIKES
20101207230228.667|20101207230229.778|CCO|THE KITCHEN. THE KITCHEN'S THE
20101207230229.778|20101207230230.889|CCO|MOST RELAXING PLACE.
20101207230230.889|20101207230232.000|CCO|OPRAH: YES. AND WOULD YOU SAY 
20101207230232.000|20101207230233.429|CCO|THAT YOUR WIFE--HOW WOULD YOU
20101207230233.429|20101207230234.857|CCO|RATE YOUR WIFE'S COOKING?
20101207230234.857|20101207230236.286|CCO|>> WHAT AM I GONNA SAY? 
20101207230236.286|20101207230237.714|CCO|[LAUGHTER]
20101207230237.714|20101207230239.143|CCO|OPRAH: NO, REALLY,
20101207230239.143|20101207230240.571|CCO|SERIOUSLY.
20101207230240.571|20101207230242.000|CCO|>> WHEN WE FIRST STARTED DATING,
20101207230242.000|20101207230243.250|CCO|SHE WOULD COOK, AND, YOU KNOW, I
20101207230243.250|20101207230244.500|CCO|REALLY NEVER DATED ANYONE WHO 
20101207230244.500|20101207230245.750|CCO|WAS SUCH A GREAT COOK, AND I
20101207230245.750|20101207230247.000|CCO|LIKE THE WAY SHE COOKS. SHE 
20101207230247.000|20101207230248.250|CCO|DOESN'T MAKE FANCY, LIKE, I 
20101207230248.250|20101207230249.500|CCO|DON'T LIKE COMPLICATED FOOD, YOU
20101207230249.500|20101207230250.750|CCO|KNOW. AND SHE JUST HAS A NICE 
20101207230250.750|20101207230252.000|CCO|WAY OF MAKING A BASIC THING JUST
20101207230252.000|20101207230254.000|CCO|TASTE GREAT.
20101207230254.000|20101207230256.000|CCO|OPRAH: YEAH. THAT'S WHY I LIKE
20101207230256.000|20101207230258.000|CCO|THIS BOOK. "DOUBLE DELICIOUS."
20101207230258.000|20101207230300.000|CCO|BECAUSE THEY'RE REAL RECIPES
20101207230300.000|20101207230302.000|CCO|THAT REAL PEOPLE CAN DO. SO WE
20101207230302.000|20101207230304.500|CCO|PUT THE CALL OUT TO FIND SOME
20101207230304.500|20101207230307.000|CCO|KITCHEN KLUTZES--THERE ARE A LOT
20101207230307.000|20101207230309.500|CCO|OF Y'ALL--
