TOP|20101207233001|2010-12-07_2330_US_KCAL_Inside_Edition
COL|Communication Studies Archive, UCLA 
UID|e997cee0-0259-11e0-928d-00e0815ffae2
DUR|0:29:55.02
VID|640x480
CMT|
LAN|ENG
LBT|2010-12-07 15:30 America/Los_Angeles
SEG_01|2014-02-14 18:17:41|Source_Program=commercial_detection.py|Source_Person=Weixin Li
20101207233009.000|20101207235941.000|SEG|Type=Story
20101207233009.000|20101207233011.000|CCO|HUSBAND JOHN EDWARDS. 
20101207233011.000|20101207233014.333|CCO|>>  Randy: IT IS SUCH A 
20101207233014.333|20101207233017.667|CCO|HEARTBREAKING STORY. 
20101207233017.667|20101207233021.000|CCO|>> THEN, UNTOP UNSTOPPABLE DUMP 
20101207233021.000|20101207233022.667|CCO|STRUCK. 
20101207233022.667|20101207233024.333|CCO|>>  Randy: ANGELINAJOLIEE 
20101207233024.333|20101207233026.000|CCO|STRUCK. 
20101207233026.000|20101207233027.667|CCO|>> ANGELINA JOLIE AND BRAD 
20101207233027.667|20101207233029.333|CCO|PITT. 
20101207233029.333|20101207233031.000|CCO|>> I HAVE BEEN MAKING FUN OF 
20101207233031.000|20101207233033.500|CCO|ANGELINA JOLIE SINCE SHE MADE 
20101207233033.500|20101207233036.000|CCO|OUT WITH HER BROTHER. 
20101207233036.000|20101207233038.500|CCO|>> ANOTHER WOMAN DRIVER SAYS 
20101207233038.500|20101207233041.000|CCO|SHE WAS THREATENED IN THE SAME 
20101207233041.000|20101207233043.500|CCO|NEIGHBORHOOD WHERE HOLLYWOOD 
20101207233043.500|20101207233046.000|CCO|PUBLICIST RONNI CHASON WAS 
20101207233046.000|20101207233048.500|CCO|MURDERED. 
20101207233048.500|20101207233051.000|CCO|>> EXCLUSIVE. 
20101207233051.000|20101207233053.000|CCO|THE BACKUP DANCER WHO SAID SHE 
20101207233053.000|20101207233055.000|CCO|WAS PUMPED OUT BY DEMI LOVATTO 
20101207233055.000|20101207233057.000|CCO|BREAKS HER SILENCE. 
20101207233057.000|20101207233059.000|CCO|>> IT WAS DEFINITION OF A 
20101207233059.000|20101207233101.000|CCO|SOCCER PUMP. 
20101207233101.000|20101207233103.000|CCO|>> PREPARING FOR THE PERFECT  
20101207233103.000|20101207233105.000|CCO|DAY. 
20101207233105.000|20101207233107.000|CCO|>> THE PERFECT BRIDE. 
20101207233107.000|20101207233109.000|CCO|>> NOW"INSIDE EDITION" WITH 
20101207233109.000|20101207233111.000|CCO|DEBORAH NOVILLE. 
20101207233111.000|20101207233112.667|CCO|>> ELIZABETH EDWARDS IS DEAD 
20101207233112.667|20101207233114.333|CCO|LOSING HER BATTLE WITH CANCER 
20101207233114.333|20101207233116.000|CCO|JUST HOURS IT WAS REVEALED HER 
20101207233116.000|20101207233117.667|CCO|CONDITION WAS BEYOND HOPE. 
20101207233117.667|20101207233119.333|CCO|SHE DIED AT 10:15 A.M. 
20101207233119.333|20101207233121.000|CCO|TUESDAY BUT THE NEWS WAS NOT 
20101207233121.000|20101207233124.333|CCO|REVEALED UNTIL TUESDAY  NIGHT. 
20101207233124.333|20101207233127.667|CCO|>> ELIZABETH EDWARDS HAS PASSED 
20101207233127.667|20101207233131.000|CCO|AWAY. 
20101207233131.000|20101207233133.000|CCO|>> THIS IS ONE OF HER LAST 
20101207233133.000|20101207233135.000|CCO|PUBLIC APPEARANCES. 
20101207233135.000|20101207233137.000|CCO|>> CANCER DOESN'T CARE THAT YOU 
20101207233137.000|20101207233139.000|CCO|HAVE YOUNG CHILDREN WHO NEED 
20101207233139.000|20101207233141.000|CCO|THEIR MOTHER. 
20101207233141.000|20101207233143.500|CCO|>> WEARING A WIG ELIZABETH  
20101207233143.500|20101207233146.000|CCO|BRAVELY ADDRESSED AMERICANS AT 
20101207233146.000|20101207233148.500|CCO|SEPTEMBER'S STAND UP TO CANCER 
20101207233148.500|20101207233151.000|CCO|TELETHON. 
20101207233151.000|20101207233153.000|CCO|SHE SPOKE ABOUT HER GRIM 
20101207233153.000|20101207233155.000|CCO|PROGNOSIS. 
20101207233155.000|20101207233157.000|CCO|>>  Randy: I HAVE STAGE IV 
20101207233157.000|20101207233159.000|CCO|CANCER AND I'M DYING. 
20101207233159.000|20101207233201.000|CCO|>> ELIZABETH EDWARDS CANCER 
20101207233201.000|20101207233202.667|CCO|FIGHT HAS TAKEN A TURN FOR THE 
20101207233202.667|20101207233204.333|CCO|WORSE. 
20101207233204.333|20101207233206.000|CCO|>> NOW THE NATION IS LEARNING 
20101207233206.000|20101207233207.667|CCO|HER BRAVE BATTLE IS OVER. 
20101207233207.667|20101207233209.333|CCO|61-YEAR-OLD ELIZABETH WROTE ON 
20101207233209.333|20101207233211.000|CCO|FACEBOOK "THE DAYS OF OUR LIVES 
20101207233211.000|20101207233212.667|CCO|FOR ALL OF US ARE NUMBERED. 
20101207233212.667|20101207233214.333|CCO|WE KNOW THAT." 
20101207233214.333|20101207233216.000|CCO|WE CAUGHT UP WITH KATIE COURIC 
20101207233216.000|20101207233217.667|CCO|WHO LOST HER HUSBAND AND SISTER 
20101207233217.667|20101207233219.333|CCO|TO CANCER AT WOMAN IN 
20101207233219.333|20101207233221.000|CCO|ENTERTAINMENT BREAK IN L.A. 
20101207233221.000|20101207233223.500|CCO|>> IT IS SUCH A HEARTBREAKING 
20101207233223.500|20101207233226.000|CCO|STORY BECAUSE I'M SO FAMILIAR 
20101207233226.000|20101207233228.500|CCO|WITH WHAT'S GOING ON IN THE  
20101207233228.500|20101207233231.000|CCO|EDWARDS HOUSE HOLD RIGHT NOW AS 
20101207233231.000|20101207233241.000|CCO|ARE SO MANY OTHER FAMILIES THAT 
20101207233241.000|20101207233243.500|CCO|LOST LOVED ONES TO CANCER. 
20101207233243.500|20101207233246.000|CCO|SHE HAS BEEN SO HEROIC ABOUT 
20101207233246.000|20101207233248.500|CCO|HER DISEASE. 
20101207233248.500|20101207233251.000|CCO|>> THE CANCER SPREAD TO HER 
20101207233251.000|20101207233254.333|CCO|LIVER BUT UNTIL THE END SHE WAS 
20101207233254.333|20101207233257.667|CCO|REPORTEDLY NOT IN PAIN AND IN 
20101207233257.667|20101207233301.000|CCO|GOOD SPIRITS. 
20101207233301.000|20101207233302.667|CCO|ELIZABETH EDWARDS SPENT HER 
20101207233302.667|20101207233304.333|CCO|FINAL HOURS AT HER HOME HER 
20101207233304.333|20101207233306.000|CCO|CHILDREN AND BELOVED SISTER AT 
20101207233306.000|20101207233307.667|CCO|HER SIDE. 
20101207233307.667|20101207233309.333|CCO|ALSO THERE, JOHN EDWARDS. 
20101207233309.333|20101207233311.000|CCO|HE WHO HAD A CHILD OUT OF  
20101207233311.000|20101207233312.429|CCO|WEDLOCK WITH HIS FORMER 
20101207233312.429|20101207233313.857|CCO|MISTRESS HAS MOVED BACK HOME TO 
20101207233313.857|20101207233315.286|CCO|HELP TAKE CARE OF THEIR 
20101207233315.286|20101207233316.714|CCO|YOUNGEST CHILDREN AND HAS BEEN 
20101207233316.714|20101207233318.143|CCO|SPOTTED AROUND TOWN PICKING UP 
20101207233318.143|20101207233319.571|CCO|TAKE-OUT FOR THE GROUP. 
20101207233319.571|20101207233321.000|CCO|THE ESTATE IS A FITTING PLACE 
20101207233321.000|20101207233322.667|CCO|FOR ELIZABETH TO SPEND HER 
20101207233322.667|20101207233324.333|CCO|FINAL DAYS. 
20101207233324.333|20101207233326.000|CCO|SHE SUPERVISED ITS CONSTRUCTION 
20101207233326.000|20101207233327.667|CCO|CHOOSING EVERY DETAIL HERSELF. 
20101207233327.667|20101207233329.333|CCO|LAST YEAR SHE GAVE OPRAH A 
20101207233329.333|20101207233331.000|CCO|TOUR. 
20101207233331.000|20101207233333.000|CCO|>> YOU CAN SEE THIS IS A HOME 
20101207233333.000|20101207233335.000|CCO|WITH LOVE. 
20101207233335.000|20101207233337.000|CCO|>> Reporter: KATE EDWARDS IS 28 
20101207233337.000|20101207233339.000|CCO|YEARS OLD LIVING IN WASHINGTON. 
20101207233339.000|20101207233341.000|CCO|SHE IS A LAWYER. 
20101207233341.000|20101207233342.429|CCO|EMMA CLAIRE IS 12 AND JACK 10. 
20101207233342.429|20101207233343.857|CCO|ELIZABETH DEDICATED HERSELF TO 
20101207233343.857|20101207233345.286|CCO|PREPARING HER CHILDREN FOR HER 
20101207233345.286|20101207233346.714|CCO|DEATH. 
20101207233346.714|20101207233348.143|CCO|FOR YEARS ELIZABETH HAS WORKED 
20101207233348.143|20101207233349.571|CCO|ON WHAT SHE CALLED HER DYING 
20101207233349.571|20101207233351.000|CCO|LETTER TO HER KIDS FILLED WITH 
20101207233351.000|20101207233354.333|CCO|A MOTHER'S WISDOM SO THE KIDS 
20101207233354.333|20101207233357.667|CCO|CAN BENEFIT FROM HER ADVICE 
