TOP|20101208010002|2010-12-08_0100_US_CNN-Headline_Nancy_Grace
COL|Communication Studies Archive, UCLA 
UID|7ce28242-0266-11e0-8806-00e0815fe86c
DUR|0:59:55.02
VID|640x480
CMT|
TPF|transcripts.cnn.com|ng.01.html
HED|Utah Physician Under Suspicion in Bathtub Death of Wife
LAN|ENG
LBT|2010-12-07 17:00 America/Los_Angeles
SEG_01|2014-06-18 17:46:40|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101208010008.667|20101208010012.000|SEG|Type=Story
20101208010008.667|20101208010012.000|SEG_01|Type=Commercial
20101208010008.667|20101208010010.333|CCO|    
20101208010010.333|20101208010012.000|CCO|      d save orefin 
20101208010012.000|20101208011554.500|SEG_01|Type=Story start
20101208010012.000|20101208011554.500|SEG|Type=Story
20101208010012.000|20101208010017.000|CCO|>>> BREAKING NEWS TONIGHT.
20101208010017.000|20101208010022.000|CCO|LIVE, UTAH, AN EMERGENCY 911 
20101208010022.000|20101208010024.500|CCO|CALL FROM A DOCTOR DESPERATELY 
20101208010024.500|20101208010027.000|CCO|TRYING TO SAVE HIS WIFE WHEN HE 
20101208010027.000|20101208010029.500|CCO|FINDS HER UNCONSCIOUS, UNDER 
20101208010029.500|20101208010032.000|CCO|WATER IN THE BEDROOM BATHTUB.
20101208010032.000|20101208010034.000|CCO|THE MOTHER OF EIGHT, JUST EIGHT 
20101208010034.000|20101208010036.000|CCO|DAYS OUT OF A FULL FACELIFT, 
20101208010036.000|20101208010038.000|CCO|AFTER INTERVIEWING HER HUSBAND, 
20101208010038.000|20101208010040.000|CCO|A DOCTOR AND DIRECTOR OF A 
20101208010040.000|20101208010042.000|CCO|PRESTIGIOUS DEVELOPMENTAL 
20101208010042.000|20101208010044.000|CCO|CLINIC, THE M.E. RULES NATURAL 
20101208010044.000|20101208010046.000|CCO|DEATH.
20101208010046.000|20101208010048.000|CCO|BUT NOW NEARLY TWO YEARS OF A 
20101208010048.000|20101208010050.000|CCO|FULL-FLEDGED AFFAIR WITH A 
20101208010050.000|20101208010052.000|CCO|YOUNGER WOMAN UNCOVERED.
20101208010052.000|20101208010054.500|CCO|THE DOCTOR BRINGS THE WOMAN INTO
20101208010054.500|20101208010057.000|CCO|THE HOME AS THE NEW NANNY, PLUS 
