TOP|20101208010002|2010-12-08_0100_US_CNN_Parker_Spitzer
COL|Communication Studies Archive, UCLA 
UID|7ce296d8-0266-11e0-8c8c-00e0815fe86c
DUR|0:59:55.02
VID|640x480
CMT|
TPF|transcripts.cnn.com|ps.01.html
HED|Elizabeth Edwards Dies; Democrats React to Deal on Bush Tax Cuts
LAN|ENG
LBT|2010-12-07 17:00 America/Los_Angeles
SEG_01|2014-06-18 17:46:45|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101208010006.444|20101208010018.000|SEG|Type=Story
20101208010006.444|20101208010007.556|CCO| NOW.
20101208010007.556|20101208010008.667|CCO|THEY'LL RIDE IT FOR A WHILE.
20101208010008.667|20101208010009.778|CCO|WE WISH THEM ALL THE BEST.
20101208010009.778|20101208010010.889|CCO|THANKS FOR COMING IN AND MAKING 
20101208010010.889|20101208010012.000|CCO|OUR HOLIDAY A BETTER SEASON.
20101208010012.000|20101208010014.000|CCO|WE'LL SEE YOU BACK HERE 
20101208010014.000|20101208010016.000|CCO|TOMORROW.
20101208010016.000|20101208010018.000|CCO|"PARKER/SPITZER" RIGHT NOW.
20101208010018.000|20101208010046.286|SEG|Type=Story
20101208010018.000|20101208010020.000|CCO|>>> GOOD EVENING.
20101208010020.000|20101208010022.000|CCO|I'M KATHLEEN PARKER.
20101208010022.000|20101208010023.250|CCO|>> I'M ELIOT SPITZER.
20101208010023.250|20101208010024.500|CCO|COMING UP, PRESIDENT OBAMA 
20101208010024.500|20101208010025.750|CCO|PLAYING DEFENSE ONCE AGAIN AFTER
20101208010025.750|20101208010027.000|CCO|COMING UNDER ASSAULT FROM FELLOW
20101208010027.000|20101208010028.250|CCO|DEMOCRATS.
20101208010028.250|20101208010029.500|CCO|THE PRESIDENT DEFEND HIS TAX 
20101208010029.500|20101208010030.750|CCO|CUTS COMPROMISE.
20101208010030.750|20101208010032.000|CCO|WE'LL TALK WITH ONE DEMOCRATIC 
20101208010032.000|20101208010033.667|CCO|SENATOR WHO CALLS IT A MORAL 
20101208010033.667|20101208010035.333|CCO|OUTRAGE.
20101208010035.333|20101208010037.000|CCO|>> PLUS WIKILEAKS FOUNDER JULIAN
20101208010037.000|20101208010038.667|CCO|ASSANGE ARRESTED.
20101208010038.667|20101208010040.333|CCO|BUT ARE THEY JUST A POLITICAL 
20101208010040.333|20101208010042.000|CCO|STUNT.
20101208010042.000|20101208010043.429|CCO|THAT'S WHAT HIS LAWYER CLAIMS.
20101208010043.429|20101208010044.857|CCO|WE'LL HAVE THE LATEST ON THIS 
20101208010044.857|20101208010046.286|CCO|DEVELOPING STORY.
20101208010046.286|20101208011052.000|SEG|Type=Story
20101208010046.286|20101208010047.714|CCO|>>> FIRST WE START WITH THE 
20101208010047.714|20101208010049.143|CCO|TRAGIC NEWS FROM NORTH CAROLINA.
20101208010049.143|20101208010050.571|CCO|ELIZABETH EDWARDS, WIFE OF JOHN 
20101208010050.571|20101208010052.000|CCO|EDWARDS HAS PASSED AWAY AFTER A 
20101208010052.000|20101208010054.000|CCO|LONG BATTLE WITH BREAST CANCER.
20101208010054.000|20101208010056.000|CCO|SHE WAS 61 YEARS OLD.
20101208010056.000|20101208010058.000|CCO|>> SHE TALKED ABOUT ONE 
20101208010058.000|20101208010100.000|CCO|ENCOUNTER WITH A FELLOW CANCER 
20101208010100.000|20101208010102.000|CCO|SURVIVOR LAST YEAR TO N.
20101208010102.000|20101208010103.429|CCO|>> A LOT OF PEOPLE WHO HAVE 
20101208010103.429|20101208010104.857|CCO|BREAST CANCER COME UP TO ME.
20101208010104.857|20101208010106.286|CCO|ONE OF THE PEOPLE WHO CAME UP TO
20101208010106.286|20101208010107.714|CCO|ME IN CLEVELAND IN 2007 WAS A 
20101208010107.714|20101208010109.143|CCO|WORKING MOTHER WHO SAID SHE WAS 
20101208010109.143|20101208010110.571|CCO|AFRAID FOR HER CHILDREN BECAUSE 
20101208010110.571|20101208010112.000|CCO|SHE COULDN'T GO TO THE DOCTOR 
20101208010112.000|20101208010113.429|CCO|DESPITE THE FACT SHE FELT A LUMP
20101208010113.429|20101208010114.857|CCO|IN HER BREAST.
20101208010114.857|20101208010116.286|CCO|SHE WAS WHISPERING IN MY EAR 
20101208010116.286|20101208010117.714|CCO|BECAUSE SHE HOPED THAT IN 
20101208010117.714|20101208010119.143|CCO|AMERICA YOU STILL HAD THE POWER 
20101208010119.143|20101208010120.571|CCO|TO WHISPER IN THE RIGHT PERSON'S
20101208010120.571|20101208010122.000|CCO|EAR AND GET THE KIND OF CHANGES 
20101208010122.000|20101208010123.667|CCO|YOU NEEDED.
20101208010123.667|20101208010125.333|CCO|IT IS UNCONSCIONABLE THAT IN A 
20101208010125.333|20101208010127.000|CCO|KUCHBT THIS WEALTH A WORKING 
