TOP|20101208020001|2010-12-08_0200_US_MSNBC_The_Rachel_Maddow_Show
COL|Communication Studies Archive, UCLA 
UID|de30bbb0-026e-11e0-86e3-00e0815fe930
DUR|0:59:55.02
VID|640x480
CMT|
LAN|ENG
LBT|2010-12-07 18:00 America/Los_Angeles
SEG_01|2014-06-18 17:47:22|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101208020006.714|20101208020023.500|SEG|Type=Story
20101208020006.714|20101208020008.143|CCO|THIS IS ONLY THE FIRST SIP OF A 
20101208020008.143|20101208020009.571|CCO|BITTER CUP WHICH WILL BE 
20101208020009.571|20101208020011.000|CCO|PROFFERED TO US YEAR BY YEAR.
20101208020011.000|20101208020014.333|CCO|WE ARE ARISE AGAIN AND TAKE OUR 
20101208020014.333|20101208020017.667|CCO|STAND FOR WHAT IS RIGHT.
20101208020017.667|20101208020021.000|CCO|GOOD NIGHT.
20101208020021.000|20101208020023.500|CCO|AND GOOD LUCK.
20101208020023.500|20101208021253.500|SEG|Type=Story
20101208020023.500|20101208020026.000|CCO|>>> GOOD EVENING.
20101208020026.000|20101208020028.500|CCO|THANKS FOR JOINING US IN WHAT 
20101208020028.500|20101208020031.000|CCO|WILL GO DOWN IN A RED LETTER DAY
20101208020031.000|20101208020033.000|CCO|IN THE HISTORY OF BARACK OBAMA 
20101208020033.000|20101208020035.000|CCO|PRESIDENCY.
20101208020035.000|20101208020037.000|CCO|HE HAD A HASTILY PRESS 
20101208020037.000|20101208020039.000|CCO|CONFERENCE AFTER ANNOUNCING THE 
20101208020039.000|20101208020041.000|CCO|VERY, VERY, VERY, VERY, VERY, 
20101208020041.000|20101208020042.429|CCO|VERY, VERY GENEROUS DEAL HE 
20101208020042.429|20101208020043.857|CCO|OFFERED TO CONGRESSIONAL 
20101208020043.857|20101208020045.286|CCO|REPUBLICANS ON TAXES.
20101208020045.286|20101208020046.714|CCO|REBUTTING CRITICISM FROM THE 
20101208020046.714|20101208020048.143|CCO|LEFT THAT HE GAVE TOO MUCH, THAT
20101208020048.143|20101208020049.571|CCO|HE TRADED AWAY TOO MANY BAD 
20101208020049.571|20101208020051.000|CCO|POLICIES FOR NOT ENOUGH IN THE 
20101208020051.000|20101208020054.333|CCO|WAY OF GOOD POLICIES.
20101208020054.333|20101208020057.667|CCO|THE PRESIDENT TODAY STEPPED UP 
20101208020057.667|20101208020101.000|CCO|TO THAT MICROPHONE AND HE TALKED
20101208020101.000|20101208020103.500|CCO|A LOT ABOUT FIGHTING.
20101208020103.500|20101208020106.000|CCO|>> I WILL CONTINUE TO FIGHT 
20101208020106.000|20101208020108.500|CCO|BEFORE THE AMERICAN PEOPLE TO 
20101208020108.500|20101208020111.000|CCO|MAKE THE POINT THAT THE 
20101208020111.000|20101208020113.000|CCO|REPUBLICAN POSITION IS WRONG.
20101208020113.000|20101208020115.000|CCO|AND YOU KNOW I WILL BE HAPPY TO 
20101208020115.000|20101208020117.000|CCO|SEE THE REPUBLICANS TEST WHETHER
20101208020117.000|20101208020119.000|CCO|OR NOT I'M ITCHING FOR A FIGHT 
20101208020119.000|20101208020121.000|CCO|ON A WHOLE RANGE OF ISSUES.
20101208020121.000|20101208020122.250|CCO|I SUSPECT THEY WILL FIND I AM.
20101208020122.250|20101208020123.500|CCO|AND I THINK THE AMERICAN PEOPLE 
20101208020123.500|20101208020124.750|CCO|WILL BE ON MY SIDE ON A WHOLE 
20101208020124.750|20101208020126.000|CCO|BUNCH OF THESE.
20101208020126.000|20101208020127.250|CCO|WE'RE GOING TO KEEP ON HAVING 
20101208020127.250|20101208020128.500|CCO|THIS DEBATE.
20101208020128.500|20101208020129.750|CCO|WE'RE GOING TO KEEP ON HAVING 
20101208020129.750|20101208020131.000|CCO|THIS BATTLE.
20101208020131.000|20101208020132.429|CCO|I'M HAPPY TO HAVE THAT BATTLE.
20101208020132.429|20101208020133.857|CCO|I DON'T SEE WHY THE REPUBLICANS 
20101208020133.857|20101208020135.286|CCO|WIN THAT ARGUMENT.
20101208020135.286|20101208020136.714|CCO|I UNDERSTAND THE DESIRE FOR THE 
20101208020136.714|20101208020138.143|CCO|FIGHT.
20101208020138.143|20101208020139.571|CCO|I'M SYMPATHETIC TO THAT.
20101208020139.571|20101208020141.000|CCO|I'M AS OPPOSED TO THE HIGH END 
20101208020141.000|20101208020142.667|CCO|TAX CUTS TODAY AS I'VE BEEN FOR 
20101208020142.667|20101208020144.333|CCO|YEARS.
20101208020144.333|20101208020146.000|CCO|IN THE LONG RUN WE SIMPLY CAN'T 
20101208020146.000|20101208020147.667|CCO|AFFORD THEM.
20101208020147.667|20101208020149.333|CCO|AND WHEN THEY EXPIRE IN TWO 
20101208020149.333|20101208020151.000|CCO|YEARS, I WILL FIGHT TO END THEM.
20101208020151.000|20101208020153.500|CCO|>> I WILL FIGHT TO END THEM.
20101208020153.500|20101208020156.000|CCO|THE PRESIDENT TODAY DECLARING 
20101208020156.000|20101208020158.500|CCO|HIMSELF A COMBATANT.
20101208020158.500|20101208020201.000|CCO|A MAN WILLING TO FIGHT, FIGHT, 
20101208020201.000|20101208020202.429|CCO|FIGHT FOR WHAT HE BELIEVES.
20101208020202.429|20101208020203.857|CCO|ONE CAPABLE OF COMBAT BUT IN 
