TOP|20101208023002|2010-12-08_0230_US_KABC_World_News_With_Diane_Sawyer
COL|Communication Studies Archive, UCLA 
UID|0f931ba4-0273-11e0-b553-00e0815fe83e
DUR|0:29:55.02
VID|640x480
CMT|
LAN|ENG
LBT|2010-12-07 18:30 America/Los_Angeles
SEG_01|2014-06-18 17:47:25|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101208023012.000|20101208023013.250|SEG|Type=Story
20101208023012.000|20101208023013.250|CCO| 
20101208023013.250|20101208023015.750|SEG|Type=Story
20101208023013.250|20101208023014.500|CCO|>>> TONIGHT ON "WORLD NEWS," 
20101208023014.500|20101208023015.750|CCO|ELIZABETH EDWARDS, WHO BORE 
20101208023015.750|20101208023028.000|SEG|Type=Story
20101208023015.750|20101208023017.000|CCO|>>> TONIGHT ON "WORLD NEWS," 
20101208023017.000|20101208023018.250|CCO|ELIZABETH EDWARDS, WHO BORE 
20101208023018.250|20101208023019.500|CCO|PUBLIC SUFFERING WITH STRENGTH 
20101208023019.500|20101208023020.750|CCO|HAS DIED OF CANCER.
20101208023020.750|20101208023022.000|CCO|HER THREE CHILDREN AND ESTRANGED
20101208023022.000|20101208023024.000|CCO|HUSBAND NEAR.
20101208023024.000|20101208023026.000|CCO|AND WE HAVE HER WORDS TONIGHT ON
20101208023026.000|20101208023028.000|CCO|HOW YOU BEAR THE UNBEARABLE.
20101208023028.000|20101208023036.286|SEG|Type=Story
20101208023028.000|20101208023030.000|CCO|>>> TALKING TOUGH.
20101208023030.000|20101208023032.000|CCO|PRESIDENT OBAMA TACKLES HIS 
20101208023032.000|20101208023033.429|CCO|DEMOCRATIC CRITICS AND SAYS 
20101208023033.429|20101208023034.857|CCO|REPUBLICANS HELD THE MIDDLE 
20101208023034.857|20101208023036.286|CCO|CLASS TAX CUTS HOSTAGE.
20101208023036.286|20101208023042.000|SEG|Type=Story
20101208023036.286|20101208023037.714|CCO|>>> BEHIND BARS.
20101208023037.714|20101208023039.143|CCO|WIKILEAKS FOUNDER JULIAN ASSANGE
20101208023039.143|20101208023040.571|CCO|LOCKED UP ON ACCUSATIONS OF 
20101208023040.571|20101208023042.000|CCO|RAPE. 
20101208023042.000|20101208023048.667|SEG|Type=Story
20101208023042.000|20101208023043.667|CCO|>>> CHINESE CHALLENGE.
20101208023043.667|20101208023045.333|CCO|AS CHINESE KIDS TROUNCE THE U.S.
20101208023045.333|20101208023047.000|CCO|IN BRAND NEW TEST SCORES.
20101208023047.000|20101208023048.667|CCO|CAN THE U.S. FIGHT BACK?
20101208023048.667|20101208023103.667|SEG|Type=Story
20101208023048.667|20101208023050.333|CCO|>>> ARK PARK.
20101208023050.333|20101208023052.000|CCO|THEY ARE GOING TO BUILD NOAH'S 
20101208023052.000|20101208023102.000|CCO|ARK IN KENTUCKY, WITH ANIMALS.
20101208023102.000|20101208023103.667|CCO|SHOULD THEY GET TAXPAYER MONEY?
20101208023103.667|20101208023453.667|SEG|Type=Story
20101208023103.667|20101208023105.333|CCO|>>> GOOD EVENING.
20101208023105.333|20101208023107.000|CCO|ELIZABETH EDWARDS, 61 YEARS OLD,
20101208023107.000|20101208023108.667|CCO|DIED TODAY.
20101208023108.667|20101208023110.333|CCO|SHE WAS A MOTHER, LAWYER, AUTHOR
20101208023110.333|20101208023112.000|CCO|AND THE WIFE OF A MAN WHO TRIED 
20101208023112.000|20101208023113.667|CCO|TO BE PRESIDENT.
20101208023113.667|20101208023115.333|CCO|BUT THAT IS NOT WHY A NATION 
20101208023115.333|20101208023117.000|CCO|REMEMBERS HER TONIGHT.
20101208023117.000|20101208023118.667|CCO|IT IS THE STEEL SHE SHOWED WHEN 
20101208023118.667|20101208023120.333|CCO|LIFE DEALT HER SO MANY 
20101208023120.333|20101208023122.000|CCO|SHATTERING AND VERY PUBLIC 
20101208023122.000|20101208023123.429|CCO|BLOWS.
20101208023123.429|20101208023124.857|CCO|FROM THE DEATH OF A SON TO HER 
20101208023124.857|20101208023126.286|CCO|MARRIAGE, HER DREAMS, HER 
20101208023126.286|20101208023127.714|CCO|HEALTH.
20101208023127.714|20101208023129.143|CCO|AND IN THE END, THE WORD FROM 
20101208023129.143|20101208023130.571|CCO|HER DOCTORS THAT NOTHING MORE 
20101208023130.571|20101208023132.000|CCO|COULD KEEP HER ALIVE, FOR HER 
20101208023132.000|20101208023133.667|CCO|THREE CHILDREN, THE YOUNGEST NOW
20101208023133.667|20101208023135.333|CCO|JUST 10.
20101208023135.333|20101208023137.000|CCO|SHE SAID ONCE, WHATEVER 
20101208023137.000|20101208023138.667|CCO|HAPPENED, SHE WANTED TO SPEND 
20101208023138.667|20101208023140.333|CCO|THE REMAINDER OF HER DAYS REALLY
20101208023140.333|20101208023142.000|CCO|LIVING.
20101208023142.000|20101208023143.429|CCO|RON CLAIBORNE REPORTS ON THIS 
20101208023143.429|20101208023144.857|CCO|DAY AT HER HOME IN NORTH 
20101208023144.857|20101208023146.286|CCO|CAROLINA FOR US TONIGHT.
20101208023146.286|20101208023147.714|CCO|RON?
20101208023147.714|20101208023149.143|CCO|>> Reporter: GOOD EVENING, 
